PD	SR	MNTD	MPD
ZB_1	0.67451	3	0.288966666666667	0.299782222222222
ZB_2	0.98728	1	Inf	0
ZB_3	1.1691	14	0.0927124461538461	0.297781905692308
ZB_4	0.67353	6	0.251709818181818	0.248934505785124
ZB_5	0.98728	1	Inf	0
ZB_6	3.12804	20	0.271102867132867	0.552897049244462
ZB_7	1.26385	16	0.0988151989132544	0.308773730402752
ZB_8	0.62555	4	0.243386981132075	0.245594417942328
ZB_9	0	0	NA	NA
ZB_10	0.5806	1	Inf	0
ZB_11	0.98728	1	Inf	0
ZB_12	2.39335	8	0.679501111111111	0.520669490740741
ZB_13	2.49366	8	0.584240421052632	0.665545010526316
ZB_14	0.724	7	0.251879879518072	0.248994274931049
ZB_15	0.87758	3	0.483525	0.2810975
ZB_16	0.12215	1	Inf	0
ZB_17	1.58168	5	0.815264814814815	0.320344032921811
ZB_18	1.20511	7	0.327268266666667	0.256415388444444
ZB_19	3.18459	25	0.0914415391361544	0.291252399814428
ZB_20	1.31028	3	0.879752727272727	0.422386776859504
ZB_21	0	0	NA	NA
ZB_22	0.10622	1	Inf	0
ZB_23	0	0	NA	NA
ZB_24	1.19525	15	0.0688691788663664	0.276735824937233
ZB_25	1.81582	11	0.103919267563528	0.275318142822989
ZB_26	3.02003	18	0.453417941176471	0.650647293468858
ZB_27	2.20425	8	0.60201	0.604679001189061
ZB_28	0	0	NA	NA
ZB_29	0.68661	3	0.395549090909091	0.290440991735537
ZB_30	3.51443	23	0.0772968413223141	0.282630428984905
ZB_31	0.20719	2	0.17247	0.0766533333333333
ZB_32	2.25205	18	0.0717575557283567	0.281691922171779
ZB_33	1.75132	13	0.0824354330312185	0.245208091839249
ZB_34	3.07845	19	0.319923400673401	0.586776427802152
ZB_35	1.24306	3	0.873326153846154	0.262453017751479
ZB_36	1.53014	15	0.0883967428800642	0.271601770817897
ZB_37	0.53146	3	0.371065454545455	0.16623652892562
ZB_38	2.49547	22	0.0741037007874016	0.301811506385017
ZB_39	0.5943	1	Inf	0
ZB_40	0.48452	1	Inf	0
ZB_41	2.20663	15	0.0827060640238846	0.244368780449423
ZB_42	0	0	NA	NA
ZB_43	1.26077	16	0.069906503420398	0.274765729389799
ZB_44	0.5943	1	Inf	0
ZB_45	0.69557	7	0.268066835443038	0.254093914436789
ZB_46	1.58715	17	0.070564311072984	0.278436300968323
ZB_47	0.5943	1	Inf	0
ZB_48	1.80571	5	0.710945957446809	0.549248401991852
ZB_49	1.1691	14	0.0887253338278932	0.290990377215613
ZB_50	1.01906	2	0.98434	0.49217
ZB_51	1.1691	14	0.0876098274296094	0.298048080376109
ZB_52	1.1691	14	0.0943385362890981	0.306282945828552
ZB_53	0.5943	1	Inf	0
ZB_54	2.60198	17	0.215972802709568	0.253778997226048
ZB_55	3.04718	22	0.21901067114094	0.484287657988379
ZB_56	0.5943	1	Inf	0
ZB_57	2.87759	21	0.0739019536173431	0.294787841898842
ZB_58	1.57918	4	0.492352857142857	0.45054612244898
ZB_59	2.95256	22	0.0790145849056604	0.306873669005874
ZB_60	0	0	NA	NA
ZB_61	0.98728	1	Inf	0
ZB_62	0.63808	5	0.222743684210526	0.246826371191136
ZB_63	0	0	NA	NA
ZB_64	0.98728	1	Inf	0
