PD	SR	MNTD	MPD
ZB_1	0.61482	1	Inf	0
ZB_2	0	0	NA	NA
ZB_3	0.30343	5	0.0617444754316069	0.102790537716333
ZB_4	0.20079	4	0.0441838888888889	0.0324533950617284
ZB_5	0.1795	1	Inf	0
ZB_6	1.21694	8	0.194098524590164	0.354080458210159
ZB_7	0.30343	5	0.0750541445270988	0.114539922706165
ZB_8	0.23619	4	0.0397942857142857	0.0182176594387755
ZB_9	0	0	NA	NA
ZB_10	0.19212	1	Inf	0
ZB_11	0.20255	1	Inf	0
ZB_12	0.89113	3	0.193521875	0.160682109375
ZB_13	0.97748	4	0.272344736842105	0.286568002462296
ZB_14	0.20079	4	0.055710303030303	0.0541249357208448
ZB_15	0.04379	2	0.04379	0.0194622222222222
ZB_16	0	0	NA	NA
ZB_17	0.8524	5	0.125925	0.364136666666667
ZB_18	0.16802	3	0.0700084	0.068186424
ZB_19	1.29546	11	0.0566428642714571	0.127584184306039
ZB_20	0.00352	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0.00352	1	Inf	0
ZB_23	0	0	NA	NA
ZB_24	0.27962	5	0.0507710784504575	0.0127651289667964
ZB_25	0.98648	8	0.040393451536643	0.0362930887670529
ZB_26	1.18392	7	0.186447920792079	0.302062817370846
ZB_27	0.97748	4	0.197331666666667	0.188251944444444
ZB_28	0	0	NA	NA
ZB_29	0.00352	1	Inf	0
ZB_30	1.29546	11	0.0617236938925681	0.0819367556437042
ZB_31	0	0	NA	NA
ZB_32	1.00686	9	0.0504452	0.0382752895611402
ZB_33	0.98648	8	0.0382213381123059	0.0202431792189238
ZB_34	1.27156	9	0.185934866666667	0.350564003555556
ZB_35	0.25887	2	0.25887	0.129435
ZB_36	0.30343	5	0.0462145584725537	0.0571556325792744
ZB_37	0.16802	3	0.0515469230769231	0.0388539644970414
ZB_38	1.14041	9	0.0475959829642249	0.10576812399026
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.90013	7	0.0381504317511397	0.0215751257511358
ZB_42	0	0	NA	NA
ZB_43	0.83139	6	0.109739970839813	0.0103709524415723
ZB_44	0	0	NA	NA
ZB_45	0.16802	3	0.0525586956521739	0.0408389319470699
ZB_46	0.30343	5	0.106580284887925	0.0264441157444833
ZB_47	0.00352	1	Inf	0
ZB_48	0.76991	3	0.252511428571429	0.250880816326531
ZB_49	0.38446	6	0.0528309296482412	0.07872847484912
ZB_50	0	0	NA	NA
ZB_51	0.30343	5	0.0546750244698206	0.0852993126096086
ZB_52	0.84814	7	0.0431939089481947	0.109751365191087
ZB_53	0.03277	1	Inf	0
ZB_54	1.19405	9	0.0400600729927007	0.0330322181522724
ZB_55	1.29546	11	0.168453925233645	0.35202808367543
ZB_56	0.60954	1	Inf	0
ZB_57	1.29546	11	0.0496341546666667	0.0968980221610667
ZB_58	0	0	NA	NA
ZB_59	1.00686	9	0.0441863964757709	0.127033340076462
ZB_60	0	0	NA	NA
ZB_61	0.03277	1	Inf	0
ZB_62	0.04379	2	0.04379	0.00669013888888889
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
