PD	SR	MNTD	MPD
ZB_1	1.11459	5	0.37114	0.3449
ZB_2	0.2564	1	Inf	0
ZB_3	1.76463	32	0.070789854827819	0.184141835728364
ZB_4	1.25111	21	0.0656497037037037	0.118656970096022
ZB_5	0	0	NA	NA
ZB_6	1.87837	21	0.118533928571429	0.345771506696429
ZB_7	1.84325	33	0.0774900984138011	0.225348947762231
ZB_8	1.1932	17	0.0644965128205128	0.100148258251151
ZB_9	0.28035	2	0.27556	0.13778
ZB_10	0.48756	2	0.08918	0.0308276543209877
ZB_11	0.3724	2	0.36761	0.183805
ZB_12	0.72169	4	0.12956	0.244937868480726
ZB_13	1.02073	8	0.132891333333333	0.282730568707483
ZB_14	1.61741	21	0.0684838666666667	0.114210848395062
ZB_15	0.60878	5	0.14626	0.196790204081633
ZB_16	0.15367	1	Inf	0
ZB_17	1.12671	10	0.115263333333333	0.301504027777778
ZB_18	1.13159	20	0.0597584579439252	0.0950282203685911
ZB_19	2.65457	39	0.0723461083447802	0.155597645460612
ZB_20	0.00943	1	Inf	0
ZB_21	0.48756	2	0.08918	0.0396355555555556
ZB_22	0.82489	8	0.115785	0.133112109375
ZB_23	0.59808	3	0.3878375	0.24640375
ZB_24	1.8539	33	0.0865556712738797	0.195303004211347
ZB_25	2.22653	33	0.0638647368421053	0.113656918078404
ZB_26	1.7938	18	0.119295316455696	0.304905976606313
ZB_27	0.89258	6	0.288069565217391	0.282200302457467
ZB_28	0.59596	2	0.59117	0.164213888888889
ZB_29	0.47262	6	0.0676508695652174	0.0724271455576559
ZB_30	2.55578	37	0.0889464278918037	0.198553817974979
ZB_31	0.07803	1	Inf	0
ZB_32	2.4923	37	0.0850838826519805	0.215470861286205
ZB_33	2.37754	35	0.0636298852304798	0.109311811121898
ZB_34	1.92259	22	0.1194256875	0.337291511523438
ZB_35	0	0	NA	NA
ZB_36	1.84325	33	0.0666952111739275	0.142629250736752
ZB_37	1.4178	16	0.0864264179104478	0.139288981955892
ZB_38	2.6787	40	0.0765138147618524	0.233198899471835
ZB_39	0.56308	2	0.55829	0.276838016528926
ZB_40	0	0	NA	NA
ZB_41	2.21469	33	0.0646238536741214	0.110488582321837
ZB_42	0	0	NA	NA
ZB_43	1.9945	35	0.0870273434490534	0.188542853609881
ZB_44	0.44708	1	Inf	0
ZB_45	1.46669	21	0.0627847887323944	0.103719687892614
ZB_46	1.95166	34	0.0857094227401727	0.201492975742835
ZB_47	0.47434	2	0.42136	0.1348352
ZB_48	0.72169	4	0.111349411764706	0.194388650519031
ZB_49	1.84325	33	0.0671528447977878	0.152904736175583
ZB_50	0	0	NA	NA
ZB_51	1.69794	32	0.0689033657094595	0.17243009059775
ZB_52	2.03461	34	0.0734333022730481	0.199302883561165
ZB_53	0.67924	3	0.14450875	0.1345959375
ZB_54	2.17145	32	0.063441181161601	0.109423106811525
ZB_55	2.37868	34	0.11215229580574	0.270183917859353
ZB_56	0.48756	2	0.08918	0.02184
ZB_57	2.61746	39	0.080835145441646	0.237085157087271
ZB_58	0.43886	1	Inf	0
ZB_59	2.50698	38	0.0739119136089178	0.201835851421094
ZB_60	0.03739	1	Inf	0
ZB_61	0.1306	1	Inf	0
ZB_62	0.61232	9	0.0742383333333333	0.1083736
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
