PD	SR	MNTD	MPD
ZB_1	1.00778	1	Inf	0
ZB_2	1.12248	1	Inf	0
ZB_3	2.02662	21	0.301892403669725	0.526180726080507
ZB_4	1.52924	10	0.352432613636364	0.549389469123049
ZB_5	1.12248	1	Inf	0
ZB_6	3.06509	19	0.238178509090909	0.741684097057851
ZB_7	2.81449	23	0.174540083594566	0.489601533750517
ZB_8	1.49195	11	0.299317950819672	0.512552083818567
ZB_9	1.17709	1	Inf	0
ZB_10	1.12248	1	Inf	0
ZB_11	1.13573	2	1.07888	0.280891834319527
ZB_12	2.39765	7	0.293207837837838	0.510292027027027
ZB_13	2.28614	8	0.306804324324324	0.691620942293645
ZB_14	1.56455	13	0.364271601941748	0.570107206617023
ZB_15	1.49839	7	0.172221538461538	0.286782071005917
ZB_16	1.41412	2	1.27093	0.635465
ZB_17	1.92667	5	0.333895294117647	0.345136262975779
ZB_18	1.56455	13	0.374135102040816	0.573856933420599
ZB_19	3.22728	28	0.180965493616351	0.54178759792418
ZB_20	1.58848	4	0.681254	0.6303171
ZB_21	0.30607	1	Inf	0
ZB_22	1.37549	5	0.317655151515152	0.44839015610652
ZB_23	1.12248	1	Inf	0
ZB_24	2.02344	20	0.157777346584196	0.224286941735831
ZB_25	2.90128	21	0.202095824064712	0.600482205271354
ZB_26	2.71202	13	0.351471181818182	0.664599804958678
ZB_27	1.84516	4	0.417164193548387	0.434762299687825
ZB_28	0	0	NA	NA
ZB_29	1.32339	4	0.545127647058824	0.558134117647059
ZB_30	3.21463	27	0.149001793296089	0.244475513929028
ZB_31	1.12248	1	Inf	0
ZB_32	3.07208	25	0.149179140851518	0.283584369623553
ZB_33	2.68129	20	0.182736994926073	0.538213803813858
ZB_34	2.9935	16	0.225882853598015	0.751807451557488
ZB_35	1.12248	1	Inf	0
ZB_36	2.56462	22	0.298154002902758	0.520039342594727
ZB_37	1.51307	9	0.34233974789916	0.51819933902973
ZB_38	3.11601	27	0.161594940308227	0.433839969481527
ZB_39	1.12248	1	Inf	0
ZB_40	0.26092	1	Inf	0
ZB_41	2.51284	19	0.334394928070427	0.534482057832128
ZB_42	0	0	NA	NA
ZB_43	2.07539	23	0.152346709579012	0.203714187560198
ZB_44	0.30607	1	Inf	0
ZB_45	1.54249	11	0.375225831134565	0.556601532153076
ZB_46	2.06589	22	0.169074975247525	0.26006090715712
ZB_47	0.26264	1	Inf	0
ZB_48	1.68119	5	0.298297941176471	0.456426920415225
ZB_49	1.97463	19	0.312957625869832	0.535479347949457
ZB_50	1.12248	1	Inf	0
ZB_51	2.58024	23	0.258824306672977	0.481985311722734
ZB_52	2.0463	22	0.280443907067483	0.504977969221518
ZB_53	0.33085	1	Inf	0
ZB_54	2.41282	18	0.182586007322888	0.533220147058832
ZB_55	2.92424	20	0.219782895174709	0.62171018862074
ZB_56	0	0	NA	NA
ZB_57	3.00255	26	0.162191849904398	0.396388692510666
ZB_58	0	0	NA	NA
ZB_59	2.84358	24	0.174893590214067	0.508653592435167
ZB_60	0.33085	1	Inf	0
ZB_61	1.12248	1	Inf	0
ZB_62	1.32294	4	0.5512148	0.556516912
ZB_63	0	0	NA	NA
ZB_64	1.41468	4	0.228821304347826	0.49844347826087
