PD	SR	MNTD	MPD
ZB_1	2.02745	5	0.197336	0.688545
ZB_2	3.69154	29	0.0910010017221584	0.675228391515223
ZB_3	2.57717	10	0.114971191176471	0.342005237153979
ZB_4	2.96518	15	0.13682935828877	0.493357491635449
ZB_5	3.21442	28	0.0910153159447291	0.70217829085094
ZB_6	4.42153	37	0.100425738899934	0.847812468366299
ZB_7	3.13088	19	0.0742557623318386	0.229787614715759
ZB_8	3.06046	19	0.13556650887574	0.664448484296768
ZB_9	2.44072	20	0.221546595744681	0.431663772634676
ZB_10	2.25913	11	0.187251395348837	0.448052309356409
ZB_11	3.64892	30	0.0894244169741697	0.775126189667216
ZB_12	3.84587	27	0.11087801578354	0.35670735257744
ZB_13	3.41095	23	0.117015802997859	0.788380325280046
ZB_14	3.23886	23	0.153495358778626	0.587330047899307
ZB_15	3.0551	16	0.219664469273743	0.750036970132018
ZB_16	3.14321	21	0.280500269151139	0.335676065309552
ZB_17	4.38837	33	0.100633422524933	0.736321502198686
ZB_18	3.1195	12	0.157745045592705	0.494238319305993
ZB_19	4.85558	46	0.0976487383345298	0.895253601907342
ZB_20	3.89702	31	0.101870424080664	0.786053143264115
ZB_21	0.81361	6	0.223923333333333	0.304679320987654
ZB_22	2.76087	8	0.270207105263158	0.586797770083102
ZB_23	2.36631	18	0.309014137931034	0.159432332495854
ZB_24	2.75827	10	0.0494160266521621	0.0557234945658497
ZB_25	3.87409	27	0.0955344005449591	0.874357712916422
ZB_26	4.33285	35	0.0953450019554165	0.6181969810021
ZB_27	3.7397	26	0.110239073359073	0.389548520743579
ZB_28	2.11001	7	0.3176976	0.679113344
ZB_29	2.98041	11	0.200414672897196	0.472356331557341
ZB_30	4.90003	46	0.0780220487412962	0.86608762539343
ZB_31	2.68622	25	0.257847693298969	0.324033311523541
ZB_32	4.47665	40	0.144300733282675	0.780615099390481
ZB_33	3.92433	30	0.091220957484816	0.623612239317339
ZB_34	3.91946	27	0.0956001754385965	0.402689549682584
ZB_35	3.87989	30	0.0914649477973007	0.740260154818045
ZB_36	3.10315	14	0.106099358517463	0.232525220378488
ZB_37	3.17598	15	0.162634782608696	0.652643054702268
ZB_38	3.99946	37	0.0732288373441577	0.631412589463954
ZB_39	1.74359	4	0.307086	0.7287984
ZB_40	2.26892	14	0.323037632352941	0.217879509645329
ZB_41	4.40976	35	0.0944401983471074	0.590383389583348
ZB_42	2.84458	25	0.253157800875274	0.444187234772491
ZB_43	2.69802	12	0.154772673479087	0.0388982613502572
ZB_44	2.43372	13	0.228548727272727	0.47645172892562
ZB_45	3.35942	23	0.26628490396927	0.784193039358254
ZB_46	2.93857	15	0.151554681201905	0.0811568664390896
ZB_47	1.77527	5	0.258712352941176	0.672099515570934
ZB_48	3.27172	21	0.108125304347826	0.585665150010502
ZB_49	2.67674	10	0.107017203791469	0.22808172492881
ZB_50	3.21442	28	0.087424886394744	0.734245901905435
ZB_51	2.43985	7	0.109347950963222	0.234039481414914
ZB_52	2.89094	13	0.114324898668211	0.297654087038215
ZB_53	1.81847	4	0.321771666666667	0.462784444444444
ZB_54	3.77446	25	0.0920485163204748	0.718306925491209
ZB_55	4.7007	42	0.103564158995816	0.977648788753698
ZB_56	1.78951	4	0.363571818181818	0.703036033057851
ZB_57	4.18899	38	0.0871367707082833	0.765442313498429
ZB_58	3.01166	19	0.309141422924901	0.460575518442719
ZB_59	4.18961	38	0.085895339273475	0.774252978346685
ZB_60	2.34528	15	0.368830653409091	0.246945360278926
ZB_61	3.21442	28	0.0856304635499208	0.747844981998488
ZB_62	2.40352	8	0.189888115942029	0.681167586641462
ZB_63	2.46435	21	0.251834422110553	0.301415171446288
ZB_64	3.01457	25	0.0906817854741089	0.683939449542301
