PD	SR	MNTD	MPD
ZB_1	0.83655	5	0.251048333333333	0.293331666666667
ZB_2	0	0	NA	NA
ZB_3	1.52926	25	0.0573774182444062	0.135299417453438
ZB_4	0.54197	5	0.0719735087719298	0.0892874115112342
ZB_5	0.37383	1	Inf	0
ZB_6	1.58569	19	0.206264059405941	0.32578206450348
ZB_7	1.62686	27	0.0650138829215897	0.167960492289685
ZB_8	0.90882	8	0.0954980882352941	0.143702262110727
ZB_9	0.32627	1	Inf	0
ZB_10	0.5315	1	Inf	0
ZB_11	0.51391	4	0.2078875	0.20000375
ZB_12	0.69066	3	0.3127572	0.155127104
ZB_13	0.61693	2	0.32853	0.163534933333333
ZB_14	0.69886	9	0.0668665178571429	0.102369666772959
ZB_15	0.6417	2	0.40068	0.150255
ZB_16	0	0	NA	NA
ZB_17	1.05555	9	0.163658888888889	0.272448888888889
ZB_18	0.7163	9	0.0753617391304348	0.126031370510397
ZB_19	2.02115	29	0.0732778752390057	0.140275992812919
ZB_20	0.79467	4	0.2453775	0.2389
ZB_21	0.61693	2	0.32853	0.1051296
ZB_22	0.5315	1	Inf	0
ZB_23	0.20707	1	Inf	0
ZB_24	1.54881	26	0.0827011135957066	0.155543244142577
ZB_25	1.11857	12	0.0498088996763754	0.0541184523622501
ZB_26	1.49337	16	0.238622294117647	0.29863584567474
ZB_27	0.61693	2	0.32853	0.160912653061224
ZB_28	0.5315	1	Inf	0
ZB_29	0.42295	3	0.058378	0.0509104
ZB_30	2.07369	30	0.0942036659608258	0.171106032220756
ZB_31	0	0	NA	NA
ZB_32	2.00277	29	0.0835339430405134	0.160009186643581
ZB_33	1.293	15	0.0473782841110455	0.0523255845933134
ZB_34	1.60675	19	0.20639188449848	0.325652491754511
ZB_35	0	0	NA	NA
ZB_36	1.5174	25	0.0513936975609756	0.0940916269411065
ZB_37	0.91297	8	0.0756548780487805	0.109703033908388
ZB_38	2.0239	29	0.0720266734331388	0.170505063873819
ZB_39	0.65251	2	0.41149	0.1316768
ZB_40	0	0	NA	NA
ZB_41	1.21872	14	0.0481959332292073	0.0533545836688281
ZB_42	0	0	NA	NA
ZB_43	1.61973	27	0.0829742429256992	0.155956910540377
ZB_44	0.5315	1	Inf	0
ZB_45	1.00704	10	0.0644449350649351	0.106152201045708
ZB_46	1.54881	26	0.0814955869964359	0.163733870677559
ZB_47	0.5315	1	Inf	0
ZB_48	0.7366	3	0.334014	0.189276288888889
ZB_49	1.7618	25	0.0514238570084666	0.0973106577260084
ZB_50	0.1839	1	Inf	0
ZB_51	1.41136	24	0.0564155518394649	0.130417162025282
ZB_52	1.56994	26	0.059057023099851	0.140488266864302
ZB_53	0.5315	1	Inf	0
ZB_54	1.41116	17	0.0483072736269174	0.0583075505901542
ZB_55	1.43559	16	0.200122763975155	0.191955377686046
ZB_56	0.5315	1	Inf	0
ZB_57	2.00277	29	0.0784682538399353	0.176594171143841
ZB_58	0	0	NA	NA
ZB_59	1.95298	28	0.0697536396614269	0.172329514401349
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.42127	4	0.04379	0.0548680555555556
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
