PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0	0	NA	NA
ZB_3	0.68866	9	0.0677685103244838	0.128257961643216
ZB_4	0.52715	5	0.136203636363636	0.180120330578512
ZB_5	0	0	NA	NA
ZB_6	0.65591	6	0.136376923076923	0.157750147928994
ZB_7	0.64751	8	0.0738298037383178	0.149885469569395
ZB_8	0.62261	7	0.1227862	0.160901064
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0.36891	1	Inf	0
ZB_12	0.42723	2	0.37574	0.18787
ZB_13	0.54585	4	0.113614705882353	0.0776220069204152
ZB_14	0.67116	9	0.0912558333333333	0.133898333333333
ZB_15	0.37949	2	0.23075	0.08653125
ZB_16	0	0	NA	NA
ZB_17	0	0	NA	NA
ZB_18	0.74006	10	0.0873975555555556	0.145736750617284
ZB_19	0.97101	14	0.0541563904555315	0.133742188211047
ZB_20	0	0	NA	NA
ZB_21	0	0	NA	NA
ZB_22	0.37949	2	0.23075	0.115375
ZB_23	0	0	NA	NA
ZB_24	0.71024	10	0.0854912926957436	0.115252737587773
ZB_25	0.59248	8	0.0561825	0.0711760546712803
ZB_26	0.66841	6	0.119864	0.195579838888889
ZB_27	0.155	1	Inf	0
ZB_28	0.25409	1	Inf	0
ZB_29	0.40058	3	0.12553	0.0961328
ZB_30	1.00225	14	0.0852916885159937	0.116140379376728
ZB_31	0	0	NA	NA
ZB_32	0.71539	10	0.0860543191489362	0.13322998043358
ZB_33	0.57271	8	0.06306901378579	0.0579353463259447
ZB_34	0.52974	5	0.136367764705882	0.143758078892734
ZB_35	0	0	NA	NA
ZB_36	0.65447	9	0.0638308432630614	0.0946396371949145
ZB_37	0.5161	5	0.137816875	0.16036765625
ZB_38	0.8635	13	0.0696839459459459	0.151327295009963
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.62848	9	0.0649929960388909	0.0659061627917682
ZB_42	0.23946	1	Inf	0
ZB_43	0.65447	9	0.0825059765678842	0.0951129161253367
ZB_44	0	0	NA	NA
ZB_45	0.6301	9	0.0844201851851852	0.167566920438957
ZB_46	0.65447	9	0.0834643981132075	0.119490974656461
ZB_47	0	0	NA	NA
ZB_48	0.155	1	Inf	0
ZB_49	0.64751	8	0.0648798769230769	0.104074081940828
ZB_50	0	0	NA	NA
ZB_51	0.64751	8	0.0667129590017825	0.12308212683615
ZB_52	0.65447	9	0.0661783787053841	0.138584740527498
ZB_53	0	0	NA	NA
ZB_54	0.64825	9	0.0562378559463987	0.0657712219809264
ZB_55	0.89945	11	0.0789602666666667	0.208822869333333
ZB_56	0	0	NA	NA
ZB_57	0.8635	13	0.0714707548430194	0.147204237787532
ZB_58	0.05119	1	Inf	0
ZB_59	0.97101	14	0.0617550099009901	0.155834763846682
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.47495	4	0.14736	0.163504
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
