PD	SR	MNTD	MPD
ZB_1	3.99737	16	0.191776399474376	0.468819463704476
ZB_2	3.87376	23	0.0978279073756432	0.653034847794547
ZB_3	4.49622	26	0.137997535893155	0.350841298498053
ZB_4	4.22112	22	0.0816329420970266	0.406755472287734
ZB_5	3.45394	22	0.096762889006203	0.657964634018725
ZB_6	6.62569	47	0.114153252427184	0.828904215968215
ZB_7	4.98743	30	0.109729407066796	0.522010731115212
ZB_8	3.59014	20	0.0787089090909091	0.529884758097337
ZB_9	2.73253	15	0.355110447619048	0.568767324408163
ZB_10	3.68332	16	0.115776640419948	0.393374112544768
ZB_11	3.57821	20	0.100249129937035	0.676004020453822
ZB_12	6.64606	40	0.118774395904437	0.622962534533891
ZB_13	5.52042	34	0.114608049792531	0.876051420344002
ZB_14	4.05111	24	0.0899584656556646	0.498941033564876
ZB_15	3.41885	16	0.44146976119403	0.757732407217643
ZB_16	3.53157	19	0.418563573540281	0.345842554603413
ZB_17	6.12352	40	0.0825768812275807	0.660431555033208
ZB_18	4.53399	23	0.108333068862275	0.455627153895801
ZB_19	6.88361	55	0.10765472597964	0.713525816305511
ZB_20	3.84902	22	0.109488010543204	0.593439852177235
ZB_21	3.58814	13	0.127811937269373	0.344668785011097
ZB_22	3.02219	14	0.166370414507772	0.522164814088969
ZB_23	2.78482	15	0.361464296495957	0.543778889348377
ZB_24	4.30258	24	0.0616414040465972	0.305572022223467
ZB_25	6.75241	45	0.1111528980322	0.758452918497445
ZB_26	6.40112	45	0.113027733158499	0.752687468884497
ZB_27	6.6225	42	0.116900586353945	0.655046443619551
ZB_28	4.47327	17	0.160877330861909	0.423310076212743
ZB_29	3.5342	15	0.218671	0.562664798148148
ZB_30	7.04005	55	0.098961777284648	0.765756072534875
ZB_31	3.28645	17	0.350437571428571	0.568677960456772
ZB_32	6.30952	46	0.0963266780045351	0.617260287488809
ZB_33	6.04963	45	0.0791341367713004	0.476437216214661
ZB_34	5.79096	40	0.111281604432667	0.77715944773084
ZB_35	3.22004	19	0.0991403434504792	0.662521807731432
ZB_36	4.19663	25	0.125722537062937	0.458768675741601
ZB_37	4.16433	25	0.127259657794677	0.626099950555885
ZB_38	5.88422	46	0.0786356041046011	0.517333830074615
ZB_39	3.0671	10	0.116871953488372	0.324906022378463
ZB_40	3.25215	16	0.360949535714286	0.556453920153061
ZB_41	5.7724	42	0.0772534125216531	0.488705508143117
ZB_42	3.60565	23	0.207065268376068	0.534679714054789
ZB_43	3.12914	20	0.0536770981703718	0.171663844658697
ZB_44	3.78338	16	0.0869379205409975	0.272491672546194
ZB_45	3.45119	22	0.175208671875	0.701386515693665
ZB_46	3.40706	22	0.12756527359075	0.279626601051246
ZB_47	4.23528	13	0.0628480525304292	0.0938576474861094
ZB_48	6.61892	34	0.0887378365831012	0.64924081415328
ZB_49	4.19858	22	0.125181535735381	0.457895512008901
ZB_50	3.32394	21	0.0992858211420481	0.679796093079959
ZB_51	3.87331	23	0.130908166833167	0.404343935849365
ZB_52	4.58591	27	0.116082897682895	0.500308733434956
ZB_53	3.99802	16	0.112021623093682	0.310293238545479
ZB_54	6.68179	44	0.0913004177825388	0.55300652856867
ZB_55	6.9648	52	0.116402712811694	0.888507100014861
ZB_56	3.2812	9	0.126251939546599	0.336204664422717
ZB_57	6.19376	49	0.0931229228371006	0.576367030008705
ZB_58	3.13692	18	0.409094961306965	0.404034862665047
ZB_59	6.17518	49	0.0875624697336562	0.644529653182876
ZB_60	2.55825	10	0.368513825301205	0.570174975459065
ZB_61	3.74042	20	0.0940309260471204	0.680513303954456
ZB_62	3.66691	15	0.162645604395604	0.708076710542205
ZB_63	3.09925	18	0.198670857005296	0.420779615056252
ZB_64	3.21112	19	0.0976645128354726	0.655707204262992
