PD	SR	MNTD	MPD
ZB_1	1.07491	2	0.19811	0.00297892676767677
ZB_2	1.69084	2	1.18013	0.146860622222222
ZB_3	0.36622	4	0.0932150253807107	0.113525010178051
ZB_4	1.01301	4	0.109586428571429	0.153312040816327
ZB_5	1.69084	2	1.18013	0.184967314285714
ZB_6	1.63918	5	0.199465563380282	0.167551097004563
ZB_7	1.3724	7	0.131181504854369	0.165767827264063
ZB_8	1.01301	4	0.103079375	0.14325015625
ZB_9	0.96007	1	Inf	0
ZB_10	1.30323	2	0.9703	0.0140615696094624
ZB_11	1.70644	3	1.16191814814815	0.165024903978052
ZB_12	1.22205	4	0.198670740740741	0.0262061179698217
ZB_13	1.47359	4	0.19174670886076	0.222233866367569
ZB_14	1.87981	7	0.72792625	0.71926357421875
ZB_15	2.00243	3	1.01660096774194	0.555675338189386
ZB_16	0.96007	1	Inf	0
ZB_17	1.72241	2	1.2117	0.280037333333333
ZB_18	1.05994	5	0.289615	0.413119876033058
ZB_19	1.75676	9	0.145465126582278	0.249476494600224
ZB_20	1.24148	1	Inf	0
ZB_21	0.99164	1	Inf	0
ZB_22	1.69137	3	0.980557272727273	0.33898479338843
ZB_23	0.96007	1	Inf	0
ZB_24	0.36622	4	0.277733302433372	0.0241940532970626
ZB_25	1.21695	6	0.120776211180124	0.505255934570426
ZB_26	1.55591	4	0.964827707006369	0.0853956184835085
ZB_27	1.07491	2	0.19811	0.0102841102222222
ZB_28	1.3865	3	0.202294293785311	0.0217050655941779
ZB_29	0.97567	2	0.93427	0.132677396449704
ZB_30	1.90648	11	0.125871424836601	0.305481560767226
ZB_31	0.96007	1	Inf	0
ZB_32	1.2754	6	0.130856150121065	0.126623536281505
ZB_33	1.66008	8	0.0558890185185185	0.10838052702332
ZB_34	1.63918	5	0.215787882882883	0.172370765765766
ZB_35	1.24148	1	Inf	0
ZB_36	1.2776	6	0.079727579787234	0.0967721901878678
ZB_37	1.00753	3	0.764927142857143	0.334852244897959
ZB_38	1.46576	9	0.0924079025110783	0.169650685337389
ZB_39	0.99164	1	Inf	0
ZB_40	1.07491	2	0.19811	0.00125384812295288
ZB_41	1.52854	7	0.0556866975308642	0.103057394938949
ZB_42	1.07491	2	0.19811	0.0013453833629839
ZB_43	0.36622	4	0.27746397755611	0.0250012770520706
ZB_44	1.30323	2	0.9703	0.0216396263214427
ZB_45	1.90555	7	0.832215813953488	0.589180170362358
ZB_46	0.45532	5	0.268469008321775	0.0454880549821965
ZB_47	0.99164	1	Inf	0
ZB_48	1.07491	2	0.19811	0.00226403950323689
ZB_49	0.45532	5	0.0857252777777778	0.108236569753086
ZB_50	1.69084	2	1.18013	0.509973074792244
ZB_51	0.36622	4	0.0754223312883436	0.0880469464413414
ZB_52	0.36622	4	0.1232136492891	0.147875788841221
ZB_53	1.30323	2	0.9703	0.0189308452037176
ZB_54	1.44527	6	0.0985501530612245	0.133918772126197
ZB_55	1.85011	10	0.168808294573643	0.429548834805601
ZB_56	0.99164	1	Inf	0
ZB_57	1.67609	8	0.110150987654321	0.157550137089536
ZB_58	1.13556	2	0.99777	0.00852779163366428
ZB_59	1.81751	10	0.1829526910299	0.344318333351729
ZB_60	0.96007	1	Inf	0
ZB_61	1.24148	1	Inf	0
ZB_62	0.04355	1	Inf	0
ZB_63	0.96007	1	Inf	0
ZB_64	1.24148	1	Inf	0
