PD	SR	MNTD	MPD
ZB_1	2.30319	6	0.187558744993324	0.428658306919239
ZB_2	3.16336	10	0.148703888539043	0.659821973870068
ZB_3	3.70363	17	0.283344864233577	0.380245191634717
ZB_4	4.13441	16	0.110292288828338	0.457052152440066
ZB_5	2.71261	7	0.149744379020287	0.669473386994423
ZB_6	5.27225	29	0.100096359315589	0.877201085782648
ZB_7	4.04864	18	0.229632202084277	0.629759515674783
ZB_8	3.29998	14	0.1260025	0.544455888
ZB_9	3.75774	11	0.684618838235294	0.345366411894464
ZB_10	3.5948	11	0.123855502222222	0.35409123072
ZB_11	3.76773	12	0.152522519564802	0.76597445926223
ZB_12	4.90641	25	0.111355192307692	0.868303045278106
ZB_13	5.22123	29	0.101255802047782	0.888534982760428
ZB_14	3.66351	15	0.151936140035907	0.543718600221113
ZB_15	3.28292	10	0.169926255144033	0.748757920371217
ZB_16	3.32904	9	0.736652114132516	0.218549607941301
ZB_17	4.39582	16	0.146182208193764	0.707015067883022
ZB_18	4.09957	16	0.205375741239892	0.552494396291803
ZB_19	5.74726	38	0.0985346513455117	0.806823555059072
ZB_20	2.14806	7	0.158879452225335	0.736848051390975
ZB_21	2.7621	8	0.120109773519164	0.307223393631099
ZB_22	3.22682	8	0.50280024691358	0.756028215211096
ZB_23	3.53721	13	0.723752593206297	0.186989743974839
ZB_24	3.31291	14	0.250731976744186	0.307928217946
ZB_25	5.82328	35	0.133452824427481	1.00893880306363
ZB_26	5.11166	29	0.105150735887097	0.898884149709775
ZB_27	5.02967	25	0.0999829388297872	0.83846067157792
ZB_28	3.61205	10	0.167402242990654	0.416097224473753
ZB_29	3.34208	12	0.403577111111111	0.634190112482853
ZB_30	6.20077	42	0.120281571924206	0.824812777584402
ZB_31	3.56501	13	0.288851722345954	0.362470756835973
ZB_32	5.29179	31	0.126091018779343	0.680136762110692
ZB_33	5.73469	35	0.0972405983518452	0.664607008933999
ZB_34	4.81113	26	0.100896731328807	0.524476611239735
ZB_35	3.48631	10	0.152510971927966	0.734870693004491
ZB_36	3.75578	18	0.242668458031644	0.579744926821091
ZB_37	3.39252	12	0.152371929824561	0.831944280975343
ZB_38	4.97182	30	0.113863051201672	0.582646185318516
ZB_39	3.57803	12	0.129635529225908	0.367719700416033
ZB_40	3.99776	10	0.732390939849624	0.184221489272995
ZB_41	5.82884	36	0.0995839648586707	0.639259788748428
ZB_42	3.85499	14	0.229835980823012	0.419414586526532
ZB_43	3.43447	16	0.185066565066618	0.156230559471111
ZB_44	3.55708	11	0.0942457817337461	0.236645199668836
ZB_45	3.78897	17	0.183991938958707	0.643477772241006
ZB_46	3.43597	15	0.233752773613193	0.284912327427459
ZB_47	3.11042	9	0.0769590941385435	0.109565034884239
ZB_48	3.556	18	0.0871602494802495	0.682454189967194
ZB_49	4.26566	18	0.252907497109827	0.546218467787096
ZB_50	2.68193	8	0.157781714110805	0.771691651190181
ZB_51	3.83353	15	0.269636524093124	0.464882473804812
ZB_52	4.17186	18	0.241624123245301	0.604131227469768
ZB_53	3.29635	8	0.126041373517787	0.310978719867519
ZB_54	5.85989	33	0.0979555636743215	0.783239510495073
ZB_55	5.31962	33	0.109877168560606	0.929273047789687
ZB_56	3.89302	12	0.129727773019272	0.338824931793901
ZB_57	5.03841	29	0.118252383199622	0.639051997770236
ZB_58	3.40577	11	0.716708122641509	0.199060626397294
ZB_59	5.37736	35	0.101827834532374	0.753775066518296
ZB_60	3.16235	9	0.728608236658933	0.176686564564144
ZB_61	2.68193	8	0.150899419407227	0.737244967762429
ZB_62	3.33822	10	0.166197254901961	0.668559723183391
ZB_63	3.65936	12	0.70939931656643	0.258680390297739
ZB_64	2.83228	8	0.150825048895328	0.678602727051033
