PD	SR	MNTD	MPD
ZB_1	2.38	7	0.197178333333333	0.735792361111111
ZB_2	2.72619	9	0.115497514256961	0.751299549676184
ZB_3	3.85133	19	0.0851472920065253	0.497695686977904
ZB_4	4.12954	19	0.110221075268817	0.600516397704937
ZB_5	2.62926	10	0.108029494863014	0.78200825847075
ZB_6	5.23071	38	0.0982749072847682	0.774582657208017
ZB_7	3.76538	20	0.0728628816371681	0.344479710694602
ZB_8	3.58056	17	0.0984462811791383	0.752150499843172
ZB_9	2.70591	11	0.146570337423313	0.481216603560541
ZB_10	3.22496	11	0.17762703125	0.705271767578125
ZB_11	3.24545	12	0.113725336932613	0.885636085023747
ZB_12	4.11307	23	0.0621160428571429	0.21615970122449
ZB_13	4.57303	30	0.0834098139534884	0.654903539426717
ZB_14	3.56625	17	0.0933854913294798	0.622133569596192
ZB_15	3.35583	14	0.134259387755102	0.725443321532695
ZB_16	3.31607	15	0.152148774038462	0.513580997480584
ZB_17	5.18544	28	0.103414253976961	0.844559879661328
ZB_18	4.03746	18	0.104614197860963	0.64603012839944
ZB_19	5.6278	44	0.0609179882468169	0.655801826601985
ZB_20	3.14892	10	0.0847389210019268	0.845363996936783
ZB_21	2.57002	4	0.760276	1.0311312
ZB_22	3.23306	13	0.191294605263158	0.940959515235457
ZB_23	3.07259	14	0.164125347593583	0.165056833123624
ZB_24	3.4648	16	0.0809772026225414	0.113228475025706
ZB_25	5.56745	33	0.117089038461538	0.581875736143692
ZB_26	5.22387	38	0.0956843693869582	0.639405054601347
ZB_27	4.07205	23	0.05385884	0.235507436
ZB_28	3.00526	8	0.202341333333333	0.9672944
ZB_29	3.51831	12	0.200099210526316	0.60758256232687
ZB_30	6.13151	49	0.0747491681973235	0.674634394587998
ZB_31	2.77495	11	0.154456	0.391610103703704
ZB_32	5.28109	38	0.0825667430237401	0.612298107268577
ZB_33	5.23257	36	0.176238202488202	0.475320883266057
ZB_34	4.81368	36	0.10577070754717	0.584638146300884
ZB_35	2.78909	11	0.104326356777149	0.858809614932149
ZB_36	3.6462	18	0.0723883629560337	0.291943018426425
ZB_37	3.83518	17	0.118946358024691	0.613467604785856
ZB_38	5.7115	41	0.0694336474628005	0.498681607257206
ZB_39	1.04747	7	0.0812266666666667	0.143926755555556
ZB_40	2.96314	12	0.161216427289049	0.245022133318721
ZB_41	5.08257	30	0.0655140086455331	0.462085849552774
ZB_42	3.14415	16	0.154146239419589	0.484450941428131
ZB_43	3.68938	18	0.0806491493230956	0.0880256300978406
ZB_44	2.79781	5	0.5017525	0.43428326171875
ZB_45	3.70356	18	0.137181905697446	0.831446116079527
ZB_46	3.36724	17	0.0778953390791563	0.0890110073556733
ZB_47	2.36955	3	1.27282	0.9492432
ZB_48	4.51168	25	0.0752922268907563	0.496394024433303
ZB_49	3.70208	18	0.0744418976545842	0.363707187183182
ZB_50	3.25172	12	0.118275916419875	0.896226062109544
ZB_51	3.19827	16	0.0724481898454746	0.471776568474092
ZB_52	3.26709	17	0.0732343899018233	0.415915700023015
ZB_53	2.24678	4	0.62884	0.903605555555556
ZB_54	4.30794	27	0.0608841424968474	0.506400642109632
ZB_55	5.97533	45	0.0851918233082707	0.834571251077647
ZB_56	2.43754	4	0.778782857142857	0.68529387755102
ZB_57	5.1961	36	0.0803588798920378	0.590674019744911
ZB_58	3.02192	14	0.1544372	0.427388189
ZB_59	5.28568	38	0.0718315809097688	0.633914217321987
ZB_60	2.56823	8	0.161104839857651	0.228502891807348
ZB_61	2.85011	12	0.119224011154011	0.897261964851411
ZB_62	3.44814	12	0.158590169491525	0.854755265728239
ZB_63	2.6962	11	0.153694252427184	0.477507504194552
ZB_64	2.47985	8	0.108825878763222	0.818943061920327
