PD	SR	MNTD	MPD
ZB_1	3.32823	12	0.1036580078125	0.435663342590332
ZB_2	3.33898	15	0.0916633760683761	0.647411652704118
ZB_3	3.23014	17	0.140082780138078	0.312101117822234
ZB_4	3.49042	14	0.114784085106383	0.452181719873246
ZB_5	3.48232	19	0.0891772073984233	0.696207901555457
ZB_6	5.77759	49	0.0854743520782396	0.902483115482996
ZB_7	3.77559	20	0.133010131706372	0.53360740023069
ZB_8	3.5395	18	0.092184161849711	0.602754919267266
ZB_9	3.50405	16	0.0902805475763016	0.762153967490628
ZB_10	3.51807	16	0.0888469368667186	0.437203733722782
ZB_11	3.65571	21	0.0987499094063223	0.767934652340316
ZB_12	5.85681	43	0.0776837959974177	0.755363672966711
ZB_13	5.12692	40	0.083434728588661	0.922019703422817
ZB_14	3.47186	18	0.106572072864322	0.524695979457589
ZB_15	3.68604	16	0.113217647058824	0.790480203541624
ZB_16	3.30948	17	0.105451352714328	0.51389901923864
ZB_17	4.68079	30	0.0924134355828221	0.730706793245276
ZB_18	4.21845	18	0.097389955654102	0.598402521914838
ZB_19	6.21122	58	0.0922217420386797	0.780133047156174
ZB_20	2.70798	13	0.102253824235153	0.72488250022401
ZB_21	2.74755	10	0.0796886454183267	0.304676935075105
ZB_22	3.51265	10	0.126012101449275	0.864141880907372
ZB_23	4.10955	20	0.0931142614145031	0.77088011645931
ZB_24	3.40479	16	0.221142603263641	0.266716370461896
ZB_25	5.34576	44	0.121745483619345	0.870485790447843
ZB_26	5.5939	50	0.0847581198686371	0.781553020465684
ZB_27	5.1332	35	0.0841265345528455	0.776867235359244
ZB_28	3.77317	14	0.100955032733224	0.451461653603735
ZB_29	3.91546	16	0.0975403614457831	0.653743216722311
ZB_30	6.2822	55	0.102955775369458	0.791727353964813
ZB_31	3.79516	20	0.0904921765530126	0.776299891179548
ZB_32	5.45456	45	0.106250364988172	0.669508222426103
ZB_33	5.76809	44	0.0999341467254408	0.5587334354994
ZB_34	5.40417	45	0.0828929475587703	0.800747555892731
ZB_35	2.98087	14	0.0950971172677335	0.739278906679945
ZB_36	3.40127	21	0.131363892865389	0.484125981886451
ZB_37	3.4743	12	0.15260600896861	0.887477605421384
ZB_38	5.54607	45	0.104563858695652	0.524711089751584
ZB_39	3.32982	12	0.082240994011976	0.368943592957797
ZB_40	3.37631	18	0.0935267930174564	0.762289135734231
ZB_41	5.84986	45	0.103254162738266	0.531899166849019
ZB_42	3.87739	21	0.106174998613806	0.732538683773327
ZB_43	3.21053	17	0.15690643932812	0.136010890699391
ZB_44	3.49761	15	0.0824628276877761	0.342941062953186
ZB_45	4.64277	24	0.0936229307805596	0.562757946299787
ZB_46	3.29219	18	0.134163598478584	0.233016937966963
ZB_47	3.24401	14	0.062514189701897	0.142973801626016
ZB_48	5.877	42	0.0728260950605778	0.678255867714615
ZB_49	3.66781	19	0.13721555984556	0.456376664713183
ZB_50	3.08214	16	0.0922008534809205	0.765724678410883
ZB_51	3.73329	17	0.140916352885525	0.439615066028253
ZB_52	3.48625	21	0.132662479950648	0.515839334573398
ZB_53	3.66734	14	0.0834143277645187	0.347864160541857
ZB_54	5.61916	45	0.0945311663947798	0.62385160441987
ZB_55	6.06167	52	0.0869049144119271	0.990985511962755
ZB_56	3.95499	17	0.0853187250650477	0.373504342425845
ZB_57	5.66696	50	0.10561109375	0.647852727987654
ZB_58	3.36422	16	0.100039043909348	0.596575581488897
ZB_59	5.88731	49	0.0996444274376417	0.701870304245659
ZB_60	3.59288	14	0.0968419366626066	0.799310311983989
ZB_61	3.07519	15	0.0906919257371678	0.735354963197102
ZB_62	3.69291	13	0.15230313253012	0.954198978080999
ZB_63	3.24691	16	0.0795033272461651	0.60494180831316
ZB_64	3.04305	15	0.0929801371742113	0.708217533479728
