PD	SR	MNTD	MPD
ZB_1	1.36765	2	0.71386	0.244820963651733
ZB_2	1.12148	1	Inf	0
ZB_3	1.073	6	0.1387753125	0.0897456358506944
ZB_4	0.1396	1	Inf	0
ZB_5	1.12148	1	Inf	0
ZB_6	1.5822	6	0.107750641025641	0.200230719921104
ZB_7	1.073	6	0.0978602	0.0853570582222222
ZB_8	1.21241	3	0.347134545454545	0.346237355371901
ZB_9	1.12148	1	Inf	0
ZB_10	1.36765	2	0.71386	0.0970215057777778
ZB_11	1.12148	1	Inf	0
ZB_12	1.17115	3	0.0997632558139535	0.0593095673336939
ZB_13	1.52576	5	0.121248260869565	0.136227211720227
ZB_14	1.16549	2	1.0699	0.475511111111111
ZB_15	1.12148	1	Inf	0
ZB_16	1.12148	1	Inf	0
ZB_17	1.05174	1	Inf	0
ZB_18	1.16549	2	1.0699	0.530528925619835
ZB_19	1.62906	10	0.132564303797468	0.302752985899696
ZB_20	0	0	NA	NA
ZB_21	1.40607	3	0.142539493670886	0.102403742989905
ZB_22	1.16549	2	1.0699	0.342368
ZB_23	1.12148	1	Inf	0
ZB_24	0.19889	5	0.0225254791666667	0.0305705627604167
ZB_25	1.5438	6	0.1303346875	0.523021247829861
ZB_26	1.53356	5	0.0991103571428571	0.152661173469388
ZB_27	1.21979	4	0.116834038461538	0.0937488387573965
ZB_28	1.47022	3	0.189785128205128	0.130129669077361
ZB_29	1.12148	1	Inf	0
ZB_30	1.6855	11	0.0385149404761905	0.381162390164399
ZB_31	1.12148	1	Inf	0
ZB_32	1.49943	8	0.0353884615384615	0.12483549325074
ZB_33	1.21516	4	0.949604030418251	0.0662252141855456
ZB_34	1.59968	6	0.119117757009346	0.13022270591318
ZB_35	0	0	NA	NA
ZB_36	1.04959	5	0.1824096875	0.108125333658854
ZB_37	1.16549	2	1.0699	0.513552
ZB_38	1.23603	7	0.0722633035714286	0.0942187312216553
ZB_39	1.40607	3	0.201994324324324	0.20878784514244
ZB_40	1.12148	1	Inf	0
ZB_41	1.27644	5	0.16188621686747	0.0828636899404848
ZB_42	1.15431	2	0.1354	0.000937012924382716
ZB_43	0.19889	5	0.0180868843069874	0.0221632411310946
ZB_44	1.36765	2	0.71386	0.0583382019631172
ZB_45	1.16549	2	1.0699	0.4012125
ZB_46	1.073	6	0.0253902285714286	0.0364193407755102
ZB_47	1.36765	2	0.71386	0.0690750806612841
ZB_48	1.48706	4	0.120734174757282	0.0734444942972947
ZB_49	1.073	6	0.123103974358974	0.0873567126890204
ZB_50	0	0	NA	NA
ZB_51	1.04959	5	0.131126764705882	0.119035333044983
ZB_52	1.073	6	0.103922447916667	0.0859628965928819
ZB_53	1.6823	3	0.716525408805031	0.115589057394882
ZB_54	1.21516	4	0.881082	0.2034371984375
ZB_55	1.67313	8	0.106078805970149	0.362588407217643
ZB_56	1.36765	2	0.71386	0.172406868383307
ZB_57	1.15504	6	0.051190931372549	0.0755850341214917
ZB_58	1.16549	2	1.0699	0.014555779696003
ZB_59	1.19346	7	0.0975147580645161	0.217076304630593
ZB_60	1.12148	1	Inf	0
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	1.12148	1	Inf	0
ZB_64	0	0	NA	NA
