PD	SR	MNTD	MPD
ZB_1	0.85293	2	0.01528	0.000330338917256413
ZB_2	0.95113	5	0.0458080263157895	0.0359639135887965
ZB_3	0	0	NA	NA
ZB_4	1.58255	4	0.525062352941176	0.595071280276817
ZB_5	0.95113	5	0.0511706332599119	0.0470222099266918
ZB_6	1.47432	7	0.126216303030303	0.460723059136823
ZB_7	0.05441	1	Inf	0
ZB_8	1.56351	5	0.283187555555556	0.425514074074074
ZB_9	0.95113	5	0.749279197324415	0.207694137202045
ZB_10	0.95491	4	0.0189343925233645	0.031251095389214
ZB_11	0.1078	4	0.0443828137178488	0.0332854771765075
ZB_12	1.52049	5	0.107848039538715	0.403257142562471
ZB_13	0.9629	4	0.0759143965517241	0.396409601664685
ZB_14	1.58485	6	0.461945348837209	0.599008069226609
ZB_15	0.92979	4	0.6473695	0.337408678125
ZB_16	1.0103	5	0.780118235887097	0.0846501050744667
ZB_17	1.01384	5	0.0452060537727667	0.034986054976309
ZB_18	1.48057	2	1.0362	0.5181
ZB_19	1.53237	9	0.148594473916888	0.181377111340949
ZB_20	0.1078	4	0.0442899332220367	0.0323610477116842
ZB_21	0.90334	3	0.830545605381166	0.0603527840897665
ZB_22	0.84685	1	Inf	0
ZB_23	0.95215	5	0.776543120879121	0.0862822256249245
ZB_24	1.07809	1	Inf	0
ZB_25	1.54538	6	0.105094295532646	0.431652574721602
ZB_26	1.45475	6	0.109384943820225	0.436126849198334
ZB_27	0.9629	4	0.1098175	0.387639167928201
ZB_28	0.87085	3	0.0260597021276596	0.021923876505206
ZB_29	1.31204	2	0.86767	0.123219408284024
ZB_30	1.55903	10	0.140990823529412	0.389961821280277
ZB_31	1.03519	6	0.669442486288848	0.273819083516873
ZB_32	1.06718	8	0.152316356877323	0.0668035925429444
ZB_33	1.57854	7	0.154657771428571	0.144488263020408
ZB_34	1.50098	8	0.0729999645390071	0.347787702580353
ZB_35	0.1078	4	0.0443914368932039	0.034691973494203
ZB_36	1.07809	1	Inf	0
ZB_37	1.49849	3	0.901623076923077	0.58791550295858
ZB_38	0.98779	5	0.161289261744966	0.0394579370298635
ZB_39	0.91098	4	0.0163837931034483	0.059192971991016
ZB_40	0.93	4	0.0516434834123223	0.0446733404460816
ZB_41	1.76082	9	0.138465054945055	0.27249304808598
ZB_42	1.0862	8	0.0510971664829107	0.233124810119504
ZB_43	0	0	NA	NA
ZB_44	1.48665	3	0.0196177021276596	0.00921441014033499
ZB_45	1.56351	5	0.393275076923077	0.555179730177515
ZB_46	1.00196	1	Inf	0
ZB_47	0.84529	1	Inf	0
ZB_48	0.9629	4	0.0592271621621622	0.340854324324324
ZB_49	0.19639	1	Inf	0
ZB_50	0.1078	4	0.0441449826187717	0.0313274226505131
ZB_51	1.07809	1	Inf	0
ZB_52	1.07809	1	Inf	0
ZB_53	0.87959	3	0.0155087147335423	0.000834155324731479
ZB_54	1.52049	5	0.153403352941176	0.192172583737024
ZB_55	1.45475	6	0.129936832844575	0.407844831055804
ZB_56	0.85293	2	0.01528	0.000576390532544379
ZB_57	1.05954	7	0.162831772575251	0.0405668392970996
ZB_58	0.95134	5	0.0510183979328165	0.166877103806529
ZB_59	1.72368	6	0.147170050761421	0.266006822128888
ZB_60	0.86819	2	0.86819	0.0371903010282913
ZB_61	0.95113	5	0.0464077707808564	0.0382215654880115
ZB_62	0.86477	2	0.86125	0.4134
ZB_63	0.95113	5	0.789599392712551	0.140033980414547
ZB_64	0.1078	4	0.0442578289473684	0.033834141658972
