PD	SR	MNTD	MPD
ZB_1	3.33883	13	0.247654596949891	0.274017629069541
ZB_2	4.09099	24	0.0867394746418012	0.638488410522836
ZB_3	3.52049	21	0.646625129556434	0.293679471447784
ZB_4	3.83764	21	0.0644321262458472	0.503791225979846
ZB_5	3.23478	20	0.0909452081031308	0.662414253435487
ZB_6	6.20611	58	0.091802008182748	0.879515407408251
ZB_7	3.63542	24	0.467359797038762	0.482296517315438
ZB_8	4.27628	29	0.0690329665738162	0.724844754114261
ZB_9	3.8386	19	0.180118862745098	0.636449463166474
ZB_10	3.01692	14	0.162014670219853	0.337645439624749
ZB_11	4.26804	27	0.101159916048692	0.761820983411991
ZB_12	5.24155	41	0.0770959554140127	0.704140439652724
ZB_13	5.36709	45	0.0773226636050517	0.85993905660253
ZB_14	4.20438	27	0.115223842841765	0.764212969070994
ZB_15	3.61053	17	0.463761922005571	0.898699885630931
ZB_16	3.16337	21	0.225080837038975	0.40610971110948
ZB_17	5.38468	39	0.0832515821014782	0.718048616350751
ZB_18	3.70191	21	0.0637505217391304	0.620368660688091
ZB_19	6.2864	62	0.0729493272458708	0.77289680902107
ZB_20	3.55956	24	0.119155828460039	0.761714846234739
ZB_21	2.96822	12	0.12872724137931	0.238148621097426
ZB_22	3.64981	13	0.279163103448276	0.856539733947681
ZB_23	3.29089	21	0.159533890379456	0.647721672172615
ZB_24	3.57127	21	0.129757443298969	0.231204608081624
ZB_25	5.40037	41	0.0935246446164673	0.80716149733489
ZB_26	5.8563	53	0.0953652114339712	0.742333844022719
ZB_27	5.15884	38	0.075678768115942	0.721970066548358
ZB_28	3.45225	14	0.269695630699088	0.275608151451391
ZB_29	3.4516	14	0.117346100628931	0.663856173410862
ZB_30	6.56311	63	0.0615559850283002	0.734080432587631
ZB_31	3.54486	25	0.102528126603935	0.660427947658392
ZB_32	5.99363	58	0.0580273884197829	0.619554037211837
ZB_33	5.65357	42	0.0690590026041667	0.495595125335015
ZB_34	6.07837	53	0.0958602097902098	0.777504904378116
ZB_35	3.09086	22	0.0977757887570512	0.713331767144922
ZB_36	3.46979	20	0.531460959045071	0.427942500660635
ZB_37	3.70328	20	0.237145654008439	0.794934400826078
ZB_38	5.38079	46	0.0570912807109252	0.500866393438681
ZB_39	2.84089	9	0.16494531628533	0.261207087124513
ZB_40	3.25447	18	0.162874460215054	0.636313356424095
ZB_41	5.33725	44	0.0697060187312246	0.497533602507422
ZB_42	3.50698	26	0.135977980933757	0.597962996761347
ZB_43	3.37976	18	0.172305227389517	0.110915465552972
ZB_44	3.29709	14	0.481630441276307	0.206778104528261
ZB_45	4.42901	30	0.204695537885875	0.922383075936263
ZB_46	3.75223	22	0.10517077486911	0.202113225313708
ZB_47	2.873	7	0.0644743942992874	0.0414126170355618
ZB_48	5.46661	39	0.0829621699544765	0.654290695931897
ZB_49	3.53748	15	0.370418193653377	0.413340285366989
ZB_50	3.29472	21	0.0927477479027748	0.724887319043579
ZB_51	3.33751	16	0.597260507614213	0.363018611604983
ZB_52	3.54667	20	0.526233120461739	0.456540539529038
ZB_53	2.98083	10	0.254299136400323	0.204160434415268
ZB_54	4.87153	36	0.0704501681658193	0.556124420480162
ZB_55	5.961	56	0.0849036713118693	0.951795659971075
ZB_56	3.25999	11	0.160357673179396	0.215904211768343
ZB_57	5.41591	48	0.058682294192725	0.601545773701287
ZB_58	3.36378	21	0.143824084249084	0.458508490908088
ZB_59	5.78613	48	0.0641960325534079	0.664003099564416
ZB_60	3.16535	16	0.163972019900498	0.658173544060791
ZB_61	3.16085	19	0.0879002406015038	0.726494724403188
ZB_62	3.83945	19	0.0869734693877551	0.905695077051229
ZB_63	3.31916	22	0.128031829186281	0.505728289642266
ZB_64	3.94145	23	0.0924018838526912	0.675676274790745
