PD	SR	MNTD	MPD
ZB_1	0.22581	2	0.22581	0.112905
ZB_2	0	0	NA	NA
ZB_3	0.172	3	0.0399825593220339	0.0148785619649526
ZB_4	0.0908	2	0.03946	0.00895122873345936
ZB_5	0	0	NA	NA
ZB_6	0.31661	4	0.114897	0.117778644444444
ZB_7	0.172	3	0.0406171569317382	0.0217211312567445
ZB_8	0.172	3	0.0408873611111111	0.00800691743827161
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0	0	NA	NA
ZB_12	0.14461	1	Inf	0
ZB_13	0.22581	2	0.22581	0.0373239669421488
ZB_14	0.06103	1	Inf	0
ZB_15	0.06103	1	Inf	0
ZB_16	0	0	NA	NA
ZB_17	0.22572	2	0.22572	0.10032
ZB_18	0.172	3	0.0417956818181818	0.00970224173553719
ZB_19	0.31661	4	0.048020997949419	0.0372473406968611
ZB_20	0.06103	1	Inf	0
ZB_21	0	0	NA	NA
ZB_22	0.06103	1	Inf	0
ZB_23	0	0	NA	NA
ZB_24	0.172	3	0.040492864321608	0.0147030499229817
ZB_25	0.31661	4	0.0432183366336634	0.0106966698951083
ZB_26	0.31661	4	0.112517647058824	0.125454117647059
ZB_27	0	0	NA	NA
ZB_28	0	0	NA	NA
ZB_29	0.0908	2	0.03946	0.0126272
ZB_30	0.31661	4	0.0662372307692308	0.0681408
ZB_31	0	0	NA	NA
ZB_32	0.172	3	0.0400185326086957	0.00402026760396975
ZB_33	0.172	3	0.0407319059405941	0.00394565097909569
ZB_34	0.31661	4	0.0904803333333333	0.105973888888889
ZB_35	0	0	NA	NA
ZB_36	0.172	3	0.0411753193033382	0.00692764953520068
ZB_37	0.0908	2	0.03946	0.0186115192743764
ZB_38	0.172	3	0.0411461361771944	0.00876884655788409
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.31661	4	0.041354353221957	0.00583218705748999
ZB_42	0	0	NA	NA
ZB_43	0.172	3	0.0405893406593407	0.0148204940358787
ZB_44	0	0	NA	NA
ZB_45	0.172	3	0.0424826470588235	0.0178518858131488
ZB_46	0.172	3	0.0417956818181818	0.016293106089065
ZB_47	0	0	NA	NA
ZB_48	0.14461	1	Inf	0
ZB_49	0.172	3	0.0400155135135135	0.00399906968590212
ZB_50	0	0	NA	NA
ZB_51	0.172	3	0.0422215738963532	0.0157016384407661
ZB_52	0.172	3	0.0406069866071429	0.0171687088670103
ZB_53	0.06103	1	Inf	0
ZB_54	0.31661	4	0.0412502509760179	0.00569009450832683
ZB_55	0.31661	4	0.112900165289256	0.115030323065364
ZB_56	0	0	NA	NA
ZB_57	0.31661	4	0.0429055303030303	0.0119316896235078
ZB_58	0	0	NA	NA
ZB_59	0.31661	4	0.0419032215568862	0.0182501417476424
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.06103	1	Inf	0
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
