PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0	0	NA	NA
ZB_3	0.46731	6	0.0534340155728587	0.139297369144557
ZB_4	1.37749	4	0.109143658536585	0.106121427721594
ZB_5	1.23077	1	Inf	0
ZB_6	2.42886	13	0.186784953271028	0.712459131801904
ZB_7	0.47281	7	0.0533795406698565	0.166020006591221
ZB_8	0.72576	4	0.058144	0.0532254775510204
ZB_9	0	0	NA	NA
ZB_10	1.42773	2	1.11546	0.30985
ZB_11	0.56455	1	Inf	0
ZB_12	1.99879	6	0.266368666666667	0.551307577777778
ZB_13	2.40716	10	0.221791239669421	0.456070751997814
ZB_14	0.80222	5	0.0784863793103448	0.0940411771700357
ZB_15	0.28309	2	0.19673	0.098365
ZB_16	0	0	NA	NA
ZB_17	0.25307	2	0.25307	0.126535
ZB_18	0.33511	5	0.0539373913043478	0.0443128586431422
ZB_19	2.71591	18	0.0625459166902805	0.123316883188086
ZB_20	0	0	NA	NA
ZB_21	0.57812	1	Inf	0
ZB_22	0.67762	2	0.59126	0.29563
ZB_23	0	0	NA	NA
ZB_24	0.93992	7	0.0534650562008243	0.0491765313527883
ZB_25	2.22525	10	0.0730729893238434	0.291239781411076
ZB_26	2.58813	14	0.212879405940594	0.643964442701696
ZB_27	1.90982	6	0.214615517241379	0.287553626634958
ZB_28	0	0	NA	NA
ZB_29	0.78274	4	0.0943875	0.2433165625
ZB_30	2.63945	17	0.0576675169167402	0.0876619204495793
ZB_31	0	0	NA	NA
ZB_32	2.30101	14	0.0542765144665461	0.0761971487636074
ZB_33	2.17447	11	0.0546229559748428	0.0694903362307388
ZB_34	2.49311	14	0.197454590163934	0.659331182179223
ZB_35	0	0	NA	NA
ZB_36	1.65746	8	0.0531147150537634	0.0964500790900682
ZB_37	0.22551	2	0.07768	0.03747453125
ZB_38	2.08554	12	0.0540131983240223	0.164246601224993
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	2.23994	12	0.0525624759514847	0.0476890214847921
ZB_42	0	0	NA	NA
ZB_43	0.93992	7	0.0535181757156959	0.0426024034388098
ZB_44	1.4932	3	0.383855	0.45272875
ZB_45	0.32961	4	0.0542473134328358	0.0497528803742482
ZB_46	0.93992	7	0.0536140542596349	0.0662758181461737
ZB_47	0	0	NA	NA
ZB_48	1.58353	4	0.273681176470588	0.242591141868512
ZB_49	0.47281	7	0.0525803583426652	0.117322808756422
ZB_50	0	0	NA	NA
ZB_51	0.46731	6	0.0531823803363519	0.136153875443702
ZB_52	0.72969	7	0.0537777298474946	0.15891245645502
ZB_53	0	0	NA	NA
ZB_54	2.17447	11	0.0544658490566038	0.0620912161966167
ZB_55	2.62002	14	0.132767135416667	0.408680370551215
ZB_56	1.49662	2	1.18435	0.592175
ZB_57	2.10869	12	0.0545276693051891	0.136403494425532
ZB_58	0.10052	1	Inf	0
ZB_59	2.40239	15	0.0542678293413174	0.174657536741636
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0.18586	1	Inf	0
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
