PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.70385	9	0.036357733686067	0.0465191731598904
ZB_3	0.28371	2	0.0894	0.0309037037037037
ZB_4	0.63173	6	0.165250434782609	0.157319848771267
ZB_5	0.40231	7	0.0353465308012969	0.0443646665026202
ZB_6	0.90298	11	0.121991461538462	0.178622444970414
ZB_7	0.56691	4	0.0869804347826087	0.0798365122873346
ZB_8	0.62863	7	0.0606350769230769	0.141762433136095
ZB_9	0.62863	7	0.0752227835051546	0.132582376448082
ZB_10	0.34543	5	0.06465	0.129954930555556
ZB_11	0.65261	9	0.0358043203883495	0.0459232877229828
ZB_12	0.84797	11	0.132040182291667	0.108612269558377
ZB_13	0.80334	10	0.123642898550725	0.199365180634321
ZB_14	0.6281	6	0.0678016666666667	0.136260283446712
ZB_15	0.6281	6	0.0526238888888889	0.0865719135802469
ZB_16	0.65307	8	0.0748983829787234	0.127129258850158
ZB_17	0.66438	8	0.036461984063745	0.0476549682957413
ZB_18	0.60604	5	0.14322	0.205239722222222
ZB_19	0.98347	14	0.119742743902439	0.175679087550767
ZB_20	0.39047	6	0.03682751393534	0.0478005014609581
ZB_21	0.34543	5	0.0408254545454545	0.0760201652892562
ZB_22	0.29727	3	0.0962746666666667	0.0721223111111111
ZB_23	0.65307	8	0.0851848611111111	0.0763133735210905
ZB_24	0.28318	1	Inf	0
ZB_25	0.7789	9	0.135496167664671	0.0938921969235182
ZB_26	0.9317	13	0.118142955465587	0.157141664344605
ZB_27	0.89608	11	0.134469140625	0.077329553527832
ZB_28	0.28318	1	Inf	0
ZB_29	0.61941	5	0.146425	0.213868333333333
ZB_30	0.98347	14	0.116104435612083	0.210157522097053
ZB_31	0.65307	8	0.0746410426540284	0.140492148873565
ZB_32	1.00957	15	0.102927269681742	0.284444158705308
ZB_33	0.97866	12	0.142106965699208	0.120188353186068
ZB_34	0.93063	9	0.169497794117647	0.251597370242215
ZB_35	0.65254	7	0.03650671145686	0.0467680496409916
ZB_36	0.57438	4	0.0996944736842105	0.0578540581717452
ZB_37	0.602	5	0.132735555555556	0.226169382716049
ZB_38	0.98347	14	0.116716914893617	0.204872583040969
ZB_39	0.28318	1	Inf	0
ZB_40	0.62863	7	0.0870238320209974	0.0543442144928734
ZB_41	0.98513	14	0.124821081081081	0.192805956659362
ZB_42	0.65307	8	0.0741403076923077	0.135769073890533
ZB_43	0.31933	4	0.063125	0.117264722222222
ZB_44	0.62435	6	0.0804168421052632	0.18806404432133
ZB_45	0.57686	6	0.0716873214285714	0.133406230867347
ZB_46	0.54648	4	0.116122727272727	0.124990743801653
ZB_47	0.29674	2	0.2293	0.101911111111111
ZB_48	0.90203	10	0.137729173553719	0.104871743733352
ZB_49	0.28371	2	0.0894	0.0232757396449704
ZB_50	0.70438	10	0.0351961385281385	0.0451024166713517
ZB_51	0.28371	2	0.0894	0.016092
ZB_52	0.56638	3	0.116948888888889	0.0901313031550068
ZB_53	0.23046	3	0.08365	0.0782175
ZB_54	0.95475	12	0.132636705882353	0.0935544503460208
ZB_55	0.98347	14	0.117205350553506	0.155064566658951
ZB_56	0.29727	3	0.10229	0.0862525
ZB_57	0.98347	14	0.106852303262956	0.278488106218294
ZB_58	0.62863	7	0.07914625	0.099638208912037
ZB_59	0.91528	11	0.117230963855422	0.199915416202964
ZB_60	0.62435	6	0.0872960975609756	0.0753047681142177
ZB_61	0.65307	8	0.0354497002724796	0.0452275407048831
ZB_62	0.60585	4	0.160821111111111	0.218851851851852
ZB_63	0.65307	8	0.0757227963525836	0.129638858842768
ZB_64	0.40231	7	0.0360165172054223	0.0467565645479248
