PD	SR	MNTD	MPD
ZB_1	8.28059	23	0.767106929133858	0.915359906035368
ZB_2	10.32809	42	0.106935123574144	0.220850153857946
ZB_3	4.19761	8	0.661738784046693	0.965559301413534
ZB_4	6.59909	27	0.131240461472725	0.341838956976914
ZB_5	8.44613	29	0.376815264317181	1.3910502943003
ZB_6	7.31032	26	0.269537102569459	0.699043036428521
ZB_7	7.10956	13	0.985091945031713	0.558528578235276
ZB_8	5.75014	8	1.03802542211653	0.0548513136928604
ZB_9	4.59861	7	0.725992474317906	0.484992591019009
ZB_10	5.61731	12	0.736406485013624	0.880673885766469
ZB_11	10.10801	29	0.17162598892542	0.793772232229988
ZB_12	6.47059	14	0.34260775	0.543067202490234
ZB_13	8.13072	34	0.0841700891229492	0.606273651554041
ZB_14	2.79808	6	1.26833636808957	0.529691672028133
ZB_15	2.6023	5	1.29576381662645	0.098091059359144
ZB_16	5.20089	15	0.442832071328453	0.597574047170066
ZB_17	11.80315	42	0.43441641221374	1.51961316473399
ZB_18	3.63307	12	1.20728570750988	0.370071264203471
ZB_19	7.48308	30	0.222078729591837	0.66094089937526
ZB_20	8.48935	34	0.157784903846154	1.01174912820128
ZB_21	4.63657	11	0.582853133757962	0.452582420836545
ZB_22	4.35673	17	0.68741471366049	0.749477275806406
ZB_23	4.43044	7	1.0359993945052	0.0486919958070441
ZB_24	5.34464	19	0.117186896033224	0.258063076364555
ZB_25	6.93751	18	0.382850318379161	0.555618742295505
ZB_26	8.83953	32	0.25624940146898	0.706491603879835
ZB_27	8.12214	27	0.31672502970297	0.652273769787276
ZB_28	7.61552	32	0.235057558528428	0.451098919621732
ZB_29	4.95355	15	1.19629731670216	0.0511078218047718
ZB_30	9.19323	41	0.117702515096618	1.04271418515638
ZB_31	5.46261	13	1.03418161567636	0.0158454144674718
ZB_32	6.8894	32	0.0940457346585998	0.794275316782069
ZB_33	7.62579	22	0.394937547169811	0.563428259536512
ZB_34	8.1233	27	0.255919930693069	0.761849598954024
ZB_35	7.81691	35	0.0819194479308777	0.271544836502102
ZB_36	5.00627	14	0.685651055586749	1.03795727955041
ZB_37	4.32998	18	0.745237115245665	0.741080201457251
ZB_38	7.19882	27	0.194801721491228	0.510054592927632
ZB_39	6.05269	16	0.52690207253886	0.994770320813982
ZB_40	5.46872	19	0.731683275701556	0.72488421519905
ZB_41	5.65862	12	0.420378866396761	0.628847653952695
ZB_42	4.19405	17	0.533003481598932	0.287638405850052
ZB_43	6.15542	8	1.03484489220564	0.239608944553078
ZB_44	5.19011	8	0.982956875	0.383563365625
ZB_45	3.91318	6	1.21525809355693	0.514947794165877
ZB_46	5.42439	14	1.01122589630447	0.453320508626641
ZB_47	6.11848	16	0.0559916402535658	0.0790079999854889
ZB_48	8.28468	30	0.104051976382846	0.817217842334198
ZB_49	6.21786	26	0.107193563766389	0.271416961375015
ZB_50	10.02649	33	0.084675067904029	0.295554702824836
ZB_51	5.74034	23	0.134686790039151	0.465671692085877
ZB_52	5.93454	15	0.968505418250951	0.679264685679278
ZB_53	6.27612	16	0.506089113821138	0.779149683808139
ZB_54	6.77554	22	0.555517819706499	0.853324101103596
ZB_55	8.66506	39	0.220247776998597	1.01422340415132
ZB_56	6.64954	31	0.135206266023998	0.405651681314532
ZB_57	6.72145	24	0.197211199294533	0.432285958399821
ZB_58	6.37288	24	0.458044335152211	0.816057644300416
ZB_59	8.72613	29	0.200895678321678	0.478413265078977
ZB_60	4.95298	23	0.398073733988873	0.737989120795449
ZB_61	7.65875	27	0.0949773948270489	0.471439884039912
ZB_62	2.41487	13	1.17371151319015	0.542676340939431
ZB_63	3.46534	5	1.03705626518674	0.014553909592656
ZB_64	4.4788	5	0.467163214285714	0.59362068877551
