PD	SR	MNTD	MPD
ZB_1	9.54572	34	0.625266925552457	0.245058893699084
ZB_2	5.52283	11	0.528537659137577	0.411361199144914
ZB_3	8.7837	29	0.437258018348624	0.904332921890226
ZB_4	6.9267	21	0.747408898216159	0.781239052244582
ZB_5	6.87934	19	0.493641328903654	0.749861213010894
ZB_6	5.69606	17	0.246354463519313	0.668589996500212
ZB_7	7.84326	23	0.585323531428571	1.01820021274122
ZB_8	6.82693	21	0.814701742195368	0.749349120824624
ZB_9	6.08332	18	0.563489118811881	0.70223184417214
ZB_10	11.14851	36	0.604301283976184	0.583412695515156
ZB_11	9.55829	27	0.459806075	0.95832050725
ZB_12	7.6883	26	0.350261379962193	0.831523798966794
ZB_13	6.21915	18	0.229115348360656	0.488048031611126
ZB_14	6.65149	21	0.614434065387349	0.936440023135414
ZB_15	8.18312	31	0.294554358208955	0.800964746798347
ZB_16	7.53826	24	0.692205262582057	0.850823159597365
ZB_17	8.60846	20	0.470420833333333	0.807144958833487
ZB_18	7.08405	22	0.733382049433574	0.835010004698565
ZB_19	8.31104	30	0.330205278930383	0.652521730609934
ZB_20	6.11751	15	0.449129090909091	1.09609286157025
ZB_21	10.44051	34	0.595405942806077	0.60706082505764
ZB_22	8.14677	31	0.306626826557473	0.698489268385699
ZB_23	7.29147	20	0.639819723058399	0.764780639068679
ZB_24	6.38709	19	0.678749025270758	0.815709175800545
ZB_25	8.1897	29	0.44568959047619	0.873836485931973
ZB_26	6.66687	27	0.0807094621749409	0.549571655307412
ZB_27	8.08066	24	0.17768718556701	0.56214994165161
ZB_28	9.8824	37	0.436375232029117	0.740658227477503
ZB_29	6.62909	26	0.270153181189488	0.679421196414968
ZB_30	8.10683	29	0.185825167014614	0.961907958974203
ZB_31	8.35838	26	0.540054171087533	0.792702994023036
ZB_32	7.48663	25	0.214743920314806	0.993855807798961
ZB_33	7.31591	21	0.718809594240838	0.732536768043639
ZB_34	4.98899	11	0.745249090909091	0.961929904132231
ZB_35	8.24989	27	0.399781717171717	1.10035858840935
ZB_36	8.23296	25	0.423831836499712	0.718287519949993
ZB_37	7.59978	26	0.318527080792683	0.783911550308945
ZB_38	7.7834	28	0.460694043855176	0.922353961140766
ZB_39	9.73537	30	0.666924046052632	0.475828648827043
ZB_40	6.80154	20	0.518622242926156	0.61172781498961
ZB_41	8.43553	27	0.707434326599327	0.771294664093233
ZB_42	8.65948	28	0.592969934289128	0.829151390348417
ZB_43	6.36966	13	0.641858407079646	0.605782478071893
ZB_44	11.23185	41	0.58112490470852	0.781207966872637
ZB_45	8.17637	30	0.492163645137342	0.905807177411488
ZB_46	7.84714	24	0.531604989919355	0.860871257194654
ZB_47	11.92602	45	0.541975837714286	0.665711330834808
ZB_48	12.88181	46	0.414994919144497	0.836415120336968
ZB_49	6.55147	21	0.498040417582418	0.945006292766574
ZB_50	5.75861	14	0.556515394736842	0.919065968663435
ZB_51	7.23698	18	0.553598848396501	0.962733140570681
ZB_52	10.18526	30	0.51296821802935	0.943680273195944
ZB_53	10.35659	38	0.472841293575339	0.868236440099102
ZB_54	9.28331	28	0.748551780455154	0.80614172961368
ZB_55	10.12082	41	0.180202826530612	0.896621733923365
ZB_56	9.79705	35	0.578739442336874	0.580171343355454
ZB_57	6.98769	24	0.361566280193237	0.860425032279943
ZB_58	6.09262	17	0.619856487025948	0.752427161007327
ZB_59	9.02501	34	0.300135466540999	0.97887591890195
ZB_60	6.72484	19	0.581374759036145	0.464065558277286
ZB_61	5.43627	9	1.19109788135593	0.441362282390118
ZB_62	6.7528	24	0.366142828638498	0.758856016470497
ZB_63	7.12199	25	0.597919688861232	0.698315517681085
ZB_64	5.07948	11	0.467450310559006	0.901712052775742
