PD	SR	MNTD	MPD
ZB_1	8.86405	28	0.162505096025655	0.247767333067924
ZB_2	8.13795	35	0.104121643972339	0.923401009406901
ZB_3	9.13741	39	0.238318857142857	1.11854740497717
ZB_4	9.4239	34	0.158087483484723	0.813944272444786
ZB_5	8.655	27	0.148908119258251	0.57255383231772
ZB_6	4.40808	16	0.274835287356322	0.934715021212255
ZB_7	8.22466	31	0.179656745522883	1.12634984168909
ZB_8	8.04883	24	0.312765577075099	0.780744541636333
ZB_9	5.4364	14	0.141033860911271	0.687871819541585
ZB_10	6.85737	22	0.18616508445423	0.353266735013544
ZB_11	9.11946	33	0.125832403870478	0.596513280982531
ZB_12	6.99566	16	0.844927011258956	1.03082813318401
ZB_13	6.44388	20	0.0719651958450552	0.187063755298686
ZB_14	9.7585	34	0.303910879356568	0.995551265250235
ZB_15	9.47328	26	0.389173118040089	1.08551386325795
ZB_16	7.99575	21	0.219025689191982	0.885539857629346
ZB_17	8.36778	27	0.123806039194038	0.453359694033176
ZB_18	8.74968	28	0.442391679389313	1.09293997704971
ZB_19	9.45278	30	0.251592880670055	0.9842464590405
ZB_20	8.70181	33	0.164438247094632	0.401468191690358
ZB_21	7.54901	24	0.18611048607181	0.40100524642144
ZB_22	9.73812	32	0.343374947613504	1.23605998345455
ZB_23	8.13531	21	0.381955240029542	0.310354757488616
ZB_24	7.54066	33	0.0808342811238362	0.936398362362798
ZB_25	7.93387	22	0.616794268456376	1.13172881248367
ZB_26	7.65639	27	0.172412405149051	0.291295515065804
ZB_27	7.95299	21	0.72656921182266	1.12849436644099
ZB_28	8.52523	31	0.166294170082944	0.388351490584577
ZB_29	9.25368	30	0.37142939468394	1.03940100951285
ZB_30	7.74886	30	0.109486010509297	0.985807878661696
ZB_31	7.21807	19	0.314301256695509	0.253805852223195
ZB_32	8.13682	29	0.180223680033417	1.27905603061616
ZB_33	7.53221	24	0.396917614739051	0.99177898661762
ZB_34	5.13585	15	0.463639136363636	1.08373057396694
ZB_35	8.33502	35	0.104676716358312	0.888149550567915
ZB_36	10.33888	44	0.199052897099804	1.18172962830306
ZB_37	9.958	36	0.264911670881152	1.19786010565844
ZB_38	7.88934	26	0.199222822397579	1.05016273865925
ZB_39	6.61219	20	0.186266510781294	0.275004136200261
ZB_40	7.31728	25	0.232344754468872	0.905796135955686
ZB_41	6.45838	20	0.373943918154895	0.960700957525813
ZB_42	6.94463	23	0.145391535721768	0.814485930373242
ZB_43	6.20828	25	0.0927960618996798	0.334502798561014
ZB_44	7.50102	25	0.184285241455002	0.646742704284488
ZB_45	9.90192	34	0.310473540315107	0.976688920376022
ZB_46	7.79119	29	0.135201313518696	0.674700723520076
ZB_47	8.28677	27	0.180020375224775	0.623944851984523
ZB_48	9.38452	30	0.196015937300879	0.675120493934843
ZB_49	9.72258	41	0.0992872389571795	0.725884329033545
ZB_50	9.12849	28	0.173631685369691	0.75890954533627
ZB_51	8.13698	38	0.0775503771296564	0.846606090135752
ZB_52	8.46579	34	0.194747162463343	1.20195419219195
ZB_53	7.83713	28	0.163507923312642	0.775899967828796
ZB_54	8.69031	28	0.370913119266055	1.01351632851077
ZB_55	10.18365	37	0.476427606098063	1.10164543821576
ZB_56	8.19408	35	0.132736894506866	1.05689978441344
ZB_57	9.24055	28	0.228666894918174	1.14419354700477
ZB_58	8.15503	29	0.226411286816269	0.932097140588333
ZB_59	9.60551	30	0.387585624505482	1.05888150021728
ZB_60	5.56143	19	0.216155628388369	0.95423733473797
ZB_61	6.05757	22	0.157923378619459	0.66217498105371
ZB_62	8.12852	24	0.314043499864241	1.19172486764817
ZB_63	6.35111	17	0.39582151660281	0.195832466811507
ZB_64	6.66857	16	0.166370054185857	0.31400225251094
