PD	SR	MNTD	MPD
ZB_1	2.5003	6	0.885419998171178	0.0462485923232812
ZB_2	2.21482	7	0.82379971563981	0.738681566002561
ZB_3	2.82761	9	0.441822467532468	0.618389556687468
ZB_4	2.0914	4	0.927695454545455	0.579825123966942
ZB_5	2.69619	6	0.971858461538462	0.640862823609957
ZB_6	0.9596	4	0.0684190147783251	0.041936958215708
ZB_7	2.19914	6	0.715603897216274	0.709056469973268
ZB_8	1.61232	3	0.657018888888889	0.434546172839506
ZB_9	1.71584	4	1.31768518731988	0.0849066697672101
ZB_10	3.03838	7	0.891526936693669	0.234030020571814
ZB_11	3.24252	11	1.24721579743008	0.213144366847604
ZB_12	2.91084	10	0.0768675742574257	0.15377807142437
ZB_13	1.57003	8	0.065264856557377	0.13688334511892
ZB_14	1.40616	3	1.05893676767677	0.14790842567085
ZB_15	1.40616	3	0.971283532934132	0.424112860267489
ZB_16	2.30484	7	0.908036630136986	0.473087386901858
ZB_17	3.39359	9	0.609577546468402	0.801472015588508
ZB_18	1.52526	3	1.07830090909091	0.551253223140496
ZB_19	3.48619	12	0.15781345844504	0.360688737790108
ZB_20	2.12248	5	0.983417125	0.631399338375
ZB_21	3.28026	10	0.858027149413565	0.229609282279306
ZB_22	1.646	3	0.927857058823529	0.534461714725106
ZB_23	2.32003	6	1.32422973421927	0.0971873711965406
ZB_24	2.17886	6	0.662760204081633	0.705525739608497
ZB_25	3.23423	11	0.160320315533981	0.365071672695353
ZB_26	2.11407	8	0.0821656433823529	0.0692069577205882
ZB_27	1.69693	8	0.068786231884058	0.139164299048224
ZB_28	4.71535	13	0.876168208889862	0.0781496560760502
ZB_29	2.82813	5	0.69851	0.62295089569161
ZB_30	4.91265	12	0.314016486486487	0.720097936449964
ZB_31	3.63263	8	1.01382947895792	0.186249855221465
ZB_32	2.59037	7	0.62228053030303	0.781003881140955
ZB_33	2.43489	9	0.617372157177225	0.714016078826553
ZB_34	1.53686	7	0.0772783139534884	0.110858973938615
ZB_35	3.96609	9	0.984016449480642	0.342887104534094
ZB_36	2.80952	8	0.733193183183183	0.743914152591029
ZB_37	1.91191	4	0.641640857142857	0.456767608163265
ZB_38	3.05696	9	0.7400061003861	0.69872636126474
ZB_39	2.79368	8	0.864668906146728	0.153300180054422
ZB_40	3.33232	8	1.03437603809524	0.231383688979592
ZB_41	3.05763	11	0.780199073203492	0.694506540166279
ZB_42	4.03235	11	0.735721716417911	0.794370374248162
ZB_43	2.36416	7	0.44399528	0.62070068736
ZB_44	3.6423	10	0.854888769312733	0.542926361061431
ZB_45	1.40616	3	1.04970044247788	0.183691897564414
ZB_46	2.68927	8	0.929804970501475	0.638009494783373
ZB_47	3.84334	10	0.88675293253173	0.476506186987895
ZB_48	3.93216	13	0.533567295918367	0.646527880133133
ZB_49	2.22518	6	0.503622727272727	0.689745632549269
ZB_50	2.71991	9	0.712226148648649	0.740343513310608
ZB_51	2.81698	8	0.30651178030303	0.457593343950872
ZB_52	2.82761	9	0.431098925233645	0.597400551685737
ZB_53	3.46793	10	0.888658719092015	0.373717841786408
ZB_54	3.24454	11	0.33733686746988	0.570339892819372
ZB_55	3.75073	12	0.120773553571429	0.223402299234694
ZB_56	3.07605	9	0.862962945010183	0.169597220087854
ZB_57	3.17675	11	0.792492552447552	0.629802093806543
ZB_58	3.20585	7	0.992506457399103	0.23232212511814
ZB_59	3.96214	13	0.254610054545455	0.524052199206612
ZB_60	2.34458	6	1.35195098214286	0.0861667788903061
ZB_61	2.22228	7	0.824404696969697	0.700688865932048
ZB_62	1.76513	4	0.457015714285714	0.752591020408163
ZB_63	3.33056	9	0.94965205882353	0.387536798954876
ZB_64	2.17761	5	0.903536559139785	0.68978382067291
