PD	SR	MNTD	MPD
ZB_1	1.14584	8	0.168652461538462	0.177453323076923
ZB_2	1.67332	4	0.3758475	0.373631989795918
ZB_3	1.38922	9	0.330389634285714	0.251537848228571
ZB_4	1.58268	4	0.496250076335878	0.16392032632131
ZB_5	1.71988	4	0.402635102040816	0.393479450229071
ZB_6	0.4674	4	0.152297889908257	0.120692029290464
ZB_7	1.06533	5	0.424834026745914	0.179482100373348
ZB_8	0.83048	4	0.450666	0.0831860571428571
ZB_9	0.94103	3	0.5515215625	0.03442534584375
ZB_10	1.21354	9	0.205271263858093	0.294772302004415
ZB_11	1.82856	4	0.51219043956044	0.355146948436179
ZB_12	0.64974	2	0.53195	0.0697977301038062
ZB_13	1.07295	1	Inf	0
ZB_14	0.73714	3	0.471100602409639	0.142725910872405
ZB_15	0.73714	3	0.240575	0.229986805555556
ZB_16	0.95736	4	0.532498552859619	0.056353064001634
ZB_17	0.77382	2	0.42618	0.15130650887574
ZB_18	0.64974	2	0.53195	0.0458302787042795
ZB_19	1.21095	5	0.418431758634379	0.0730778882903589
ZB_20	0.86873	3	0.3392675	0.301444362244898
ZB_21	1.12188	7	0.229377633587786	0.306692936309073
ZB_22	1.56569	5	0.4807544375	0.20403427734375
ZB_23	0.99708	4	0.5043764622057	0.105256320708362
ZB_24	0.90602	3	0.472318825503356	0.052780316427188
ZB_25	0.64974	2	0.53195	0.0405944037542213
ZB_26	2.21158	12	0.110309594491201	0.149978251859067
ZB_27	1.45433	3	0.576334347826087	0.33323258979206
ZB_28	1.98418	7	0.388962134387352	0.417306792482307
ZB_29	0.8418	5	0.47538133640553	0.102773190341693
ZB_30	1.71988	4	0.50816962962963	0.21103958079561
ZB_31	0.98832	5	0.507742045248869	0.106632974099629
ZB_32	0.81268	2	0.69489	0.108284893555085
ZB_33	0.64974	2	0.53195	0.0124270017716524
ZB_34	1.5599	5	0.453090909090909	0.539556694214876
ZB_35	0.96207	4	0.384091397849462	0.344133448953636
ZB_36	1.18958	8	0.327905699725598	0.282430764676568
ZB_37	0.73714	3	0.499439539748954	0.0831577878538541
ZB_38	0.81268	2	0.69489	0.124819131868677
ZB_39	1.12188	7	0.190980909090909	0.290103801652893
ZB_40	0.95736	4	0.535605885668277	0.0490556268005736
ZB_41	0.96207	4	0.474129170243205	0.0111751321835199
ZB_42	1.86336	6	0.448983829489867	0.143429668266951
ZB_43	0.97372	4	0.452090080808081	0.106985943964902
ZB_44	1.18958	8	0.190055666178624	0.261932811534677
ZB_45	0.64974	2	0.53195	0.213866487503359
ZB_46	0.96207	4	0.454314255319149	0.0866027287236182
ZB_47	2.05022	10	0.27493814516129	0.370368194914152
ZB_48	1.14229	6	0.294740786516854	0.369076884231789
ZB_49	1.98252	9	0.245401460176991	0.307213157549534
ZB_50	1.08002	4	0.394281105527638	0.237444545339764
ZB_51	1.12188	7	0.273077628398792	0.308819805861575
ZB_52	1.17793	8	0.373583670774648	0.237418788806784
ZB_53	2.53228	10	0.217279317904994	0.299567113335836
ZB_54	0.86873	3	0.524421501831502	0.0361672664332005
ZB_55	2.70947	12	0.343989447761194	0.357901204232568
ZB_56	1.18958	8	0.215114707379135	0.198022285414603
ZB_57	1.09167	4	0.410077722039474	0.126685609512963
ZB_58	0.80055	4	0.459244608585859	0.0426755520801449
ZB_59	1.02397	3	0.439810928104575	0.069189027923733
ZB_60	0.97199	4	0.529738169811321	0.0795199016731933
ZB_61	1.66383	3	0.7489416	0.37170816
ZB_62	0.64974	2	0.53195	0.167266613819527
ZB_63	0.95736	4	0.524913578874218	0.0751084703347288
ZB_64	0.86873	3	0.429186	0.3164448
