PD	SR	MNTD	MPD
ZB_1	0.08238	1	Inf	0
ZB_2	0.33397	8	0.0348071651218112	0.0095563120854117
ZB_3	0	0	NA	NA
ZB_4	0.33397	8	0.0577560097323601	0.0852933212566821
ZB_5	0.06222	1	Inf	0
ZB_6	0	0	NA	NA
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0.17605	3	0.0912333333333333	0.0782444444444444
ZB_10	0	0	NA	NA
ZB_11	0.33397	8	0.0481467947617003	0.0802670236269001
ZB_12	0	0	NA	NA
ZB_13	0	0	NA	NA
ZB_14	0.2698	6	0.0558558333333333	0.0833125166666667
ZB_15	0	0	NA	NA
ZB_16	0.18791	4	0.0554133636363636	0.0798687619834711
ZB_17	0.28195	6	0.05365	0.0962955102040816
ZB_18	0.23993	6	0.0566662595419847	0.0815043552240545
ZB_19	0.06222	1	Inf	0
ZB_20	0.33397	8	0.0445989130434783	0.0698263589582021
ZB_21	0.07408	2	0.03402	0.0163296
ZB_22	0.18791	4	0.0414806779661017	0.0565975983912669
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.07572	1	Inf	0
ZB_26	0	0	NA	NA
ZB_27	0	0	NA	NA
ZB_28	0.14628	2	0.14628	0.07314
ZB_29	0.13794	2	0.13794	0.06897
ZB_30	0.04554	1	Inf	0
ZB_31	0.06222	1	Inf	0
ZB_32	0	0	NA	NA
ZB_33	0	0	NA	NA
ZB_34	0	0	NA	NA
ZB_35	0.33397	8	0.0490724682357842	0.0888688648085492
ZB_36	0.10347	2	0.10347	0.013725612244898
ZB_37	0.30241	7	0.0585855485232067	0.0802675322019263
ZB_38	0	0	NA	NA
ZB_39	0.17966	4	0.0757995652173913	0.068581247637051
ZB_40	0.23853	4	0.0814676579925651	0.0798976492862177
ZB_41	0	0	NA	NA
ZB_42	0.28025	6	0.069075625	0.08007849609375
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.18516	4	0.0684888235294118	0.0588705882352941
ZB_46	0	0	NA	NA
ZB_47	0.20732	5	0.044219464459591	0.0511228582037661
ZB_48	0.17755	4	0.0481739871382637	0.0527042629253213
ZB_49	0.23993	6	0.063348	0.068252224
ZB_50	0.33397	8	0.0497693372319688	0.088550257309704
ZB_51	0.13324	3	0.068125329732163	0.00270274696231035
ZB_52	0	0	NA	NA
ZB_53	0.20182	5	0.0629360763606824	0.0680130111306811
ZB_54	0.08163	2	0.08163	0.03628
ZB_55	0.11383	2	0.06788	0.0301688888888889
ZB_56	0.30241	7	0.0544987578947368	0.0806924303601108
ZB_57	0	0	NA	NA
ZB_58	0.06222	1	Inf	0
ZB_59	0	0	NA	NA
ZB_60	0.20876	3	0.116651428571429	0.0886628571428571
ZB_61	0.33397	8	0.0438278740509156	0.066946413653291
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
