PD	SR	MNTD	MPD
ZB_1	0	0	NA	NA
ZB_2	0.34885	6	0.0348199302892994	0.00542255979563515
ZB_3	0	0	NA	NA
ZB_4	0.34885	6	0.07331	0.0422050942100391
ZB_5	0.21503	2	0.18331	0.091655
ZB_6	0	0	NA	NA
ZB_7	0	0	NA	NA
ZB_8	0.16929	1	Inf	0
ZB_9	0.13152	2	0.13152	0.0584533333333333
ZB_10	0	0	NA	NA
ZB_11	0.34885	6	0.0482512454710145	0.0641320870705668
ZB_12	0	0	NA	NA
ZB_13	0	0	NA	NA
ZB_14	0.11076	1	Inf	0
ZB_15	0	0	NA	NA
ZB_16	0.1445	3	0.0720158620689655	0.0646525036332408
ZB_17	0.01298	1	Inf	0
ZB_18	0.28207	4	0.120630147058824	0.016756535467128
ZB_19	0	0	NA	NA
ZB_20	0.21128	5	0.049245	0.055520947265625
ZB_21	0.11076	1	Inf	0
ZB_22	0.1445	3	0.0582854545454545	0.0546424977043159
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0	0	NA	NA
ZB_26	0	0	NA	NA
ZB_27	0.07746	1	Inf	0
ZB_28	0	0	NA	NA
ZB_29	0.02076	1	Inf	0
ZB_30	0	0	NA	NA
ZB_31	0.02076	1	Inf	0
ZB_32	0	0	NA	NA
ZB_33	0	0	NA	NA
ZB_34	0	0	NA	NA
ZB_35	0.34885	6	0.0489360332541568	0.061404258238218
ZB_36	0.09044	2	0.09044	0.0289408
ZB_37	0.30241	5	0.0781122507788162	0.0930360569215167
ZB_38	0	0	NA	NA
ZB_39	0.14408	3	0.0753516666666667	0.0469547222222222
ZB_40	0.28207	4	0.0793069083969466	0.0669015066138337
ZB_41	0	0	NA	NA
ZB_42	0.34885	6	0.121675	0.116007899408284
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0.21128	5	0.0681483398352839	0.0359788383444668
ZB_48	0.21128	5	0.0679044683908046	0.0360421227622539
ZB_49	0.28165	4	0.100027333333333	0.102279422222222
ZB_50	0.34885	6	0.048112732210755	0.0654787978217209
ZB_51	0.1112	3	0.0790098384201077	0.0291195893226251
ZB_52	0	0	NA	NA
ZB_53	0.28165	4	0.0818621621621622	0.0670403491301561
ZB_54	0.11076	1	Inf	0
ZB_55	0.01298	1	Inf	0
ZB_56	0.30241	5	0.0603145365853659	0.057926753123141
ZB_57	0	0	NA	NA
ZB_58	0.13152	2	0.13152	0.0119292517006803
ZB_59	0	0	NA	NA
ZB_60	0.21503	2	0.18331	0.00080931171195865
ZB_61	0.34885	6	0.0403430516898608	0.0351675210565632
ZB_62	0.11076	1	Inf	0
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
