PD	SR	MNTD	MPD
ZB_1	0.04061	1	Inf	0
ZB_2	0.42724	8	0.0572180985915493	0.0140302310444933
ZB_3	0	0	NA	NA
ZB_4	0.39129	7	0.0606257471264368	0.039183310873299
ZB_5	0.10336	1	Inf	0
ZB_6	0	0	NA	NA
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0.06607	1	Inf	0
ZB_10	0	0	NA	NA
ZB_11	0.42724	8	0.0747077535441658	0.0866424794711311
ZB_12	0	0	NA	NA
ZB_13	0	0	NA	NA
ZB_14	0.14772	2	0.14772	0.07386
ZB_15	0	0	NA	NA
ZB_16	0.10668	2	0.10668	0.00803893886966551
ZB_17	0.19046	3	0.1017225	0.07589375
ZB_18	0.10711	1	Inf	0
ZB_19	0	0	NA	NA
ZB_20	0.30952	5	0.103014642857143	0.0878694897959184
ZB_21	0.10711	1	Inf	0
ZB_22	0.14784	3	0.0608761538461539	0.0371297041420118
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0	0	NA	NA
ZB_26	0	0	NA	NA
ZB_27	0	0	NA	NA
ZB_28	0.06607	1	Inf	0
ZB_29	0.04061	1	Inf	0
ZB_30	0	0	NA	NA
ZB_31	0	0	NA	NA
ZB_32	0	0	NA	NA
ZB_33	0	0	NA	NA
ZB_34	0	0	NA	NA
ZB_35	0.42724	8	0.082258752417795	0.102609975588221
ZB_36	0.10711	1	Inf	0
ZB_37	0.18845	4	0.0766272910216718	0.0730840402956033
ZB_38	0	0	NA	NA
ZB_39	0.04061	1	Inf	0
ZB_40	0.06607	1	Inf	0
ZB_41	0	0	NA	NA
ZB_42	0.10668	2	0.10668	0.0423193388429752
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0.10711	1	Inf	0
ZB_46	0	0	NA	NA
ZB_47	0.17404	3	0.0707473770491803	0.0409667777689129
ZB_48	0.14772	2	0.14772	0.0331243890570934
ZB_49	0.14772	2	0.14772	0.07386
ZB_50	0.42724	8	0.081132510460251	0.102262084019012
ZB_51	0.13343	2	0.05639	0.000950953045307046
ZB_52	0	0	NA	NA
ZB_53	0.04061	1	Inf	0
ZB_54	0	0	NA	NA
ZB_55	0.04061	1	Inf	0
ZB_56	0.15838	3	0.0888292	0.070847458
ZB_57	0	0	NA	NA
ZB_58	0.06607	1	Inf	0
ZB_59	0.11408	1	Inf	0
ZB_60	0.06607	1	Inf	0
ZB_61	0.31807	5	0.112265274914089	0.0501764121821896
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
