PD	SR	MNTD	MPD
ZB_1	0.16304	2	0.16304	0.08152
ZB_2	0.08152	1	Inf	0
ZB_3	0.16304	2	0.16304	0.0469318070869455
ZB_4	0.16304	2	0.16304	0.000998704203151951
ZB_5	0.08152	1	Inf	0
ZB_6	0	0	NA	NA
ZB_7	0.16304	2	0.16304	0.0287571258974504
ZB_8	0.16304	2	0.16304	0.000563176207181427
ZB_9	0.16304	2	0.16304	0.0810376331360947
ZB_10	0.16304	2	0.16304	0.0724622222222222
ZB_11	0.16304	2	0.16304	0.00102355935746375
ZB_12	0.08152	1	Inf	0
ZB_13	0.08152	1	Inf	0
ZB_14	0.16304	2	0.16304	0.00264729216492428
ZB_15	0.08152	1	Inf	0
ZB_16	0.16304	2	0.16304	0.0756521118381915
ZB_17	0.16304	2	0.16304	0.00107819314031581
ZB_18	0.08152	1	Inf	0
ZB_19	0.08152	1	Inf	0
ZB_20	0.16304	2	0.16304	0.000484156316247702
ZB_21	0.08152	1	Inf	0
ZB_22	0.16304	2	0.16304	0.016816026446281
ZB_23	0.16304	2	0.16304	0.0756110059171598
ZB_24	0.16304	2	0.16304	0.00660690035671819
ZB_25	0.16304	2	0.16304	0.0586718339100346
ZB_26	0.08152	1	Inf	0
ZB_27	0.08152	1	Inf	0
ZB_28	0.16304	2	0.16304	0.0665469387755102
ZB_29	0.16304	2	0.16304	0.00278680142687277
ZB_30	0.16304	2	0.16304	0.0521728
ZB_31	0.16304	2	0.16304	0.0684768
ZB_32	0.08152	1	Inf	0
ZB_33	0.16304	2	0.16304	0.081389568
ZB_34	0	0	NA	NA
ZB_35	0.16304	2	0.16304	0.000628282822259656
ZB_36	0.16304	2	0.16304	0.0767291092745638
ZB_37	0.08152	1	Inf	0
ZB_38	0.08152	1	Inf	0
ZB_39	0.16304	2	0.16304	0.08152
ZB_40	0.16304	2	0.16304	0.0760406035665295
ZB_41	0.16304	2	0.16304	0.0537805555555556
ZB_42	0.16304	2	0.16304	0.0675617598097503
ZB_43	0.16304	2	0.16304	0.0161695294753921
ZB_44	0.16304	2	0.16304	0.0808462809917355
ZB_45	0.16304	2	0.16304	0.0048982255673657
ZB_46	0.16304	2	0.16304	0.00757895691609977
ZB_47	0.08152	1	Inf	0
ZB_48	0.08152	1	Inf	0
ZB_49	0.16304	2	0.16304	0.076824448
ZB_50	0.16304	2	0.16304	0.00204912464184724
ZB_51	0.16304	2	0.16304	0.06114
ZB_52	0.16304	2	0.16304	0.0244155482041588
ZB_53	0.08152	1	Inf	0
ZB_54	0.16304	2	0.16304	0.0646770247933884
ZB_55	0	0	NA	NA
ZB_56	0.16304	2	0.16304	0.0782592
ZB_57	0.08152	1	Inf	0
ZB_58	0.16304	2	0.16304	0.0807048
ZB_59	0.08152	1	Inf	0
ZB_60	0.16304	2	0.16304	0.08152
ZB_61	0.16304	2	0.16304	0.00107085865343643
ZB_62	0.08152	1	Inf	0
ZB_63	0.16304	2	0.16304	0.0659165625
ZB_64	0.08152	1	Inf	0
