PD	SR	MNTD	MPD
ZB_1	0.19666	1	Inf	0
ZB_2	0	0	NA	NA
ZB_3	0.32376	1	Inf	0
ZB_4	0	0	NA	NA
ZB_5	0	0	NA	NA
ZB_6	0.74441	3	0.453906666666667	0.293352098765432
ZB_7	0	0	NA	NA
ZB_8	0	0	NA	NA
ZB_9	0	0	NA	NA
ZB_10	0	0	NA	NA
ZB_11	0	0	NA	NA
ZB_12	0.19666	1	Inf	0
ZB_13	0.42065	2	0.42065	0.208586776859504
ZB_14	0	0	NA	NA
ZB_15	0.22399	1	Inf	0
ZB_16	0.19666	1	Inf	0
ZB_17	0.42065	2	0.42065	0.201912
ZB_18	0	0	NA	NA
ZB_19	0.22399	1	Inf	0
ZB_20	0	0	NA	NA
ZB_21	0	0	NA	NA
ZB_22	0	0	NA	NA
ZB_23	0	0	NA	NA
ZB_24	0	0	NA	NA
ZB_25	0.74441	3	0.462220833333333	0.289934027777778
ZB_26	0.74441	3	0.462658421052632	0.329693407202216
ZB_27	0.52042	2	0.52042	0.2498016
ZB_28	0	0	NA	NA
ZB_29	0	0	NA	NA
ZB_30	0.74441	3	0.460558	0.31864928
ZB_31	0	0	NA	NA
ZB_32	0.22399	1	Inf	0
ZB_33	0.22399	1	Inf	0
ZB_34	0.42065	2	0.42065	0.116847222222222
ZB_35	0	0	NA	NA
ZB_36	0	0	NA	NA
ZB_37	0	0	NA	NA
ZB_38	0	0	NA	NA
ZB_39	0	0	NA	NA
ZB_40	0	0	NA	NA
ZB_41	0.32376	1	Inf	0
ZB_42	0	0	NA	NA
ZB_43	0	0	NA	NA
ZB_44	0	0	NA	NA
ZB_45	0	0	NA	NA
ZB_46	0	0	NA	NA
ZB_47	0	0	NA	NA
ZB_48	0.74441	3	0.449155714285714	0.290017959183673
ZB_49	0	0	NA	NA
ZB_50	0	0	NA	NA
ZB_51	0	0	NA	NA
ZB_52	0	0	NA	NA
ZB_53	0	0	NA	NA
ZB_54	0.74441	3	0.460558	0.3258512
ZB_55	0.22399	1	Inf	0
ZB_56	0.19666	1	Inf	0
ZB_57	0	0	NA	NA
ZB_58	0	0	NA	NA
ZB_59	0	0	NA	NA
ZB_60	0	0	NA	NA
ZB_61	0	0	NA	NA
ZB_62	0	0	NA	NA
ZB_63	0	0	NA	NA
ZB_64	0	0	NA	NA
