FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
FS0916	0	0.560516869432383	0.538936333956926	0.57182816209977	0.741467702385008	0.641030874186356	0.387711356080662	0.428135601044062	0.567450342705598	0.597386181996682	0.561564901170816	0.427630616467954	0.419390043965194	0.789778154052876	0.569831852263285	0.553986856924045	0.621055520343723	0.502530357059248	0.541494743113151	0.539067109430164	0.693514311876495	0.327500617134023	0.534739000351574	0.517266215413285	0.509120041621818	0.613569478017593	0.585554448861541	0.570723212121043	0.558951658789379	0.569106754503487	0.283405429792203	0.51923795908054	0.735946175107252	0.621469756718767	0.687619242135527	0.542021744881453	0.690407920035859	0.622432821786497	0.575586212845945	0.685916543939539	0.549425343131951	0.375256782284152	0.598381245329972	0.637129590562081	0.638421949479591	0.596526746902684	0.556581987939787	0.594158715154736	0.54515000297366	0.555822630680589	0.507620509643418	0.489153372967749	0.599228975929308	0.503089468031259	0.423919713733394	0.8094376612596	0.592289438393817	0.549614542849997	0.593829502310207	0.394692416234558	0.716400341545963	0.56110527081505	0.532922412995296	0.555286500154799
CS0908	0.560516869432383	0	0.478054433243112	0.383208090855449	0.696507441911962	0.636869792971137	0.508105409151505	0.49620632827637	0.605970295392481	0.467150977746407	0.514683589519883	0.529083169419462	0.504326850759891	0.786100260618846	0.603200205575352	0.602130219006791	0.508780738184679	0.507795458177932	0.587955747843864	0.39225894787814	0.702070136649414	0.529613093553521	0.615454479408485	0.552120852486304	0.481607212173659	0.588058965462583	0.357680802430275	0.481190003387843	0.629532289723703	0.629503368939739	0.524170962122383	0.537287874978531	0.722828326578771	0.486918654518186	0.694587987502662	0.617964679971663	0.671665422835347	0.599415412432253	0.516146811712531	0.620914380238128	0.516916839808157	0.524795059518531	0.317838526045455	0.617639254344954	0.413675803685172	0.495168100378343	0.371275790504281	0.503675300720723	0.446653859496681	0.626088011134414	0.497751101419607	0.480955412594885	0.522424091510938	0.48066094055524	0.542658573639398	0.789710626170802	0.543299379858251	0.474405246644899	0.515104613041664	0.529912698010317	0.722225951941034	0.37139677025963	0.55654468533092	0.337197724349557
QQ0718	0.538936333956926	0.478054433243112	0	0.455868009573349	0.695215449359518	0.623605424950288	0.48969042435989	0.51386483519532	0.56683343822217	0.537534406068528	0.515264623115712	0.505200799915668	0.506646304964728	0.776040363038984	0.591389553935767	0.572818238757901	0.533718712167392	0.326005051493634	0.569238374188823	0.457386886819754	0.689258950898008	0.518414140907202	0.564408730453273	0.554801698142437	0.330711159262872	0.557919925747553	0.474705373190892	0.474961148844264	0.604328024965177	0.605598330110101	0.547638380670625	0.321352453612328	0.709700335725486	0.537406595904862	0.672368441761683	0.586269717494734	0.655520356513046	0.583463166825514	0.497399822538566	0.634535735114615	0.493746399201556	0.518595255028258	0.515230967531864	0.602385111144526	0.517021423306234	0.521309531583346	0.44871767758107	0.497784318215321	0.358675811196638	0.599766800122967	0.354534038589439	0.326106233168631	0.527390311735017	0.321233115879235	0.528710372668454	0.784617436366408	0.546632516435198	0.355909664826132	0.555793985975168	0.499305911391091	0.698682603762661	0.430845533840813	0.532493520078366	0.508608951391403
CS0617	0.57182816209977	0.383208090855449	0.455868009573349	0	0.681360537991241	0.610670417779321	0.528766385684739	0.546843053876137	0.566850454244884	0.501353950156229	0.512066439317392	0.533099419133203	0.533786240369214	0.768100587102771	0.617589366558596	0.57982226817392	0.505125342972258	0.484909136264313	0.5664584059467	0.302197658839122	0.691708760097591	0.554304427260467	0.57993888312519	0.548623075210347	0.479913323377138	0.562576678860113	0.266935364019839	0.478276036768087	0.616706955202815	0.619182343003663	0.559284146420194	0.514099750476637	0.710040754400664	0.535504605327866	0.681131467741922	0.593411080482671	0.659014956782629	0.581226112654752	0.505124196312562	0.60411154434083	0.490001187127881	0.541539274890088	0.379742148945006	0.590826512563734	0.371594930368789	0.535307434977698	0.2660770988593	0.519889200217338	0.497943849444226	0.608490642320528	0.467622801468293	0.473339162246503	0.545726545846326	0.445758331681019	0.541514974524219	0.771680121865521	0.53176732729254	0.499964437602841	0.507959489102042	0.541772507244775	0.712978215667051	0.321143230698428	0.554448918733427	0.363617732610768
JZ0520	0.741467702385008	0.696507441911962	0.695215449359518	0.681360537991241	0	0.483771365691405	0.718763571101919	0.718720019937309	0.691303645256634	0.710405062593489	0.71593184599393	0.719934684342598	0.736472220989582	0.510351757413557	0.6133558701424	0.698608148237574	0.716370750223552	0.691714339276318	0.728720809882838	0.678657188574545	0.543223610906714	0.743641512982487	0.720456949480896	0.716351178733699	0.683075366619095	0.519713711569248	0.676051135985519	0.681151498536033	0.634264150253842	0.673669686476265	0.745681905470692	0.689715524146027	0.490042478226987	0.719999168299264	0.519302323282862	0.74726141421669	0.427852237020952	0.493749963659021	0.582539688160767	0.41573576245884	0.709568311569416	0.732542333051839	0.703809480588732	0.750915254059156	0.70198626098623	0.686820773050251	0.683103332970083	0.703921766559655	0.710613186124029	0.626373858711398	0.693908717166172	0.678943370656511	0.722934082717685	0.679786850772162	0.721544620014872	0.508427885004975	0.577807352891457	0.694691841766689	0.703747508466067	0.703710544334357	0.510219617475247	0.674500954908818	0.729217833347313	0.715905627082964
JZ0701	0.641030874186356	0.636869792971137	0.623605424950288	0.610670417779321	0.483771365691405	0	0.624551329110435	0.652303224347849	0.642081137062031	0.613625357248671	0.615489322893193	0.652612146203602	0.648345000162761	0.579031518439498	0.570442253995481	0.662391640050425	0.623968200599325	0.607090353542442	0.675447624440867	0.588721182229414	0.528863514159877	0.647946419822519	0.661495064977428	0.661711055219458	0.602764072938275	0.383567067112058	0.615535578419078	0.599515572569592	0.580030613273579	0.612831852836929	0.647464091660912	0.611402714698355	0.517670520003538	0.641691836908798	0.511227468197381	0.688822926966455	0.403755878522229	0.380792933660474	0.469525062103215	0.39894360474843	0.655864951194159	0.645066869095861	0.64294799606876	0.71086833132029	0.659713215238309	0.631686572734757	0.605661988224218	0.632713345933569	0.62707300648059	0.560173024427623	0.603656580373297	0.607981860144957	0.642416323838618	0.593158589784304	0.642502621506501	0.607500299016649	0.488321783711971	0.640925577450813	0.619179798933028	0.607968360991617	0.551270678094795	0.604094913851492	0.668488112455774	0.619175952968901
FS0610	0.387711356080662	0.508105409151505	0.48969042435989	0.528766385684739	0.718763571101919	0.624551329110435	0	0.339284645671161	0.611937320879746	0.58575643568608	0.555780046037445	0.325656044526873	0.343829791235566	0.786805237864183	0.579543723721448	0.590632757157397	0.610570048558834	0.458473442626806	0.592149856231766	0.498013923047183	0.688323864666738	0.383687987663359	0.585199101687064	0.530641320964503	0.448864424725167	0.587547211173132	0.525708342481167	0.542468257355478	0.572114011360216	0.570451103288675	0.399111199226006	0.521591130783272	0.728819696815419	0.605133477353567	0.674626913032141	0.589830933247824	0.681021594754037	0.593994234069351	0.552753419543906	0.660588558547991	0.549738471056127	0.274554785303524	0.545318262954659	0.635746253701766	0.593427099043076	0.56809513294759	0.507333659686509	0.570303055176093	0.474806436792177	0.570018810362518	0.468677906641937	0.454638956334496	0.603062754772655	0.464480250442745	0.291342631654036	0.79955696761337	0.556200030209549	0.4814892058332	0.604237305921698	0.236233095769582	0.700305098847129	0.506326731507796	0.545016170376108	0.501343264306279
FS0702	0.428135601044062	0.49620632827637	0.51386483519532	0.546843053876137	0.718720019937309	0.652303224347849	0.339284645671161	0	0.589390161501494	0.587453964423777	0.611392713595108	0.297894997888559	0.283227630087856	0.785885829607914	0.588477593072202	0.58176266451613	0.62852561396578	0.470648444466949	0.542656393177382	0.495679716417466	0.690307615768563	0.357754754139347	0.565308241270265	0.500926730955696	0.478436405045739	0.590274030381395	0.501460912404724	0.593189513831701	0.597528599673147	0.578897456908337	0.355683732561827	0.501683038767071	0.741585034574702	0.611459908203686	0.695078285436449	0.558738317406915	0.685040586094734	0.599187263851821	0.552416248239951	0.664883456161378	0.514510398352464	0.377934027531112	0.541668461864727	0.599681558931859	0.56389461475566	0.60690659070983	0.505107789113749	0.6071387058829	0.481776068480837	0.587815758970504	0.493234966586421	0.486545404781149	0.618268415785164	0.484962936421091	0.401846438267481	0.802600439566988	0.560107087876818	0.491833201491914	0.629475353239837	0.334366969288641	0.715485437477328	0.487951448648915	0.518395981292222	0.510923756637347
QH0615	0.567450342705598	0.605970295392481	0.56683343822217	0.566850454244884	0.691303645256634	0.642081137062031	0.611937320879746	0.589390161501494	0	0.618490514397305	0.654624588351907	0.577270119945691	0.609764603571443	0.77014216394681	0.656035125048454	0.39244079641395	0.646527943368528	0.594571850341933	0.396822972802986	0.542511248053819	0.700939276925566	0.562224650217251	0.36127413250187	0.445645935575898	0.589336315380672	0.594108695866032	0.563226397019691	0.611094476675303	0.619951897615992	0.650923891727519	0.556705632161297	0.54602649817743	0.723931988066697	0.64427776740849	0.70205886830976	0.423933629083367	0.675989943480621	0.627636384961352	0.588953184606112	0.652531697295408	0.463016559354743	0.598060185897523	0.622999429454948	0.45842313079958	0.599833897169661	0.621176050334766	0.575820682238012	0.628324379402429	0.597216311809746	0.659652090564723	0.58785244493507	0.55931564536933	0.651276088788377	0.571978247465806	0.617672499561867	0.763966620753374	0.596927889932973	0.587332961455007	0.635691775097834	0.593565273152753	0.704720843054992	0.539701113877064	0.440188789124033	0.605708677679386
BJ0815	0.597386181996682	0.467150977746407	0.537534406068528	0.501353950156229	0.710405062593489	0.613625357248671	0.58575643568608	0.587453964423777	0.618490514397305	0	0.410131625768094	0.592829189536005	0.588591375512591	0.774115171946974	0.651345572122963	0.614914476223592	0.373206225164764	0.554119496620406	0.621317296690004	0.494453388221817	0.717462697723427	0.588683625100517	0.62050528168294	0.581841023177041	0.54818162280535	0.582760492456453	0.483584482706812	0.367268619496694	0.661982425338823	0.647648674451174	0.590954363709959	0.570934138133161	0.722969330807904	0.325625419220755	0.711579835964832	0.638489966478316	0.667858107652621	0.58739906154666	0.587343920881893	0.637523688122866	0.596016118658115	0.599015156634422	0.507276508841298	0.67311267294988	0.54619224414042	0.402096635161388	0.493110776277752	0.388935700602626	0.535725705160252	0.646627416874425	0.571759430843059	0.530350484744608	0.394195755054262	0.52952578164348	0.601215462309022	0.787043407132139	0.598271100391711	0.556199538398727	0.353940835446187	0.600256234336833	0.742663001453661	0.471733104897474	0.5960179544633	0.499415729332622
