ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.681520548427948	0.664516012434035	0.796000708375374	0.683867654535963	0.567553657666309	0.628411742362581	0.641374899227802	0.753930524427966	0.624932330961624	0.578628971225053	0.711594222443998	0.695892500366854	0.766111323030609	0.760043832108251	0.759588637820723	0.629563670423757	0.758660730878448	0.694332320981368	0.713624576456775	0.820425961616523	0.650833213626609	0.712139358682044	0.777500614976143	0.700249031672554	0.639308315481957	0.693910012586619	0.774905371403566	0.782351189368276	0.72399963241086	0.754153951814939	0.700845064553765	0.708317641442013	0.702868176423627	0.564598167362689	0.648295495027305	0.711370363264061	0.598499240208374	0.68571144564341	0.793918637097959	0.655746941403735	0.718943377982467	0.745136330943092	0.798413341175984	0.671294192197917	0.741688112999443	0.981683183093547	0.714766716372202	0.776211993737359	0.598997933556857	0.785822922427704	0.687293907362322	0.857548995343791	0.631970753398893	0.66169728037548	0.74287074351943	0.683966812258681	0.791912630900701	0.587937087287104	0.753877467454539	0.523884354010387	0.674870768717692	0.693978763991022	0.794945073672361
ZB_2	0.681520548427948	0	0.83465611734066	0.687194326631685	0.398539126595431	0.722734129047039	0.713864377174437	0.766563029605607	0.800496201837157	0.80482011833189	0.317638583819649	0.766421252065566	0.601514403412145	0.778682723835725	0.822888387102356	0.806723704521898	0.514066996765572	0.769412227084962	0.646218530177937	0.491457068580857	0.676408167972747	0.643779470760095	0.803144530750407	0.649905967556362	0.741506698397731	0.73286435310325	0.708647718820627	0.690693051188634	0.769688108242921	0.641325335061709	0.825334907312431	0.703586111780851	0.701525852957241	0.689474109472032	0.325943758564743	0.65312376937154	0.719536064397803	0.736528510252098	0.560060743849423	0.780219137503388	0.771061256051067	0.750543770789363	0.864483174889299	0.91569295849847	0.734801094398274	0.805172602774293	0.976852151931553	0.771629372821634	0.781264719736222	0.36083417408882	0.587771830410845	0.801154962660171	0.805565298621773	0.635092978495652	0.688537838329314	0.711837628342345	0.730313010604556	0.739804661001964	0.760563363131532	0.728423807554014	0.431606214342029	0.760547919870401	0.807079457188271	0.617935025281605
ZB_3	0.664516012434035	0.83465611734066	0	0.539486332549916	0.792956014428334	0.77162230758557	0.574208326733518	0.462634665987414	0.545712874255289	0.500820303084495	0.803795190787698	0.697254044155051	0.786536405375375	0.535631218734867	0.471172314120309	0.46125156885258	0.811031707288649	0.574410484410666	0.74771880064123	0.777612279392611	0.769300610843458	0.646517789957767	0.343568194742137	0.77936602437406	0.779633311849485	0.752603948388024	0.776750069572697	0.678957256928135	0.532049732621552	0.783721810454377	0.475942331075213	0.72023742748165	0.745237894464888	0.785270644626818	0.833615004635128	0.676041640438562	0.670327805584213	0.713936842469247	0.698538864182951	0.576182454267594	0.667710069414349	0.376156029667613	0.378312719470589	0.478394751598798	0.428317708164709	0.714772501294388	0.968598504226656	0.762890317671518	0.731707153097704	0.836313285183967	0.680810270207206	0.262619727875225	0.761496353255594	0.751239842807552	0.765697353328519	0.559087731062201	0.691171885193154	0.612225884405168	0.734077038867119	0.622221075002366	0.824423853646947	0.365447894863951	0.308677645123648	0.735298746897512
ZB_4	0.796000708375374	0.687194326631685	0.539486332549916	0	0.747843948544984	0.855267211441517	0.751781933094763	0.689592528938811	0.662004170597464	0.683804476568153	0.746521259646038	0.779972393995919	0.810705315116738	0.620052696208968	0.716356320933643	0.6133260435096	0.822015937213671	0.676999744876265	0.80441789634777	0.754434168009497	0.744318669613189	0.642965739136584	0.608585382255974	0.786921462642421	0.856560319982324	0.806617545051961	0.811049815175583	0.562525185142544	0.587031449818119	0.802759492239688	0.609292438505922	0.755058599457749	0.829218400041373	0.85114405658442	0.719106627621549	0.606187162908749	0.685705664104024	0.803963164015592	0.545109901764317	0.624318464403589	0.783720341737721	0.503409487233966	0.660797917885714	0.720764528374893	0.58047657679754	0.756151966803307	0.938294413624048	0.797771825708771	0.625095137912583	0.772223496687982	0.583408044109242	0.486426377580692	0.709413148227164	0.837666710304188	0.79876484389454	0.405088371692343	0.698698151312723	0.64997741593442	0.835649684238953	0.54308161937647	0.765471039585291	0.516028919424076	0.623952343185189	0.773741086749285
ZB_5	0.683867654535963	0.398539126595431	0.792956014428334	0.747843948544984	0	0.701597228532931	0.609612970194256	0.738725777481807	0.776865341909464	0.789489314863658	0.458573698079171	0.709684505909685	0.612216917241864	0.753273874085199	0.783449232988984	0.782788191266832	0.474329744537493	0.754318259144705	0.653540236173256	0.376695986232244	0.62906187364613	0.586284811134192	0.807900731327179	0.639388691392819	0.69784924165598	0.712199460896081	0.670506033057042	0.730074925377304	0.795156015638447	0.615432424598006	0.779884375218967	0.640815749447759	0.702917130911034	0.660988362835166	0.403420766259844	0.631701823015402	0.676382274460603	0.677327802966545	0.690444372791221	0.74221203851501	0.749552495761772	0.75326830820999	0.834455210016368	0.868209781342107	0.722999342824083	0.76262789118485	0.98873873135999	0.772222004276778	0.785970445239375	0.43706250114031	0.704730284961426	0.795202505879532	0.771322198867494	0.6689459766578	0.635251108474537	0.813003178452663	0.733576412675212	0.672046629387158	0.760715602422277	0.752587465128987	0.49781888169655	0.737318618684827	0.787874153983032	0.528152788599572
ZB_6	0.567553657666309	0.722734129047039	0.77162230758557	0.855267211441517	0.701597228532931	0	0.637052967840589	0.752498795426128	0.771886851228122	0.752411038769247	0.661597123869703	0.35829023030828	0.421099767644997	0.83917817334886	0.833088715858069	0.842400640723169	0.422581111613195	0.746305393796198	0.327720807045434	0.709189795517368	0.843415705503671	0.728480444943365	0.815470311292849	0.811385270722555	0.352915313273807	0.271999784011447	0.221874651499944	0.800673592480398	0.855381957884958	0.29657302515041	0.795416084522576	0.342991515229539	0.316639040572914	0.232131977426647	0.699848607213743	0.738134563541785	0.799736062843826	0.234494879901296	0.755096859835781	0.85955341402488	0.376293174277413	0.793929265075335	0.844266159513517	0.877634980811221	0.756451714471958	0.764208688397691	0.989768610273048	0.32669719004993	0.810301861660936	0.690122128046725	0.785093626557412	0.789391026318199	0.899839815891754	0.384311733376057	0.26843603600163	0.81643132118587	0.356843194761677	0.833614572207486	0.356289630397079	0.823741360162114	0.687627166876931	0.78032358334299	0.729905164691754	0.8390832292932
ZB_7	0.628411742362581	0.713864377174437	0.574208326733518	0.751781933094763	0.609612970194256	0.637052967840589	0	0.45411108548572	0.565361539873567	0.685167154615071	0.706261189062248	0.644378000274311	0.68332361453069	0.686687998145835	0.658612295863965	0.653176140538374	0.68625520152967	0.56203260769638	0.66965483744156	0.631462737323632	0.672381618173835	0.566300277556868	0.586968117199154	0.815628578507858	0.698818099392753	0.688071212772412	0.686113089824396	0.713275649144404	0.688731184810443	0.683244388435337	0.58642055480803	0.637096179988874	0.662117461426473	0.696041346678572	0.74935725662496	0.571109206334199	0.674454602739693	0.551669936564672	0.737796825435043	0.709266051700879	0.570127449532581	0.630652472956919	0.618664218147734	0.745109690922002	0.61095436364467	0.605976073268981	0.980561697571532	0.677238970056279	0.750242320845863	0.698785572038172	0.566610576107432	0.577568559582787	0.740679062654915	0.597991109921663	0.630295590589277	0.722529600842881	0.580725870212653	0.714739725447892	0.614581810065497	0.71682016121086	0.650175281475142	0.569327766375891	0.5281486557667	0.665851388807488
ZB_8	0.641374899227802	0.766563029605607	0.462634665987414	0.689592528938811	0.738725777481807	0.752498795426128	0.45411108548572	0	0.627617228146868	0.640227928250815	0.766362153599492	0.716430940486606	0.751759588139043	0.592884226464972	0.544173673993626	0.570394458955063	0.766169439227697	0.649673221096238	0.772887021869251	0.699715812163478	0.633306680568373	0.467747449397042	0.478641925304519	0.79641893034653	0.778275053861837	0.759802763694854	0.758242562793525	0.68639068144893	0.599125250108087	0.743718223908114	0.508493053555206	0.72142758069839	0.745296636612081	0.766956819916093	0.776220900856583	0.563761265411597	0.693012222935719	0.715521008895913	0.684879748049065	0.632549952075499	0.672443560650368	0.52417306898392	0.474858407312768	0.680114805859195	0.543202035543107	0.749979470615608	0.97337766946177	0.753519378921452	0.679808775181018	0.776616166753027	0.597625324250796	0.432261831532813	0.65853561392251	0.683121530620639	0.764937645986223	0.671996439090716	0.669819429740946	0.675936602645389	0.667579335399081	0.621384261070945	0.717943232357309	0.480347462860672	0.431838567053835	0.656637095924134
ZB_9	0.753930524427966	0.800496201837157	0.545712874255289	0.662004170597464	0.776865341909464	0.771886851228122	0.565361539873567	0.627617228146868	0	0.69092171882392	0.828459488708979	0.724456128039118	0.730154460459524	0.488568783476977	0.557518985845572	0.221990561201015	0.803723975458523	0.293204275941458	0.752833285353611	0.70995316056262	0.84549934071016	0.609576344447861	0.461623148007327	0.703391494867977	0.78059491251414	0.741207487260059	0.739431045104365	0.65606518721357	0.472567027043318	0.756065372789904	0.439789670951484	0.667491478697732	0.747932751415912	0.785877712899699	0.823648501114015	0.68031828726203	0.533610697090897	0.689801808536041	0.751856529014595	0.399011936100393	0.665913502330393	0.359578788058769	0.443941684523262	0.663092635816877	0.596534020129503	0.469657600918338	0.971574868044961	0.712969990421611	0.668657803209338	0.839831237992238	0.42875782840418	0.490009577370172	0.650578670909527	0.753816086129532	0.724020524457848	0.580403181142718	0.680075355541912	0.457479494118013	0.737770149547157	0.485025281991443	0.802402133962237	0.450119961251549	0.58496998250317	0.764214705610785
ZB_10	0.624932330961624	0.80482011833189	0.500820303084495	0.683804476568153	0.789489314863658	0.752411038769247	0.685167154615071	0.640227928250815	0.69092171882392	0	0.817406621735662	0.727644729495054	0.774388516148122	0.703055990801592	0.664395516474332	0.671063324079685	0.829732403809226	0.700706662118037	0.76055744554394	0.858944536572206	0.742473837758888	0.622916325036247	0.577332721422642	0.680033656112397	0.737017222682849	0.765271648150966	0.763648733963849	0.693232829633829	0.718191699224183	0.791049305303966	0.679740346128703	0.721491062888416	0.752416489179228	0.768186440212164	0.840653975911882	0.743257272898417	0.741625976635056	0.693847111839038	0.64040961008271	0.743059579058666	0.648295748459535	0.591485937008083	0.623363253961218	0.536740931938595	0.566429093771595	0.727913989134325	0.96441671641379	0.696066840072515	0.757762606591081	0.834820330056237	0.766905867570304	0.476543196318951	0.73867366875936	0.729091359348265	0.751475705074437	0.593357754388928	0.767227152203097	0.746058247767283	0.776546291583061	0.759049976387826	0.837823020253915	0.584007562487836	0.551178340458183	0.801691026865424
