ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.599828117249415	0.753917626305236	0.578836054176753	0.579046447188548	0.749309889773618	0.638336641395243	0.617457939389836	0.603004868382192	0.655282811982787	0.675113314808088	0.645991385858153	0.408684815087314	0.681387295657779	0.54331917097226	0.629301544660846	0.555868206240595	0.48642947247909	0.602237099862475	0.59872919917557	0.61139457113778	0.574123825467113	0.471995382611476	0.498526945270038	0.724888118795491	0.461875346986455	0.411117996373423	0.629328592502931	0.468374559886758	0.508446156790627	0.522992271965799	0.447905062452315	0.455988012952729	0.716877239615753	0.615257827759562	0.558058989775542	0.570950575666943	0.557333157682651	0.519862876265555	0.577919744927032	0.729298224060499	0.636097781223498	0.711126656744588	0.609683785023508	0.524982385052086	0.646431744151614	0.617129016343132	0.532249508767473	0.635110382381499	0.566897222987872	0.500927992081134	0.616631743008053	0.537171493586105	0.601238591274725	0.560526396703871	0.518930120554385	0.562415692800323	0.56613195014653	0.586041463938632	0.612240819623186	0.486725128271322	0.974392614599821	0.727612095413088
ZB_2	0.599828117249415	0	0.814597082924319	0.318298819655404	0.238127095149971	0.727561215726524	0.66552778869818	0.842222734244267	0.629126357644052	0.823540552981109	0.291224625682542	0.77407466257073	0.37465166626369	0.669781855335153	0.695899205185961	0.532583538421899	0.31569745820708	0.455450677272217	0.676781429425907	0.210483118389858	0.698916777238915	0.499564269183827	0.728521257060668	0.482441904336782	0.874647693922531	0.54919456755223	0.615307022200884	0.53420080374694	0.620485290311949	0.438303452405775	0.694780500655092	0.475481249124648	0.727743914501628	0.615961951264251	0.0823361990743461	0.661353245646574	0.47890881761401	0.587830912060032	0.437289371962014	0.536089619983114	0.870819165450614	0.546320970656218	0.820293462845911	0.735233400594411	0.688927988754134	0.583174293073847	0.646821438539953	0.33898034380197	0.202170861733758	0.393030214590623	0.594726405675066	0.625775530037757	0.698772776253348	0.45284344711662	0.410041863357488	0.734142769361553	0.393367260755556	0.684230711987819	0.481816367871535	0.286380490865345	0.598246282115852	0.989438381637959	0.700086578273043
ZB_3	0.753917626305236	0.814597082924319	0	0.853301423405723	0.775789784812254	0.824346508066377	0.446158407355005	0.638127720544148	0.766362004073727	0.786921745130233	0.729136291730894	0.68240285083998	0.839873833768004	0.708832566279899	0.563671502223716	0.800845947168205	0.803600398213174	0.81413086116918	0.767064649684721	0.811298892789873	0.695063270515397	0.810444332286211	0.664986067935966	0.83250552617213	0.738634181892272	0.772100263220381	0.746130786864344	0.828132748076181	0.739640305950926	0.767713687517047	0.694257943314547	0.817132211769419	0.66565237326791	0.565063543253903	0.796856948746688	0.724896863271566	0.81428179235204	0.658763460783161	0.729265279131282	0.769668308793746	0.741960565864754	0.831334457810334	0.781039417973642	0.659120298697751	0.695857776622195	0.787767567914907	0.755573258805553	0.84611653079766	0.731180285734365	0.781639063067975	0.574447108439231	0.79444374275814	0.688725530959469	0.848648094960193	0.846298929802782	0.668285420580625	0.829788782029421	0.635007662275073	0.825236009823238	0.736279457444988	0.774413162044617	0.984028611990827	0.54060932542505
ZB_4	0.578836054176753	0.318298819655404	0.853301423405723	0	0.392760987691224	0.64719205765075	0.725985332288491	0.795678604904895	0.509600288266028	0.767466267089434	0.476384580652799	0.701119704817995	0.320371680568559	0.572367846023551	0.677700057992987	0.461722125110532	0.46321027501646	0.334540929954158	0.581432287192841	0.295199925794206	0.608738323070202	0.321419377171689	0.648435310180204	0.276226877565467	0.83766889397241	0.526137386568858	0.486978248355139	0.474352261669335	0.525574855154022	0.407214022203893	0.606394916230618	0.261868578608914	0.656929172976435	0.618269430332344	0.28882309448947	0.575102731021757	0.27302139152246	0.572229673888008	0.48090563957801	0.377233288713019	0.832710953582225	0.476248702759336	0.769868629460542	0.663265474499309	0.597162068892767	0.572492720431866	0.53635874979395	0.266064530681679	0.380675070770329	0.238750195332496	0.593077240740663	0.538519576690264	0.616264818962271	0.297312017554171	0.340785716486745	0.643411062988448	0.257365834171535	0.62051300598941	0.36234840387194	0.518219871422217	0.483493314019232	0.986322715203245	0.767397150311058
ZB_5	0.579046447188548	0.238127095149971	0.775789784812254	0.392760987691224	0	0.721940408590836	0.658793256330159	0.838967560486337	0.584460282156599	0.809447620488121	0.341870863634102	0.718154615044709	0.384678315910273	0.689948993782199	0.699718997794056	0.535628693423656	0.362278034475669	0.474529300751598	0.670951147658511	0.173020807589415	0.705828158534506	0.530180606005787	0.722920256969691	0.433466237227899	0.872061494096562	0.638745282331351	0.619341150534445	0.466604088765249	0.641693829960678	0.319195840480044	0.699774910439717	0.486068052613044	0.722126876706569	0.563453899706886	0.266304871519013	0.657836631690175	0.533279160576776	0.5504373246437	0.425959303841852	0.542658117731854	0.873325908691088	0.47207936459633	0.785234561130272	0.729770881756648	0.711409653249695	0.636618129669515	0.650215889027301	0.329585205692426	0.330190620975236	0.370167030667081	0.589960597739168	0.546400874172694	0.706537793146721	0.385681280724323	0.415245890686994	0.734464649024619	0.453516197243784	0.693977532860729	0.489127572223321	0.303108202371671	0.609597365341025	0.989220480137583	0.693898929530492
ZB_6	0.749309889773618	0.727561215726524	0.824346508066377	0.64719205765075	0.721940408590836	0	0.690679551939585	0.778728057135684	0.69624820238774	0.791258509676307	0.70395328340147	0.840062749517679	0.657924609417141	0.793467447901499	0.844786515708347	0.854054410009466	0.652979569009627	0.792076414439744	0.29046963816954	0.723675857494789	0.787122150298935	0.860606594263629	0.650249932860324	0.681705153894163	0.83920009236495	0.66085972705241	0.732891077623376	0.872801127200308	0.865100223748789	0.713952761927331	0.845132456915088	0.602039917953713	0.650923302619026	0.429685418362533	0.740806552324268	0.829494874232976	0.863238910366574	0.722094072811152	0.573745493816832	0.861921642779043	0.840976713883684	0.875025199090436	0.788179428474519	0.794422348212817	0.787617295263701	0.695276726122717	0.825644059015834	0.698821334331657	0.706187313635131	0.705921976773151	0.737428132885871	0.733477684654583	0.809971201174162	0.635947432972671	0.82779467685774	0.834101941747573	0.780052127941439	0.853454858110488	0.870793362074745	0.792316330970708	0.881029727027137	0.98535565726397	0.618667939842445
ZB_7	0.638336641395243	0.66552778869818	0.446158407355005	0.725985332288491	0.658793256330159	0.690679551939585	0	0.740219520989214	0.621425037798489	0.756448696291046	0.621223152530033	0.720547073216978	0.701001524089275	0.739425013733748	0.546494888797488	0.765278349336083	0.619659195836481	0.645145463707004	0.643802339119753	0.701844411529421	0.683681299900171	0.775464606040524	0.476677878913292	0.733708486661852	0.702707428939577	0.575147384418525	0.555091236491952	0.803217948257624	0.702653089568191	0.683724930259501	0.658668287137589	0.658724767474097	0.46856522903233	0.467219679633867	0.65110622506233	0.724368474856	0.77956589730275	0.473117534753038	0.516928193909633	0.738041267886793	0.684778079891856	0.79799315462801	0.744818008559089	0.704434873538301	0.684368640153235	0.678507597658753	0.74561254650393	0.706282960987362	0.613609274165395	0.733499739165462	0.365733430228978	0.657273625649013	0.688254288920223	0.717325358575394	0.706631513460627	0.67156934737126	0.699218319282153	0.608511479873427	0.791364904867357	0.620891710083515	0.737747669540796	0.989055362404702	0.281116665366451
ZB_8	0.617457939389836	0.842222734244267	0.638127720544148	0.795678604904895	0.838967560486337	0.778728057135684	0.740219520989214	0	0.658807913862298	0.808282712360751	0.831722487193521	0.520261208144987	0.773797070693421	0.58328603667518	0.499424159779718	0.708059829281582	0.812016650622485	0.73005270168299	0.54674903225126	0.839261940299392	0.562946913792117	0.723586219269293	0.484019315729991	0.761522496218384	0.72204217769257	0.67569042982999	0.630792330393663	0.754146100870019	0.588397261729482	0.811959979917841	0.48910258342628	0.735279014871812	0.485431959113581	0.780326662973786	0.84989349594576	0.557334552221751	0.730316338870855	0.652563415940406	0.771473390285243	0.726957838604179	0.730415173606821	0.760777901006658	0.804128005099343	0.471491052673674	0.529481540960271	0.766879929886065	0.620765271872902	0.784047234889088	0.836367811444282	0.789412210562938	0.628283635827564	0.720640494819527	0.520308062828011	0.788165556591938	0.784344694746519	0.43070540468752	0.75694779318047	0.581667344394744	0.749221310565761	0.83307211864605	0.657520163480167	0.933059948076469	0.690565208561526
ZB_9	0.603004868382192	0.629126357644052	0.766362004073727	0.509600288266028	0.584460282156599	0.69624820238774	0.621425037798489	0.658807913862298	0	0.722709032454885	0.561265298641037	0.463874519053873	0.616463099826727	0.44210546118103	0.601219668679874	0.439526824478462	0.613225796654796	0.473699346858163	0.616618972761793	0.567321284980507	0.467889494259535	0.518929842018456	0.434761592994588	0.587175215478991	0.761138686354457	0.573781155657361	0.483093264937218	0.528514842714368	0.587012261430866	0.6506134227875	0.532878852759227	0.592845071312369	0.415166619675685	0.597085457592071	0.634766523539334	0.490422798411586	0.5247326404579	0.491710030539412	0.551936985853538	0.519762364584003	0.763123401009716	0.474769343287736	0.668629613718956	0.476058448103805	0.521862580679112	0.489992262106618	0.409816414686825	0.58671627645758	0.610318942689616	0.581139976606045	0.530765919521763	0.28460918076653	0.474337837482143	0.468588831083326	0.484726061805679	0.52417966145596	0.435037028125334	0.595999319712179	0.556470226188644	0.597540267405246	0.602551266161898	0.983009555977469	0.683268337591675
ZB_10	0.655282811982787	0.823540552981109	0.786921745130233	0.767466267089434	0.809447620488121	0.791258509676307	0.756448696291046	0.808282712360751	0.722709032454885	0	0.859029880482841	0.769306326156787	0.77782162651844	0.714183512282228	0.668855433063065	0.693744496693332	0.771635402037741	0.700798798495006	0.877309966697479	0.804877297707031	0.59488589228492	0.681116592487164	0.714074766656457	0.768188217448137	0.465072259448773	0.711448408746682	0.673313353941997	0.74944146500981	0.663586830324598	0.813976851950943	0.653166273916604	0.757832575154965	0.693329888275465	0.817271741684427	0.828549695795945	0.669421743961107	0.694405535661609	0.760997358360177	0.796218943783988	0.697447912670731	0.47477788991281	0.719481923861486	0.530925732558898	0.703276438802642	0.518861823668894	0.759292709626241	0.666446565011995	0.765335308635827	0.820780598860212	0.771034486947253	0.71144224957932	0.720272413706287	0.634493742157588	0.788543552665612	0.746302110216136	0.654190690032492	0.733399634410259	0.650710333305686	0.693782692008908	0.833777222237462	0.677357192665046	0.972928306769394	0.855713942002265
