ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.600713515144162	0.485369342163715	0.588521477945127	0.614167516528954	0.623190637418013	0.506262681048774	0.567150253446482	0.591363674559005	0.340213894026982	0.556449510290771	0.5840579328424	0.637735352064296	0.604455547867034	0.563903121789325	0.553555489973079	0.518812086269225	0.615535646411121	0.574035139278197	0.596517277701307	0.384760657541148	0.57468505433231	0.521073650554955	0.48713861821524	0.526305514136877	0.636814455955067	0.585750438287905	0.314900519092971	0.625969242835662	0.558423567321391	0.543713836465967	0.545903082234318	0.533103742317421	0.706044819681547	0.542025581832106	0.450769839414044	0.632366533603584	0.552895432684575	0.339101019254405	0.555674556784047	0.450570579769025	0.505423713095427	0.496218628912883	0.363340991127788	0.600906146072324	0.500086872734308	0.333557904201576	0.383763566478989	0.48700598494422	0.578067883985576	0.478479109988192	0.502003771737293	0.330450650352592	0.49481747997381	0.595252712453585	0.335605065898583	0.573410936261437	0.537000115014346	0.515218300443424	0.608007432077386	0.646293255229973	0.612317152334328	0.512596830593352	0.616124716684818
ZB_2	0.600713515144162	0	0.573443140667388	0.498314823688946	0.336874737731129	0.678795801558311	0.581054917222053	0.582298585230181	0.543076748344739	0.567875167564945	0.393246383291786	0.639097811308256	0.632673249168723	0.528160078679448	0.542953212530402	0.546641891916246	0.444558366425159	0.505351469918865	0.56286687447339	0.334367891429232	0.577711256900507	0.534386189652558	0.580391250068963	0.575311262135622	0.592656956873041	0.609011602453694	0.631669903023846	0.540980257353959	0.522019548276747	0.566878234142732	0.518123157682213	0.543292514116205	0.570390208829009	0.720074284719401	0.343592822564296	0.573916066422787	0.541035724543937	0.570406075699735	0.624805703709846	0.548671610913393	0.531400757067808	0.538766339336592	0.550391745073668	0.570510414354822	0.508533378452002	0.57599585920577	0.594470559635959	0.562347062644215	0.505659999456361	0.306743893533724	0.568649410270867	0.566210175991842	0.588314831830908	0.566153163755971	0.57794486382063	0.534463127397787	0.551896359634026	0.529336653656944	0.540453918459635	0.499871217919553	0.420435657639129	0.533216718693243	0.558661906761333	0.376203151050743
ZB_3	0.485369342163715	0.573443140667388	0	0.546222799455989	0.539566602171888	0.668800543880631	0.238769876862532	0.527455631789712	0.447395437741405	0.44186835333187	0.568821388106127	0.531113838401548	0.624153615376719	0.512802460085309	0.547621277978674	0.440555137736623	0.524196671295779	0.508049919595435	0.586295404013525	0.579699204137697	0.463396293688327	0.527651319126697	0.401019440656251	0.288682817062053	0.531451253426545	0.631468246152114	0.590928509800266	0.489074086150722	0.528923628595307	0.585679551982699	0.473495754430471	0.565671875383686	0.532632309705207	0.693320441697763	0.53534452550094	0.224551886367864	0.520892144686115	0.558011958014605	0.51196442042956	0.49567220593048	0.443934034308137	0.422878382674659	0.334746643388619	0.412370434670358	0.466771566471417	0.294637452385293	0.464347767259992	0.488512900181954	0.29009844541906	0.509965634164092	0.286772744299626	0.25139464576408	0.487212533101839	0.516437440523771	0.608803266174292	0.467723714389175	0.535256024033473	0.466350510362219	0.546578082726561	0.467944688334268	0.629020640653916	0.5086969084851	0.419410063864872	0.635527148810265
ZB_4	0.588521477945127	0.498314823688946	0.546222799455989	0	0.541769462468708	0.707485405803717	0.562081441185866	0.358534089050673	0.469791516983424	0.588718672634708	0.513714769396507	0.61413278570118	0.651674205578927	0.305294925191344	0.386999784240358	0.455022324279627	0.557894918878448	0.315172054625415	0.572777145126708	0.51383808244785	0.591020874006572	0.331599645304999	0.48932194218292	0.517675844149204	0.528836882179007	0.643077227315657	0.61635161566585	0.530844255687339	0.317583485818847	0.590946795300355	0.440815183282931	0.550605970133821	0.554343257004001	0.744682848838433	0.504229040504916	0.493493456660056	0.285892645683623	0.54422210359769	0.612983386767136	0.500440674766755	0.494465333577679	0.516602311389534	0.534539398866603	0.574327675190386	0.380999434616079	0.44018027697969	0.561858445511151	0.547008957719108	0.445665350756592	0.456440930498365	0.524968902583795	0.488994741407196	0.543437356113797	0.555336853496745	0.620835502399653	0.54680073281251	0.517847113355522	0.487669173091043	0.561039230937322	0.455560229208704	0.529249647643856	0.310098832281372	0.46583254952137	0.511199729395117
ZB_5	0.614167516528954	0.336874737731129	0.539566602171888	0.541769462468708	0	0.741648046695814	0.486341075640672	0.601731915787326	0.540291455331422	0.573303568060587	0.376858900407336	0.682710854195574	0.618118711973159	0.542880793961786	0.520640054740695	0.528783095548124	0.435637191892027	0.531978100218507	0.636936195801509	0.276220838419201	0.523804519180242	0.56148085555916	0.512050720321838	0.58375670854386	0.664130450533806	0.696630159724099	0.675240794847319	0.536799790836002	0.563615177951913	0.649066684646526	0.515158677502719	0.624266674568204	0.574930956992201	0.793579318215191	0.345224285845833	0.52329569862404	0.579866547945046	0.633994316517934	0.606889608389373	0.49041720901376	0.538145245381214	0.534266433844561	0.553498321803296	0.559222623812789	0.531835744530105	0.551078644745048	0.554514456612306	0.561692077410388	0.504236599073249	0.39045872675024	0.505966287590772	0.450714398414099	0.568067268516799	0.621298904717917	0.635699509578577	0.555328882136915	0.60630309663681	0.522208293643315	0.589421104297729	0.468460731185679	0.496374797609595	0.562561979316617	0.549560753668035	0.346814693713753
ZB_6	0.623190637418013	0.678795801558311	0.668800543880631	0.707485405803717	0.741648046695814	0	0.697690937309048	0.703355503825556	0.703046068641437	0.60128406303465	0.719643051685722	0.479792218064555	0.47873396143242	0.714136523921923	0.70241830985867	0.655257182372699	0.645061277278022	0.684711801250788	0.450417865834359	0.707611882261547	0.649606110679383	0.696431693320688	0.672881173637593	0.69286948552537	0.475534181593321	0.286888917327873	0.442685659512138	0.664329088553374	0.720524832592986	0.460960758516815	0.677192041345686	0.552231465813694	0.521234410265172	0.359742984874187	0.698042990639237	0.687138585293652	0.733437492562735	0.526820180015214	0.684186375333331	0.692842543245594	0.51383354849863	0.699499018509081	0.636874554029686	0.675585401859631	0.701202608065685	0.700742003456388	0.688498482989195	0.587522028297178	0.671860225221353	0.717313430133663	0.694605810111582	0.711468615711024	0.693892788550339	0.514528234483725	0.379729838027479	0.631970426020896	0.574767062137266	0.696589722985725	0.44899133577827	0.708677098150782	0.707378768998093	0.703740888750376	0.666838066848089	0.715085339881227
ZB_7	0.506262681048774	0.581054917222053	0.238769876862532	0.562081441185866	0.486341075640672	0.697690937309048	0	0.549299626975964	0.438700430380761	0.432285955494672	0.509035861437192	0.590899068782026	0.623117683597195	0.510361722092589	0.541915806084548	0.392307974005913	0.525226857878711	0.559884429936779	0.599893603949779	0.53781823894644	0.421104353362964	0.533277432710256	0.398668220931393	0.30047383219659	0.558208365139097	0.648400122639162	0.627056899107891	0.438342352535747	0.540725193788468	0.60030486194513	0.444620588619018	0.615502530624055	0.56644689977472	0.699407564516427	0.519874511795349	0.290213269097667	0.54058413808369	0.591362144191512	0.511265798720537	0.421862050556958	0.498802837227716	0.395226865383762	0.351232086100407	0.411914794320273	0.468412382192935	0.314542223130046	0.434370414533768	0.492590349413349	0.356397732811494	0.514898930799905	0.314602473098146	0.213586154774731	0.442717660589828	0.538518325246069	0.61212161897327	0.453123765965621	0.590489669736715	0.464549615356045	0.57974962840188	0.503366934566143	0.622033959547614	0.537465585501771	0.413501179810364	0.610282434912439
ZB_8	0.567150253446482	0.582298585230181	0.527455631789712	0.358534089050673	0.601731915787326	0.703355503825556	0.549299626975964	0	0.442925283328253	0.590062433192399	0.596888072087078	0.590926045171215	0.696301627566618	0.231951964545071	0.328751694806466	0.435928936001928	0.624369055666228	0.389928911906843	0.574336078497256	0.604112501528295	0.618777508208026	0.345727635393883	0.470557850232075	0.516867846990315	0.552573003593043	0.693119414473111	0.635062658939917	0.557140937734013	0.315541878795548	0.628456875684023	0.405223067273671	0.562563206125138	0.563183028436973	0.779692295076499	0.560410776504732	0.509864474314959	0.314539628419441	0.541750424317774	0.632302648473144	0.518866194035382	0.529576944861144	0.49083176603383	0.572017107089081	0.568544021752813	0.295666504294416	0.481773462025092	0.584547770158525	0.604907323769181	0.465888154901514	0.532112493197722	0.538157790045727	0.519394642452005	0.576650349955158	0.569496201039105	0.652498270685453	0.595688378075304	0.50323985980925	0.474279510569092	0.593720788293138	0.509538826677507	0.629176217642386	0.286967313565184	0.442412974293875	0.500940626913919
ZB_9	0.591363674559005	0.543076748344739	0.447395437741405	0.469791516983424	0.540291455331422	0.703046068641437	0.438700430380761	0.442925283328253	0	0.553060568441867	0.556476818400718	0.527805857890114	0.670389484469556	0.342770820449392	0.429357548748661	0.284431930336261	0.593515872000464	0.463392083389276	0.585294361787255	0.575163192298496	0.543611671149621	0.394893629993116	0.287614082984117	0.418658242636635	0.537598167967086	0.661752497969666	0.602990259199172	0.4910179244243	0.424458860475924	0.629977476818317	0.267985176611867	0.583814035958867	0.516523958573356	0.765438999583043	0.531380431016943	0.437960047563284	0.414453375643596	0.573631484952165	0.565591522364169	0.276066744578626	0.505638910216329	0.271866314965602	0.475109560136341	0.489002835753675	0.342099593595456	0.403025662454942	0.524160170657645	0.569129797304098	0.461800345484135	0.478329846889447	0.439928158690584	0.468747440249346	0.521026991172323	0.480400140643133	0.654985485259105	0.538068858155663	0.514280805771181	0.251829908968099	0.611209270201729	0.272771681653877	0.559076534576535	0.442604969186941	0.274371923369414	0.529811436047906
ZB_10	0.340213894026982	0.567875167564945	0.44186835333187	0.588718672634708	0.573303568060587	0.60128406303465	0.432285955494672	0.590062433192399	0.553060568441867	0	0.547875173606369	0.539425110235012	0.616533798315414	0.590037252631168	0.568344765270097	0.52995019513833	0.53788019696575	0.590063502382915	0.537728317017313	0.581399570481794	0.327846426532964	0.575766473976606	0.549436331906484	0.440062766001654	0.516422802872351	0.596049712142901	0.586414599347289	0.368742773391088	0.622506437408315	0.543946389781258	0.524308981181545	0.529196507314998	0.524011859429942	0.660428650791729	0.513708308336976	0.472682644653941	0.633331466612753	0.547561069050665	0.340702828961361	0.523163271946379	0.434785685140066	0.475689188599651	0.448397904380556	0.249613688021633	0.582605701192356	0.464263122886589	0.327968276104853	0.338928022211158	0.505837198240158	0.578310489318626	0.419636399630461	0.455383643394993	0.332542800551271	0.4619192826046	0.575124623686896	0.287439417961492	0.568741044782412	0.53571609223131	0.486331454357103	0.575737246357165	0.681562028388938	0.619964085083949	0.467822671492364	0.61181617136572
