ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.534419792752835	0.485455128695773	0.494501441565274	0.583359469955513	0.561366171735832	0.535567590127805	0.706437681493823	0.410719786168573	0.275529127702625	0.446723515507	0.380701481989898	0.490014047406834	0.519427702707917	0.484764986276084	0.469513007763162	0.501349488025857	0.487326119007854	0.48982875495275	0.580166985326709	0.402893310516518	0.549332827504289	0.526335820229958	0.533396246750277	0.494718009826807	0.511283124076855	0.451550124844229	0.327690611013253	0.564901461035054	0.525756069695736	0.450545101711361	0.501507900018836	0.417210761951994	0.565862298648432	0.503624674781484	0.378897600615231	0.535700875735997	0.460318308654755	0.338590134372245	0.451507180488505	0.477217551660138	0.398841826210339	0.583610194502603	0.348114675752353	0.563277214091814	0.500028391248613	0.379768356876469	0.429911968010518	0.456055985612636	0.559744074941701	0.45020964981625	0.483103870645636	0.26811323732858	0.389340035736345	0.473296999014691	0.326685405609632	0.564807232802171	0.428069850867862	0.520544138119225	0.489930938983013	0.567180292406585	0.52303760366028	0.578781072642905	0.625902950904416
ZB_2	0.534419792752835	0	0.601406346265184	0.408502984527144	0.320565723007061	0.613879836278335	0.620459089403511	0.727969826730567	0.52812738180682	0.61323350680128	0.356861430076106	0.587024738388732	0.550144428269833	0.49033856677643	0.565059684897308	0.453659679685011	0.366255818123908	0.43925977313057	0.539179697245613	0.206967700350927	0.610593600644026	0.540796933608793	0.60576800097894	0.643501979467221	0.645609107671198	0.534302056286509	0.587987645639264	0.492424004433258	0.587926740159252	0.516234374342354	0.516218678070013	0.548146468410737	0.589922179956008	0.552598602254972	0.228866121929866	0.588008366878175	0.529882662874842	0.529063039873851	0.539044164442555	0.503890437456871	0.592451865316677	0.49925474409704	0.733885245935194	0.645254079142077	0.605931290470295	0.572079567435881	0.549306191492897	0.504223694984511	0.55982667030445	0.180342877308586	0.553039429103452	0.529556566446988	0.572184329846891	0.547549658840653	0.528497607075152	0.47855802759308	0.628771082452787	0.475656932285826	0.52824498755078	0.496360828026979	0.249376907703552	0.532566431773421	0.713336278414338	0.463492043323175
ZB_3	0.485455128695773	0.601406346265184	0	0.618158064819957	0.632651747936743	0.688387294586502	0.488643729908118	0.704822410302481	0.560337572470544	0.444511857830687	0.567830084918459	0.537735412487412	0.649646266356901	0.566170182784055	0.589557598737456	0.610442836143523	0.668494802112672	0.531851115287921	0.661023341966058	0.656914916004703	0.534772266442996	0.639253611383427	0.49042118451868	0.405960148475192	0.597371049609632	0.657972065556734	0.586340677359787	0.532756700860491	0.629819209865321	0.653705055722156	0.524882672738256	0.637898129954464	0.549103944656413	0.674825560032768	0.571063503617277	0.496951411092835	0.649322900729991	0.615911080042738	0.498720919864223	0.536300526236547	0.646180470408542	0.548458687117087	0.535941389807707	0.430933205918903	0.641898906165319	0.531727764860646	0.516412741967372	0.612103348459256	0.487708252207981	0.591927835044014	0.524114218454258	0.463763939415555	0.483083386180726	0.545366188920785	0.672217174377738	0.520939626977092	0.6538141342486	0.557163905363699	0.599750190780325	0.554783364291343	0.578381282876988	0.603651699042735	0.581277642286526	0.536915701821318
ZB_4	0.494501441565274	0.408502984527144	0.618158064819957	0	0.463832217498294	0.626546850497172	0.691244492873315	0.62097057998994	0.415683842752754	0.479115073750978	0.448356116242147	0.571216345964146	0.57984228912963	0.393300714366927	0.382025168541094	0.451911574867517	0.497645590011167	0.427440794550108	0.574184240099877	0.424417866254843	0.471330613416035	0.412724707612762	0.55461501231526	0.59191963943096	0.662390121227677	0.591996675813743	0.574187130684481	0.449697981694493	0.427513267219497	0.580621102960941	0.441636307904787	0.539289087765632	0.628073396948235	0.648608636972372	0.391935305440627	0.501942943482752	0.325822207055411	0.534402251125735	0.507424331179231	0.404350321844555	0.641381601608086	0.373392793257511	0.66243615453649	0.538879420073483	0.529634555390074	0.541571198730904	0.494905981670178	0.519742495057175	0.516852199294591	0.382723963109613	0.562649516558059	0.564243948931112	0.417144379580851	0.569627408896736	0.535981479758536	0.368259771859139	0.648013230011087	0.381868766241375	0.558153542944921	0.382038896487898	0.419309643051057	0.445285601923305	0.671148707390834	0.528200197615966
ZB_5	0.583359469955513	0.320565723007061	0.632651747936743	0.463832217498294	0	0.569893476803764	0.628472751873054	0.714241421921186	0.470162780330663	0.569470496340422	0.422169179059934	0.506364583928265	0.480065112226884	0.524520800210125	0.494726725741914	0.415643220871405	0.396561112631168	0.45435914551356	0.501669863920394	0.260975811855063	0.61031918138112	0.471574653520211	0.560600495313296	0.649015984074739	0.558109183351207	0.527880169254929	0.499783891837865	0.454013586487813	0.55887497023973	0.506827471406792	0.453385180993399	0.491580050052981	0.530183504108571	0.545474283469254	0.334739371561086	0.545249183125587	0.470430671062837	0.533892959098453	0.505381548899422	0.457591623793596	0.447126829116926	0.459272702595014	0.706685130304737	0.58339939933192	0.540046880634692	0.509599262394579	0.519705399498225	0.44550208029739	0.525790509613175	0.31280197566545	0.527574787927852	0.509998813652763	0.535039141156189	0.464487294432496	0.503790256832817	0.479313441083023	0.569208749724389	0.440156576325327	0.507038034148194	0.497330724146579	0.32636811308891	0.521927088760679	0.665575293465812	0.38475074437551
ZB_6	0.561366171735832	0.613879836278335	0.688387294586502	0.626546850497172	0.569893476803764	0	0.681411240806605	0.659580893987187	0.628620826968233	0.619039229542952	0.545973637017415	0.354231139252868	0.269781856687257	0.718938247798429	0.642361341242489	0.624038743126132	0.381588229228668	0.645705691375593	0.15231128040696	0.676588916320458	0.647149684663674	0.707625767040477	0.651516907753798	0.797176586655666	0.141074425278619	0.184330525006648	0.297751653876007	0.652553150603567	0.703015431170771	0.252947940689823	0.637525496406066	0.288971541240383	0.276268060252075	0.135415526114092	0.653967721092333	0.686399958556202	0.68160745765199	0.300608636525261	0.602347673844105	0.699983298907798	0.450509939234786	0.613317553500577	0.816907799939583	0.654035226502212	0.628467138217158	0.737378366366986	0.653682188855538	0.375608152101979	0.766424359112144	0.66211763954753	0.756859475470739	0.71760642705435	0.670695713457425	0.375454070932271	0.198999541346462	0.652671757944341	0.336225951148724	0.676691738370295	0.326767781675693	0.711144225856439	0.638017876989851	0.649347672790481	0.684986657284051	0.616293442629459
ZB_7	0.535567590127805	0.620459089403511	0.488643729908118	0.691244492873315	0.628472751873054	0.681411240806605	0	0.663746769199858	0.543469955793265	0.500055199664386	0.568404238182387	0.547979872966288	0.646000567170542	0.601947716550001	0.601487385618675	0.572232639263848	0.672892037402505	0.606053944881649	0.684538622368182	0.631226076655184	0.536305508903533	0.685653251044277	0.471101647477198	0.576288863494236	0.59946406673011	0.705875148863569	0.655519840933712	0.505157832885204	0.681425560687059	0.695609158187413	0.503843681608053	0.665199311876989	0.60509201992797	0.640699846444973	0.626971419142099	0.587885024840312	0.673991532224784	0.651070804195804	0.449673540098873	0.556551460613352	0.428186713055003	0.595639968170233	0.510201317609728	0.520468977906532	0.591784931231784	0.491548315676191	0.54401461267998	0.552681713631929	0.642457276437313	0.6230607655297	0.556071377836623	0.383223192912822	0.543512386356451	0.603442211072306	0.690042793583294	0.560934869879695	0.646287716578559	0.560637145753372	0.659681562041057	0.655314043990403	0.654897500055901	0.643925182412236	0.446666788194761	0.646779097399593
ZB_8	0.706437681493823	0.727969826730567	0.704822410302481	0.62097057998994	0.714241421921186	0.659580893987187	0.663746769199858	0	0.627474238192738	0.680980888431346	0.716843516997719	0.697286255928591	0.72288893051722	0.602175376769239	0.557545556977783	0.680656985240161	0.73853428645582	0.683145101959441	0.69945382664785	0.766322949862788	0.632243223009675	0.65165083539918	0.556554408143098	0.79546884629806	0.680855026295452	0.714897938654331	0.700080076328074	0.745864019907706	0.560135410206039	0.724852080848054	0.60124640038689	0.688370057944736	0.675318794949825	0.699616127592483	0.739799927850684	0.737134506583286	0.579413676719693	0.681407521904247	0.727485759672396	0.637518248787609	0.701318929056582	0.633711366089094	0.707117055947854	0.657148760893555	0.528700609657376	0.674805511294404	0.721142127770046	0.748706092582206	0.803097185035097	0.71363890535223	0.774794924858624	0.762942227244451	0.713701521889253	0.718559021730682	0.723814236838081	0.722224589778295	0.69676648100639	0.656847054797051	0.728544534509198	0.596491228070175	0.719011337084073	0.624303457927576	0.500456658044242	0.64264723758261
ZB_9	0.410719786168573	0.52812738180682	0.560337572470544	0.415683842752754	0.470162780330663	0.628620826968233	0.543469955793265	0.627474238192738	0	0.38630118438295	0.42710937695943	0.463565337686851	0.563956259496129	0.345663534842894	0.336885734881062	0.35271460281805	0.546479885137615	0.408388119562461	0.570555881988247	0.48668317203091	0.425098977135138	0.415289262140669	0.397977856797498	0.537575677687776	0.555715665564656	0.614940445025397	0.522502125582719	0.38252666602077	0.463534090250649	0.594824407356702	0.298394386006324	0.57778519764102	0.53148275499175	0.641648927295597	0.414986727779579	0.40221140960204	0.386626492549084	0.547196290576165	0.375228419892678	0.23440931546228	0.490507224606217	0.270337954039695	0.546435138064346	0.419377064598567	0.459366380344924	0.447239211688753	0.409404661383359	0.46197004777572	0.463981149587968	0.446459528137209	0.478274424805341	0.475758290387243	0.333033642144191	0.478123336173384	0.557708269771934	0.294454570257306	0.590194850277711	0.222978660077443	0.568313836917542	0.396339328203425	0.465736527746791	0.465248923755381	0.442249126283822	0.494767451469211
ZB_10	0.275529127702625	0.61323350680128	0.444511857830687	0.479115073750978	0.569470496340422	0.619039229542952	0.500055199664386	0.680980888431346	0.38630118438295	0	0.47312100120533	0.398046196582587	0.555745851855872	0.458226666785048	0.419689374336961	0.448396305148548	0.609016384914905	0.461425560740629	0.561304091845746	0.58863082893386	0.275451655547437	0.505620378520091	0.42292997902158	0.474121578808547	0.525696992144231	0.599274548376887	0.514449163641807	0.286512259478143	0.494655100974242	0.594588111817441	0.372178101924245	0.529973241114577	0.476663376878805	0.643731267136637	0.516495297012543	0.307681916605415	0.465436118447439	0.533868224292301	0.299506219197372	0.405717841267447	0.494600320325059	0.392272504137868	0.508378418871003	0.154700761557237	0.553185519986811	0.371353570055068	0.339194680119239	0.466140118187962	0.414627246627313	0.578559829817408	0.464072838225513	0.436322347530527	0.17338722664176	0.440585350307956	0.55560405980574	0.271736468283125	0.558293444661716	0.380958597827685	0.549494622077479	0.482572589222875	0.597107772311937	0.475325272543999	0.510580672809085	0.599867971256417
