ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.459880962259454	0.41236312116636	0.475666186446338	0.607676213188148	0.392883210191854	0.454594157021357	0.510962705327028	0.357913374358227	0.434046033058608	0.357342235584354	0.35206541664229	0.395635090064168	0.573934625701723	0.592197466670697	0.540700292388883	0.291708449182558	0.39557668796535	0.409591971513891	0.603165565930312	0.34621293966192	0.528371469904141	0.530215724279871	0.590775390021211	0.323181567213693	0.422891121078273	0.335516459968901	0.343997903536811	0.55587702858271	0.367577177193324	0.495102831186968	0.429001664583469	0.380839316875018	0.431194205827859	0.578019639311609	0.601538470118766	0.440109350943779	0.416905164149868	0.416017574120895	0.545655464683793	0.305281893036702	0.518906261845469	0.477219433239526	0.352033286619622	0.539976931883797	0.484111621967188	0.331223555781564	0.374955768424804	0.607967569527285	0.496123520877587	0.582627817144925	0.537622155202621	0.333281819257934	0.361333722501378	0.383932917965878	0.530831372403698	0.427934662787177	0.449403470553559	0.358788128194402	0.390673005097624	0.600981994142768	0.545707626107374	0.469633883488734	0.607053148548506
ZB_2	0.459880962259454	0	0.45561312115619	0.477068761571693	0.383031997780007	0.473885784208601	0.482637435180279	0.497871873628785	0.340024767350804	0.466116158827368	0.424616674487289	0.468625425053768	0.46569193419329	0.528369807048716	0.49881375803822	0.458362427984727	0.50606849715098	0.530516096143165	0.487064385098966	0.382838040788273	0.402309070275644	0.478180745161793	0.432610063188335	0.492631113522856	0.505721338800312	0.504615815854212	0.502381935170572	0.534206835867682	0.511830023334947	0.52304472320385	0.452417906221518	0.48649147930126	0.4427021866952	0.507262445536294	0.371165506500967	0.482686757115013	0.506288836238002	0.469392525752126	0.475669627143011	0.396836559573733	0.494181899847236	0.365196231359581	0.496963209374618	0.504365871607	0.422673194182572	0.50593822042895	0.518949233933505	0.507606288927474	0.574777025917887	0.29359107475398	0.532573936955429	0.506136652687706	0.511175438937331	0.447831388259885	0.54146139438134	0.419837146274868	0.49883384310075	0.409749232484948	0.517243427857868	0.410204210050969	0.370798800194046	0.531181378245711	0.374109497985775	0.420598319622298
ZB_3	0.41236312116636	0.45561312115619	0	0.397297220943546	0.603203607666291	0.605876482929967	0.257576054110758	0.552558625015361	0.501789737333049	0.53203367927957	0.464485782260474	0.554281315122314	0.655934181516141	0.548055489821957	0.674263301500682	0.592201223236329	0.493196511080585	0.39781877717152	0.568727845608507	0.544874587419888	0.508586008609188	0.516675588200887	0.56957934238862	0.33732562627108	0.48005413038362	0.608404021345767	0.568358239030578	0.475908100843046	0.529825340567534	0.522789844682445	0.516526277771952	0.590055962428663	0.523089335988464	0.619606278175528	0.581907505952483	0.374873429230431	0.527526807910653	0.550736927981794	0.539282800324972	0.592905109489051	0.489416958995066	0.578423830742509	0.242740321613962	0.458958424448309	0.462708747226804	0.202839413557896	0.437043982983239	0.563085621462346	0.383425071993584	0.528931854773574	0.283504833038464	0.358251938897293	0.466621368815461	0.525050051303389	0.556869888985335	0.589788383738365	0.590733837469379	0.561838699793339	0.503457790587848	0.41874421148982	0.58408108170827	0.540145467207337	0.537858262502871	0.648141225794157
ZB_4	0.475666186446338	0.477068761571693	0.397297220943546	0	0.497191495045572	0.496929686898196	0.24507466840649	0.2796543447286	0.453606746549259	0.3685673500546	0.285373317636362	0.451510605295564	0.566062133645955	0.264725271938944	0.438734890219851	0.426435761582449	0.420653446379794	0.293157475663319	0.482815536442497	0.504187693057744	0.493743028637524	0.394288584168049	0.418832237121061	0.454828353760248	0.391346138067006	0.50783152233165	0.467154982514362	0.344711324119483	0.348124579879005	0.421307000623946	0.306857432499517	0.519853825559496	0.450260100760406	0.500576110319095	0.530056625060695	0.417582473691645	0.262190547636909	0.456510293830372	0.410626492666829	0.455935410708496	0.360650965962735	0.378342257255005	0.276044999371059	0.354581044127303	0.372164586796	0.341750206456764	0.347328794075073	0.458709300609411	0.465116969429219	0.52801246940916	0.448489720914207	0.383343772929828	0.362015158270174	0.417310953149161	0.450557062930937	0.505484407809878	0.508789026997423	0.466938642972999	0.417248248901413	0.441964402053527	0.515716322882564	0.342677039332714	0.464254417282252	0.574935144075912
ZB_5	0.607676213188148	0.383031997780007	0.603203607666291	0.497191495045572	0	0.596717065781772	0.489002399195109	0.44986744824262	0.475033748242764	0.447628657510726	0.433743907233455	0.594608758734015	0.594535248517764	0.390370465067053	0.330294146315861	0.404791532124687	0.591036225074659	0.51990554907651	0.586996507041123	0.321835480000425	0.501986828138379	0.376351909299886	0.400165978681439	0.479732807395196	0.614150144996847	0.591425531141545	0.620258322571908	0.530543740615416	0.449460090811581	0.614014619893224	0.476923016992201	0.557871281351185	0.563999779704489	0.575168016763346	0.285667883814283	0.440744137022398	0.46687360999729	0.582266568196039	0.46611707378547	0.329910488490537	0.581928441022185	0.338472728211727	0.519119053592148	0.483229304762934	0.317743377508902	0.530023085251997	0.503945826590885	0.610283936316371	0.560049496051603	0.383005601560884	0.494720037894574	0.466163602620979	0.504442044177315	0.536381523259302	0.614262508239176	0.386979053137107	0.568868757203672	0.383731797321737	0.618766674467587	0.48933574565034	0.126815418993741	0.447157467412159	0.462099089792499	0.251540041067762
ZB_6	0.392883210191854	0.473885784208601	0.605876482929967	0.496929686898196	0.596717065781772	0	0.603448998288864	0.429062703856349	0.454834510496013	0.516822285058072	0.511544996077028	0.216423015091313	0.150417463094519	0.505440280611682	0.578421644338308	0.568824458867523	0.188968042119342	0.472147263025513	0.0836459524624675	0.642875378250325	0.5123047999833	0.606464179238463	0.523694755290564	0.66618591592631	0.148933399317584	0.0802349361562701	0.153806401976256	0.593783809796593	0.589279138307673	0.126155506305556	0.554365140718044	0.126819443001914	0.143397584723647	0.0649420874207112	0.628519776694969	0.567438511980308	0.498852130540744	0.0950276148519851	0.536491129064195	0.567585788693961	0.1998806057209	0.490923813773026	0.632171398998232	0.557604971440026	0.520496149039051	0.672987263303206	0.612690585390212	0.272467257016271	0.63880303975514	0.530283662765828	0.662006990115765	0.599182483366024	0.59991222750073	0.203327699630055	0.135834960818512	0.588593026018772	0.118293830489677	0.506279919981763	0.129803022249918	0.572474360596137	0.630037820287373	0.567003722099102	0.494517020717353	0.63394384196974
ZB_7	0.454594157021357	0.482637435180279	0.257576054110758	0.24507466840649	0.489002399195109	0.603448998288864	0	0.403039684773431	0.437721194945643	0.403725986202338	0.347583393904324	0.535536848503267	0.66322763787818	0.409665864895935	0.51256341469893	0.419578450025003	0.485277518947945	0.369370899139437	0.586749873426363	0.41858990348233	0.482896100789411	0.329344140204095	0.398981701219421	0.275246685769715	0.472293480819016	0.605984726163865	0.550678869718813	0.338785746511125	0.346842268517886	0.515314698551556	0.341858150344311	0.608363923598525	0.543006942948955	0.612171715292879	0.439269973255126	0.351267450935052	0.358723090377312	0.542870876286508	0.443307408170473	0.420693928128872	0.452866168354038	0.429682126254776	0.0565576603596874	0.323780147361677	0.291428250326016	0.136928720355896	0.320051949562402	0.543586483272866	0.396636492581319	0.459270572220654	0.302681423159771	0.233066476876821	0.336502591021759	0.510046615055605	0.541814812816359	0.4592393751449	0.608737226743814	0.40974724075631	0.495805398330514	0.343465193942659	0.469697534623399	0.365083778416936	0.461235291004358	0.538225729165848
ZB_8	0.510962705327028	0.497871873628785	0.552558625015361	0.2796543447286	0.44986744824262	0.429062703856349	0.403039684773431	0	0.428175937733318	0.279136925633808	0.329100256438571	0.499552812367932	0.527590932919011	0.183498488292588	0.340884647664045	0.347511630327417	0.481476729030702	0.369638306564042	0.458472480923462	0.44625627543443	0.445862580946473	0.470665218079365	0.251356824301498	0.450763851986643	0.458756191963166	0.47147297667204	0.527803046678048	0.430062553402462	0.417795137458272	0.471920855403061	0.403315804543518	0.48081679550371	0.422585755640272	0.448871893495906	0.461687705239056	0.45831808870342	0.349061791944389	0.432285573938188	0.297226201893666	0.380937922181247	0.415239980083388	0.335498209837248	0.447378035882545	0.461757649954957	0.293467214500501	0.510384890382198	0.468875999764252	0.511847596163063	0.456070382113531	0.486024822644621	0.457607221019324	0.374016716775984	0.447531092100128	0.385314982113624	0.486398042663812	0.471558447362736	0.469231768222951	0.373191757666337	0.483664689883761	0.508620746854929	0.458095792127206	0.392450607214066	0.408892453157809	0.502028523341306
ZB_9	0.357913374358227	0.340024767350804	0.501789737333049	0.453606746549259	0.475033748242764	0.454834510496013	0.437721194945643	0.428175937733318	0	0.338246246006824	0.41278955210513	0.391272661372271	0.433826594964298	0.439840947546531	0.422547238058322	0.36300017262868	0.432992487730764	0.443619663228647	0.459889323308271	0.482415823924671	0.236929842681272	0.452511485263577	0.393558783672357	0.499496145746083	0.433627312389084	0.433033064702045	0.422920444180873	0.357096271701693	0.486905421015577	0.472173074285611	0.434134801986161	0.474501553453079	0.395040646959284	0.478503447192795	0.441150848960973	0.522068588003962	0.39085661167228	0.439293868989877	0.392105488047682	0.342854293063465	0.413656074729344	0.38205148362639	0.463111527140873	0.346078144048501	0.405517987369925	0.511284487004477	0.383772736854516	0.445001494987857	0.565754189183671	0.272511135901514	0.536138692109839	0.454825174825175	0.374948120758704	0.386092719710547	0.509576867865199	0.422311182379145	0.486601133057725	0.305676432906826	0.463579956224331	0.323267005712287	0.482603973778997	0.483400982767343	0.307784399968769	0.502944688081188
ZB_10	0.434046033058608	0.466116158827368	0.53203367927957	0.3685673500546	0.447628657510726	0.516822285058072	0.403725986202338	0.279136925633808	0.338246246006824	0	0.330957822110965	0.491512175033745	0.498608976349943	0.347164734506941	0.402919239380131	0.274311814781789	0.480655234595292	0.491173779374778	0.49272332635275	0.419862425321704	0.2942963555407	0.529276795718884	0.294692706251002	0.379705358866039	0.49331607437044	0.512267877058242	0.514189448441247	0.348933371285263	0.505668983257855	0.535563900314761	0.422979191604963	0.516804473185547	0.435387851227098	0.545549578796318	0.395876465015089	0.442980100325435	0.393298075018949	0.501516767846762	0.107844749609407	0.335662275868461	0.475088722287113	0.315607627866644	0.430932788292403	0.318140350417087	0.396763064566117	0.437637940621757	0.28811576665154	0.48479679212515	0.439583775327505	0.45708704145865	0.425961600272062	0.385227157383137	0.294667834978617	0.39071310820085	0.562324707276219	0.311932947748537	0.514396041324781	0.364635760346171	0.529186008386685	0.470936535587645	0.444903911074871	0.500065987552108	0.395129144359914	0.49227237917745
