ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63
ZB_1	0	0.260486393756938	0.152356441426642	0.938350562679927	0.936610716808503	0.844445048300974	0.152356441426642	0.937467286050772	0.177865741952368	0	0.259578189646473	0.723626861455265	0.682466850466063	0.938350562679927	0.782202585262543	0.176982465323214	0.363306495782671	0.935702512698039	0.835756946868589	0	0.938350562679927	0.177865741952368	0.152356441426642	0.712302222875717	0.782766537432563	0.628992063277081	0.103866788798744	0.937467286050772	0.841082491637016	0.177865741952368	0.788815320644541	0.732377946636279	0.844445048300974	0.930219399116563	0.152356441426642	0.937467286050772	0.793293062816589	0	0.177865741952368	0.718335492627553	0.174119994765768	0.152356441426642	0	0.935702512698039	0.152356441426642	0	0.712302222875717	0.152356441426642	0.938350562679927	0.152356441426642	0.152356441426642	0	0.736985947509816	0.835756946868589	0	0.822551146931184	0.175003271394923	0.795757074024883	0.282763020151793	0.935702512698039	0.938350562679927	0.177865741952368
ZB_2	0.260486393756938	0	0.272981563890655	0.832253577106518	0.826466839356934	0.838537245207332	0.272981563890655	0.832433398181602	0.146512406008417	0.260486393756938	0.00110892065056678	0.754620848298963	0.666668950913813	0.832253577106518	0.727022699892207	0.147323234988829	0.349125693403025	0.82665927386233	0.855609455015382	0.260486393756938	0.832253577106518	0.146512406008417	0.272981563890655	0.774629550848022	0.808505467800729	0.711369305500853	0.204364040827009	0.832433398181602	0.860329306404217	0.146512406008417	0.816627201524429	0.793890703266392	0.838537245207332	0.922601445703959	0.272981563890655	0.832433398181602	0.820563092553111	0.260486393756938	0.146512406008417	0.764349854405196	0.144244471420278	0.272981563890655	0.260486393756938	0.82665927386233	0.272981563890655	0.260486393756938	0.774629550848022	0.272981563890655	0.832253577106518	0.272981563890655	0.272981563890655	0.260486393756938	0.797091720336759	0.855609455015382	0.260486393756938	0.843894504715383	0.143430714776269	0.785574469139473	0.0378568309048319	0.82665927386233	0.832253577106518	0.146512406008417
ZB_3	0.152356441426642	0.272981563890655	0	1	1	0.882247976703215	0	1	0.179696884052851	0.152356441426642	0.273693951986064	0.765734089349853	0.737258763292635	1	0.803634276392309	0.18047859386581	0.381200588209601	1	0.875671255672499	0.152356441426642	1	0.179696884052851	0	0.756134832404728	0.835558563287817	0.685517512257226	0.240398455901596	1	0.87970258778241	0.179696884052851	0.81522805122447	0.751138762955103	0.882247976703215	1	0	1	0.819249887031179	0.152356441426642	0.179696884052851	0.761248894647007	0.183001706514664	0	0.152356441426642	1	0	0.152356441426642	0.756134832404728	0	1	0	0	0.152356441426642	0.755175740577701	0.875671255672499	0.152356441426642	0.865674726183096	0.182224804972969	0.845098868625967	0.292976754045079	1	1	0.179696884052851
ZB_4	0.938350562679927	0.832253577106518	1	0	0.165826662713707	0.958221557893903	1	0.00530816868180478	0.821256977319296	0.938350562679927	0.832433398181602	0.95777599919964	0.942813590325531	0	0.925724844911787	0.82142731090954	0.87292052451711	0.170254595497887	0.980675164330322	0.938350562679927	0	0.821256977319296	1	0.980846533420741	0.973830387024205	0.975528834292096	0.834483773881183	0.00530816868180478	0.981345462824561	0.821256977319296	1	1	0.958221557893903	0.629509485894033	1	0.00530816868180478	1	0.938350562679927	0.821256977319296	0.960117695485799	0.82197709399905	1	0.938350562679927	0.170254595497887	1	0.938350562679927	0.980846533420741	1	0	1	1	0.938350562679927	1	0.980675164330322	0.938350562679927	0.978999392659538	0.821807808125099	0.943382431852329	0.798422279328273	0.170254595497887	0	0.821256977319296
ZB_5	0.936610716808503	0.826466839356934	1	0.165826662713707	0	0.957871673554131	1	0.170254595497887	0.850897336253798	0.936610716808503	0.82665927386233	0.957418580249405	0.942156009511605	0.165826662713707	0.924611715952022	0.851039423993223	0.869626998223801	0.00635668040023543	0.980507457746333	0.936610716808503	0.165826662713707	0.850897336253798	1	0.980681800708351	0.973521890631147	0.975259288433767	0.861930777283434	0.170254595497887	0.981189235591224	0.850897336253798	1	1	0.957871673554131	0.556327251324308	1	0.170254595497887	1	0.936610716808503	0.850897336253798	0.96864502817882	0.851498038387783	1	0.936610716808503	0.00635668040023543	1	0.936610716808503	0.980681800708351	1	0.165826662713707	1	1	0.936610716808503	1	0.980507457746333	0.936610716808503	0.978801190148094	0.851356824625354	0.942737941794993	0.831849240024702	0.00635668040023543	0.165826662713707	0.850897336253798
ZB_6	0.844445048300974	0.838537245207332	0.882247976703215	0.958221557893903	0.957871673554131	0	0.882247976703215	0.957954286732462	0.844953052170747	0.844445048300974	0.838285367787677	0.19478902007672	0.384761416110826	0.958221557893903	0.441182048671418	0.844710334815108	0.777539021972195	0.957602164061408	0.0582939050927312	0.844445048300974	0.958221557893903	0.844953052170747	0.882247976703215	0.230128213837674	0.312890539218622	0.423789531845129	0.824618731487183	0.957954286732462	0.0233175620370925	0.844953052170747	0.399717514124294	0.247442290186275	0	0.980919726098501	0.882247976703215	0.957954286732462	0.384090954462878	0.844445048300974	0.844953052170747	0.22514282118473	0.843923750792202	0.882247976703215	0.844445048300974	0.957602164061408	0.882247976703215	0.844445048300974	0.230128213837674	0.882247976703215	0.958221557893903	0.882247976703215	0.882247976703215	0.844445048300974	0.233506791121497	0.0582939050927312	0.844445048300974	0.135967539078876	0.844166468147842	0.264288994030864	0.840351185737823	0.957602164061408	0.958221557893903	0.844953052170747
ZB_7	0.152356441426642	0.272981563890655	0	1	1	0.882247976703215	0	1	0.179696884052851	0.152356441426642	0.273693951986064	0.765734089349853	0.737258763292635	1	0.803634276392309	0.18047859386581	0.381200588209601	1	0.875671255672499	0.152356441426642	1	0.179696884052851	0	0.756134832404728	0.835558563287817	0.685517512257226	0.240398455901596	1	0.87970258778241	0.179696884052851	0.81522805122447	0.751138762955103	0.882247976703215	1	0	1	0.819249887031179	0.152356441426642	0.179696884052851	0.761248894647007	0.183001706514664	0	0.152356441426642	1	0	0.152356441426642	0.756134832404728	0	1	0	0	0.152356441426642	0.755175740577701	0.875671255672499	0.152356441426642	0.865674726183096	0.182224804972969	0.845098868625967	0.292976754045079	1	1	0.179696884052851
ZB_8	0.937467286050772	0.832433398181602	1	0.00530816868180478	0.170254595497887	0.957954286732462	1	0	0.820303115947149	0.937467286050772	0.831361416603804	0.95750587764494	0.942447749059991	0.00530816868180478	0.925249681024242	0.820474358521865	0.873023752576079	0.164946426816082	0.980398289529005	0.937467286050772	0.00530816868180478	0.820303115947149	1	0.980572113894267	0.97345544430712	0.975178225921645	0.833600497252028	0	0.981078191663119	0.820303115947149	1	1	0.957954286732462	0.624201317212228	1	0	1	0.937467286050772	0.820303115947149	0.959843275959325	0.821027075526469	1	0.937467286050772	0.164946426816082	1	0.937467286050772	0.980572113894267	1	0.00530816868180478	1	1	0.937467286050772	1	0.980398289529005	0.937467286050772	0.978698508394114	0.820856886259179	0.943402931434472	0.79734656068846	0.164946426816082	0.00530816868180478	0.820303115947149
ZB_9	0.177865741952368	0.146512406008417	0.179696884052851	0.821256977319296	0.850897336253798	0.844953052170747	0.179696884052851	0.820303115947149	0	0.177865741952368	0.145561484142497	0.725206342854284	0.684965393655287	0.821256977319296	0.74273589690045	0.000952952387675149	0.276546190442377	0.849943474881651	0.861592867783899	0.177865741952368	0.821256977319296	0	0.179696884052851	0.744576402969829	0.818662175226954	0.673661520082068	0.0739989531536247	0.820303115947149	0.865952598199397	0	0.827685619039414	0.764004289075562	0.844953052170747	0.932470147671872	0.179696884052851	0.820303115947149	0.831188562375826	0.177865741952368	0	0.723847565034887	0.00402878204113228	0.179696884052851	0.177865741952368	0.849943474881651	0.179696884052851	0.177865741952368	0.744576402969829	0.179696884052851	0.821256977319296	0.179696884052851	0.179696884052851	0.177865741952368	0.767637699143383	0.861592867783899	0.177865741952368	0.850817868040618	0.0030816912321482	0.796905313684906	0.113279869992228	0.849943474881651	0.821256977319296	0
ZB_10	0	0.260486393756938	0.152356441426642	0.938350562679927	0.936610716808503	0.844445048300974	0.152356441426642	0.937467286050772	0.177865741952368	0	0.259578189646473	0.723626861455265	0.682466850466063	0.938350562679927	0.782202585262543	0.176982465323214	0.363306495782671	0.935702512698039	0.835756946868589	0	0.938350562679927	0.177865741952368	0.152356441426642	0.712302222875717	0.782766537432563	0.628992063277081	0.103866788798744	0.937467286050772	0.841082491637016	0.177865741952368	0.788815320644541	0.732377946636279	0.844445048300974	0.930219399116563	0.152356441426642	0.937467286050772	0.793293062816589	0	0.177865741952368	0.718335492627553	0.174119994765768	0.152356441426642	0	0.935702512698039	0.152356441426642	0	0.712302222875717	0.152356441426642	0.938350562679927	0.152356441426642	0.152356441426642	0	0.736985947509816	0.835756946868589	0	0.822551146931184	0.175003271394923	0.795757074024883	0.282763020151793	0.935702512698039	0.938350562679927	0.177865741952368
