ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.433929372169067	0.60765869461992	0.507366404154809	0.364102194367053	0.673065319895417	0.348087498369609	0.429880904271757	0.37688931753199	0.41523553203899	0.39954251626133	0.592766553473978	0.653463838214571	0.459151421822347	0.542357904753582	0.37688931753199	0.582777543973088	0.644874364065964	0.636298609536105	0.978529320508843	0.346233679971771	0.664570715083953	0.574114764358862	0.459293335889081	0.545095044305188	0.637018135656554	0.469093836062956	0.546834627490722	0.642430061834328	0.671936986634628	0.588771947871595	0.641555968147042	0.478989852937738	0.640803181093614	0.363458458432683	0.34001235277831	0.650456252277918	0.632328082448879	0.346233679971771	0.37536918547783	0.552302972910349	0.342198452013892	0.450715899576309	0.203997758266393	0.486559198678486	0.648028772400926	0.211600994174452	0.560597318386636	0.347330072178702	0.634875832786532	0.620277246770325	0.450715899576309	0.478679342569533	0.515965886552955	0.6732596402389	0.462466250377891	0.632328082448879	0.351347457097984	0.637260143033462	0.404054574060273	0.50526061005567	0.348491607231464	0.37688931753199	0.520648473830847
ZB_2	0.433929372169067	0	0.704087347891315	0.60094449761772	0.363374383075566	0.7727757279511	0.470026218940177	0.353041215197701	0.281808035714286	0.559697018315699	0.116927486829873	0.712065041001644	0.709855653246127	0.37362680323703	0.278754176392512	0.281808035714286	0.651063671040728	0.628878246345321	0.756718573649774	0.975236301198593	0.254171345200718	0.566349439310203	0.559822639158635	0.552531281823773	0.7177557604668	0.737330848212809	0.61785153702257	0.544144941780419	0.578336981266147	0.775481095968809	0.578208944742048	0.751535572071128	0.687989406312072	0.754123337171057	0.199715738746141	0.462506769712671	0.587212572729029	0.753957167601912	0.254171345200718	0.314904942965779	0.704878092984359	0.268857969201907	0.566769329890617	0.376414942026992	0.410570179299821	0.737488724250625	0.436978328708253	0.697739801863113	0.390475355019815	0.578031070508901	0.693844747598434	0.566769329890617	0.617379435850773	0.678178487480274	0.764548943482838	0.604388434078649	0.753957167601912	0.326706774784201	0.760499141420813	0.25417554897862	0.219290061019412	0.410404948679895	0.281808035714286	0.199541148483335
ZB_3	0.60765869461992	0.704087347891315	0	0.315246212121212	0.802665673774323	0.574212406625528	0.404993558885348	0.650909187070074	0.689264545996563	0.624756210366771	0.694340095993239	0.523771441436793	0.776254917674486	0.670934110794882	0.784479377632044	0.689264545996563	0.336185909258576	0.286447951137602	0.623737501623881	0.982172158410572	0.655590209505729	0.464857495593158	0.386139655595693	0.375449022129584	0.556207198018359	0.704215994073282	0.679720217957179	0.374200117735033	0.440049621781212	0.51363124008941	0.352005305394987	0.624293602687598	0.532426280494685	0.659056116114517	0.680906817802967	0.414851854363008	0.408438366669642	0.61612781695086	0.655590209505729	0.696305875387564	0.378093146000964	0.679140703216046	0.3513570446583	0.684872359564503	0.60082704455529	0.123610134962251	0.669629580576609	0.490087644244159	0.451808634772462	0.713778265594199	0.0370859018138277	0.3513570446583	0.386123730829039	0.585152711257667	0.529722992229241	0.392414253319575	0.61612781695086	0.662785491793649	0.624716407501444	0.707045908883667	0.784810753355472	0.755547409579668	0.689264545996563	0.782667111185198
ZB_4	0.507366404154809	0.60094449761772	0.315246212121212	0	0.570440368975877	0.417756465132249	0.54444404082967	0.592780905110667	0.654981808897683	0.514151096381954	0.629666767953003	0.401107579119934	0.632975099996756	0.545293574033706	0.669909228804361	0.654981808897683	0.327705988022274	0.208675869566676	0.562762249230359	0.982828645976087	0.655413286632412	0.325597613420635	0.351563796514968	0.625583455522972	0.537071168835885	0.559837417612628	0.561743335055236	0.339681235308732	0.300393725523048	0.429274072502117	0.35534516642231	0.566868346340873	0.485193287391336	0.569734436694538	0.637098479686068	0.553246879048761	0.265190154705721	0.558501951701943	0.655413286632412	0.662807380884059	0.283344164334334	0.64517209984573	0.605669599217986	0.564842136567152	0.526015765482499	0.386742356883934	0.589257198462997	0.411519088188964	0.539253757061799	0.639232778211173	0.339193590931119	0.605669599217986	0.249118310270428	0.487633524480863	0.382847684758629	0.253886572939253	0.558501951701943	0.628618467053992	0.568616948865069	0.648729704350426	0.666981308180797	0.513065392816081	0.654981808897683	0.663439325390752
ZB_5	0.364102194367053	0.363374383075566	0.802665673774323	0.570440368975877	0	0.688470188141078	0.619249814047391	0.436998707879553	0.446788717066578	0.49347309355882	0.359795479009688	0.657327287158168	0.574389365463951	0.415930023535516	0.314460347152738	0.446788717066578	0.715795454545455	0.652057746021667	0.677187841462203	0.976569770192899	0.444816986253827	0.560387605633803	0.644526403645305	0.715028239696445	0.685110219901488	0.632328838067438	0.541030282530396	0.635714125652651	0.582102277595928	0.70916458925425	0.658280687551501	0.669967248076777	0.65149199710448	0.67357421875	0.391845476999074	0.614484845094183	0.608150223378949	0.673342714982158	0.444816986253827	0.443261014743403	0.67299654805118	0.442783938028072	0.722924237594305	0.274942052877524	0.483587486072576	0.823102577113969	0.347668991820143	0.655031182272546	0.578255051518801	0.572030310077179	0.796483439635606	0.722924237594305	0.56129416926348	0.659340962512553	0.694390635242093	0.546059141015742	0.673342714982158	0.477477328116451	0.682445197224846	0.42812817535201	0.219369502757125	0.127503863103073	0.446788717066578	0.243283259569905
ZB_6	0.673065319895417	0.7727757279511	0.574212406625528	0.417756465132249	0.688470188141078	0	0.724250509990724	0.728575508864859	0.757594178828517	0.573463897212946	0.767818827475709	0.256701825539197	0.334500177021158	0.715486510084273	0.734036251039193	0.757594178828517	0.39330131315599	0.470000210549464	0.256594857026822	0.989665317582401	0.795237344195371	0.517632680695152	0.539499823364516	0.789866839883079	0.338867876981498	0.176418902288949	0.466152512123617	0.542412398309322	0.512400420494449	0.0664283170515408	0.550538250729907	0.28010591650908	0.402106947885379	0.212300124171595	0.780931638882775	0.73042346742746	0.511397220688431	0.271679066535996	0.795237344195371	0.740912448443084	0.296401754095936	0.753081397991183	0.776028631654026	0.732584053926174	0.678036017798827	0.493197647143733	0.705595991525405	0.338256285500968	0.730840702772474	0.521273274749585	0.591561738315966	0.776028631654026	0.503349219347214	0.331072557968412	0.0753433772159118	0.512305508506539	0.271679066535996	0.734567334822883	0.248061801500867	0.754452781347232	0.756810328062591	0.672286456224884	0.757594178828517	0.764260176223316
ZB_7	0.348087498369609	0.470026218940177	0.404993558885348	0.54444404082967	0.619249814047391	0.724250509990724	0	0.396439806498826	0.463508426687369	0.575704711548176	0.437192408534385	0.68953596908024	0.762539563043743	0.425227382887121	0.59610932255634	0.463508426687369	0.536739210623386	0.517801323029285	0.586437618092016	0.975868778982227	0.36977694628002	0.698175864368287	0.624597717848221	0.154626901509202	0.506335388579335	0.680653432770881	0.647436324023413	0.599109032186212	0.671402993672895	0.663669343454606	0.590785488470807	0.586544505461816	0.473740844874866	0.628047853259312	0.436576624251317	0.0145467642453741	0.655357744892983	0.577069424433448	0.36977694628002	0.460454654138734	0.553732151820725	0.43136334503832	0.122016737783069	0.445769564088915	0.324442353567321	0.47315733389365	0.434324991039238	0.667436136125838	0.105987058908426	0.684045853709839	0.439012814428097	0.122016737783069	0.60163429581974	0.540878016295017	0.682673435515248	0.61077711115093	0.577069424433448	0.427400899243451	0.588009847326128	0.488680165013225	0.569042407331682	0.56889597279779	0.463508426687369	0.583417121689558
ZB_8	0.429880904271757	0.353041215197701	0.650909187070074	0.592780905110667	0.436998707879553	0.728575508864859	0.396439806498826	0	0.463207578454022	0.683919856620881	0.380287426184291	0.761319203407551	0.727583603359864	0.149191301416512	0.351526607158473	0.463207578454022	0.618038873782146	0.512489761709747	0.656843180025061	0.964927331816232	0.510597052041416	0.590821887574065	0.648110374012253	0.501339578179543	0.675854287556415	0.685285604518778	0.69089551852953	0.654071227334086	0.54188808339417	0.702898766166196	0.644820415411828	0.658046845328358	0.624518127852801	0.669608340285389	0.437417443147335	0.387982460367176	0.510530702973048	0.647892126558346	0.510597052041416	0.483948439475893	0.673279258164253	0.483536818819926	0.490923114003374	0.57624323451401	0.17326586230119	0.690015498051003	0.564621045980002	0.756361205007243	0.361106989167532	0.565707909218582	0.665419570690563	0.490923114003374	0.700789182915354	0.659990001128905	0.685811249597129	0.712042964268494	0.647892126558346	0.44388510192397	0.657635753467121	0.446135597666475	0.327187595619472	0.336865652640449	0.463207578454022	0.312571341325985
ZB_9	0.37688931753199	0.281808035714286	0.689264545996563	0.654981808897683	0.446788717066578	0.757594178828517	0.463508426687369	0.463207578454022	0	0.514166598544919	0.222938506647387	0.647789920608273	0.721539919420632	0.444612182346348	0.257761575634974	0	0.637000418185077	0.672223872134777	0.781542786527696	0.979131546414925	0.194890169808381	0.606740451443046	0.403556208295838	0.540393584562204	0.684096764846387	0.717972259216458	0.532112962809754	0.485433302580091	0.610545943019829	0.772488777410569	0.429482650815692	0.777193903042202	0.651491501408272	0.75152068435882	0.109888623990321	0.456373199176766	0.618053616582837	0.779224300925465	0.194890169808381	0.0492059518090225	0.632258841202503	0.048239939852476	0.554101660795169	0.320959513730598	0.504684193079532	0.722973894851737	0.366040463941829	0.654914194788381	0.388765452924308	0.534978433832248	0.678993965903402	0.554101660795169	0.576039890714281	0.649809658677895	0.786374501287925	0.562059716450025	0.779224300925465	0.0666741944697216	0.757689904179975	0.0396897128420453	0.341121788394668	0.482649376231123	0	0.327110984592392
ZB_10	0.41523553203899	0.559697018315699	0.624756210366771	0.514151096381954	0.49347309355882	0.573463897212946	0.575704711548176	0.683919856620881	0.514166598544919	0	0.530880825515314	0.397040228539315	0.384805077062557	0.67677238980071	0.645023366401574	0.514166598544919	0.540552034238041	0.652756311179804	0.522579753824269	0.986787451859363	0.435063158885964	0.583902634274743	0.504474214566634	0.650171653277596	0.404755429609525	0.504034615834405	0.1944121370944	0.477215065071645	0.599562570388627	0.59958457253458	0.5211909803625	0.512694226098765	0.385749248919176	0.51762841640235	0.492931890703001	0.571508254484358	0.619126422149733	0.517311487792071	0.435063158885964	0.510524455299184	0.470181648105778	0.485056813537154	0.657852018994376	0.31215332116641	0.700484244751133	0.59569276273223	0.363496792504502	0.32661688462665	0.58135893779165	0.452219103587405	0.613962927187207	0.657852018994376	0.368370246679831	0.382241403668174	0.580907206399899	0.348624301846722	0.517311487792071	0.533313963988724	0.529797736727654	0.53696149758849	0.612148055782861	0.536199868186589	0.514166598544919	0.625084968848364
