ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.44239444936522	0.341857602227659	0.406474190223835	0.564708145867866	0.480411441272577	0.397193939135745	0.416015949493271	0.426544928885708	0.299169627188289	0.452237487151612	0.42286746945312	0.472426441327024	0.334445546637809	0.310762391864002	0.532392292931683	0.363564068705175	0.291078042498022	0.493784007500775	0.878592031924353	0.295175099619589	0.567002008290071	0.512987426665199	0.380144972072088	0.39803030507955	0.482948330094364	0.388088313860867	0.536642845799587	0.411745100006148	0.484937871463982	0.532392292931683	0.451654644158548	0.37353255308837	0.485033452991214	0.455808971594236	0.350639242645531	0.405283159851415	0.449863892068649	0.262637470335809	0.476246116419046	0.393287018425279	0.465234503115776	0.406460833620982	0.288931286582857	0.414037334071594	0.286999524668448	0.371704113775342	0.41491588153653	0.403679482528195	0.568369796833634	0.370801470214401	0.355193172337072	0.344759228857497	0.389058216017396	0.490922145861114	0.239349099500264	0.454727158634008	0.503305496080321	0.502174315981579	0.44337127403489	0.564708145867866	0.34231076375252	0.524816791821225	0.564708145867866
ZB_2	0.44239444936522	0	0.460599389760137	0.38095011891529	0.245638598305557	0.484378697467974	0.465071496607266	0.297606918571171	0.284323510476314	0.440193455506147	0.292235944858713	0.449173223328196	0.471347364064611	0.390333388014688	0.350439165057277	0.367345449237282	0.395622821907011	0.455673467569246	0.498409347313933	0.684734746530061	0.492919506307076	0.373637307492646	0.402842151438588	0.465520295065361	0.57176269509288	0.487043698092079	0.514929376005722	0.619942335256595	0.336868072376573	0.489132638836083	0.367345449237282	0.478849152233688	0.491437533088048	0.489232972003827	0.218501558112765	0.559673611520982	0.366097154035637	0.485491073902107	0.508242926510874	0.468143943888515	0.49094956358737	0.308918246906923	0.399976999061313	0.403166628756787	0.270632374196591	0.529210662465019	0.402981981836137	0.544205236531292	0.550103747852697	0.254141169437934	0.430484492055684	0.464505729609332	0.529605584686256	0.523974513896518	0.495410221853185	0.452266345121531	0.476218127015436	0.394617595784038	0.511862517457537	0.303755843113013	0.245638598305557	0.524637108089492	0.391223361212643	0.245638598305557
ZB_3	0.341857602227659	0.460599389760137	0	0.380380517979318	0.529177631794825	0.583960561991619	0.106243854121059	0.386797137618417	0.330132029275915	0.473289597000937	0.408220847817254	0.583707640472496	0.634821413217314	0.303329595162676	0.37467195605737	0.527160716907405	0.427860646861261	0.466377653533677	0.565692585923494	0.897172149349571	0.357707201027974	0.466590613371044	0.458682146989806	0.0616466710256004	0.49983195671383	0.579155040670446	0.583304293085423	0.463357453700852	0.287390737067568	0.558103053937867	0.527160716907405	0.547042694704312	0.502176401711522	0.558185057996492	0.376707541365904	0.158992145185813	0.322568349561662	0.553141781959976	0.375063625823601	0.449931025422059	0.472950978197804	0.452862613496434	0.174580580629592	0.438345632967892	0.370280293120309	0.266775950685586	0.297878564212803	0.602631434479477	0.124746541790699	0.519773325370627	0.152383792176813	0.18914855023049	0.344081020307533	0.499109175711223	0.571314244018407	0.430489922270863	0.55702520537133	0.448990450852772	0.568080187886563	0.356958825679133	0.529177631794825	0.438031502869035	0.543104859390857	0.529177631794825
ZB_4	0.406474190223835	0.38095011891529	0.380380517979318	0	0.445350187452307	0.425703145152866	0.402008467756045	0.117676046279103	0.389301611944643	0.466739543996138	0.427668726344417	0.45575144739292	0.449517780726842	0.312132777582484	0.290952719574246	0.41149214406504	0.419966864411309	0.263126801410695	0.441330424395262	0.853266314986231	0.509287523347256	0.451969310899123	0.480246728674873	0.351587201214114	0.494050872307385	0.434987780174098	0.487901547960268	0.598913622592615	0.279140781681228	0.430998065208392	0.41149214406504	0.435764849506846	0.439328295254059	0.450656200274034	0.420974488858639	0.467784642541924	0.156879939492924	0.452711379654096	0.549148618507347	0.454402742805473	0.439907741235309	0.398180165262423	0.387868554203257	0.532546753350991	0.142989379323784	0.513110861353592	0.378517229246907	0.500038019199696	0.471016026378345	0.435841544739723	0.472936382944908	0.409480545701018	0.580298622450153	0.46531164003283	0.447274114875402	0.496908425429089	0.45765047948958	0.499892651163338	0.448233742859548	0.340810484014368	0.445350187452307	0.407419921830581	0.432065209705657	0.445350187452307
ZB_5	0.564708145867866	0.245638598305557	0.529177631794825	0.445350187452307	0	0.575328681585517	0.512592643318942	0.362864103758375	0.289384629085404	0.467519758881303	0.367844653046199	0.533826650846807	0.560545131228464	0.420887860725081	0.36105791514115	0.269319649040437	0.477192917994237	0.515088844928907	0.58688447755251	0.617215777029232	0.458974891358591	0.164554330989226	0.234466477028413	0.500800813440374	0.678318539097439	0.577523605113805	0.634095820053762	0.502329099334886	0.347611263231027	0.579244079453189	0.269319649040437	0.580939965088274	0.593917741718776	0.579326714942485	0.239661989301496	0.628347853401207	0.378539743704633	0.596721627446514	0.491266688998421	0.34419817982112	0.591338550398184	0.382584762442001	0.430719677705647	0.373932953202705	0.334687996320491	0.608241497591593	0.519896330166739	0.57554046334497	0.621444595721123	0.0141834144120514	0.511277584845837	0.545177536078547	0.614602850724453	0.633804040276822	0.584414365171094	0.466871365629502	0.600383720526444	0.228918961358979	0.590981835553674	0.382094641476518	0	0.549328028018693	0.301009881256492	0
ZB_6	0.480411441272577	0.484378697467974	0.583960561991619	0.425703145152866	0.575328681585517	0	0.533361186628849	0.450530943076848	0.509010718205445	0.510782314226293	0.433591143887852	0.171372966621378	0.176981736240356	0.462047161331629	0.452212991210286	0.486935784607727	0.306122001665797	0.333290695864805	0.0272111524040216	0.83744251936274	0.604926987092631	0.633995706406919	0.578340412163348	0.567408084400425	0.237038205570619	0.038429373747401	0.265670326442184	0.703200971223673	0.562705859027738	0.0453698941500481	0.486935784607727	0.108442280253509	0.147174384019388	0.0342145930265296	0.505357164975908	0.589544983978309	0.498898887375259	0.111619437900255	0.63148061277288	0.588381334736859	0.156797689293005	0.384908832013448	0.52581981462901	0.56730616296183	0.43664818332406	0.572916789260397	0.582788608882271	0.327077289190707	0.623274340645797	0.569218732345423	0.564194232191274	0.526650896209206	0.632392408183387	0.204206333670245	0.0331548428841623	0.57604798134864	0.10294239638982	0.571067037385266	0.0946510933404121	0.486552080053879	0.575328681585517	0.529284479321894	0.461721277698217	0.575328681585517
ZB_7	0.397193939135745	0.465071496607266	0.106243854121059	0.402008467756045	0.512592643318942	0.533361186628849	0	0.377790345653548	0.323796142943099	0.489497392911359	0.337306954537181	0.529993461575302	0.579396747574787	0.331328167897017	0.36619791348911	0.512877232642645	0.408845535985643	0.480386060303935	0.50762434927248	0.884720781873605	0.417585947365603	0.484915569581498	0.475620033710571	0.0957070362687606	0.487104285956949	0.528581011898457	0.547556250275197	0.48183111081366	0.282643037938734	0.499020073524422	0.512877232642645	0.547589529739934	0.469180587278129	0.507123293108923	0.368108610681233	0.242368834369799	0.350626749890832	0.512143419413356	0.434264082839479	0.467734741138587	0.44059214084639	0.442322737752908	0.198144397255799	0.486626807943481	0.392920364460916	0.320088824946048	0.348386171996236	0.627833240498736	0.21579748187661	0.503671492471806	0.197160809243128	0.248907724162484	0.405616101053059	0.465669896605857	0.513246007367393	0.480071520787199	0.516324553299835	0.436937153864676	0.507410534599573	0.367100011763727	0.512592643318942	0.456877054650617	0.528595259663806	0.512592643318942
ZB_8	0.416015949493271	0.297606918571171	0.386797137618417	0.117676046279103	0.362864103758375	0.450530943076848	0.377790345653548	0	0.325966476990791	0.398396435175361	0.409034985155541	0.471966577593783	0.466788441982477	0.277804874056859	0.233554471790261	0.351744863615033	0.359380698717323	0.270766899060321	0.465482629326078	0.803371430618752	0.504809155091371	0.444923264117737	0.454030820173204	0.357530918300927	0.530423214935326	0.459587969016351	0.495032734245982	0.596788156448491	0.204151470474121	0.455596955026656	0.351744863615033	0.451592018914201	0.46497976912352	0.455703874525108	0.344893156115719	0.491689937236803	0.222289560832017	0.468506334215276	0.532700765597003	0.448189690242343	0.465035093283622	0.342537697052776	0.380053118417437	0.497234946906775	0.116347968547581	0.490146183949599	0.370224303672665	0.539920209068265	0.478997372523658	0.369339943825006	0.43814560730152	0.395654202690935	0.565760905127031	0.481317079634292	0.462286627472743	0.478938554682468	0.473332725631142	0.445281818210176	0.463865454979751	0.309800923085461	0.362864103758375	0.41842410541658	0.375724636596804	0.362864103758375
ZB_9	0.426544928885708	0.284323510476314	0.330132029275915	0.389301611944643	0.289384629085404	0.509010718205445	0.323796142943099	0.325966476990791	0	0.395457750935754	0.283741090234064	0.421718507728636	0.490979984766714	0.380367742073445	0.308589203094891	0.276453362745667	0.351646238268629	0.435126625375191	0.521810397067443	0.745606613827292	0.392764951947261	0.391497461928934	0.197411098552763	0.299354202319046	0.54195849477204	0.529622656264099	0.502549362601118	0.437832348134559	0.307838106213805	0.513344211711848	0.276453362745667	0.521009990368454	0.474464357609985	0.513435708336366	0.226165343329592	0.44114506299749	0.322535230288257	0.536502433634303	0.436412856424241	0.297372109443334	0.456268784561976	0.239368095701448	0.246119683014511	0.330925180694183	0.284655467007526	0.437023284876997	0.370333086696538	0.501736911900369	0.425843028103075	0.278749962893698	0.329768608185934	0.335319810595974	0.476365937874031	0.510892448906665	0.527504644208895	0.416742663170827	0.540503072774946	0.193323026031929	0.531537407327906	0.229720806487803	0.289384629085404	0.481901484433735	0.304189384494191	0.289384629085404
ZB_10	0.299169627188289	0.440193455506147	0.473289597000937	0.466739543996138	0.467519758881303	0.510782314226293	0.489497392911359	0.398396435175361	0.395457750935754	0	0.448964081814234	0.391175860399714	0.441956585181828	0.429510900286129	0.378811251989749	0.350643514906046	0.353796094896688	0.389802999312692	0.52337323023691	0.832202111613876	0.242345932226887	0.518582404994608	0.418472639120695	0.506074761011755	0.454171898438802	0.51317091739627	0.351708107916708	0.44515424496375	0.488179943243389	0.515044166543594	0.350643514906046	0.483706402915148	0.443496128399848	0.515134161161007	0.449955906338574	0.541735913794028	0.503077237324713	0.499706094896585	0.221534072642482	0.41215364023629	0.45445059470717	0.363308310503795	0.524749949107688	0.226422332898998	0.43951218800601	0.414643354757517	0.385035192203573	0.333128643565713	0.531863573197639	0.472451581420451	0.479618695516142	0.426034357058234	0.375523757337524	0.478472484655781	0.520678649486732	0.198727661502733	0.504077673147087	0.377693093622881	0.541954786157309	0.362233683897125	0.467519758881303	0.517955105450619	0.345393522103232	0.467519758881303
