ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.346864895682578	0.321063212874938	0.480988025894166	0.477085453861884	0.593263077920632	0.365896814469151	0.470483693371102	0.380955250664578	0.411933636053786	0.404859995079281	0.408163575067754	0.497903691040777	0.348651433747606	0.61805396140367	0.399914319837987	0.472320450953935	0.329704384548503	0.371265727569965	0.342857740104727	0.278253756206878	0.476001106446186	0.357751072194425	0.451324661506504	0.404537756648412	0.49973001939619	0.455086592587459	0.364280995762107	0.47230358753863	0.41115430617035	0.467123252764313	0.350421622534379	0.439742931080413	0.508060991519896	0.40267901160793	0.355768987192895	0.47646466100475	0.384140616531448	0.411058867964729	0.387905083907873	0.210769602191133	0.349398052459994	0.497559255174087	0.299258557773078	0.482442730846273	0.407824457830858	0.381127969819889	0.447528260069655	0.31030496739361	0.498357390875163	0.354559540695425	0.366432330140602	0.356194606379449	0.47699264758942	0.393596194339837	0.468377454365227	0.451009810145222	0.349149583111099	0.359364320483508	0.384928477374037	0.513498005355484	0.438439875502992	0.366674355573496	0.479566331603194
ZB_2	0.346864895682578	0	0.192132308639246	0.332079984594959	0.248612330822013	0.607266983642988	0.287657724433579	0.427613497373912	0.249613218788438	0.498780071395313	0.302008603010313	0.37310597276689	0.539191546116754	0.313617557190613	0.522341010446576	0.21560770295203	0.386171264236867	0.321833199024691	0.376658871357337	0.0996784182091213	0.350047446420528	0.363287606826348	0.268331347847702	0.47622870946048	0.331104138909185	0.502699633343068	0.435510835732968	0.27550752416672	0.372708575152219	0.461422500638155	0.350245179399048	0.341838128146348	0.373330411312833	0.553469296435065	0.196158225800352	0.277169138692254	0.350623406206848	0.415566424425948	0.480643585797617	0.237392373923739	0.220751639714388	0.248978029893751	0.54348881462313	0.3594252205056	0.379746227242333	0.418473004712854	0.415729793488578	0.476049618320611	0.146044914890574	0.375426754945131	0.305988652076479	0.286775637941422	0.476285535619799	0.429713323424828	0.338219542123425	0.608973648224119	0.472228521068434	0.286018880860217	0.327854553912352	0.309722862853629	0.293192170202952	0.374963829950573	0.257417228372651	0.312627366552721
ZB_3	0.321063212874938	0.192132308639246	0	0.330240244314879	0.359953033298841	0.635154902344861	0.157811340246964	0.435568313146054	0.302732100730962	0.44918905544796	0.361245836394371	0.446117915273169	0.593192435615405	0.274667000349504	0.54527688990411	0.260737608205512	0.372179740021334	0.312617968652559	0.389884484433785	0.202967151804623	0.324226946897262	0.375520904426584	0.229068807504098	0.3571340214941	0.338801734991791	0.539509102052938	0.521385991740456	0.247226083807432	0.392597335859904	0.467846729133052	0.352488448098621	0.356132326348261	0.338840004166121	0.587527048174546	0.291761818333459	0.214880699992379	0.354289281613579	0.422361546499478	0.417934698077314	0.290908879617901	0.245254259648268	0.188230235557983	0.387930271233893	0.29558585206088	0.377886811775672	0.270979236935935	0.416974584970525	0.510657338637507	0.0690420402829721	0.358097382875241	0.143583399102693	0.166463362413171	0.416727297453507	0.405603071768689	0.373434953694503	0.546044266140822	0.484053238177923	0.288781976061957	0.342293547425195	0.312446608679006	0.351689354186872	0.305178334344113	0.300573131591013	0.353752205238166
ZB_4	0.480988025894166	0.332079984594959	0.330240244314879	0	0.333579395496051	0.617523459944617	0.25409612355931	0.228334532160327	0.255382188789129	0.488564592998334	0.400221356300812	0.402892466944817	0.574322172965294	0.208416464803007	0.464632038530985	0.221033729677263	0.384750209564867	0.286341575160194	0.379009198564916	0.268773502655195	0.356214226768637	0.295531684477415	0.294689008538489	0.266264085410376	0.370652855713971	0.531469745916836	0.521773038978113	0.259031233506748	0.307059867989346	0.476918038366386	0.354744141548918	0.344001806427754	0.364027211795125	0.580552569407118	0.36561216120996	0.357226218631826	0.266135707638004	0.431297131411379	0.468832466259519	0.264461740178865	0.392038880325033	0.274321552841492	0.5181674600902	0.345615202834003	0.285173891226309	0.392583821759122	0.484709179409017	0.484193927317646	0.327253668763103	0.371631605534355	0.253138004303937	0.253185625313193	0.464994885036162	0.436248653128885	0.377118566153424	0.592431193685142	0.461567281389474	0.279311196178213	0.34486179414755	0.293337006030437	0.297711147438249	0.307252787379096	0.25021153583405	0.278083124563811
ZB_5	0.477085453861884	0.248612330822013	0.359953033298841	0.333579395496051	0	0.728147932114313	0.289367286753323	0.428754016550882	0.251608899622873	0.49992876831119	0.167146916556249	0.484742290446194	0.668901987241656	0.315223715721658	0.319503859334317	0.217693822688	0.384462378338101	0.323389048610149	0.5223232945003	0.276520573417804	0.351621050978476	0.140117149500148	0.270230950231324	0.303759851681176	0.484768403968213	0.633318641270104	0.596150198962645	0.277355472932915	0.149591405408155	0.594407356459242	0.115905464268771	0.497947373036054	0.517400031202746	0.676279226502151	0.130597396271628	0.220963945567627	0.127094796469564	0.413757360526878	0.481968298029772	0.239420556537907	0.36548080269988	0.250849893342315	0.544584403566579	0.360976120470785	0.161831749415954	0.215655242197027	0.417220080059194	0.578032490721283	0.356380774013294	0.173527667217894	0.30765422169179	0.288487317195513	0.47755350427947	0.542870320735151	0.489254328587918	0.609915003719536	0.470443401248297	0.287881173321803	0.4852952195713	0.311558679911636	0.295071951237044	0.160554510964497	0.259354123145683	0.0790523434507628
ZB_6	0.593263077920632	0.607266983642988	0.635154902344861	0.617523459944617	0.728147932114313	0	0.710291325664688	0.506981775542729	0.717610776428338	0.642493817041958	0.67591021300508	0.327068267865797	0.172943484614923	0.669544801519578	0.784467806449329	0.724211270256971	0.452599186471427	0.634064116595735	0.315416565689205	0.654319458747768	0.679705264079144	0.733380924796917	0.722224254983684	0.650519560126829	0.338368926234681	0.129856670082088	0.307342320898622	0.726819949065797	0.734503020393956	0.225100535410556	0.742289882220786	0.367748399928045	0.335334545627149	0.120828559081123	0.691372590609009	0.682981743429103	0.732628344611559	0.433397122005216	0.680250567644457	0.720018909485924	0.572113339240417	0.739324243332334	0.687996635356792	0.677376371064811	0.722382506040459	0.725036650433983	0.65370709146004	0.290017205443177	0.622097565986695	0.697702040733657	0.706385074869558	0.710476675532417	0.645231468449339	0.278845244558079	0.326052199499974	0.624996150174012	0.391591115400968	0.717080756389212	0.376072786033417	0.705136489306484	0.746433512200987	0.732196637340226	0.722781677458334	0.751135921831559
ZB_7	0.365896814469151	0.287657724433579	0.157811340246964	0.25409612355931	0.289367286753323	0.710291325664688	0	0.363874736904223	0.175431225886051	0.385289347637983	0.359952764318316	0.485073177266486	0.669027602678543	0.166113730848479	0.476599587490941	0.149796971882521	0.440517166530227	0.213045492319403	0.469690178721497	0.238373764789216	0.206603058529056	0.294589089028853	0.161241575720109	0.300186308814397	0.421393444295558	0.615052481403824	0.608996974887925	0.11111497502869	0.312755449021685	0.544474496330739	0.286660623548325	0.452379681216578	0.432357182087135	0.660779557640956	0.325763154817706	0.245822893087851	0.288104774199243	0.50033872606739	0.349306768602757	0.161904812552682	0.298527456986025	0.0674509535997141	0.315764694552857	0.237284548229822	0.289998327665979	0.196864959370409	0.351315234749281	0.546635855186041	0.148782931438851	0.290507084481043	0.0575891191355851	0.0108833516362254	0.371226129827854	0.486056982482276	0.427168057462765	0.495659991085795	0.560469505908478	0.206725231922602	0.426574980127255	0.231381193005358	0.265942976991444	0.271889929716549	0.174947123740917	0.281069809009963
ZB_8	0.470483693371102	0.427613497373912	0.435568313146054	0.228334532160327	0.428754016550882	0.506981775542729	0.363874736904223	0	0.344336256555756	0.470717115191774	0.477751711834115	0.26216487923877	0.453324120346591	0.262219462983082	0.517712740268521	0.365083930454646	0.340212010044665	0.291569720795892	0.374301953967084	0.379212064571929	0.351541862987836	0.398337032797304	0.389432784299476	0.364229999261154	0.269887897740866	0.406985904327793	0.486416295444234	0.378798509728616	0.37576354679803	0.356089734632854	0.437824225731007	0.340815041305849	0.278134335227225	0.460972652955193	0.453258126201599	0.450164555213353	0.3727527345672	0.445050773683266	0.526136124774036	0.3334021150374	0.406864644386835	0.370994800197179	0.596071758758385	0.335220918989364	0.366890749529349	0.448909032281179	0.543036528312139	0.357097988865764	0.417766348843526	0.34734162075964	0.38051222534768	0.36307413891457	0.481932539927237	0.310383428913108	0.359250323841994	0.56749274813974	0.481226902159347	0.346717823059066	0.327416176900128	0.372538914414493	0.414228367340915	0.416112506278252	0.320623764078755	0.383871257686863
ZB_9	0.380955250664578	0.249613218788438	0.302732100730962	0.255382188789129	0.251608899622873	0.717610776428338	0.175431225886051	0.344336256555756	0	0.369114343892353	0.376700164429048	0.453524562352704	0.649105310899476	0.20771635937383	0.42704477778087	0.0567438663089567	0.505770569620253	0.254009068926811	0.479841466279155	0.203428153116904	0.158984877848665	0.242177176614585	0.114696671678066	0.37981746517047	0.476237016359958	0.620561474899027	0.574547426531072	0.104194543534968	0.233213634942781	0.576448067494015	0.247919007809667	0.461862686194206	0.485131721338325	0.669686156098454	0.293851012698578	0.369846957097148	0.246862099264183	0.530646332238429	0.317202005058077	0.0160250756048387	0.345666042584355	0.136234921934196	0.474636338740596	0.203256461641517	0.252599115669008	0.294448180492148	0.321082738251019	0.552510800832117	0.288765170662841	0.332296859462412	0.195003076136373	0.165358223153304	0.363782356398434	0.521381303984397	0.459989494266645	0.4948689287941	0.575778285768152	0.0849785803123129	0.449013975938994	0.0801048813361805	0.216496421619651	0.279303273802427	0.0476975755063184	0.252709278029155
ZB_10	0.411933636053786	0.498780071395313	0.44918905544796	0.488564592998334	0.49992876831119	0.642493817041958	0.385289347637983	0.470717115191774	0.369114343892353	0	0.544962039318216	0.513499308975532	0.605253883774453	0.37603233918541	0.630319684854551	0.391708053869566	0.544570424735024	0.324974862638017	0.504933174604273	0.457791110265394	0.260864660745412	0.488862811757143	0.384967218272839	0.506103893371686	0.560434834786783	0.605651086754026	0.585111122812276	0.326134720866756	0.467609681998047	0.558262893066849	0.450744059177491	0.515794906476357	0.545728236353572	0.602376127057656	0.524443257634959	0.522765607936348	0.489195534168287	0.5683577653402	0.419673303581645	0.377424692438559	0.458561913424398	0.374037993062642	0.439769234380653	0.221680051974621	0.473511682857534	0.437205379500624	0.462962325639268	0.523556571798284	0.467541217258108	0.48331187205901	0.372746834954454	0.385880257821929	0.378111860612844	0.518504247981968	0.503988339011385	0.487257610649372	0.536395886112765	0.367274756044928	0.515103893836214	0.324782700273819	0.329418409555293	0.497047274978924	0.386863473151624	0.48696777582668
ZB_11	0.404859995079281	0.302008603010313	0.361245836394371	0.400221356300812	0.167146916556249	0.67591021300508	0.359952764318316	0.477751711834115	0.376700164429048	0.544962039318216	0	0.441720598316668	0.587387994989883	0.356209600548092	0.39635229732457	0.348453888028607	0.348262883697607	0.39263809190262	0.438006431438909	0.319548549440361	0.451780609704369	0.242380141201493	0.357098386041091	0.34248628760263	0.476535259888702	0.585729562237397	0.60632616047159	0.393997379273134	0.250966534365886	0.511195627354721	0.263679139860475	0.410303492346836	0.452797757868243	0.598009175517416	0.200109886545957	0.208935861315547	0.230693424293067	0.32663063610718	0.565583689829267	0.366549065308664	0.313598044204675	0.337484102208348	0.58121444437155	0.4596905372259	0.259805467007625	0.296047760522592	0.511286468570548	0.536593291867014	0.357968228023393	0.288988442826743	0.375806708591458	0.359189870570483	0.558259410213378	0.476162159860575	0.424136237637822	0.663480441878907	0.382833059339038	0.378911176386073	0.398006365498626	0.42662952379432	0.412898500981785	0.222495992690198	0.354685828770294	0.191563831995019
ZB_12	0.408163575067754	0.37310597276689	0.446117915273169	0.402892466944817	0.484742290446194	0.327068267865797	0.485073177266486	0.26216487923877	0.453524562352704	0.513499308975532	0.441720598316668	0	0.255464213251242	0.459518444438818	0.652827236127568	0.462286367133764	0.268128094077838	0.438195453163531	0.204223977664424	0.391370172773204	0.450058576301651	0.533302161511388	0.448980964796966	0.441815150389784	0.133697186670862	0.214814814814815	0.317363068923529	0.487510491887734	0.530835612539735	0.174253510389937	0.501378135362037	0.206654265304216	0.127756829732894	0.284825474017087	0.444845009923584	0.482618297276044	0.533052041593015	0.30085303581312	0.589120541239039	0.444194811506754	0.333775945209309	0.481103849688553	0.651315180380821	0.442091479251998	0.538410429450764	0.517211695802981	0.537765165391759	0.137954839846596	0.435463735951794	0.469640798391533	0.490716711939361	0.49008057654772	0.544742755384033	0.132552944736663	0.193778235203887	0.624980179234399	0.341386122571076	0.43780725350153	0.172938504722345	0.4587373199838	0.542437197470233	0.525789991971499	0.450189589796622	0.523629406114102
ZB_13	0.497903691040777	0.539191546116754	0.593192435615405	0.574322172965294	0.668901987241656	0.172943484614923	0.669027602678543	0.453324120346591	0.649105310899476	0.605253883774453	0.587387994989883	0.255464213251242	0	0.627093930090935	0.79930952200415	0.657513491918392	0.406894031350745	0.590847596429449	0.341285372092079	0.59292285539939	0.618831325942107	0.685011296785091	0.654983355843872	0.611589138455985	0.292075026053036	0.157667165815085	0.224981285601422	0.660833820893971	0.681983722427826	0.199555171576678	0.680491529626173	0.321094205156692	0.289689120708471	0.0836089094705178	0.631303122119885	0.646156595246537	0.686794044800087	0.390483446700596	0.601321473050305	0.65217413729077	0.484992567621373	0.676727374990812	0.638712887334296	0.60764347826087	0.682532262514177	0.685983521693332	0.575635742479661	0.315451859255947	0.580666241457288	0.644099899405417	0.664533735732747	0.669240813871588	0.567436099495162	0.229548466565138	0.34195194296726	0.647053864627751	0.346217437023418	0.648429693758569	0.330097995962513	0.633186957436161	0.678568760997539	0.690235775834996	0.655693234014238	0.697742273801591
ZB_14	0.348651433747606	0.313617557190613	0.274667000349504	0.208416464803007	0.315223715721658	0.669544801519578	0.166113730848479	0.262219462983082	0.20771635937383	0.37603233918541	0.356209600548092	0.459518444438818	0.627093930090935	0	0.434570009489664	0.193049946810817	0.447862810810645	0.148861830140857	0.408222674637945	0.245714706946079	0.222314924750505	0.274391822523769	0.227108118181543	0.374844383530352	0.399962404730169	0.583821220501622	0.582243136678217	0.213060809813249	0.26814983251535	0.505468303895671	0.318924365232188	0.374528907423809	0.405519341963232	0.631018445359534	0.349463969927041	0.309165497680011	0.243584485784014	0.45993263117787	0.435878315312182	0.217987532938832	0.263472853073536	0.187669122343408	0.452593539994612	0.208599104656138	0.24503491245275	0.326003412716077	0.454482864680066	0.539394080882598	0.255662852832754	0.356011407218016	0.163973500820728	0.165125969862369	0.361571356844821	0.465417000801925	0.406066722490578	0.485112218265715	0.490547933009526	0.233775236114721	0.375120151092775	0.247449654410166	0.273634534255391	0.24868779041838	0.202836944499661	0.256318273470563
