ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.0490318245678334	0.23695693416809	0.228283247335805	0.0490318245678334	0.487863788167939	0.233186882468255	0.264075012047452	0.0909901655366196	0.0441217088571006	0.0490318245678334	0.508575121638521	1	0.237093847084517	0.133336051109726	0.328574919064199	0.189986368224435	0.237093847084517	0.356436636192204	0.0490318245678334	0.0441217088571006	0.225725553855919	0.370290931089479	0.20173616986366	0.204471220925571	0.556441362825815	0.511550213669353	0.0441217088571006	0.258890731527547	0.356436636192204	0.0909901655366196	0.523850267379679	0.130437453919882	0.539170983919634	0.0490318245678334	0.233186882468255	0.165999753410225	0.561342575486617	0.371883892268263	0.0441217088571006	0.282609743634243	0.0933323238735302	0.471611623006045	0.0909901655366196	0.237093847084517	0.20173616986366	0.33807801750994	0.370533260032985	0.233186882468255	0.0490318245678334	0.20173616986366	0.20173616986366	0.33807801750994	0.253967935670814	0.323756563245823	0.33807801750994	0.339884365669873	0.370533260032985	0.52750230314854	0.33807801750994	0.153767964690279	0.155593383834085	0.328574919064199	0.0490318245678334
ZB_2	0.0490318245678334	0	0.195798530459885	0.186656986542899	0	0.507510406560793	0.193650074374711	0.222923993396971	0.0419583409687863	0.0909901655366196	0	0.466398343824546	1	0.195942828434036	0.0865883558811711	0.279543094496365	0.148222145912028	0.195942828434036	0.380188696595737	0	0.0909901655366196	0.183961331543512	0.399734380278901	0.160577766155455	0.161560543774023	0.51837272830747	0.532151451780704	0.0909901655366196	0.218915432845781	0.380188696595737	0.0419583409687863	0.54344783030042	0.167750971597804	0.557552026395818	0	0.193650074374711	0.201902810775444	0.578029477275958	0.402681571070796	0.0909901655366196	0.243913844136561	0.0465846286449749	0.430453219297841	0.0419583409687863	0.195942828434036	0.160577766155455	0.370533260032985	0.321501435465152	0.193650074374711	0	0.160577766155455	0.160577766155455	0.370533260032985	0.213727102278994	0.348710734759363	0.370533260032985	0.301843514525378	0.321501435465152	0.545476517700583	0.370533260032985	0.110136325092949	0.110046245070502	0.279543094496365	0
ZB_3	0.23695693416809	0.195798530459885	0	0.09273184235077	0.195798530459885	0.459711282487581	0.0732319998423847	0.108209240557309	0.166439906886765	0.209100862041476	0.195798530459885	0.450482754566697	0.947952640576856	0.0813786915582926	0.200431287183226	0.430453219297841	0.126565070483583	0.0813786915582926	0.211287466231133	0.195798530459885	0.209100862041476	0.095979241118084	0.409995854547774	0.0352207643044296	0.0423261301671999	0.459176112193649	0.5117835221734	0.209100862041476	0.052131710823473	0.211287466231133	0.166439906886765	0.360340777431733	0.117214539525296	0.505709253025548	0.195798530459885	0.0732319998423847	0.166147524686858	0.410422208179641	0.480293157877954	0.209100862041476	0.0618789543748037	0.227483179494252	0.243221122673498	0.166439906886765	0.0813786915582926	0.0352207643044296	0.452321984714974	0.409661029560263	0.0732319998423847	0.195798530459885	0.0352207643044296	0.0352207643044296	0.452321984714974	0.101585987864525	0.298610587562253	0.452321984714974	0.124943054065572	0.409661029560263	0.429614710203308	0.452321984714974	0.091905223379327	0.0998735105602738	0.430453219297841	0.195798530459885
ZB_4	0.228283247335805	0.186656986542899	0.09273184235077	0	0.186656986542899	0.394917262787205	0.0840286465772857	0.0397995674653149	0.156614649989783	0.199778454126023	0.186656986542899	0.444518170429168	0.947387706797261	0.0118335963611824	0.113601411010615	0.423979049446418	0.116703768445062	0.0118335963611824	0.286759795446021	0.186656986542899	0.199778454126023	0.0854174186562162	0.468622698911979	0.123427541300129	0.0543378340320841	0.394355925941918	0.506484310395199	0.199778454126023	0.0410663641520136	0.286759795446021	0.156614649989783	0.438378441758387	0.128789820672402	0.500510960461736	0.186656986542899	0.0840286465772857	0.100189698872966	0.480691995851796	0.474167320908123	0.199778454126023	0.146719535115646	0.145175927606503	0.32603475787252	0.156614649989783	0.0118335963611824	0.123427541300129	0.445866448705677	0.402702644569437	0.0840286465772857	0.186656986542899	0.123427541300129	0.123427541300129	0.445866448705677	0.112844210484337	0.246396998993228	0.445866448705677	0.205977184877911	0.402702644569437	0.496979576181801	0.445866448705677	0.177878695339513	0.0892636288353785	0.423979049446418	0.186656986542899
ZB_5	0.0490318245678334	0	0.195798530459885	0.186656986542899	0	0.507510406560793	0.193650074374711	0.222923993396971	0.0419583409687863	0.0909901655366196	0	0.466398343824546	1	0.195942828434036	0.0865883558811711	0.279543094496365	0.148222145912028	0.195942828434036	0.380188696595737	0	0.0909901655366196	0.183961331543512	0.399734380278901	0.160577766155455	0.161560543774023	0.51837272830747	0.532151451780704	0.0909901655366196	0.218915432845781	0.380188696595737	0.0419583409687863	0.54344783030042	0.167750971597804	0.557552026395818	0	0.193650074374711	0.201902810775444	0.578029477275958	0.402681571070796	0.0909901655366196	0.243913844136561	0.0465846286449749	0.430453219297841	0.0419583409687863	0.195942828434036	0.160577766155455	0.370533260032985	0.321501435465152	0.193650074374711	0	0.160577766155455	0.160577766155455	0.370533260032985	0.213727102278994	0.348710734759363	0.370533260032985	0.301843514525378	0.321501435465152	0.545476517700583	0.370533260032985	0.110136325092949	0.110046245070502	0.279543094496365	0
ZB_6	0.487863788167939	0.507510406560793	0.459711282487581	0.394917262787205	0.507510406560793	0	0.440696080996581	0.426297600850668	0.490794271991461	0.469762846866687	0.507510406560793	0.232903390588085	0.820921639756904	0.401313978106694	0.451268443574767	0.369643807461509	0.473641070660742	0.401313978106694	0.398969586172511	0.507510406560793	0.469762846866687	0.456932923588807	0.341731237264208	0.476169780612086	0.439285476934178	0.172444318761642	0.221660620663198	0.469762846866687	0.417186164190485	0.398969586172511	0.490794271991461	0.36838944130655	0.4361861575179	0.148125963266323	0.507510406560793	0.440696080996581	0.420044317009737	0.271423457966038	0.341869527469495	0.469762846866687	0.402942064385103	0.469282126522751	0.316670330560344	0.490794271991461	0.401313978106694	0.476169780612086	0.306448247780702	0.341996041121257	0.440696080996581	0.507510406560793	0.476169780612086	0.476169780612086	0.306448247780702	0.380370078515888	0.357646778042959	0.306448247780702	0.430162563694413	0.341996041121257	0.300570762958649	0.306448247780702	0.508969363827526	0.474559926306547	0.369643807461509	0.507510406560793
ZB_7	0.233186882468255	0.193650074374711	0.0732319998423847	0.0840286465772857	0.193650074374711	0.440696080996581	0	0.0989823963433255	0.227483179494252	0.267019987587797	0.193650074374711	0.487788173088777	0.951486011990375	0.0730596081290081	0.188084284771409	0.419059627830918	0.0533330706411987	0.0730596081290081	0.26329210478467	0.193650074374711	0.267019987587797	0.08716617576074	0.453203038034537	0.0393988947228434	0.112458502851851	0.44017721328124	0.544927377413714	0.267019987587797	0.0448021435678189	0.26329210478467	0.227483179494252	0.407184301518032	0.118162205825855	0.538300863449095	0.193650074374711	0	0.154960448415474	0.450447241894169	0.518352329258322	0.267019987587797	0.126621703792756	0.154251179651867	0.298641553298592	0.227483179494252	0.0730596081290081	0.0393988947228434	0.492429541044004	0.45289273295046	0	0.193650074374711	0.0393988947228434	0.0393988947228434	0.492429541044004	0.163588427243231	0.232674474812742	0.492429541044004	0.184348588414175	0.45289273295046	0.419083234022346	0.492429541044004	0.0938500487622275	0.16579157349305	0.419059627830918	0.193650074374711
ZB_8	0.264075012047452	0.222923993396971	0.108209240557309	0.0397995674653149	0.222923993396971	0.426297600850668	0.0989823963433255	0	0.194560902902871	0.23721392400355	0.222923993396971	0.476353734033383	0.946584687778074	0.0279659711041325	0.152056665231969	0.457536578113625	0.152315466984524	0.0279659711041325	0.300646778457795	0.222923993396971	0.23721392400355	0.122631361613402	0.501486054537947	0.138381291066169	0.0704702087750341	0.425742198254991	0.537643993417444	0.23721392400355	0.0787838313187906	0.300646778457795	0.194560902902871	0.453855839964926	0.144354102798085	0.530775000237351	0.222923993396971	0.0989823963433255	0.116322073615916	0.49500329970774	0.465440332367572	0.23721392400355	0.161275938782555	0.181916518850417	0.341512156079059	0.194560902902871	0.0279659711041325	0.138381291066169	0.480389812586015	0.437736791485337	0.0989823963433255	0.222923993396971	0.138381291066169	0.138381291066169	0.480389812586015	0.127978504915156	0.26035388710367	0.480389812586015	0.220288488733855	0.437736791485337	0.510842020190951	0.480389812586015	0.192832445105553	0.128006886547321	0.457536578113625	0.222923993396971
ZB_9	0.0909901655366196	0.0419583409687863	0.166439906886765	0.156614649989783	0.0419583409687863	0.490794271991461	0.227483179494252	0.194560902902871	0	0.0511792197193336	0.0419583409687863	0.446418350604255	1	0.166594931798739	0.0485258432419316	0.321501435465152	0.183961331543512	0.166594931798739	0.359974931512703	0.0419583409687863	0.0511792197193336	0.153715824290856	0.37471557294985	0.195798530459885	0.129599209740613	0.502154549064401	0.514633494867783	0.0511792197193336	0.191249419893776	0.359974931512703	0	0.526780684318498	0.204471220925571	0.541916398713826	0.0419583409687863	0.227483179494252	0.171377344202414	0.563830881596544	0.376521445285353	0.0511792197193336	0.218019733857176	0.0865883558811711	0.409661029560263	0	0.166594931798739	0.195798530459885	0.34296516854649	0.291785948827156	0.227483179494252	0.0419583409687863	0.195798530459885	0.195798530459885	0.34296516854649	0.185685729861634	0.380288423965761	0.34296516854649	0.278351727482475	0.291785948827156	0.578029477275958	0.34296516854649	0.147473528580436	0.0739522690504588	0.321501435465152	0.0419583409687863
ZB_10	0.0441217088571006	0.0909901655366196	0.209100862041476	0.199778454126023	0.0909901655366196	0.469762846866687	0.267019987587797	0.23721392400355	0.0511792197193336	0	0.0909901655366196	0.490174380890602	1	0.209247952899417	0.0972215481679204	0.370533260032985	0.225725553855919	0.209247952899417	0.334616675551344	0.0909901655366196	0	0.197027988064469	0.342701144293204	0.23695693416809	0.17414564302918	0.541505095912975	0.492423983308821	0	0.232640643531171	0.334616675551344	0.0511792197193336	0.505693078925893	0.168804039411068	0.522184300341297	0.0909901655366196	0.267019987587797	0.132608632296797	0.545978359525582	0.342891125834935	0	0.258040873714283	0.133336051109726	0.452321984714974	0.0511792197193336	0.209247952899417	0.23695693416809	0.307524829653124	0.34296516854649	0.267019987587797	0.0909901655366196	0.23695693416809	0.23695693416809	0.307524829653124	0.227361698813634	0.35654415274463	0.307524829653124	0.317672589043847	0.34296516854649	0.561342575486617	0.307524829653124	0.191105168177766	0.121346669343316	0.370533260032985	0.0909901655366196
ZB_11	0.0490318245678334	0	0.195798530459885	0.186656986542899	0	0.507510406560793	0.193650074374711	0.222923993396971	0.0419583409687863	0.0909901655366196	0	0.466398343824546	1	0.195942828434036	0.0865883558811711	0.279543094496365	0.148222145912028	0.195942828434036	0.380188696595737	0	0.0909901655366196	0.183961331543512	0.399734380278901	0.160577766155455	0.161560543774023	0.51837272830747	0.532151451780704	0.0909901655366196	0.218915432845781	0.380188696595737	0.0419583409687863	0.54344783030042	0.167750971597804	0.557552026395818	0	0.193650074374711	0.201902810775444	0.578029477275958	0.402681571070796	0.0909901655366196	0.243913844136561	0.0465846286449749	0.430453219297841	0.0419583409687863	0.195942828434036	0.160577766155455	0.370533260032985	0.321501435465152	0.193650074374711	0	0.160577766155455	0.160577766155455	0.370533260032985	0.213727102278994	0.348710734759363	0.370533260032985	0.301843514525378	0.321501435465152	0.545476517700583	0.370533260032985	0.110136325092949	0.110046245070502	0.279543094496365	0
ZB_12	0.508575121638521	0.466398343824546	0.450482754566697	0.444518170429168	0.466398343824546	0.232903390588085	0.487788173088777	0.476353734033383	0.446418350604255	0.490174380890602	0.466398343824546	0	0.792387759242209	0.450576953216832	0.46954786678367	0.297466690648477	0.491273347210579	0.450576953216832	0.424922923918448	0.466398343824546	0.490174380890602	0.474266191006916	0.357860335464027	0.468371167243259	0.428174556650372	0.138117014122394	0.0976420467845383	0.490174380890602	0.465592888482371	0.424922923918448	0.446418350604255	0.330451314711059	0.487052195069098	0.168526400552168	0.466398343824546	0.487788173088777	0.499354134540284	0.223077646552998	0.358942513708828	0.490174380890602	0.439244526950998	0.487920853986295	0.291696395309925	0.446418350604255	0.450576953216832	0.468371167243259	0.320717579983295	0.262417837818208	0.487788173088777	0.466398343824546	0.468371167243259	0.468371167243259	0.320717579983295	0.4172082167582	0.444010692102075	0.320717579983295	0.341468928876055	0.262417837818208	0.257347983278	0.320717579983295	0.470770949282747	0.429981108777559	0.297466690648477	0.466398343824546
ZB_13	1	1	0.947952640576856	0.947387706797261	1	0.820921639756904	0.951486011990375	0.946584687778074	1	1	1	0.792387759242209	0	0.947961562573466	1	1	0.96953913100811	0.947961562573466	0.858907872270476	1	1	0.968520798757964	1	0.949646936164163	0.945839726369554	0.821062542030935	0.769922523519646	1	0.949383792333014	0.858907872270476	1	0.922069825436409	0.945518129002815	0.789783051811588	1	0.951486011990375	0.966260660911296	0.804840839078774	1	1	0.921404594939774	1	0.932913238664705	1	0.947961562573466	0.949646936164163	1	1	0.951486011990375	1	0.949646936164163	0.949646936164163	1	0.918315988927213	0.863890736099033	1	0.863280888715329	1	0.814201621406476	1	0.968311515246531	0.965869154538643	1	1
ZB_14	0.237093847084517	0.195942828434036	0.0813786915582926	0.0118335963611824	0.195942828434036	0.401313978106694	0.0730596081290081	0.0279659711041325	0.166594931798739	0.209247952899417	0.195942828434036	0.450576953216832	0.947961562573466	0	0.124090694127837	0.430555413150691	0.126392678770207	0	0.276573263441008	0.195942828434036	0.209247952899417	0.0958008126143854	0.474655505538931	0.112458502851851	0.0425042376709017	0.400758575511018	0.511867212600893	0.209247952899417	0.0519532823197745	0.276573263441008	0.166594931798739	0.42702529096591	0.11737293783515	0.505791377493378	0.195942828434036	0.0730596081290081	0.0883561025117831	0.47019421136985	0.480389812586015	0.209247952899417	0.136041962333627	0.154935353887482	0.314681607080043	0.166594931798739	0	0.112458502851851	0.452423841481883	0.409770820381204	0.0730596081290081	0.195942828434036	0.112458502851851	0.112458502851851	0.452423841481883	0.101742736934458	0.236159189433955	0.452423841481883	0.195479400395965	0.409770820381204	0.486811044294983	0.452423841481883	0.166909656891236	0.100040915443189	0.430555413150691	0.195942828434036
ZB_15	0.133336051109726	0.0865883558811711	0.200431287183226	0.113601411010615	0.0865883558811711	0.451268443574767	0.188084284771409	0.152056665231969	0.0485258432419316	0.0972215481679204	0.0865883558811711	0.46954786678367	1	0.124090694127837	0	0.353109039130156	0.142342792328744	0.124090694127837	0.383392339288818	0.0865883558811711	0.0972215481679204	0.110554743186441	0.403659637508391	0.227483179494252	0.166594931798739	0.462941265864982	0.534912874514228	0.0972215481679204	0.150002578249884	0.383392339288818	0.0485258432419316	0.546077886590843	0.237093847084517	0.560022532538765	0.0865883558811711	0.188084284771409	0.126837498329547	0.580277175450174	0.406776267896142	0.0972215481679204	0.24801024126424	0.0400037272361961	0.433734202704976	0.0485258432419316	0.124090694127837	0.227483179494252	0.374848337782092	0.326152632856103	0.188084284771409	0.0865883558811711	0.227483179494252	0.227483179494252	0.374848337782092	0.218156168371518	0.343515977326952	0.374848337782092	0.305562364476289	0.326152632856103	0.593441365423339	0.374848337782092	0.182996390079752	0.115716178501959	0.353109039130156	0.0865883558811711
ZB_16	0.328574919064199	0.279543094496365	0.430453219297841	0.423979049446418	0.279543094496365	0.369643807461509	0.419059627830918	0.457536578113625	0.321501435465152	0.370533260032985	0.279543094496365	0.297466690648477	1	0.430555413150691	0.353109039130156	0	0.386330763067254	0.430555413150691	0.590605631471502	0.279543094496365	0.370533260032985	0.422069948698738	0.181558255897069	0.395232454993411	0.406205396043044	0.384864196932619	0.384036415457199	0.370533260032985	0.446824934387123	0.590605631471502	0.321501435465152	0.403469044572332	0.412395823866826	0.427321842037561	0.279543094496365	0.419059627830918	0.447337512938362	0.461166987400603	0.170917199396334	0.370533260032985	0.464529160520252	0.31310531189396	0.255830312937567	0.321501435465152	0.430555413150691	0.395232454993411	0.12629508419107	0.0582385159310193	0.419059627830918	0.279543094496365	0.395232454993411	0.395232454993411	0.12629508419107	0.443150485777595	0.559093813641525	0.12629508419107	0.518724231079096	0.0582385159310193	0.419598658969052	0.12629508419107	0.358891570456374	0.369722245864896	0	0.279543094496365
ZB_17	0.189986368224435	0.148222145912028	0.126565070483583	0.116703768445062	0.148222145912028	0.473641070660742	0.0533330706411987	0.152315466984524	0.183961331543512	0.225725553855919	0.148222145912028	0.491273347210579	0.96953913100811	0.126392678770207	0.142342792328744	0.386330763067254	0	0.126392678770207	0.311311759671118	0.148222145912028	0.225725553855919	0.0357391856314842	0.422397735668425	0.092731965364042	0.16579157349305	0.442107668403254	0.550207687743126	0.225725553855919	0.0770422163456989	0.311311759671118	0.183961331543512	0.460517372159231	0.171495276467053	0.572219435287373	0.148222145912028	0.0533330706411987	0.129031760318889	0.499888132451178	0.491217390399484	0.225725553855919	0.176882336831649	0.10660360669726	0.351974623939791	0.183961331543512	0.126392678770207	0.092731965364042	0.463834171011145	0.422069948698738	0.0533330706411987	0.148222145912028	0.092731965364042	0.092731965364042	0.463834171011145	0.213849060282124	0.28069412969919	0.463834171011145	0.233789478971184	0.422069948698738	0.468524124579355	0.463834171011145	0.0652179503664652	0.118794160188972	0.386330763067254	0.148222145912028
ZB_18	0.237093847084517	0.195942828434036	0.0813786915582926	0.0118335963611824	0.195942828434036	0.401313978106694	0.0730596081290081	0.0279659711041325	0.166594931798739	0.209247952899417	0.195942828434036	0.450576953216832	0.947961562573466	0	0.124090694127837	0.430555413150691	0.126392678770207	0	0.276573263441008	0.195942828434036	0.209247952899417	0.0958008126143854	0.474655505538931	0.112458502851851	0.0425042376709017	0.400758575511018	0.511867212600893	0.209247952899417	0.0519532823197745	0.276573263441008	0.166594931798739	0.42702529096591	0.11737293783515	0.505791377493378	0.195942828434036	0.0730596081290081	0.0883561025117831	0.47019421136985	0.480389812586015	0.209247952899417	0.136041962333627	0.154935353887482	0.314681607080043	0.166594931798739	0	0.112458502851851	0.452423841481883	0.409770820381204	0.0730596081290081	0.195942828434036	0.112458502851851	0.112458502851851	0.452423841481883	0.101742736934458	0.236159189433955	0.452423841481883	0.195479400395965	0.409770820381204	0.486811044294983	0.452423841481883	0.166909656891236	0.100040915443189	0.430555413150691	0.195942828434036
ZB_19	0.356436636192204	0.380188696595737	0.211287466231133	0.286759795446021	0.380188696595737	0.398969586172511	0.26329210478467	0.300646778457795	0.359974931512703	0.334616675551344	0.380188696595737	0.424922923918448	0.858907872270476	0.276573263441008	0.383392339288818	0.590605631471502	0.311311759671118	0.276573263441008	0	0.380188696595737	0.334616675551344	0.289673500379651	0.5211948903236	0.236197193459989	0.249099101237757	0.386955461288672	0.386762538046303	0.334616675551344	0.250331622618035	0	0.359974931512703	0.361792497852439	0.244947843315112	0.328826105861517	0.380188696595737	0.26329210478467	0.289840689475059	0.277040713520622	0.586482457699066	0.334616675551344	0.152362277624001	0.402175696590995	0.428566680751865	0.359974931512703	0.276573263441008	0.236197193459989	0.560504649647574	0.577254146033434	0.26329210478467	0.380188696595737	0.236197193459989	0.236197193459989	0.560504649647574	0.190173912630624	0.112221927315265	0.560504649647574	0.0944604674291397	0.577254146033434	0.302448133841549	0.560504649647574	0.287026649256065	0.30050849147529	0.590605631471502	0.380188696595737
ZB_20	0.0490318245678334	0	0.195798530459885	0.186656986542899	0	0.507510406560793	0.193650074374711	0.222923993396971	0.0419583409687863	0.0909901655366196	0	0.466398343824546	1	0.195942828434036	0.0865883558811711	0.279543094496365	0.148222145912028	0.195942828434036	0.380188696595737	0	0.0909901655366196	0.183961331543512	0.399734380278901	0.160577766155455	0.161560543774023	0.51837272830747	0.532151451780704	0.0909901655366196	0.218915432845781	0.380188696595737	0.0419583409687863	0.54344783030042	0.167750971597804	0.557552026395818	0	0.193650074374711	0.201902810775444	0.578029477275958	0.402681571070796	0.0909901655366196	0.243913844136561	0.0465846286449749	0.430453219297841	0.0419583409687863	0.195942828434036	0.160577766155455	0.370533260032985	0.321501435465152	0.193650074374711	0	0.160577766155455	0.160577766155455	0.370533260032985	0.213727102278994	0.348710734759363	0.370533260032985	0.301843514525378	0.321501435465152	0.545476517700583	0.370533260032985	0.110136325092949	0.110046245070502	0.279543094496365	0
ZB_21	0.0441217088571006	0.0909901655366196	0.209100862041476	0.199778454126023	0.0909901655366196	0.469762846866687	0.267019987587797	0.23721392400355	0.0511792197193336	0	0.0909901655366196	0.490174380890602	1	0.209247952899417	0.0972215481679204	0.370533260032985	0.225725553855919	0.209247952899417	0.334616675551344	0.0909901655366196	0	0.197027988064469	0.342701144293204	0.23695693416809	0.17414564302918	0.541505095912975	0.492423983308821	0	0.232640643531171	0.334616675551344	0.0511792197193336	0.505693078925893	0.168804039411068	0.522184300341297	0.0909901655366196	0.267019987587797	0.132608632296797	0.545978359525582	0.342891125834935	0	0.258040873714283	0.133336051109726	0.452321984714974	0.0511792197193336	0.209247952899417	0.23695693416809	0.307524829653124	0.34296516854649	0.267019987587797	0.0909901655366196	0.23695693416809	0.23695693416809	0.307524829653124	0.227361698813634	0.35654415274463	0.307524829653124	0.317672589043847	0.34296516854649	0.561342575486617	0.307524829653124	0.191105168177766	0.121346669343316	0.370533260032985	0.0909901655366196
ZB_22	0.225725553855919	0.183961331543512	0.095979241118084	0.0854174186562162	0.183961331543512	0.456932923588807	0.08716617576074	0.122631361613402	0.153715824290856	0.197027988064469	0.183961331543512	0.474266191006916	0.968520798757964	0.0958008126143854	0.110554743186441	0.422069948698738	0.0357391856314842	0.0958008126143854	0.289673500379651	0.183961331543512	0.197027988064469	0	0.400989591483254	0.126565070483583	0.136579372645381	0.424027251581734	0.535170755685773	0.197027988064469	0.0443510545042025	0.289673500379651	0.153715824290856	0.441625840525701	0.205328381586595	0.558640449178585	0.183961331543512	0.08716617576074	0.0971336560813837	0.483694729895352	0.472359965250986	0.197027988064469	0.149773694910053	0.142342792328744	0.329282156639834	0.153715824290856	0.0958008126143854	0.126565070483583	0.44396181925117	0.400649655477556	0.08716617576074	0.183961331543512	0.126565070483583	0.126565070483583	0.44396181925117	0.187957884239193	0.311156542833195	0.44396181925117	0.208979918921467	0.400649655477556	0.499888132451178	0.44396181925117	0.100547769062621	0.0861333088723297	0.422069948698738	0.183961331543512
