ZB_2	ZB_6	ZB_12	ZB_13	ZB_19	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_38	ZB_41	ZB_48	ZB_54	ZB_57	ZB_59
ZB_2	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	1	0	0.5	0.5	1	0.5	0.5
ZB_6	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_12	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_13	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_19	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_25	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_26	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	1	0	0.5	0.5	1	0.5	0.5
ZB_27	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_30	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_32	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	1	0	0.5	0.5	1	0.5	0.5
ZB_33	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0	1	0.5	0.5	0	0.5	0.5
ZB_38	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	1	0	0.5	0.5	1	0.5	0.5
ZB_41	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_48	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_54	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0	1	0.5	0.5	0	0.5	0.5
ZB_57	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
ZB_59	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0
