ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.842379062533519	0.526019733808748	0.87040274322598	0.910671189531267	0.950415024257126	0.630906218583944	0.437215759490641	1	0.526019733808748	0.842379062533519	0.952772889310049	0.944733701564101	0.902659503954852	0.899606106969628	0.526019733808748	0.910671189531267	0.582792207792208	0.952772889310049	0.842379062533519	0.582792207792208	0.526019733808748	0.889972671552013	0.8805308706061	0.952772889310049	0.952772889310049	0.526019733808748	0.582792207792208	0.950415024257126	0.526019733808748	0.956328342763674	0.8805308706061	0.952772889310049	0.915884428676939	0.277287677127839	0.34416468186458	0.952772889310049	0.526019733808748	0.526019733808748	0.8805308706061	0.630906218583944	0.277287677127839	0.526019733808748	0.902659503954852	0.630906218583944	1	0.952772889310049	0.630906218583944	0.842379062533519	0.437215759490641	0.526019733808748	1	0.8805308706061	0.956328342763674	0.526019733808748	0.950415024257126	0.526019733808748	0.952772889310049	0.526019733808748	0.842379062533519	0.34416468186458	0.630906218583944	0.910671189531267
ZB_2	0.842379062533519	0	0.836151185240802	0.429058135601411	0.0682921269977475	0.487354365670926	0.845713419984471	0.794631753707082	0.939524562908935	0.836151185240802	0	0.504072588631412	0.539365566541697	0.10944177561185	0.139855946166034	0.836151185240802	0.0682921269977475	0.876127590538655	0.504072588631412	0	0.876127590538655	0.836151185240802	0.114722996889413	0.418463465895453	0.504072588631412	0.504072588631412	0.836151185240802	0.876127590538655	0.487354365670926	0.836151185240802	0.448238512576748	0.418463465895453	0.504072588631412	0.122666700333937	0.781903625442454	0.896626622331867	0.504072588631412	0.836151185240802	0.836151185240802	0.418463465895453	0.845713419984471	0.781903625442454	0.836151185240802	0.10944177561185	0.845713419984471	0.939524562908935	0.504072588631412	0.845713419984471	0	0.794631753707082	0.836151185240802	0.939524562908935	0.418463465895453	0.448238512576748	0.836151185240802	0.487354365670926	0.836151185240802	0.504072588631412	0.836151185240802	0	0.896626622331867	0.845713419984471	0.0682921269977475
ZB_3	0.526019733808748	0.836151185240802	0	0.830412237490277	0.90444331223855	0.950847696426055	0.274446357537256	0.414979175642683	0.630907082361605	0	0.836151185240802	0.95316555390481	0.945270665997323	0.837407946993434	0.869459356976071	0	0.90444331223855	0.417473134239744	0.95316555390481	0.836151185240802	0.417473134239744	0	0.890697212849811	0.797973201960671	0.95316555390481	0.95316555390481	0	0.417473134239744	0.950847696426055	0	0.872429162117171	0.797973201960671	0.95316555390481	0.910020010983947	0.248732056680909	0.369092917638394	0.95316555390481	0	0	0.797973201960671	0.274446357537256	0.248732056680909	0	0.837407946993434	0.274446357537256	0.630907082361605	0.95316555390481	0.274446357537256	0.836151185240802	0.414979175642683	0	0.630907082361605	0.797973201960671	0.872429162117171	0	0.950847696426055	0	0.95316555390481	0	0.836151185240802	0.369092917638394	0.274446357537256	0.90444331223855
ZB_4	0.87040274322598	0.429058135601411	0.830412237490277	0	0.490594645532306	0.213135302817155	0.750514216575923	0.766821214519959	0.963676432460462	0.830412237490277	0.429058135601411	0.248827058995704	0.387582751525899	0.340999161649265	0.320197334800896	0.830412237490277	0.490594645532306	0.739674638386899	0.248827058995704	0.429058135601411	0.739674638386899	0.830412237490277	0.408303523461352	0.0833781069441804	0.248827058995704	0.248827058995704	0.830412237490277	0.739674638386899	0.213135302817155	0.830412237490277	0.244001024971276	0.0833781069441804	0.248827058995704	0.434748465664718	0.841496906350463	0.860945785088194	0.248827058995704	0.830412237490277	0.830412237490277	0.0833781069441804	0.750514216575923	0.841496906350463	0.830412237490277	0.340999161649265	0.750514216575923	0.963676432460462	0.248827058995704	0.750514216575923	0.429058135601411	0.766821214519959	0.830412237490277	0.963676432460462	0.0833781069441804	0.244001024971276	0.830412237490277	0.213135302817155	0.830412237490277	0.248827058995704	0.830412237490277	0.429058135601411	0.860945785088194	0.750514216575923	0.490594645532306
ZB_5	0.910671189531267	0.0682921269977475	0.90444331223855	0.490594645532306	0	0.451612461673237	0.910020010983947	0.858938344706558	0.935091847087012	0.90444331223855	0.0682921269977475	0.470699757565348	0.506835355285962	0.173748366611326	0.20416253716551	0.90444331223855	0	0.940434181538131	0.470699757565348	0.0682921269977475	0.940434181538131	0.90444331223855	0.183015123887161	0.478101783822074	0.470699757565348	0.470699757565348	0.90444331223855	0.940434181538131	0.451612461673237	0.90444331223855	0.411108395373263	0.478101783822074	0.470699757565348	0.0623709740531351	0.850195752440202	0.964918749329615	0.470699757565348	0.90444331223855	0.90444331223855	0.478101783822074	0.910020010983947	0.850195752440202	0.90444331223855	0.173748366611326	0.910020010983947	0.935091847087012	0.470699757565348	0.910020010983947	0.0682921269977475	0.858938344706558	0.90444331223855	0.935091847087012	0.478101783822074	0.411108395373263	0.90444331223855	0.451612461673237	0.90444331223855	0.470699757565348	0.90444331223855	0.0682921269977475	0.964918749329615	0.910020010983947	0
ZB_6	0.950415024257126	0.487354365670926	0.950847696426055	0.213135302817155	0.451612461673237	0	0.954774868204995	0.957730892877336	1	0.950847696426055	0.487354365670926	0.0569461556751616	0.231145840088191	0.491108401290552	0.475044878598477	0.950847696426055	0.451612461673237	0.952809941204054	0.0569461556751616	0.487354365670926	0.952809941204054	0.950847696426055	0.424324285488483	0.278742591689467	0.0569461556751616	0.0569461556751616	0.950847696426055	0.952809941204054	0	0.950847696426055	0.140723014958591	0.278742591689467	0.0569461556751616	0.484245962525023	0.954319683650934	0.946297360535282	0.0569461556751616	0.950847696426055	0.950847696426055	0.278742591689467	0.954774868204995	0.954319683650934	0.950847696426055	0.491108401290552	0.954774868204995	1	0.0569461556751616	0.954774868204995	0.487354365670926	0.957730892877336	0.950847696426055	1	0.278742591689467	0.140723014958591	0.950847696426055	0	0.950847696426055	0.0569461556751616	0.950847696426055	0.487354365670926	0.946297360535282	0.954774868204995	0.451612461673237
ZB_7	0.630906218583944	0.845713419984471	0.274446357537256	0.750514216575923	0.910020010983947	0.954774868204995	0	0.193690459093303	0.732203289200261	0.274446357537256	0.845713419984471	0.956744558973045	0.950095841161156	0.775906227340159	0.807957637322796	0.274446357537256	0.910020010983947	0.143026776702488	0.956744558973045	0.845713419984471	0.143026776702488	0.274446357537256	0.897419522222444	0.721554980616471	0.956744558973045	0.956744558973045	0.274446357537256	0.143026776702488	0.954774868204995	0.274446357537256	0.882177898643566	0.721554980616471	0.956744558973045	0.851659901649486	0.414979175642683	0.542243068336995	0.956744558973045	0.274446357537256	0.274446357537256	0.721554980616471	0	0.414979175642683	0.274446357537256	0.775906227340159	0	0.732203289200261	0.956744558973045	0	0.845713419984471	0.193690459093303	0.274446357537256	0.732203289200261	0.721554980616471	0.882177898643566	0.274446357537256	0.954774868204995	0.274446357537256	0.956744558973045	0.274446357537256	0.845713419984471	0.542243068336995	0	0.910020010983947
ZB_8	0.437215759490641	0.794631753707082	0.414979175642683	0.766821214519959	0.858938344706558	0.957730892877336	0.193690459093303	0	0.784072957058739	0.414979175642683	0.794631753707082	0.959456423208932	0.95367099590095	0.78735331065001	0.817767481204194	0.414979175642683	0.858938344706558	0.30901431375365	0.959456423208932	0.794631753707082	0.30901431375365	0.414979175642683	0.902659503954852	0.739011861688528	0.959456423208932	0.959456423208932	0.414979175642683	0.30901431375365	0.957730892877336	0.414979175642683	0.889564658211372	0.739011861688528	0.959456423208932	0.800578235372097	0.22128871654938	0.630906218583944	0.959456423208932	0.414979175642683	0.414979175642683	0.739011861688528	0.193690459093303	0.22128871654938	0.414979175642683	0.78735331065001	0.193690459093303	0.784072957058739	0.959456423208932	0.193690459093303	0.794631753707082	0	0.414979175642683	0.784072957058739	0.739011861688528	0.889564658211372	0.414979175642683	0.957730892877336	0.414979175642683	0.959456423208932	0.414979175642683	0.794631753707082	0.630906218583944	0.193690459093303	0.858938344706558
ZB_9	1	0.939524562908935	0.630907082361605	0.963676432460462	0.935091847087012	1	0.732203289200261	0.784072957058739	0	0.630907082361605	0.939524562908935	1	1	0.93998842477099	0.972039834753627	0.630907082361605	0.935091847087012	0.875230065902749	1	0.939524562908935	0.875230065902749	0.630907082361605	1	0.925433339670521	1	1	0.630907082361605	0.875230065902749	1	0.630907082361605	0.911164288457561	0.925433339670521	1	0.939140231808185	0.722712322872161	1	1	0.630907082361605	0.630907082361605	0.925433339670521	0.732203289200261	0.722712322872161	0.630907082361605	0.93998842477099	0.732203289200261	0	1	0.732203289200261	0.939524562908935	0.784072957058739	0.630907082361605	0	0.925433339670521	0.911164288457561	0.630907082361605	1	0.630907082361605	1	0.630907082361605	0.939524562908935	1	0.732203289200261	0.935091847087012
ZB_10	0.526019733808748	0.836151185240802	0	0.830412237490277	0.90444331223855	0.950847696426055	0.274446357537256	0.414979175642683	0.630907082361605	0	0.836151185240802	0.95316555390481	0.945270665997323	0.837407946993434	0.869459356976071	0	0.90444331223855	0.417473134239744	0.95316555390481	0.836151185240802	0.417473134239744	0	0.890697212849811	0.797973201960671	0.95316555390481	0.95316555390481	0	0.417473134239744	0.950847696426055	0	0.872429162117171	0.797973201960671	0.95316555390481	0.910020010983947	0.248732056680909	0.369092917638394	0.95316555390481	0	0	0.797973201960671	0.274446357537256	0.248732056680909	0	0.837407946993434	0.274446357537256	0.630907082361605	0.95316555390481	0.274446357537256	0.836151185240802	0.414979175642683	0	0.630907082361605	0.797973201960671	0.872429162117171	0	0.950847696426055	0	0.95316555390481	0	0.836151185240802	0.369092917638394	0.274446357537256	0.90444331223855
ZB_11	0.842379062533519	0	0.836151185240802	0.429058135601411	0.0682921269977475	0.487354365670926	0.845713419984471	0.794631753707082	0.939524562908935	0.836151185240802	0	0.504072588631412	0.539365566541697	0.10944177561185	0.139855946166034	0.836151185240802	0.0682921269977475	0.876127590538655	0.504072588631412	0	0.876127590538655	0.836151185240802	0.114722996889413	0.418463465895453	0.504072588631412	0.504072588631412	0.836151185240802	0.876127590538655	0.487354365670926	0.836151185240802	0.448238512576748	0.418463465895453	0.504072588631412	0.122666700333937	0.781903625442454	0.896626622331867	0.504072588631412	0.836151185240802	0.836151185240802	0.418463465895453	0.845713419984471	0.781903625442454	0.836151185240802	0.10944177561185	0.845713419984471	0.939524562908935	0.504072588631412	0.845713419984471	0	0.794631753707082	0.836151185240802	0.939524562908935	0.418463465895453	0.448238512576748	0.836151185240802	0.487354365670926	0.836151185240802	0.504072588631412	0.836151185240802	0	0.896626622331867	0.845713419984471	0.0682921269977475
