ZB_2	ZB_5	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_19	ZB_20	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_35	ZB_38	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_61	ZB_64
ZB_2	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_5	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_11	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_12	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_13	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_14	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_15	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_17	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_19	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_20	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_25	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_26	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_27	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_30	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_32	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_33	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_35	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_38	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_41	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_45	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_48	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_50	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_54	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_55	1	1	1	0.508886255924171	0	1	1	1	0.508886255924171	1	0.508886255924171	0	0	0	0	0	1	0	0	1	0.508886255924171	1	0.508886255924171	0	0.508886255924171	1	1
ZB_57	1	1	1	0	0.508886255924171	1	1	1	0	1	0	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	0.508886255924171	1	0.508886255924171	0.508886255924171	1	0	1	0	0.508886255924171	0	1	1
ZB_61	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
ZB_64	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0
