ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_2	0.317399902314666	0	0.317399902314666	0.317399902314666	0.0638409396852626	1	0.317399902314666	0.317399902314666	0.317399902314666	0.476126657374647	0.0638409396852626	1	1	0.112367916324172	0.112367916324172	0.317399902314666	0.0638409396852626	0.353705510469949	1	0.0638409396852626	0.388794156571312	0.317399902314666	0.112367916324172	0.317399902314666	0.353705510469949	1	0.353705510469949	0.317399902314666	0.317399902314666	1	0.317399902314666	0.423393897922557	0.353705510469949	1	0	0.317399902314666	0.112367916324172	0.448281011291453	0.317399902314666	0.317399902314666	0.353705510469949	0.268872925675756	0.268872925675756	0.476126657374647	0.112367916324172	0.317399902314666	0.476126657374647	0.503990029156821	0.268872925675756	0.0638409396852626	0.353705510469949	0.317399902314666	0.317399902314666	1	0.448074250203889	0.476126657374647	1	0.388794156571312	1	0.317399902314666	0	0.503990029156821	0.317399902314666	0.0638409396852626
ZB_3	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_4	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_5	0.253558962629403	0.0638409396852626	0.253558962629403	0.253558962629403	0	1	0.253558962629403	0.253558962629403	0.253558962629403	0.412285717689384	0	1	1	0.0485269766389097	0.0485269766389097	0.253558962629403	0	0.293260093504853	1	0	0.427814111956923	0.253558962629403	0.0485269766389097	0.253558962629403	0.293260093504853	1	0.293260093504853	0.253558962629403	0.253558962629403	1	0.253558962629403	0.458247094187247	0.293260093504853	1	0.0638409396852626	0.253558962629403	0.0485269766389097	0.480273978531856	0.253558962629403	0.253558962629403	0.293260093504853	0.205031985990494	0.205031985990494	0.412285717689384	0.0485269766389097	0.253558962629403	0.412285717689384	0.443544612191724	0.205031985990494	0	0.293260093504853	0.253558962629403	0.253558962629403	1	0.480079207063712	0.412285717689384	1	0.427814111956923	1	0.253558962629403	0.0638409396852626	0.443544612191724	0.253558962629403	0
ZB_6	1	1	1	1	1	0	1	1	1	1	1	0.443467484952201	0	1	1	1	1	0.933707288613343	0	1	1	1	1	1	0.933707288613343	0	0.933707288613343	1	1	0	1	0.916545731275662	0.933707288613343	0	1	1	1	0.850046014441456	1	1	0.933707288613343	1	1	1	1	1	1	0.918427539679107	1	1	0.933707288613343	1	1	0.443467484952201	0.85009376879799	1	0	1	0	1	1	0.918427539679107	1	1
ZB_7	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_8	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_9	0	0.317399902314666	0	0	0.253558962629403	1	0	0	0	0.212644732957221	0.253558962629403	1	1	0.215489016458097	0.215489016458097	0	0.253558962629403	0.0699899070858195	1	0.253558962629403	0.233447975933034	0	0.215489016458097	0	0.0699899070858195	1	0.0699899070858195	0	0	1	0	0.287098880873928	0.0699899070858195	1	0.317399902314666	0	0.215489016458097	0.324757667137625	0	0	0.0699899070858195	0.0610426781753881	0.0610426781753881	0.212644732957221	0.215489016458097	0	0.212644732957221	0.267751654941075	0.0610426781753881	0.253558962629403	0.0699899070858195	0	0	1	0.41525829399641	0.212644732957221	1	0.233447975933034	1	0	0.317399902314666	0.267751654941075	0	0.253558962629403
ZB_10	0.212644732957221	0.476126657374647	0.212644732957221	0.212644732957221	0.412285717689384	1	0.212644732957221	0.212644732957221	0.212644732957221	0	0.412285717689384	1	1	0.382311145055372	0.382311145055372	0.212644732957221	0.412285717689384	0.267751654941075	1	0.412285717689384	0.446092708890254	0.212644732957221	0.382311145055372	0.212644732957221	0.267751654941075	1	0.267751654941075	0.212644732957221	0.212644732957221	1	0.212644732957221	0.484860628729183	0.267751654941075	1	0.476126657374647	0.212644732957221	0.382311145055372	0.512072710402564	0.212644732957221	0.212644732957221	0.267751654941075	0.26070700713301	0.26070700713301	0	0.382311145055372	0.212644732957221	0	0.0872432932469935	0.26070700713301	0.412285717689384	0.267751654941075	0.212644732957221	0.212644732957221	1	0.289353759635429	0	1	0.446092708890254	1	0.212644732957221	0.476126657374647	0.0872432932469935	0.212644732957221	0.412285717689384
