ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.393787915843976	0.125424358158286	0.0577097821047752	0.464230110772424	0.938848346028871	0.0577097821047752	0.0947103992588501	0.0577097821047752	0.904354255376009	0.393787915843976	0.271227770329006	0.879147821584662	0.273347395516785	0.273347395516785	0.0577097821047752	0.36727349703641	0.155389541088581	0.867910304461308	0.36727349703641	0.0577097821047752	0.125424358158286	0.0947103992588501	0.0577097821047752	0.276096739965607	0.879147821584662	0.864397512131775	0.0265778442524551	0.0577097821047752	0.277243988649375	0.178739979312128	0.879147821584662	0.377821585781718	0.393787915843976	0.125424358158286	0.131757911284259	0.883853499688998	0.0265778442524551	0.0577097821047752	0.251329728455452	0.0947103992588501	0.0577097821047752	1	0.273347395516785	0.125424358158286	0.0265778442524551	0.234770837362212	0.125424358158286	0.393787915843976	0.101545370959757	0.1710380773614	0.0265778442524551	0.877222974279636	1	0.867910304461308	0.0947103992588501	0.88544207867196	0.0577097821047752	0.375661960755403	0.0827538247566064	0.209818755782942	0.393787915843976
ZB_2	0.393787915843976	0	0.341384267571775	0.356660960027678	0.0704421949284483	0.870634924997389	0.356660960027678	0.330366676409709	0.356660960027678	0.872531182705901	0	0.42677828646174	0.884389797253107	0.165747042787862	0.165747042787862	0.356660960027678	0.041905023234173	0.3174462094595	0.821729234793983	0.041905023234173	0.356660960027678	0.341384267571775	0.330366676409709	0.356660960027678	0.422001308044473	0.884389797253107	0.875050186893163	0.409899726200631	0.356660960027678	0.387181164159581	0.261851217780853	0.884389797253107	0.268253760627861	0	0.341384267571775	0.390123219425579	0.856549378678875	0.409899726200631	0.356660960027678	0.412646173969915	0.330366676409709	0.356660960027678	0.962873044183702	0.165747042787862	0.341384267571775	0.409899726200631	0.460614780902551	0.341384267571775	0	0.32527245721512	0.304257311755477	0.409899726200631	0.895162851536952	0.965788475597355	0.821729234793983	0.330366676409709	0.846634401569653	0.356660960027678	0.0290322773068641	0.372772770384333	0.232818940473989	0
ZB_3	0.125424358158286	0.341384267571775	0	0.1710380773614	0.411826462500224	0.942680247653285	0.1710380773614	0.200567300232739	0.1710380773614	0.935059477631239	0.341384267571775	0.315525818705155	0.886724855301565	0.346343687434337	0.346343687434337	0.1710380773614	0.312577825372317	0.214319752203955	0.89564416976232	0.312577825372317	0.1710380773614	0	0.200567300232739	0.1710380773614	0.319822607260726	0.886724855301565	0.873864566528653	0.104029489815326	0.1710380773614	0.349584141490516	0.107746638220843	0.886724855301565	0.434148434148434	0.341384267571775	0	0.230359282368867	0.890869086908691	0.104029489815326	0.1710380773614	0.328082973347461	0.200567300232739	0.1710380773614	1	0.346343687434337	0	0.104029489815326	0.283463711429813	0	0.341384267571775	0.0238789871985289	0.0533630556865435	0.104029489815326	0.885035491815153	1	0.89564416976232	0.200567300232739	0.892272711847151	0.1710380773614	0.321691424920442	0.151841214043812	0.141512001306265	0.341384267571775
ZB_4	0.0577097821047752	0.356660960027678	0.1710380773614	0	0.427103154956126	0.891485492082094	0	0.0392666892337294	0	0.848910545350888	0.356660960027678	0.225376081095018	0.831757199202035	0.228844160022881	0.228844160022881	0	0.328522687652538	0.102249733191035	0.823645712578853	0.328522687652538	0	0.1710380773614	0.0392666892337294	0	0.256816182937555	0.831757199202035	0.811222746223771	0.0827538247566064	0	0.232979396766921	0.128442591155935	0.831757199202035	0.339716785336019	0.356660960027678	0.1710380773614	0.0785831453762559	0.855551710714131	0.0827538247566064	0	0.205478039221464	0.0392666892337294	0	0.942290217895225	0.228844160022881	0.1710380773614	0.0827538247566064	0.215054745914995	0.1710380773614	0.356660960027678	0.148404504927264	0.118882818261044	0.0827538247566064	0.847434784595002	0.949040413964761	0.823645712578853	0.0392666892337294	0.857498453157337	0	0.33742489586789	0.0250440426518312	0.161424761490075	0.356660960027678
ZB_5	0.464230110772424	0.0704421949284483	0.411826462500224	0.427103154956126	0	0.861654851338483	0.427103154956126	0.400808871338157	0.427103154956126	0.86287155398121	0.0704421949284483	0.488565075212557	0.876776193981574	0.23618923771631	0.23618923771631	0.427103154956126	0.112347218162621	0.387888404387948	0.809989069575498	0.112347218162621	0.427103154956126	0.411826462500224	0.400808871338157	0.427103154956126	0.483788096795291	0.876776193981574	0.866109192268072	0.480341921129079	0.427103154956126	0.448967952910399	0.332293412709301	0.876776193981574	0.330040549378679	0.0704421949284483	0.411826462500224	0.456901475353287	0.847102322157532	0.480341921129079	0.427103154956126	0.474432962720732	0.400808871338157	0.427103154956126	0.960059551311669	0.23618923771631	0.411826462500224	0.480341921129079	0.522401569653368	0.411826462500224	0.0704421949284483	0.395714652143569	0.374699506683926	0.480341921129079	0.888258716455866	0.963413630538802	0.809989069575498	0.400808871338157	0.836534386223204	0.427103154956126	0.0994744722353124	0.443214965312781	0.303261135402437	0.0704421949284483
ZB_6	0.938848346028871	0.870634924997389	0.942680247653285	0.891485492082094	0.861654851338483	0	0.891485492082094	0.857941877011818	0.891485492082094	0.539311978678249	0.870634924997389	0.761043594280245	0.479609880594294	0.912738042786508	0.912738042786508	0.891485492082094	0.865438931515935	0.817147074819361	0.342883452637431	0.865438931515935	0.891485492082094	0.942680247653285	0.857941877011818	0.891485492082094	0.75442323868086	0.479609880594294	0.740041928721174	0.937565068759226	0.891485492082094	0.731020062727137	0.869360448434887	0.479609880594294	0.834625233179232	0.870634924997389	0.942680247653285	0.898584016670341	0.382608695652174	0.937565068759226	0.891485492082094	0.765633778776608	0.857941877011818	0.891485492082094	0.83543534015494	0.912738042786508	0.942680247653285	0.937565068759226	0.80793717550831	0.942680247653285	0.870634924997389	0.943763689930509	0.898285257781962	0.937565068759226	0.517145200984413	0.457708680362761	0.342883452637431	0.857941877011818	0.348063075380549	0.891485492082094	0.897387413632941	0.889208297723565	0.835300951034661	0.870634924997389
ZB_7	0.0577097821047752	0.356660960027678	0.1710380773614	0	0.427103154956126	0.891485492082094	0	0.0392666892337294	0	0.848910545350888	0.356660960027678	0.225376081095018	0.831757199202035	0.228844160022881	0.228844160022881	0	0.328522687652538	0.102249733191035	0.823645712578853	0.328522687652538	0	0.1710380773614	0.0392666892337294	0	0.256816182937555	0.831757199202035	0.811222746223771	0.0827538247566064	0	0.232979396766921	0.128442591155935	0.831757199202035	0.339716785336019	0.356660960027678	0.1710380773614	0.0785831453762559	0.855551710714131	0.0827538247566064	0	0.205478039221464	0.0392666892337294	0	0.942290217895225	0.228844160022881	0.1710380773614	0.0827538247566064	0.215054745914995	0.1710380773614	0.356660960027678	0.148404504927264	0.118882818261044	0.0827538247566064	0.847434784595002	0.949040413964761	0.823645712578853	0.0392666892337294	0.857498453157337	0	0.33742489586789	0.0250440426518312	0.161424761490075	0.356660960027678
ZB_8	0.0947103992588501	0.330366676409709	0.200567300232739	0.0392666892337294	0.400808871338157	0.857941877011818	0.0392666892337294	0	0.0392666892337294	0.809643856117159	0.330366676409709	0.192902712498711	0.837220609686022	0.252407062101856	0.252407062101856	0.0392666892337294	0.301078348358819	0.0646147278548559	0.792296367942308	0.301078348358819	0.0392666892337294	0.200567300232739	0	0.0392666892337294	0.248959881657646	0.837220609686022	0.818074035041496	0.118771045270716	0.0392666892337294	0.201630052130376	0.0928206620118955	0.837220609686022	0.357067488539288	0.330366676409709	0.200567300232739	0.112024107495719	0.839626197469579	0.118771045270716	0.0392666892337294	0.173004670625157	0	0.0392666892337294	0.944556289974879	0.252407062101856	0.200567300232739	0.118771045270716	0.24054456247882	0.200567300232739	0.330366676409709	0.178739979312128	0.150269912076545	0.118771045270716	0.852389091069824	0.950815526615248	0.792296367942308	0	0.826149108520792	0.0392666892337294	0.310344403897428	0.063327335245595	0.127150865789085	0.330366676409709
ZB_9	0.0577097821047752	0.356660960027678	0.1710380773614	0	0.427103154956126	0.891485492082094	0	0.0392666892337294	0	0.848910545350888	0.356660960027678	0.225376081095018	0.831757199202035	0.228844160022881	0.228844160022881	0	0.328522687652538	0.102249733191035	0.823645712578853	0.328522687652538	0	0.1710380773614	0.0392666892337294	0	0.256816182937555	0.831757199202035	0.811222746223771	0.0827538247566064	0	0.232979396766921	0.128442591155935	0.831757199202035	0.339716785336019	0.356660960027678	0.1710380773614	0.0785831453762559	0.855551710714131	0.0827538247566064	0	0.205478039221464	0.0392666892337294	0	0.942290217895225	0.228844160022881	0.1710380773614	0.0827538247566064	0.215054745914995	0.1710380773614	0.356660960027678	0.148404504927264	0.118882818261044	0.0827538247566064	0.847434784595002	0.949040413964761	0.823645712578853	0.0392666892337294	0.857498453157337	0	0.33742489586789	0.0250440426518312	0.161424761490075	0.356660960027678
ZB_10	0.904354255376009	0.872531182705901	0.935059477631239	0.848910545350888	0.86287155398121	0.539311978678249	0.848910545350888	0.809643856117159	0.848910545350888	0	0.872531182705901	0.862474399964639	0.729355273396724	0.882430006307924	0.882430006307924	0.848910545350888	0.866955969517358	0.840614727854856	0.628726805198415	0.866955969517358	0.848910545350888	0.935059477631239	0.809643856117159	0.848910545350888	0.895355204858864	0.729355273396724	0.628674843111215	0.928414901387874	0.848910545350888	0.848025375331593	0.827312839410396	0.729355273396724	0.898889398916225	0.872531182705901	0.935059477631239	0.860352720326703	0.744353325456946	0.928414901387874	0.848910545350888	0.842576358091085	0.809643856117159	0.848910545350888	0.708736955402686	0.882430006307924	0.935059477631239	0.928414901387874	0.910116249944748	0.935059477631239	0.872531182705901	0.913232156710628	0.884762089475045	0.928414901387874	0.76843363889996	0.82543822745758	0.628726805198415	0.809643856117159	0.711428869275141	0.848910545350888	0.868719820118692	0.872971191362754	0.833847804620134	0.872531182705901
