ZB_2	ZB_5	ZB_6	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_19	ZB_20	ZB_22	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_38	ZB_41	ZB_42	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_61	ZB_64
ZB_2	0	0.961380419247261	1	1	1	0.361869618696187	1	1	0.361869618696187	0.361869618696187	0.960515700869142	1	0	1	1	1	1	1	1	1	1	1	0.961380419247261	1	1	1	1	0.361869618696187	1	0.958866530295102	1	1	1	0	1	0	0
ZB_5	0.961380419247261	0	0.167627389165161	0.0605198904240114	0.0605198904240114	0.939480109575989	0.167627389165161	0.167627389165161	0.939480109575989	0.939480109575989	0.021900309671272	0.167627389165161	0.961380419247261	0.167627389165161	0.167627389165161	0.167627389165161	0.167627389165161	0.978099690328728	0.167627389165161	0.167627389165161	0.167627389165161	0.148223872525095	0	0.0605198904240114	0.167627389165161	0.167627389165161	0.0605198904240114	0.939480109575989	0.167627389165161	0.282162219203018	0.167627389165161	0.167627389165161	0.167627389165161	0.961380419247261	0.167627389165161	0.961380419247261	0.961380419247261
ZB_6	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_8	1	0.0605198904240114	0.12046664622418	0	0	1	0.12046664622418	0.12046664622418	1	1	0.0394842991308583	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.138137317836022	0.0605198904240114	0	0.12046664622418	0.12046664622418	0	1	0.12046664622418	0.335782406247115	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	1	1
ZB_10	1	0.0605198904240114	0.12046664622418	0	0	1	0.12046664622418	0.12046664622418	1	1	0.0394842991308583	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.138137317836022	0.0605198904240114	0	0.12046664622418	0.12046664622418	0	1	0.12046664622418	0.335782406247115	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	1	1
ZB_11	0.361869618696187	0.939480109575989	1	1	1	0	1	1	0	0	0.961380419247261	1	0.361869618696187	1	1	1	1	0.638130381303813	1	1	1	0.980596483359935	0.939480109575989	1	1	1	1	0	1	0.935540649826364	1	1	1	0.361869618696187	1	0.361869618696187	0.361869618696187
ZB_12	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_13	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_14	0.361869618696187	0.939480109575989	1	1	1	0	1	1	0	0	0.961380419247261	1	0.361869618696187	1	1	1	1	0.638130381303813	1	1	1	0.980596483359935	0.939480109575989	1	1	1	1	0	1	0.935540649826364	1	1	1	0.361869618696187	1	0.361869618696187	0.361869618696187
ZB_15	0.361869618696187	0.939480109575989	1	1	1	0	1	1	0	0	0.961380419247261	1	0.361869618696187	1	1	1	1	0.638130381303813	1	1	1	0.980596483359935	0.939480109575989	1	1	1	1	0	1	0.935540649826364	1	1	1	0.361869618696187	1	0.361869618696187	0.361869618696187
