ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_50	ZB_52	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_2	0	0.986756177838148	0.877331382895356	0.131876599968654	0.957747766574369	0.986756177838148	0.864087560733504	0.930424220260174	0.986756177838148	0.131876599968654	0.852142595268391	0.194386395695105	0.250718353273079	0.888171986834544	0	0.741104335589359	0.131876599968654	0.930424220260174	0.888171986834544	0.852610889530005	0.865044167142562	0.852610889530005	0.744936234058515	0.944503944412518	0.714848712178044	0.8507947119843	0.131876599968654	0.912394746114871	0.986756177838148	0.900074118175964	0.837273392194765	0.986756177838148	0.930424220260174	0.194386395695105	0.986756177838148	0.792059349996765	0.206847173661412	0.986756177838148	0.852610889530005	0.717118194043747	0.986756177838148	0.804287347150036	0.986756177838148	0.131876599968654	0.986756177838148	0.837273392194765	0.131876599968654
ZB_3	0.986756177838148	0	1	0.984744309206072	1	0	0.902556217566788	0.809648958137789	0	0.984744309206072	1	0.983560577811644	0.982324640914796	0.881569726699369	0.986756177838148	1	0.984744309206072	0.809648958137789	0.881569726699369	1	1	1	0.979268467215964	0.761355613085432	0.980469577611279	0.966212388790777	0.984744309206072	1	0	0.927369099634697	0.918613050806646	0	0.809648958137789	0.983560577811644	0	1	0.986242266362748	0	1	0.97106824925816	0	0.97045798857942	0	0.984744309206072	0	0.918613050806646	0.984744309206072
ZB_4	0.877331382895356	1	0	0.858696796906736	0.896723460026212	1	0.0974437824332116	0.585527580242168	1	0.858696796906736	0.968973120537589	0.916206654670774	0.981975662569764	0.558953367043904	0.877331382895356	0.874493426905209	0.858696796906736	0.585527580242168	0.558953367043904	0.962440419447092	0.759937609301886	0.962440419447092	0.895943796394486	0.905128822537924	0.8191028332595	0.969074592501504	0.858696796906736	0.944131965779647	1	0.946687113797303	0.24616742916767	1	0.585527580242168	0.916206654670774	1	0.972932124209948	0.87257136654727	1	0.962440419447092	0.858903581974579	1	0.856230867847518	1	0.858696796906736	1	0.24616742916767	0.858696796906736
ZB_5	0.131876599968654	0.984744309206072	0.858696796906736	0	0.951329231046986	0.984744309206072	0.843441106112808	0.919854965622038	0.984744309206072	0	0.883213370886795	0.0720056569425429	0.136895000526577	0.871184196669024	0.131876599968654	0.853872098997074	0	0.919854965622038	0.871184196669024	0.885932455922523	0.846171957232286	0.885932455922523	0.845931482870718	0.936073540253058	0.815843960990248	0.881764549068697	0	0.900144036341477	0.984744309206072	0.886100493047477	0.812553598026088	0.984744309206072	0.919854965622038	0.0720056569425429	0.984744309206072	0.900935970152473	0.0981900575274069	0.984744309206072	0.885932455922523	0.833174331329525	0.984744309206072	0.83177440105706	0.984744309206072	0	0.984744309206072	0.812553598026088	0
ZB_6	0.957747766574369	1	0.896723460026212	0.951329231046986	0	1	0.905128822537924	1	1	0.951329231046986	0.891755336947066	0.962505993287518	0.959730161182347	0.622167717822939	0.957747766574369	0.936669906057661	0.951329231046986	1	0.622167717822939	0.902853120212017	0.867704280155642	0.902853120212017	0.933859459017399	0.238644386914568	0.955574912891986	0.924077669902913	0.951329231046986	0.830442324371206	1	0.842020202020202	0.740348342563609	1	1	0.962505993287518	1	0.935455470877927	0.956108216650385	1	0.902853120212017	0.934719091743885	1	0.933376877857609	1	0.951329231046986	1	0.740348342563609	0.951329231046986
ZB_7	0.986756177838148	0	1	0.984744309206072	1	0	0.902556217566788	0.809648958137789	0	0.984744309206072	1	0.983560577811644	0.982324640914796	0.881569726699369	0.986756177838148	1	0.984744309206072	0.809648958137789	0.881569726699369	1	1	1	0.979268467215964	0.761355613085432	0.980469577611279	0.966212388790777	0.984744309206072	1	0	0.927369099634697	0.918613050806646	0	0.809648958137789	0.983560577811644	0	1	0.986242266362748	0	1	0.97106824925816	0	0.97045798857942	0	0.984744309206072	0	0.918613050806646	0.984744309206072
ZB_8	0.864087560733504	0.902556217566788	0.0974437824332116	0.843441106112808	0.905128822537924	0.902556217566788	0	0.488083797808956	0.902556217566788	0.843441106112808	0.969777550498594	0.900744152002196	0.966513159901186	0.47756641785055	0.864087560733504	0.877561351911673	0.843441106112808	0.488083797808956	0.47756641785055	0.96361285555966	0.770916963601101	0.96361285555966	0.876742160278746	0.82374187334457	0.799572410870779	0.942544674393658	0.843441106112808	0.946687113797303	0.902556217566788	0.900951693653872	0.164780479974316	0.902556217566788	0.488083797808956	0.900744152002196	0.902556217566788	0.973546394521284	0.858813632910018	0.902556217566788	0.96361285555966	0.832866863525485	0.902556217566788	0.829700949739672	0.902556217566788	0.843441106112808	0.902556217566788	0.164780479974316	0.843441106112808
ZB_9	0.930424220260174	0.809648958137789	0.585527580242168	0.919854965622038	1	0.809648958137789	0.488083797808956	0	0.809648958137789	0.919854965622038	1	0.913636289943419	0.983560577811644	0.377832282177061	0.930424220260174	1	0.919854965622038	0	0.377832282177061	1	1	1	0.891087894338697	0.881569726699369	0.897397869758662	0.97045798857942	0.919854965622038	1	0.809648958137789	0.944511327569224	0.572437595312625	0.809648958137789	0	0.913636289943419	0.809648958137789	1	0.927724411158146	0.809648958137789	1	0.848008445560374	0.809648958137789	0.844802470574525	0.809648958137789	0.919854965622038	0.809648958137789	0.572437595312625	0.919854965622038
ZB_10	0.986756177838148	0	1	0.984744309206072	1	0	0.902556217566788	0.809648958137789	0	0.984744309206072	1	0.983560577811644	0.982324640914796	0.881569726699369	0.986756177838148	1	0.984744309206072	0.809648958137789	0.881569726699369	1	1	1	0.979268467215964	0.761355613085432	0.980469577611279	0.966212388790777	0.984744309206072	1	0	0.927369099634697	0.918613050806646	0	0.809648958137789	0.983560577811644	0	1	0.986242266362748	0	1	0.97106824925816	0	0.97045798857942	0	0.984744309206072	0	0.918613050806646	0.984744309206072
ZB_11	0.131876599968654	0.984744309206072	0.858696796906736	0	0.951329231046986	0.984744309206072	0.843441106112808	0.919854965622038	0.984744309206072	0	0.883213370886795	0.0720056569425429	0.136895000526577	0.871184196669024	0.131876599968654	0.853872098997074	0	0.919854965622038	0.871184196669024	0.885932455922523	0.846171957232286	0.885932455922523	0.845931482870718	0.936073540253058	0.815843960990248	0.881764549068697	0	0.900144036341477	0.984744309206072	0.886100493047477	0.812553598026088	0.984744309206072	0.919854965622038	0.0720056569425429	0.984744309206072	0.900935970152473	0.0981900575274069	0.984744309206072	0.885932455922523	0.833174331329525	0.984744309206072	0.83177440105706	0.984744309206072	0	0.984744309206072	0.812553598026088	0
