ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_37	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_50	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_2	0	0.758802277876431	0.757975629171514	0.555558579398558	0.802294381153785	0.748255709727152	0.704932337272672	0.757975629171514	0.704932337272672	0.531576494209602	0.854321577188076	0.854321577188076	0.151996203539281	0.16554405731431	0.732977160002449	0.0989529116404384	0.78345498783455	0.0989529116404384	0.757975629171514	0.697802121611315	0.920222268767788	0.854321577188076	0.920222268767788	0.780827323445367	0.781893756264371	0.694430837058355	0.770789276212566	0.800031834822748	0.531576494209602	0.757975629171514	0.82024694726789	0.757975629171514	0.794221979671192	0.691384483497642	0.758802277876431	0.758802277876431	0.126997734370216	0.722934909068642	0.531576494209602	0.78071062349862	0.71942930622742	0.854321577188076	0.810364954896527	0.780851354116925	0.757975629171514	0.807126452463788	0.732977160002449	0.555558579398558	0.761481232012736	0.666386014328577	0
ZB_3	0.758802277876431	0	0.00341555977229601	0.892801741733569	0.606287013668507	0.855764477562753	0.182568093385214	0.00341555977229601	0.182568093385214	0.88701731741422	0.666206429427395	0.666206429427395	0.715569997292174	0.71095211887727	0.0967150146190449	0.732313965341488	0.629471423457821	0.732313965341488	0.00341555977229601	0.448782535684299	0.795062509890805	0.666206429427395	0.795062509890805	0.905148822595358	0.888475994309133	0.210660788537648	0.631783126898808	0.60823511860361	0.88701731741422	0.00341555977229601	0.590114464099896	0.00341555977229601	0.620904341032277	0.218452380952381	0	0	0.723714666479624	0.15282627673505	0.88701731741422	0.897196946117651	0.140331732867743	0.666206429427395	0.908080032713264	0.624006681780217	0.00341555977229601	0.698779885746526	0.0967150146190449	0.892801741733569	0.0179000632511069	0.277015555453586	0.758802277876431
ZB_4	0.757975629171514	0.00341555977229601	0	0.892434344808818	0.606817557956729	0.855835742780807	0.179766536964981	0	0.179766536964981	0.886630095729805	0.666675338189386	0.666675338189386	0.714595180070403	0.709961474958723	0.0936192168778306	0.731396534148828	0.628182794415941	0.731396534148828	0	0.446893366918556	0.795412177319979	0.666675338189386	0.795412177319979	0.905192064162094	0.888093771898159	0.207955513250839	0.630521149801355	0.608760429082241	0.886630095729805	0	0.588709677419355	0	0.619585917281117	0.21577380952381	0.00341555977229601	0.00341555977229601	0.72276776320404	0.149879965080751	0.886630095729805	0.897247739999268	0.137385421213444	0.666675338189386	0.908115628159803	0.622718052738337	0	0.699161794745369	0.0936192168778306	0.892434344808818	0.0144845034788109	0.274537695590327	0.757975629171514
ZB_5	0.555558579398558	0.892801741733569	0.892434344808818	0	0.897476563881847	0.542261213900457	0.868859708803919	0.892434344808818	0.868859708803919	0.370343187455907	0.924456105182478	0.924456105182478	0.623111988025582	0.629133215403456	0.881323989658457	0.599537352020683	0.887707092742173	0.599537352020683	0.892434344808818	0.858276267956897	0.960231913965815	0.924456105182478	0.960231913965815	0.225268744046809	0.300459878544897	0.864192407130222	0.881139083780437	0.896303284004481	0.370343187455907	0.892434344808818	0.906786156476623	0.892434344808818	0.893290489947527	0.862838481426044	0.892801741733569	0.892801741733569	0.612001632875221	0.8768607973874	0.370343187455907	0.568011651987893	0.875302762280582	0.924456105182478	0.328931077177053	0.886356936501386	0.892434344808818	0.899982312363658	0.881323989658457	0	0.893992379915635	0.851728126275684	0.555558579398558
ZB_6	0.802294381153785	0.606287013668507	0.606817557956729	0.897476563881847	0	0.881978412146725	0.585037585013721	0.606817557956729	0.585037585013721	0.892716784403245	0.114345685799245	0.114345685799245	0.802204423912225	0.774578688099559	0.566066927856662	0.786611854215241	0.0504713041403174	0.786611854215241	0.606817557956729	0.455687369155618	0.442414852944851	0.114345685799245	0.442414852944851	0.90878986853488	0.731401141961487	0.591721255664342	0.13589807081917	0.0827937205801534	0.892716784403245	0.606817557956729	0.0420981708382202	0.606817557956729	0.10410650137353	0.645318866353015	0.606287013668507	0.606287013668507	0.781704285821889	0.635439412082365	0.892716784403245	0.915880779919252	0.630062689300556	0.114345685799245	0.748677548820785	0.0450065624627133	0.606817557956729	0.128382349483979	0.566066927856662	0.897476563881847	0.612532128864822	0.608558629538753	0.802294381153785
ZB_7	0.748255709727152	0.855764477562753	0.855835742780807	0.542261213900457	0.881978412146725	0	0.860265881497379	0.855835742780807	0.860265881497379	0.21667921551755	0.902834652834653	0.902834652834653	0.728957892623875	0.727093228441943	0.857958079783637	0.736019730658466	0.88531395185653	0.736019730658466	0.855835742780807	0.870922287942589	0.94823188915628	0.902834652834653	0.94823188915628	0.484114689495855	0.526916495651611	0.861110866250011	0.884378302219091	0.882154076290202	0.21667921551755	0.855835742780807	0.880565788875244	0.855835742780807	0.884506099375186	0.861354076837789	0.855764477562753	0.855764477562753	0.732332512446725	0.861130489222789	0.21667921551755	0.0414324685548985	0.859082371880869	0.902834652834653	0.539110579924722	0.883622504376343	0.855835742780807	0.905799925010476	0.857958079783637	0.542261213900457	0.857931047103173	0.863318152244632	0.748255709727152
ZB_8	0.704932337272672	0.182568093385214	0.179766536964981	0.868859708803919	0.585037585013721	0.860265881497379	0	0.179766536964981	0	0.861783370979886	0.694236964562701	0.694236964562701	0.731396534148828	0.690408576195378	0.0950453955901427	0.672528032619776	0.545495764228612	0.672528032619776	0.179766536964981	0.325671704450042	0.815600615139261	0.694236964562701	0.815600615139261	0.893059643171879	0.876553403493059	0.199605377873629	0.602863381581613	0.580288748359384	0.861783370979886	0.179766536964981	0.622718052738337	0.179766536964981	0.649258267113882	0.190474005414583	0.182568093385214	0.182568093385214	0.703652735304111	0.285045656862295	0.861783370979886	0.900405296345238	0.274537695590327	0.694236964562701	0.910343428123601	0.540031022551008	0.179766536964981	0.674808094905792	0.0950453955901427	0.868859708803919	0.191647211413748	0.115541687697885	0.704932337272672
ZB_9	0.757975629171514	0.00341555977229601	0	0.892434344808818	0.606817557956729	0.855835742780807	0.179766536964981	0	0.179766536964981	0.886630095729805	0.666675338189386	0.666675338189386	0.714595180070403	0.709961474958723	0.0936192168778306	0.731396534148828	0.628182794415941	0.731396534148828	0	0.446893366918556	0.795412177319979	0.666675338189386	0.795412177319979	0.905192064162094	0.888093771898159	0.207955513250839	0.630521149801355	0.608760429082241	0.886630095729805	0	0.588709677419355	0	0.619585917281117	0.21577380952381	0.00341555977229601	0.00341555977229601	0.72276776320404	0.149879965080751	0.886630095729805	0.897247739999268	0.137385421213444	0.666675338189386	0.908115628159803	0.622718052738337	0	0.699161794745369	0.0936192168778306	0.892434344808818	0.0144845034788109	0.274537695590327	0.757975629171514
ZB_10	0.704932337272672	0.182568093385214	0.179766536964981	0.868859708803919	0.585037585013721	0.860265881497379	0	0.179766536964981	0	0.861783370979886	0.694236964562701	0.694236964562701	0.731396534148828	0.690408576195378	0.0950453955901427	0.672528032619776	0.545495764228612	0.672528032619776	0.179766536964981	0.325671704450042	0.815600615139261	0.694236964562701	0.815600615139261	0.893059643171879	0.876553403493059	0.199605377873629	0.602863381581613	0.580288748359384	0.861783370979886	0.179766536964981	0.622718052738337	0.179766536964981	0.649258267113882	0.190474005414583	0.182568093385214	0.182568093385214	0.703652735304111	0.285045656862295	0.861783370979886	0.900405296345238	0.274537695590327	0.694236964562701	0.910343428123601	0.540031022551008	0.179766536964981	0.674808094905792	0.0950453955901427	0.868859708803919	0.191647211413748	0.115541687697885	0.704932337272672
ZB_11	0.531576494209602	0.88701731741422	0.886630095729805	0.370343187455907	0.892716784403245	0.21667921551755	0.861783370979886	0.886630095729805	0.861783370979886	0	0.920948884844372	0.920948884844372	0.602775088738303	0.609121221899537	0.874920225162239	0.577928363988383	0.882493753277601	0.577928363988383	0.886630095729805	0.850983958535618	0.958304892655222	0.920948884844372	0.958304892655222	0.55872078468856	0.584967287317157	0.856864221433437	0.875620816238393	0.891489033531789	0	0.886630095729805	0.902458586544097	0.886630095729805	0.888336366721165	0.855437237818651	0.88701731741422	0.88701731741422	0.591065218170736	0.870216198773798	0	0.249134129289018	0.868574092001004	0.920948884844372	0.609307741161527	0.881080914335071	0.886630095729805	0.895338865410124	0.874920225162239	0.370343187455907	0.888272202502599	0.843727367251085	0.531576494209602
