ZB_1	ZB_2	ZB_5	ZB_6	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_38	ZB_39	ZB_41	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_50	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59	ZB_61	ZB_64
ZB_1	0	0.446761034109899	0.255426591121624	0.854839325971495	0.168400366441089	0.831599633558911	0.334729185097808	0.854839325971495	0.854839325971495	0.168400366441089	0.168400366441089	0.255426591121624	0.727828813466087	0.854839325971495	0.380813026019033	0.831599633558911	0.727828813466087	0.854839325971495	0.854839325971495	0.854839325971495	0.854839325971495	1	0.854839325971495	0.854839325971495	0.831599633558911	0.380813026019033	0.854839325971495	1	0.854839325971495	1	0	1	1	0.831599633558911	0.380813026019033	0.727828813466087	0.854839325971495	0.854839325971495	0.854839325971495	0.854839325971495	0.168400366441089	0.380813026019033
ZB_2	0.446761034109899	0	0.218539270618303	0.893492578393787	0.37696080059336	1	0.112031849012091	0.893492578393787	0.893492578393787	0.37696080059336	0.37696080059336	0.218539270618303	0.46911981225023	0.893492578393787	0.11994509204831	1	0.46911981225023	0.893492578393787	0.893492578393787	0.893492578393787	0.893492578393787	0.88005490795169	0.893492578393787	0.893492578393787	1	0.11994509204831	0.893492578393787	0.88005490795169	0.893492578393787	0.88005490795169	0.446761034109899	0.88005490795169	0.88005490795169	1	0.11994509204831	0.46911981225023	0.893492578393787	0.893492578393787	0.893492578393787	0.893492578393787	0.37696080059336	0.11994509204831
ZB_5	0.255426591121624	0.218539270618303	0	0.887968150987909	0.380813026019033	0.874613565102591	0.106507421606213	0.887968150987909	0.887968150987909	0.380813026019033	0.380813026019033	0	0.472402222344463	0.887968150987909	0.125386434897409	0.874613565102591	0.472402222344463	0.887968150987909	0.887968150987909	0.887968150987909	0.887968150987909	1	0.887968150987909	0.887968150987909	0.874613565102591	0.125386434897409	0.887968150987909	1	0.887968150987909	1	0.255426591121624	1	1	0.874613565102591	0.125386434897409	0.472402222344463	0.887968150987909	0.887968150987909	0.887968150987909	0.887968150987909	0.380813026019033	0.125386434897409
ZB_6	0.854839325971495	0.893492578393787	0.887968150987909	0	1	0.487360561353005	0.781460729381697	0	0	1	1	0.887968150987909	1	0	1	0.487360561353005	1	0	0	0	0	0.512639438646995	0	0	0.487360561353005	1	0	0.512639438646995	0	0.512639438646995	0.854839325971495	0.512639438646995	0.512639438646995	0.487360561353005	1	1	0	0	0	0	1	1
ZB_8	0.168400366441089	0.37696080059336	0.380813026019033	1	0	1	0.446761034109899	1	1	0	0	0.380813026019033	0.688809781378148	1	0.292045082895167	1	0.688809781378148	1	1	1	1	1	1	1	1	0.292045082895167	1	1	1	1	0.168400366441089	1	1	1	0.292045082895167	0.688809781378148	1	1	1	1	0	0.292045082895167
ZB_10	0.831599633558911	1	0.874613565102591	0.487360561353005	1	0	0.887968150987909	0.487360561353005	0.487360561353005	1	1	0.874613565102591	1	0.487360561353005	1	0	1	0.487360561353005	0.487360561353005	0.487360561353005	0.487360561353005	1	0.487360561353005	0.487360561353005	0	1	0.487360561353005	1	0.487360561353005	1	0.831599633558911	1	1	0	1	1	0.487360561353005	0.487360561353005	0.487360561353005	0.487360561353005	1	1
ZB_11	0.334729185097808	0.112031849012091	0.106507421606213	0.781460729381697	0.446761034109899	0.887968150987909	0	0.781460729381697	0.781460729381697	0.446761034109899	0.446761034109899	0.106507421606213	0.528595301287722	0.781460729381697	0.218539270618303	0.887968150987909	0.528595301287722	0.781460729381697	0.781460729381697	0.781460729381697	0.781460729381697	0.893492578393787	0.781460729381697	0.781460729381697	0.887968150987909	0.218539270618303	0.781460729381697	0.893492578393787	0.781460729381697	0.893492578393787	0.334729185097808	0.893492578393787	0.893492578393787	0.887968150987909	0.218539270618303	0.528595301287722	0.781460729381697	0.781460729381697	0.781460729381697	0.781460729381697	0.446761034109899	0.218539270618303
ZB_12	0.854839325971495	0.893492578393787	0.887968150987909	0	1	0.487360561353005	0.781460729381697	0	0	1	1	0.887968150987909	1	0	1	0.487360561353005	1	0	0	0	0	0.512639438646995	0	0	0.487360561353005	1	0	0.512639438646995	0	0.512639438646995	0.854839325971495	0.512639438646995	0.512639438646995	0.487360561353005	1	1	0	0	0	0	1	1
ZB_13	0.854839325971495	0.893492578393787	0.887968150987909	0	1	0.487360561353005	0.781460729381697	0	0	1	1	0.887968150987909	1	0	1	0.487360561353005	1	0	0	0	0	0.512639438646995	0	0	0.487360561353005	1	0	0.512639438646995	0	0.512639438646995	0.854839325971495	0.512639438646995	0.512639438646995	0.487360561353005	1	1	0	0	0	0	1	1
ZB_14	0.168400366441089	0.37696080059336	0.380813026019033	1	0	1	0.446761034109899	1	1	0	0	0.380813026019033	0.688809781378148	1	0.292045082895167	1	0.688809781378148	1	1	1	1	1	1	1	1	0.292045082895167	1	1	1	1	0.168400366441089	1	1	1	0.292045082895167	0.688809781378148	1	1	1	1	0	0.292045082895167
