ZB_1	ZB_2	ZB_5	ZB_6	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_20	ZB_25	ZB_26	ZB_30	ZB_32	ZB_35	ZB_45	ZB_50	ZB_57	ZB_61	ZB_64
ZB_1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_2	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_5	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_6	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_11	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_12	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_13	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_14	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_15	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_17	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_20	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_25	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_26	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_30	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_32	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_35	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_45	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_50	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_57	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1
ZB_61	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
ZB_64	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0
