ZB_6	ZB_12	ZB_13	ZB_19	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_34	ZB_41	ZB_48	ZB_49	ZB_54	ZB_57	ZB_59
ZB_6	0	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ZB_12	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_13	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_19	0	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ZB_25	0	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ZB_26	0	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ZB_27	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_30	0.5	1	1	0.5	0.5	0.5	1	0	0.5	1	1	1	1	1	1	1	0
ZB_32	0	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ZB_33	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_34	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_41	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_48	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_49	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_54	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_57	0.5	0	0	0.5	0.5	0.5	0	1	0.5	0	0	0	0	0	0	0	1
ZB_59	0.5	1	1	0.5	0.5	0.5	1	0	0.5	1	1	1	1	1	1	1	0
