ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_50	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.961835646680288	0.807052956542389	0.961835646680288	1	0.807052956542389	0.931940023454515	0.939898289412853	0.795468848332285	0.961835646680288	1	1	0.951859696938277	0.954631749399743	0.937377162896451	0.964322567896898	0.921758389908036	1	0.961835646680288	0	0.93034122085048	0	1	1	1	0	0.879740980573543	0.97055759387598	0.852967788635541	0.966378382851941	1	1	0.961835646680288	1	0	1	0.612310628653227	0.80106506702577	0.964931968017955	0.824457167548882	0.612310628653227	0.963193241146559	0	1	1	0.961835646680288	0	1	0.968801297866009	0	0.969567863664029	0.836904702162895	1	0.893327206485706	0.961835646680288	0.918940489848855	0.939898289412853	0.959991136497932
ZB_2	0.961835646680288	0	0.802202963902393	0	0.766682217886731	0.802202963902393	0.609786201414167	0.490290051504473	0.813405669461472	0	0.751293578759861	0.862774620408856	0.207226567087062	0.158787195565889	0.513895364597452	0.145106293411913	0.674783481862684	0.705402767024607	0	0.961835646680288	0.570734616427216	0.961835646680288	0.862774620408856	0.826490796505217	0.862774620408856	0.961835646680288	0.803138769457277	0.683522402127445	0.740435425914183	0.77589793651328	0.781943619758532	0.73660552871183	0	0.906389894507377	0.961835646680288	0.723068637021577	0.901559454191033	0.808156603020268	0.769716633920912	0.782592357735034	0.901559454191033	0.119197614529683	0.961835646680288	0.939723807510745	0.858795033495537	0	0.961835646680288	0.797332258885402	0.725357659810819	0.961835646680288	0.707691789813849	0.765999671199418	0.797778301410442	0.874761571100471	0	0.827228464419476	0.490290051504473	0.0461025388102116
ZB_4	0.807052956542389	0.802202963902393	0	0.802202963902393	0.853144209059384	0	0.647260847713185	0.688506703652335	0.319609856262834	0.802202963902393	0.856518618593262	1	0.920587595490665	0.842172758083723	0.675440286716251	0.815092102663183	0.706302074100337	0.876849209584636	0.802202963902393	0.807052956542389	0.765528101246136	0.807052956542389	1	0.968800135100904	1	0.807052956542389	0.919988182870085	0.847406803460615	0.237965979008324	0.942163240200555	0.907438728451219	0.867368448963899	0.802202963902393	1	0.807052956542389	0.873850465381724	0.673729036328269	0.334872283836001	0.939931278129991	0.400380021715527	0.673729036328269	0.809239062730042	0.807052956542389	0.844592818463803	1	0.802202963902393	0.807052956542389	0.905272324596297	0.877005595716447	0.807052956542389	0.879929338225302	0.154714708686707	0.972451585245382	0.926238623726198	0.802202963902393	0.939465057368499	0.688506703652335	0.792643293283435
ZB_5	0.961835646680288	0	0.802202963902393	0	0.766682217886731	0.802202963902393	0.609786201414167	0.490290051504473	0.813405669461472	0	0.751293578759861	0.862774620408856	0.207226567087062	0.158787195565889	0.513895364597452	0.145106293411913	0.674783481862684	0.705402767024607	0	0.961835646680288	0.570734616427216	0.961835646680288	0.862774620408856	0.826490796505217	0.862774620408856	0.961835646680288	0.803138769457277	0.683522402127445	0.740435425914183	0.77589793651328	0.781943619758532	0.73660552871183	0	0.906389894507377	0.961835646680288	0.723068637021577	0.901559454191033	0.808156603020268	0.769716633920912	0.782592357735034	0.901559454191033	0.119197614529683	0.961835646680288	0.939723807510745	0.858795033495537	0	0.961835646680288	0.797332258885402	0.725357659810819	0.961835646680288	0.707691789813849	0.765999671199418	0.797778301410442	0.874761571100471	0	0.827228464419476	0.490290051504473	0.0461025388102116
ZB_6	1	0.766682217886731	0.853144209059384	0.766682217886731	0	0.853144209059384	0.598863299498094	0.700982923404448	0.894919277753852	0.766682217886731	0.0237939099831683	0.152199469305955	0.833637019463182	0.787356191939968	0.694967100399231	0.688320658417065	0.625516002646975	0.166313529658842	0.766682217886731	1	0.738057893808759	1	0.152199469305955	0.140063829322141	0.152199469305955	1	0.743159009150129	0.190859265298727	0.861040408067303	0.266751784682485	0.0805625346689725	0.282774895870717	0.766682217886731	0.695276375158145	1	0.145381825836515	0.968800135100904	0.895410350235233	0.3039085944344	0.897737843335684	0.968800135100904	0.771750029389595	1	0.96769187050517	0.196838227884949	0.766682217886731	1	0.0582638919834232	0.204471005280203	1	0.223381800063414	0.85787767903816	0.243849229231538	0.705975131526354	0.766682217886731	0.601974785830804	0.700982923404448	0.760022393159907
ZB_7	0.807052956542389	0.802202963902393	0	0.802202963902393	0.853144209059384	0	0.647260847713185	0.688506703652335	0.319609856262834	0.802202963902393	0.856518618593262	1	0.920587595490665	0.842172758083723	0.675440286716251	0.815092102663183	0.706302074100337	0.876849209584636	0.802202963902393	0.807052956542389	0.765528101246136	0.807052956542389	1	0.968800135100904	1	0.807052956542389	0.919988182870085	0.847406803460615	0.237965979008324	0.942163240200555	0.907438728451219	0.867368448963899	0.802202963902393	1	0.807052956542389	0.873850465381724	0.673729036328269	0.334872283836001	0.939931278129991	0.400380021715527	0.673729036328269	0.809239062730042	0.807052956542389	0.844592818463803	1	0.802202963902393	0.807052956542389	0.905272324596297	0.877005595716447	0.807052956542389	0.879929338225302	0.154714708686707	0.972451585245382	0.926238623726198	0.802202963902393	0.939465057368499	0.688506703652335	0.792643293283435
ZB_8	0.931940023454515	0.609786201414167	0.647260847713185	0.609786201414167	0.598863299498094	0.647260847713185	0	0.421800654050619	0.66723906852069	0.609786201414167	0.576609729420303	0.737822891430791	0.742740897489038	0.697746460437619	0.455541606608701	0.632597990939531	0.130130675154967	0.596847397744259	0.609786201414167	0.931940023454515	0.536786472621317	0.931940023454515	0.737822891430791	0.685352714485776	0.737822891430791	0.931940023454515	0.537741014509758	0.567404991620238	0.537108393365723	0.691706300674911	0.620932871293201	0.509448950045483	0.609786201414167	0.852807957153787	0.931940023454515	0.620618743488699	0.824447143575138	0.65787820405428	0.680153762288765	0.612288490534428	0.824447143575138	0.622198592333789	0.931940023454515	0.892507120120623	0.726683716965047	0.609786201414167	0.931940023454515	0.643186441370992	0.623698872129365	0.931940023454515	0.599927526384926	0.582698106885575	0.721148706798931	0.803075745983168	0.609786201414167	0.509771323878673	0.421800654050619	0.593075765178123
ZB_9	0.939898289412853	0.490290051504473	0.688506703652335	0.490290051504473	0.700982923404448	0.688506703652335	0.421800654050619	0	0.706148867313916	0.490290051504473	0.681261040902296	0.824133713819812	0.623019513244771	0.576303242392326	0.0402588996763754	0.521113273092165	0.518110382666109	0.539566064229741	0.490290051504473	0.939898289412853	0.137198335644938	0.939898289412853	0.824133713819812	0.777632830547629	0.824133713819812	0.939898289412853	0.705465457795939	0.510123658105721	0.59123439667129	0.634424967160393	0.720541740272682	0.646249268836429	0.490290051504473	0.865793255479748	0.939898289412853	0.563337409974181	0.844974572353213	0.69788257050393	0.620725953495367	0.657623670827554	0.844974572353213	0.387592158461591	0.939898289412853	0.905076282940361	0.817543562848926	0.490290051504473	0.939898289412853	0.740263622774833	0.566417538614848	0.939898289412853	0.542646192870408	0.631493296347665	0.663867373284414	0.82044842548798	0.490290051504473	0.756303075927467	0	0.467627039943827
ZB_10	0.795468848332285	0.813405669461472	0.319609856262834	0.813405669461472	0.894919277753852	0.319609856262834	0.66723906852069	0.706148867313916	0	0.813405669461472	0.897268432943109	1	0.919606192110888	0.840177565758961	0.693822497976801	0.825564801194371	0.617458712504213	0.885491688182271	0.813405669461472	0.795468848332285	0.761097355650193	0.795468848332285	1	0.968482780680243	1	0.795468848332285	0.918063784192613	0.856049282058251	0.281125588128845	0.94164441268289	0.906501692541146	0.824046104375183	0.813405669461472	1	0.795468848332285	0.882703389909151	0.656500802568218	0.0273612046275326	0.939371440294644	0.141730582262072	0.656500802568218	0.820043262098099	0.795468848332285	0.836386782531688	1	0.813405669461472	0.795468848332285	0.90429067999131	0.847462345566425	0.795468848332285	0.851210262652746	0.202589451497968	0.97220446082672	0.924606212448094	0.813405669461472	0.93836993211211	0.706148867313916	0.804387433523734
ZB_11	0.961835646680288	0	0.802202963902393	0	0.766682217886731	0.802202963902393	0.609786201414167	0.490290051504473	0.813405669461472	0	0.751293578759861	0.862774620408856	0.207226567087062	0.158787195565889	0.513895364597452	0.145106293411913	0.674783481862684	0.705402767024607	0	0.961835646680288	0.570734616427216	0.961835646680288	0.862774620408856	0.826490796505217	0.862774620408856	0.961835646680288	0.803138769457277	0.683522402127445	0.740435425914183	0.77589793651328	0.781943619758532	0.73660552871183	0	0.906389894507377	0.961835646680288	0.723068637021577	0.901559454191033	0.808156603020268	0.769716633920912	0.782592357735034	0.901559454191033	0.119197614529683	0.961835646680288	0.939723807510745	0.858795033495537	0	0.961835646680288	0.797332258885402	0.725357659810819	0.961835646680288	0.707691789813849	0.765999671199418	0.797778301410442	0.874761571100471	0	0.827228464419476	0.490290051504473	0.0461025388102116
