ZB_2	ZB_5	ZB_6	ZB_9	ZB_11	ZB_12	ZB_13	ZB_17	ZB_19	ZB_20	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_35	ZB_38	ZB_41	ZB_48	ZB_54	ZB_55	ZB_57	ZB_61	ZB_64
ZB_2	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_5	1	0	0	1	1	0.5	0.5	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0.5	0	1	1
ZB_6	1	0	0	1	1	0.5	0.5	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0.5	0	1	1
ZB_9	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_11	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_12	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_13	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_17	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_19	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_20	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_25	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_26	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_27	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_30	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_32	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_33	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_35	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_38	1	0	0	1	1	0.5	0.5	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0.5	0	1	1
ZB_41	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_48	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_54	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_55	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5
ZB_57	1	0	0	1	1	0.5	0.5	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0.5	0	1	1
ZB_61	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
ZB_64	0	1	1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0.5	1	0	0
