ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59	ZB_62
ZB_1	0	0.957771096972663	0.865493820287273	0.976195251082945	0.957771096972663	0.951292572835453	1	1	1	0.961614332373961	1	1	0.969220796058602	0.960703306712643	0.933916044983855	0.946278878438174	0.944024836661878	0.923094063345536	1	1	0.979528129419475	0.950936192681045	0.957771096972663	0.950712988841062	0.957771096972663	0.865493820287273	0.960703306712643	0.957771096972663	0.976099387886598	0.913308694248089	0.951353092783505	0.956451990843382	0.957771096972663	0.957771096972663	0.944024836661878	0.972498957416246	0.960703306712643	0.960703306712643	0.943519223448801
ZB_3	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_4	0.865493820287273	0.686044885688317	0	0.789211497554679	0.686044885688317	0.313377102995486	0.869205298013245	0.837119100706057	0.758222436737227	0.458881738511787	0.421773886562619	0.93617840638566	0.566109166342538	0.707844699988614	0.0684222246965817	0.600604807328842	0.583846902367824	0.64920391749193	0.758222436737227	0.323460639127046	0.711410437722052	0.635230088136144	0.686044885688317	0.763229809077145	0.686044885688317	0	0.707844699988614	0.686044885688317	0.663075869845361	0.355484588611002	0.638329574742268	0.716335733762148	0.686044885688317	0.686044885688317	0.583846902367824	0.612321023122191	0.707844699988614	0.707844699988614	0.203797106966121
ZB_6	0.976195251082945	0.278378686098144	0.789211497554679	0	0.278378686098144	0.665228549112954	0.715457461726118	0.449028986342419	0.628724169836537	0.621647779263743	0.876592524811712	0.818704173034882	0.573142800238996	0.208942600152893	0.784393945029196	0.477448317366341	0.418846995194378	0.394633402855768	0.628724169836537	0.869583813738982	0.250879638850163	0.408012231421089	0.278378686098144	0.167429815343042	0.278378686098144	0.789211497554679	0.208942600152893	0.278378686098144	0.388933147447388	0.609094049415486	0.401148322245897	0.306566256241766	0.278378686098144	0.278378686098144	0.418846995194378	0.406278595058774	0.208942600152893	0.208942600152893	0.795980854508341
ZB_7	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_8	0.951292572835453	0.595521918478641	0.313377102995486	0.665228549112954	0.595521918478641	0	0.887418999220241	0.680865288190631	0.519761425697039	0.220684313329292	0.536094674556213	0.9459739797884	0.617478968544258	0.623607293310128	0.276911110150815	0.485446823649745	0.463857096520087	0.50976535824524	0.519761425697039	0.474871440300765	0.592250629922647	0.530055643556314	0.595521918478641	0.667602200967539	0.595521918478641	0.313377102995486	0.623607293310128	0.595521918478641	0.522225663260039	0.169650866554236	0.534048807989691	0.625812766552472	0.595521918478641	0.595521918478641	0.463857096520087	0.448143466959197	0.623607293310128	0.623607293310128	0.361213972132086
ZB_11	1	0.681238201775851	0.869205298013245	0.715457461726118	0.681238201775851	0.887418999220241	0	0.431993023328246	0.869592300744386	0.904284016093636	0.856884057971014	0.936786989840147	0.511543818298693	0.703371773393406	0.863983367443069	0.594490027349743	0.926816052576383	0.90790718134829	0.869592300744386	0.840203037936035	0.67866015893433	0.629645424637505	0.681238201775851	0.627960586711275	0.681238201775851	0.869205298013245	0.703371773393406	0.681238201775851	0.623474759987612	0.900116892101434	0.632792364690722	0.671281025252798	0.681238201775851	0.681238201775851	0.926816052576383	0.925209438579569	0.703371773393406	0.703371773393406	0.876259715695836
ZB_12	1	0.438806544081661	0.837119100706057	0.449028986342419	0.438806544081661	0.680865288190631	0.431993023328246	0	0.43759927741614	0.724042531227418	0.825980148883375	0.957315788241354	0.564634146341463	0.47777362111872	0.832333181915987	0.447970360824742	0.684384394882193	0.602837347410096	0.43759927741614	0.811711324706009	0.434267792010995	0.491665585077782	0.438806544081661	0.345009078112569	0.438806544081661	0.837119100706057	0.47777362111872	0.438806544081661	0.337111592856406	0.713237502681828	0.353515625	0.421276519043242	0.438806544081661	0.438806544081661	0.684384394882193	0.677455656181341	0.47777362111872	0.47777362111872	0.843742340856933
ZB_13	1	0.684384394882193	0.758222436737227	0.628724169836537	0.684384394882193	0.519761425697039	0.869592300744386	0.43759927741614	0	0.611283990111967	0.732838095238095	0.936389964758017	0.855043406366267	0.706299507164815	0.747524930698059	0.730871456185567	0.581645892220008	0.425210886519179	0	0.697663390239696	0.681831797438021	0.752173993658799	0.684384394882193	0.63163263224464	0.684384394882193	0.758222436737227	0.706299507164815	0.684384394882193	0.627191080829978	0.589496314496314	0.636416720360825	0.674525496133672	0.684384394882193	0.684384394882193	0.581645892220008	0.569384494312355	0.706299507164815	0.706299507164815	0.77253413771853
ZB_14	0.961614332373961	0.480983010557226	0.458881738511787	0.621647779263743	0.480983010557226	0.220684313329292	0.904284016093636	0.724042531227418	0.611283990111967	0	0.487910015491345	0.869045701090167	0.467675566934894	0.51702151884322	0.436485485283222	0.339737175638717	0.312033733376581	0.5841944302859	0.611283990111967	0.590759075907591	0.565242647546969	0.396978189350554	0.480983010557226	0.624187233447528	0.480983010557226	0.458881738511787	0.51702151884322	0.480983010557226	0.386930938371013	0.138505319664974	0.40210212628866	0.511273858631056	0.480983010557226	0.480983010557226	0.312033733376581	0.29187036462929	0.51702151884322	0.51702151884322	0.333636424866977
