ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.0950341871011918	0.618250163589291	0.532318217683007	0.545962264848796	0.347287566010562	0.365625622350565	0.532318217683007	0.431457094939912	0.431457094939912	0.39913107835951	0.241307344305646	0.27325657363781	0.532318217683007	0.573689641770642	0.431457094939912	0.0961374539111129	0.592898004803488	0.327027386039098	0.513120516392589	0.431457094939912	0.526491282041104	0.431457094939912	0.56944797641585	0.191667165365774	0.346863638809251	0.224625439754639	0.431457094939912	0.526888010827587	0.367444318723201	0.431457094939912	0.387358032427352	0.259407065089684	0.449923543941875	0.588181993017338	0.303203262599719	0.531753703331158	0.357593214188515	0.517345700929049	0.431457094939912	0.308403423162747	0.431457094939912	0.56944797641585	0.431457094939912	0.57795998514037	0.460394827310145	0.456308422301305	0.325207720037201	0.56944797641585	0.367126013373572	0.460394827310145	0.56944797641585	0.48812826388982	0.493806380929661	0.305773893581306	0.508360400406757	0.423601935781226	0.431457094939912	0.493497261531263	0.431457094939912	0.437962305461862	0.526888010827587	0.200132347032827	0.512712242852465
ZB_2	0.0950341871011918	0	0.686363765683234	0.483872014537902	0.501851438542385	0.29546227126879	0.433739224444508	0.483872014537902	0.526491282041104	0.526491282041104	0.355186436794776	0.324066352390129	0.346863638809251	0.483872014537902	0.533801014176983	0.526491282041104	0.00134697833336071	0.556675648053517	0.275850568369061	0.462038629665743	0.526491282041104	0.476766181429394	0.526491282041104	0.65964510751321	0.273537885458789	0.294968326467623	0.303158032851414	0.526491282041104	0.477250566955531	0.318889543481659	0.526491282041104	0.337677348880336	0.334416855956764	0.416199865561282	0.556786383845943	0.393400393697079	0.483184402924452	0.307454390604689	0.588181993017338	0.526491282041104	0.386679254227868	0.526491282041104	0.65964510751321	0.526491282041104	0.53890308895793	0.550591958407505	0.547188612099644	0.398814785208642	0.65964510751321	0.437962305461862	0.550591958407505	0.65964510751321	0.573689641770642	0.578418639170886	0.251182440754791	0.590539896937738	0.377833147462553	0.526491282041104	0.462626294770004	0.526491282041104	0.395114456416605	0.477250566955531	0.290662444166096	0.461540148586781
ZB_3	0.618250163589291	0.686363765683234	0	0.644150059955462	0.71852544878203	0.73013361838589	0.275295986978511	0.644150059955462	0.564961266868422	0.564961266868422	0.435780805380702	0.623525244448185	0.672153928380545	0.644150059955462	0.689106934688066	0.564961266868422	0.685488918603659	0.643672919830171	0.708703583828635	0.746243673555462	0.564961266868422	0.656098326957118	0.564961266868422	0.453291194070557	0.632158044533735	0.730649767122242	0.654224663596367	0.564961266868422	0.655294162431717	0.704793464152096	0.564961266868422	0.668044783776443	0.62100201763587	0.530544930265403	0.252755096214241	0.480910832278926	0.645320618968766	0.691553231992473	0.161618036125545	0.564961266868422	0.5798526410116	0.564961266868422	0.453291194070557	0.564961266868422	0.679363700106251	0.513532804202592	0.583230006199628	0.65803566024332	0.453291194070557	0.297408413186428	0.513532804202592	0.453291194070557	0.606717454800425	0.595916014608399	0.733116577414229	0.621707953873081	0.666545410452286	0.564961266868422	0.47528448168063	0.564961266868422	0.373784259070953	0.655294162431717	0.585388462949731	0.746986152115844
ZB_4	0.532318217683007	0.483872014537902	0.644150059955462	0	0.753769883476329	0.586382496354849	0.734046487809041	0	0.185013749637044	0.185013749637044	0.619615908927845	0.541177658433859	0.618710095012826	0	0.206429723751393	0.185013749637044	0.482541536863967	0.2400292490918	0.611130742750962	0.729150617891337	0.185013749637044	0.0256378840322235	0.185013749637044	0.403593559346365	0.557842415815302	0.587113689757668	0.591095541782688	0.185013749637044	0.0239123553976374	0.600715878810154	0.185013749637044	0.534133394217872	0.596792984911797	0.686498511571332	0.477685461889593	0.588934022987242	0.00251171623732655	0.57958740406243	0.527244264560906	0.185013749637044	0.53882338538037	0.185013749637044	0.403593559346365	0.185013749637044	0.187594591448102	0.218915233150705	0.244453945180751	0.596940413238499	0.403593559346365	0.606435276068559	0.218915233150705	0.403593559346365	0.315457616905894	0.297445608900557	0.597883923732571	0.357888291537421	0.531142738148239	0.185013749637044	0.674319233058555	0.185013749637044	0.572681721094558	0.0239123553976374	0.474972766584875	0.730244631886948
ZB_5	0.545962264848796	0.501851438542385	0.71852544878203	0.753769883476329	0	0.630352798784862	0.597333807188739	0.753769883476329	0.775815319725842	0.775815319725842	0.626768164301513	0.631360885710356	0.65648800944496	0.753769883476329	0.779562839217512	0.775815319725842	0.502472263032575	0.738801796103564	0.55147482142928	0.131948557033632	0.775815319725842	0.750061478482531	0.775815319725842	0.69758884477583	0.655120003538385	0.630102265891317	0.668379438999401	0.775815319725842	0.750314570925258	0.597100821981492	0.775815319725842	0.589453194897242	0.6406864729834	0.673630447729547	0.755530179860849	0.35542752009296	0.75341144446417	0.62650430197609	0.773912155902074	0.775815319725842	0.593248554713343	0.775815319725842	0.69758884477583	0.775815319725842	0.782172783490066	0.734761583744274	0.786401148188016	0.63827676137812	0.69758884477583	0.614457216438184	0.734761583744274	0.69758884477583	0.799842452363455	0.802227790908487	0.584417595419696	0.808323712184284	0.54578272970433	0.775815319725842	0.653294877095209	0.775815319725842	0.583110824337461	0.750314570925258	0.58452856693066	0.130649930067454
ZB_6	0.347287566010562	0.29546227126879	0.73013361838589	0.586382496354849	0.630352798784862	0	0.567580768551757	0.586382496354849	0.615108493990482	0.615108493990482	0.461131106724976	0.248507703476648	0.0779301443897717	0.586382496354849	0.485359745090412	0.615108493990482	0.296180032136763	0.507015636758926	0.0916140251964377	0.643726525772939	0.615108493990482	0.582887139566496	0.615108493990482	0.719845772471856	0.2008534373227	0.00073867833399625	0.143752520771154	0.615108493990482	0.5821484612325	0.0349960351605338	0.615108493990482	0.166360378572085	0.175830210496599	0.267670689158478	0.625884898515958	0.569974244872959	0.585941797360568	0.0714249914378555	0.648504037425896	0.615108493990482	0.293910178320745	0.615108493990482	0.719845772471856	0.615108493990482	0.489299775210821	0.630290936232254	0.577954343792853	0.132451399532145	0.719845772471856	0.576178311833085	0.630290936232254	0.719845772471856	0.525114947164637	0.528883419502801	0.0606698855331658	0.487960796967008	0.171961274047096	0.615108493990482	0.348916612359568	0.615108493990482	0.549998709960396	0.5821484612325	0.354287327579253	0.644427125220751
ZB_7	0.365625622350565	0.433739224444508	0.275295986978511	0.734046487809041	0.597333807188739	0.567580768551757	0	0.734046487809041	0.674862727246863	0.674862727246863	0.264831452204245	0.510011733127602	0.511722473959866	0.734046487809041	0.761872127312565	0.674862727246863	0.432864377364932	0.72707204164676	0.499688106867534	0.618749394461992	0.674862727246863	0.742976329340806	0.674862727246863	0.603797934388746	0.458485622900493	0.568078032130877	0.486302111197355	0.674862727246863	0.742375316509716	0.543167774966163	0.674862727246863	0.555554527339243	0.454775961947771	0.321529453304302	0.441527497226095	0.384695874590656	0.734921334888617	0.527288705991038	0.373413895132152	0.674862727246863	0.499652348085682	0.674862727246863	0.603797934388746	0.674862727246863	0.754409317803661	0.636426356368602	0.68517651272021	0.551497675513447	0.603797934388746	0.228968107200774	0.636426356368602	0.603797934388746	0.698766082931088	0.690492743117906	0.524101100453128	0.707639814912525	0.581654040327333	0.674862727246863	0.324039136407537	0.674862727246863	0.297081709294717	0.742375316509716	0.498429017337468	0.619404344371888
ZB_8	0.532318217683007	0.483872014537902	0.644150059955462	0	0.753769883476329	0.586382496354849	0.734046487809041	0	0.185013749637044	0.185013749637044	0.619615908927845	0.541177658433859	0.618710095012826	0	0.206429723751393	0.185013749637044	0.482541536863967	0.2400292490918	0.611130742750962	0.729150617891337	0.185013749637044	0.0256378840322235	0.185013749637044	0.403593559346365	0.557842415815302	0.587113689757668	0.591095541782688	0.185013749637044	0.0239123553976374	0.600715878810154	0.185013749637044	0.534133394217872	0.596792984911797	0.686498511571332	0.477685461889593	0.588934022987242	0.00251171623732655	0.57958740406243	0.527244264560906	0.185013749637044	0.53882338538037	0.185013749637044	0.403593559346365	0.185013749637044	0.187594591448102	0.218915233150705	0.244453945180751	0.596940413238499	0.403593559346365	0.606435276068559	0.218915233150705	0.403593559346365	0.315457616905894	0.297445608900557	0.597883923732571	0.357888291537421	0.531142738148239	0.185013749637044	0.674319233058555	0.185013749637044	0.572681721094558	0.0239123553976374	0.474972766584875	0.730244631886948
ZB_9	0.431457094939912	0.526491282041104	0.564961266868422	0.185013749637044	0.775815319725842	0.615108493990482	0.674862727246863	0.185013749637044	0	0	0.643279007177033	0.442358792668802	0.537544748981923	0.185013749637044	0.302901472650771	0	0.527068548546961	0.352832670997843	0.647877969403795	0.756719676801644	0	0.167153940811464	0	0.270872710162611	0.482711607308121	0.614845966638549	0.504936250005401	0	0.168380507529281	0.627571349961169	0	0.583978167899663	0.528280603528128	0.712181395390921	0.521289403455264	0.497457771523743	0.183297959742572	0.621485262794655	0.425211188474427	0	0.460460889382781	0	0.270872710162611	0	0.314247526246578	0.0861943839669514	0.0744133446423523	0.510857918575216	0.270872710162611	0.522501198091388	0.0861943839669514	0.270872710162611	0.16299234455353	0.17806853314396	0.636757423387143	0.215765050510581	0.581531796216553	0	0.701669376016006	0	0.602317004563166	0.168380507529281	0.360767861825039	0.756479409066205
ZB_10	0.431457094939912	0.526491282041104	0.564961266868422	0.185013749637044	0.775815319725842	0.615108493990482	0.674862727246863	0.185013749637044	0	0	0.643279007177033	0.442358792668802	0.537544748981923	0.185013749637044	0.302901472650771	0	0.527068548546961	0.352832670997843	0.647877969403795	0.756719676801644	0	0.167153940811464	0	0.270872710162611	0.482711607308121	0.614845966638549	0.504936250005401	0	0.168380507529281	0.627571349961169	0	0.583978167899663	0.528280603528128	0.712181395390921	0.521289403455264	0.497457771523743	0.183297959742572	0.621485262794655	0.425211188474427	0	0.460460889382781	0	0.270872710162611	0	0.314247526246578	0.0861943839669514	0.0744133446423523	0.510857918575216	0.270872710162611	0.522501198091388	0.0861943839669514	0.270872710162611	0.16299234455353	0.17806853314396	0.636757423387143	0.215765050510581	0.581531796216553	0	0.701669376016006	0	0.602317004563166	0.168380507529281	0.360767861825039	0.756479409066205
ZB_11	0.39913107835951	0.355186436794776	0.435780805380702	0.619615908927845	0.626768164301513	0.461131106724976	0.264831452204245	0.619615908927845	0.643279007177033	0.643279007177033	0	0.417329534556893	0.492220074638659	0.619615908927845	0.647443475690853	0.643279007177033	0.355791569863923	0.660683681669167	0.440233608870402	0.604858048733383	0.643279007177033	0.615770211018372	0.643279007177033	0.740331551263258	0.448174960698575	0.460837240520299	0.46572144839671	0.643279007177033	0.616031480348923	0.475174720839288	0.643279007177033	0.426835668833508	0.48459834786203	0.204996639032041	0.274480909299545	0.537204305711247	0.619242554821411	0.468293847157473	0.326424192583732	0.643279007177033	0.516940914416676	0.643279007177033	0.740331551263258	0.643279007177033	0.650369121984283	0.657131154608951	0.655153722735354	0.470465940279019	0.740331551263258	0.174596291866029	0.657131154608951	0.740331551263258	0.670741426959663	0.673569493473442	0.425367305784066	0.680884147870722	0.511470137277051	0.643279007177033	0.174111403365843	0.643279007177033	0.110944690719782	0.616031480348923	0.459295182437569	0.604589176500904
