ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.625567010309278	0.653379792719661	0.628482248159746	0.501953052341803	0.661023461261513	0.631993793343075	0.60283177738175	0.541611951660481	0.49002850478057	0.738295346588475	0.651076689307948	0.596218149752167	0.670504086988223	0.594143932194841	0.690032598424316	0.582608547271067	0.634789039973215	0.688995121517727	0.675088412463232	0.673234054168815	0.681650338245259	0.636538602806141	0.539616746623926	0.581543689954905	0.619979469555249	0.464128322530564	0.447754734934891	0.691600951308049	0.626609781637147	0.602665313281671	0.57388945924365	0.547669546709532	0.640843970162377	0.680023518059487	0.560298339646534	0.679943766219895	0.520980875817961	0.588807027665537	0.687400260520929	0.533013035570354	0.636968446557959	0.702261066013172	0.59772411425208	0.688461102099515	0.514503953721281	0.687331702288079	0.53877955811587	0.541113274591064	0.579003953800908	0.57604782055394	0.590415824590307	0.539868972580578	0.644191465127977	0.581770863249336	0.541945646989764	0.612463671872211	0.532214563979622	0.599810838276788	0.691192076406084	0.691765354885151	0.661937431394072	0.736916211177685	0.76413888481445
ZB_2	0.625567010309278	0	0.73563006681455	0.574337717204161	0.456783395030415	0.68329060854253	0.523734676853035	0.82983849292643	0.492157631981784	0.501277136193237	0.445425293815771	0.738382011878015	0.597819160713032	0.621056813222475	0.697112405185174	0.598418959552524	0.616288461568622	0.560329428531535	0.724683835086447	0.445179774042793	0.646086513600452	0.571064086926357	0.733903619368446	0.43936893524325	0.670969186865585	0.634635973356217	0.592494021270175	0.429039659128155	0.590848843957942	0.624734570172253	0.686759754900912	0.584140112444986	0.692657387146382	0.658572122389509	0.454774109534623	0.413320585487728	0.576259190045097	0.626498611549909	0.35138369620577	0.578615833649391	0.760291730431521	0.41099549824382	0.744379213706308	0.723915202830114	0.658952810447277	0.497302954011873	0.66224835782147	0.561951235120952	0.39608724685109	0.458121409130652	0.435801122194514	0.535554462995665	0.492276768779549	0.742377838065594	0.579745841318463	0.447325154926015	0.72549498975194	0.449638247920028	0.649349725919713	0.566646878727416	0.497895944459557	0.627877309400982	0.744695295189884	0.745611176343725
ZB_3	0.653379792719661	0.73563006681455	0	0.778351019268361	0.725465304314687	0.844475878499107	0.645182392414501	0.635418879581092	0.504839342452997	0.618835748622759	0.826451187613828	0.787858114171007	0.842283311603272	0.809469969344889	0.793674556186336	0.831253770865455	0.833003823047515	0.783485750526811	0.845904397401761	0.792694160729474	0.334422043010753	0.824321494935748	0.41860491920426	0.594700241445944	0.793353451755798	0.865364450999591	0.812148084611873	0.634470691163605	0.832530115472097	0.86633262538238	0.827804476022384	0.833369892516003	0.774807308791031	0.857661336749967	0.796684215867547	0.57441225727797	0.822886845472895	0.830622589995587	0.712641399760528	0.829097004158533	0.701610004108463	0.767769825218431	0.131827374037262	0.250548470133973	0.796424347193158	0.511199399210252	0.795204922200752	0.802121454451393	0.621188434015762	0.798973291339704	0.612008260871237	0.582558538876269	0.646315851941724	0.782712920303673	0.852965182304603	0.678269857865104	0.773229148617702	0.549201497806018	0.839277972997966	0.832197987625773	0.807743197376747	0.807246848468025	0.438478838962832	0.531424646414187
ZB_4	0.628482248159746	0.574337717204161	0.778351019268361	0	0.597951854386644	0.809769911504425	0.647617664305042	0.729790999946364	0.545391612684968	0.578340795950719	0.706322768154916	0.724981074491992	0.708219561024784	0.420574660033451	0.556714476855096	0.505611752645702	0.669479366905667	0.355800660674609	0.811342311865705	0.604117331534431	0.789677650145077	0.431166967926012	0.761170633039411	0.530081111596851	0.789547146401985	0.752189652735752	0.752127073751483	0.490428462237349	0.455944088472317	0.742320110505665	0.620557947227465	0.748120627688254	0.757236565174688	0.772833556719161	0.586783959474991	0.501080986807683	0.404539054087634	0.760447564997228	0.661494637394801	0.445561489721428	0.836594608721625	0.413288087781956	0.765829156847777	0.783502729315336	0.478519760622484	0.538018155665214	0.48355883699144	0.588990925887161	0.368443979787419	0.649962119112294	0.480534905064196	0.601948207812884	0.486310654847372	0.719269850927898	0.745435729691711	0.566965896902815	0.840700428891048	0.454650919002027	0.777113211153693	0.454938389067312	0.525462682607517	0.513471561388009	0.775223544570858	0.811181949020494
ZB_5	0.501953052341803	0.456783395030415	0.725465304314687	0.597951854386644	0	0.70899705263971	0.47156771602637	0.679320304785642	0.469175501180727	0.574127152104896	0.495337916014429	0.80053547523427	0.630066962814377	0.656975104211285	0.71278326582549	0.610341217048534	0.489080924894154	0.543049239795522	0.742527285049896	0.495547099624762	0.745644453728849	0.634510757986368	0.646657492539721	0.452853356644947	0.672161378893871	0.626586609927424	0.627140382485374	0.553271671345791	0.621161249717669	0.58381063803317	0.660360185857209	0.577911093381001	0.697830630520679	0.606597685738436	0.339960622064947	0.491970014691294	0.632760625775192	0.642728168419359	0.514336835160881	0.640422147600172	0.687608270037004	0.49422787099367	0.733639949519218	0.754090708195321	0.678137491485328	0.568957420359372	0.69543141904951	0.62391089123718	0.461989064424393	0.323455433506449	0.434284709752759	0.480352591067191	0.633134472619763	0.77908377309122	0.603763141939233	0.454872434298868	0.774900358220483	0.50086287444411	0.661014326508324	0.636483974681001	0.459905997967904	0.686627453395746	0.758450392585756	0.656207064116763
ZB_6	0.661023461261513	0.68329060854253	0.844475878499107	0.809769911504425	0.70899705263971	0	0.780027477660103	0.824197010509678	0.786243223165315	0.736339600086654	0.630476880644114	0.409556121333879	0.200517523807275	0.920059908020801	0.865731824585126	0.896930609523342	0.537414221229825	0.790435724358958	0.128749411969273	0.710532438303427	0.81596089095157	0.921884238796592	0.814901866641358	0.786304779634271	0.26916867271866	0.13558410165492	0.308977242568113	0.725066705502359	0.889135329851417	0.182482638635778	0.806118104804811	0.324640892573929	0.321961556012685	0.153737515280537	0.758031357416479	0.814868250012661	0.921698545544851	0.279531752072256	0.6422412129353	0.922518110732929	0.461620505517978	0.845823104377761	0.866408290191048	0.828356651258938	0.918619208729862	0.821415590038539	0.918491463110751	0.397347625686699	0.774269075834814	0.667583908502139	0.833357441236985	0.801005735857738	0.702788957922718	0.424376200449567	0.218103881425867	0.77405398525186	0.385817291000647	0.854549391206888	0.2721243494334	0.922943195045628	0.839593138617563	0.919804388155781	0.837572569754533	0.797658468687912
ZB_7	0.631993793343075	0.523734676853035	0.645182392414501	0.647617664305042	0.47156771602637	0.780027477660103	0	0.805801666794097	0.430320053033231	0.582945849012077	0.528465554819126	0.776150461196906	0.74332774336213	0.636698552659076	0.658162385795553	0.646841465249223	0.646079143684571	0.636297949549607	0.747386540537948	0.615371790596866	0.608384855852727	0.657338055393067	0.654045726491687	0.501913550440832	0.678057196466763	0.717484686882463	0.659031059312763	0.523586002748705	0.631680268630904	0.678301508353903	0.647912425849401	0.668700997147467	0.76289143320937	0.677597232899644	0.485469939604251	0.330736864304447	0.655303090871296	0.705315707049557	0.453183227917654	0.664177244374653	0.770891666480001	0.634795456129347	0.624977231583604	0.687643526174488	0.61931721858047	0.347624811001253	0.617726753629973	0.689035378617532	0.467949444249312	0.512805100573171	0.320923938800658	0.24777067585397	0.529532131690078	0.780966590603241	0.731579421249593	0.429550733223931	0.741299503120161	0.455191334618819	0.671825980496348	0.668672939599709	0.502151203577849	0.661816935116117	0.71160572766875	0.593737877886679
ZB_8	0.60283177738175	0.82983849292643	0.635418879581092	0.729790999946364	0.679320304785642	0.824197010509678	0.805801666794097	0	0.779951761134445	0.810665672754379	0.85817910788179	0.833485375323365	0.852242713878986	0.814091645548586	0.798450397751799	0.834889126664945	0.80969430416349	0.736199595753668	0.855585092257937	0.831776513641799	0.665086104591366	0.828258190517208	0.494652305671732	0.755998262185722	0.784008521580476	0.848033100907973	0.787168798308004	0.774756702782456	0.83611126935942	0.849136191042819	0.831143766006598	0.844025202802861	0.744187564895609	0.851224525292811	0.834878047045602	0.772973320843493	0.826887368258171	0.808350164099975	0.832676214708405	0.8328248552394	0.688116269515201	0.744468661250908	0.600259367445608	0.649151306192813	0.801691835759972	0.745026863370249	0.800534878537999	0.849233685877181	0.762176315822602	0.713380230173657	0.790202997383237	0.776667135621835	0.819785609072874	0.829641803225101	0.833892677109574	0.836354639685379	0.78894390247888	0.761677244526849	0.849470448552656	0.835793207485628	0.78857153266057	0.81197566771397	0.626879616408412	0.716500207608749
ZB_9	0.541611951660481	0.492157631981784	0.504839342452997	0.545391612684968	0.469175501180727	0.786243223165315	0.430320053033231	0.779951761134445	0	0.385444641137529	0.605313567085866	0.781952821874535	0.714105395578948	0.500679915461114	0.610388476330123	0.444309094216942	0.624744219916257	0.467463993442708	0.791121694996509	0.539772825248865	0.599998454040558	0.534734254898518	0.649605273668819	0.362003563930203	0.754754048931095	0.754917559101383	0.683694707601426	0.424609411672072	0.553867266838667	0.747335803105236	0.58136606652121	0.717467465266479	0.761890469721383	0.739345543339663	0.548422963412364	0.32354020347275	0.53141324026276	0.709281367827678	0.419365721997301	0.545837928054123	0.720953691345775	0.526011541815403	0.562510299130103	0.591930429519672	0.471348904172557	0.374829939838207	0.503186775732788	0.637861338480839	0.377870037965857	0.589363243238582	0.376610823641922	0.307367485276142	0.423670746207708	0.736688127591296	0.721188325752509	0.473533463655818	0.786047026355924	0.28858581685233	0.717800590818773	0.553088764164397	0.600235235138731	0.612240380431879	0.662015751965093	0.622740704986857
ZB_10	0.49002850478057	0.501277136193237	0.618835748622759	0.578340795950719	0.574127152104896	0.736339600086654	0.582945849012077	0.810665672754379	0.385444641137529	0	0.649797559408636	0.681888206976534	0.640820337146997	0.548665255875757	0.651642141215024	0.578765188134285	0.679335452571483	0.586160212247928	0.732338043188483	0.611103269308027	0.622044803772949	0.565553598129752	0.72741295145614	0.521054977367708	0.675326928840724	0.693253909014005	0.599866606793808	0.307404820327286	0.590558739209327	0.719482261592275	0.683767490428124	0.665664433960489	0.648941463002843	0.699970524404129	0.617561198536745	0.40706877293761	0.562850172908345	0.616155556500556	0.411359490293245	0.574628203999517	0.645408914646012	0.553847538423128	0.67258851187761	0.556538446287665	0.560554119669951	0.475814165338192	0.585793393977928	0.581648013386709	0.445261218216351	0.635454290696226	0.447564819219791	0.531074319438289	0.287973556015318	0.732546569391303	0.670888277748714	0.328210872203585	0.771005620974029	0.393216886355068	0.635877012552036	0.569986752478647	0.609061676846308	0.633183584708989	0.714225843389994	0.745182267348082
