ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	1	0.0762840360332811	1	1	0.809891592361481	0.0762840360332811	1	0.257945898292502	0.466116568256646	0.188497587230883	0.577057941574773	0.805231133504034	1	1	0.257945898292502	1	1	0.805231133504034	0.466116568256646	0.81009377686148	0.257945898292502	0.551307409589541	0.551001546765591	0.801656460982886	0.53785581693388	0.492771232283541	1	0.813178048909312	0.257945898292502	0.775682857378411	0.524108187532312	0.809891592361481	0	0.0762840360332811	1	0.843208688479516	0	0.257945898292502	0.534534954124168	0.188497587230883	0.551307409589541	0	1	0.0762840360332811	0.472836819409181	0.50227354882898	0.1590571640683	1	0.0762840360332811	0.0762840360332811	0.466116568256646	0.612474726492176	0.801656460982886	0	0.805231133504034	0.574369415224522	0.801656460982886	0.257945898292502	1	0.930551688938382	0.257945898292502	1
ZB_2	1	0	1	0	0	0.945958235685054	1	0	0.892253403258201	1	0.900557393509519	0.950759483181734	1	0	0	0.892253403258201	0	0	1	1	0.92686736722522	0.892253403258201	1	1	1	1	0.950074000348997	0	0.947167927341367	0.892253403258201	1	1	0.945958235685054	1	1	0	1	1	0.892253403258201	0.945511102333324	0.900557393509519	1	1	0	1	1	1	0.903703519028683	0	1	1	1	0.955087209302326	1	1	1	0.943108590786906	1	0.892253403258201	0	0.436624854142357	0.892253403258201	0
ZB_3	0.0762840360332811	1	0	1	1	0.842069903309201	0	1	0.202565413046459	0.506843351201328	0.257945898292502	0.613253288837299	0.838198287492085	1	1	0.202565413046459	1	1	0.838198287492085	0.506843351201328	0.802449879657393	0.202565413046459	0.53163963832046	0.589426798195226	0.835228674606913	0.577406078862707	0.53146468987714	1	0.84480008450853	0.202565413046459	0.813651439914258	0.564834970476994	0.842069903309201	0.0762840360332811	0	1	0.91179772706443	0.0762840360332811	0.202565413046459	0.574369415224522	0.257945898292502	0.53163963832046	0.0762840360332811	1	0	0.51305095447279	0.540242131364827	0.0962964809713167	1	0	0	0.506843351201328	0.645639108156765	0.835228674606913	0.0762840360332811	0.838198287492085	0.556711246621856	0.835228674606913	0.202565413046459	1	1	0.202565413046459	1
ZB_4	1	0	1	0	0	0.945958235685054	1	0	0.892253403258201	1	0.900557393509519	0.950759483181734	1	0	0	0.892253403258201	0	0	1	1	0.92686736722522	0.892253403258201	1	1	1	1	0.950074000348997	0	0.947167927341367	0.892253403258201	1	1	0.945958235685054	1	1	0	1	1	0.892253403258201	0.945511102333324	0.900557393509519	1	1	0	1	1	1	0.903703519028683	0	1	1	1	0.955087209302326	1	1	1	0.943108590786906	1	0.892253403258201	0	0.436624854142357	0.892253403258201	0
ZB_5	1	0	1	0	0	0.945958235685054	1	0	0.892253403258201	1	0.900557393509519	0.950759483181734	1	0	0	0.892253403258201	0	0	1	1	0.92686736722522	0.892253403258201	1	1	1	1	0.950074000348997	0	0.947167927341367	0.892253403258201	1	1	0.945958235685054	1	1	0	1	1	0.892253403258201	0.945511102333324	0.900557393509519	1	1	0	1	1	1	0.903703519028683	0	1	1	1	0.955087209302326	1	1	1	0.943108590786906	1	0.892253403258201	0	0.436624854142357	0.892253403258201	0
ZB_6	0.809891592361481	0.945958235685054	0.842069903309201	0.945958235685054	0.945958235685054	0	0.842069903309201	0.945958235685054	0.790972895027375	0.468552263244071	0.757249397291756	0.311132640876011	0.0752164576180771	0.945958235685054	0.945958235685054	0.790972895027375	0.945958235685054	0.945958235685054	0.0752164576180771	0.468552263244071	0.29996990794567	0.790972895027375	0.473486470044837	0.394795497912115	0.0540417643149463	0.390166279881937	0.42775048856494	0.945958235685054	0.0223843849594441	0.790972895027375	0.198495925006121	0.443494372390144	0	0.809891592361481	0.842069903309201	0.945958235685054	0.842659764244989	0.809891592361481	0.790972895027375	0.396249690196697	0.757249397291756	0.473486470044837	0.809891592361481	0.945958235685054	0.842069903309201	0.431539796943947	0.384215589846122	0.800550368972949	0.945958235685054	0.842069903309201	0.842069903309201	0.468552263244071	0.258095738502807	0.0540417643149463	0.809891592361481	0.0752164576180771	0.429973187932316	0.0540417643149463	0.790972895027375	0.945958235685054	0.904074993878764	0.790972895027375	0.945958235685054
ZB_7	0.0762840360332811	1	0	1	1	0.842069903309201	0	1	0.202565413046459	0.506843351201328	0.257945898292502	0.613253288837299	0.838198287492085	1	1	0.202565413046459	1	1	0.838198287492085	0.506843351201328	0.802449879657393	0.202565413046459	0.53163963832046	0.589426798195226	0.835228674606913	0.577406078862707	0.53146468987714	1	0.84480008450853	0.202565413046459	0.813651439914258	0.564834970476994	0.842069903309201	0.0762840360332811	0	1	0.91179772706443	0.0762840360332811	0.202565413046459	0.574369415224522	0.257945898292502	0.53163963832046	0.0762840360332811	1	0	0.51305095447279	0.540242131364827	0.0962964809713167	1	0	0	0.506843351201328	0.645639108156765	0.835228674606913	0.0762840360332811	0.838198287492085	0.556711246621856	0.835228674606913	0.202565413046459	1	1	0.202565413046459	1
ZB_8	1	0	1	0	0	0.945958235685054	1	0	0.892253403258201	1	0.900557393509519	0.950759483181734	1	0	0	0.892253403258201	0	0	1	1	0.92686736722522	0.892253403258201	1	1	1	1	0.950074000348997	0	0.947167927341367	0.892253403258201	1	1	0.945958235685054	1	1	0	1	1	0.892253403258201	0.945511102333324	0.900557393509519	1	1	0	1	1	1	0.903703519028683	0	1	1	1	0.955087209302326	1	1	1	0.943108590786906	1	0.892253403258201	0	0.436624854142357	0.892253403258201	0
ZB_9	0.257945898292502	0.892253403258201	0.202565413046459	0.892253403258201	0.892253403258201	0.790972895027375	0.202565413046459	0.892253403258201	0	0.586561019589088	0.0770696291337873	0.542997010511018	0.837482370509665	0.892253403258201	0.892253403258201	0	0.892253403258201	0.892253403258201	0.837482370509665	0.586561019589088	0.735345928097164	0	0.528880215045844	0.587307833738686	0.834486177139896	0.575160881143867	0.536635019938085	0.892253403258201	0.794756782168635	0	0.812701184959492	0.562453831632514	0.790972895027375	0.257945898292502	0.202565413046459	0.892253403258201	0.910981870317269	0.257945898292502	0	0.494286601021358	0.0770696291337873	0.528880215045844	0.257945898292502	0.892253403258201	0.202565413046459	0.591508464077955	0.613253288837299	0.106268932075142	0.892253403258201	0.202565413046459	0.202565413046459	0.586561019589088	0.583162790697674	0.834486177139896	0.257945898292502	0.837482370509665	0.47198880583275	0.834486177139896	0	0.892253403258201	0.900557393509519	0	0.892253403258201
ZB_10	0.466116568256646	1	0.506843351201328	1	1	0.468552263244071	0.506843351201328	1	0.586561019589088	0	0.547867561995489	0.198451514989833	0.427923239998899	1	1	0.586561019589088	1	1	0.427923239998899	0	0.367248544228942	0.586561019589088	0.35932551162222	0.111225924048033	0.445945871534374	0.357365492071768	0.0499259996510027	1	0.451264987059631	0.586561019589088	0.374866423121847	0.057991619275666	0.468552263244071	0.466116568256646	0.506843351201328	1	0.91216168514014	0.466116568256646	0.586561019589088	0.353408067146392	0.547867561995489	0.35932551162222	0.466116568256646	1	0.506843351201328	0.055339761158323	0.107016824473769	0.53146468987714	1	0.506843351201328	0.506843351201328	0	0.23290956931173	0.445945871534374	0.466116568256646	0.427923239998899	0.387545758304918	0.445945871534374	0.586561019589088	1	0.961306542406401	0.586561019589088	1
