ZB_2	ZB_6	ZB_7	ZB_8	ZB_11	ZB_13	ZB_19	ZB_20	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_34	ZB_38	ZB_41	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59
ZB_2	0	0.478997529121073	1	0	0.478997529121073	0.478997529121073	1	0	1	0.478997529121073	0.478997529121073	1	0.478997529121073	0.478997529121073	1	0.478997529121073	1	1	1	0	0.769725808338859	0	0.769725808338859
ZB_6	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_7	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_8	0	0.478997529121073	1	0	0.478997529121073	0.478997529121073	1	0	1	0.478997529121073	0.478997529121073	1	0.478997529121073	0.478997529121073	1	0.478997529121073	1	1	1	0	0.769725808338859	0	0.769725808338859
ZB_11	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_13	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_19	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_20	0	0.478997529121073	1	0	0.478997529121073	0.478997529121073	1	0	1	0.478997529121073	0.478997529121073	1	0.478997529121073	0.478997529121073	1	0.478997529121073	1	1	1	0	0.769725808338859	0	0.769725808338859
ZB_23	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_25	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_26	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_27	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_30	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_32	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_33	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_34	0.478997529121073	0	0.521002470878927	0.478997529121073	0	0	0.521002470878927	0.478997529121073	0.521002470878927	0	0	0.521002470878927	0	0	0.521002470878927	0	0.521002470878927	0.521002470878927	0.521002470878927	0.478997529121073	0.558017083349585	0.478997529121073	0.558017083349585
ZB_38	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_41	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_50	1	0.521002470878927	0	1	0.521002470878927	0.521002470878927	0	1	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0.521002470878927	0	0.521002470878927	0	0	0	1	0.788291275010726	1	0.788291275010726
ZB_54	0	0.478997529121073	1	0	0.478997529121073	0.478997529121073	1	0	1	0.478997529121073	0.478997529121073	1	0.478997529121073	0.478997529121073	1	0.478997529121073	1	1	1	0	0.769725808338859	0	0.769725808338859
ZB_55	0.769725808338859	0.558017083349585	0.788291275010726	0.769725808338859	0.558017083349585	0.558017083349585	0.788291275010726	0.769725808338859	0.788291275010726	0.558017083349585	0.558017083349585	0.788291275010726	0.558017083349585	0.558017083349585	0.788291275010726	0.558017083349585	0.788291275010726	0.788291275010726	0.788291275010726	0.769725808338859	0	0.769725808338859	0
ZB_57	0	0.478997529121073	1	0	0.478997529121073	0.478997529121073	1	0	1	0.478997529121073	0.478997529121073	1	0.478997529121073	0.478997529121073	1	0.478997529121073	1	1	1	0	0.769725808338859	0	0.769725808338859
ZB_59	0.769725808338859	0.558017083349585	0.788291275010726	0.769725808338859	0.558017083349585	0.558017083349585	0.788291275010726	0.769725808338859	0.788291275010726	0.558017083349585	0.558017083349585	0.788291275010726	0.558017083349585	0.558017083349585	0.788291275010726	0.558017083349585	0.788291275010726	0.788291275010726	0.788291275010726	0.769725808338859	0	0.769725808338859	0
