ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.679171769375715	0.566644575001204	0.518820286978057	0.779563359905112	0.438159788867562	0.605536576658767	0.451931905189644	0.522334919845259	0.312976017503651	0.612610195060215	0.302904858709943	0.436685233070692	0.508092520231301	0.607322636399068	0.639567422662707	0.573160479021829	0.499146983906978	0.461432499504205	0.881408252858404	0.44385329474493	0.545231742057324	0.532158611690341	0.562931371980396	0.342861784194059	0.454420171777478	0.395349605562785	0.406559295903763	0.550810030122423	0.477328173197464	0.585368426952585	0.431293998589555	0.385838512383433	0.453964444531874	0.692000128035806	0.606890413266759	0.551004858699523	0.416850367992475	0.422524592459669	0.651122330682942	0.336116239334324	0.593457076897276	0.547416651797588	0.407269408291885	0.516356389356135	0.524502327968618	0.642431796934757	0.365670649995016	0.469164647868272	0.611991911613868	0.551380579728082	0.637125432356146	0.447811127694383	0.376401866356407	0.457493799353205	0.404103029816784	0.472925163543304	0.647500798930885	0.475724609324046	0.562594115080394	0.719663342885813	0.61490160030084	0.682338057109864	0.758993238563664
ZB_2	0.679171769375715	0	0.619268238916233	0.608760302856876	0.373392131734903	0.584891469436022	0.518605116259919	0.647212612827548	0.665298084640929	0.615724820111772	0.484020972795112	0.641425762779995	0.642066571084823	0.7211507996379	0.575319451526003	0.614236252037848	0.551444490133016	0.667998908950395	0.609069979299563	0.541276407020502	0.626453974063171	0.684630451815095	0.658754625775977	0.736763143323207	0.675938130213452	0.551081615937227	0.585438671688269	0.615371919865353	0.620532946541178	0.574555644040801	0.513869155127433	0.630695296059841	0.607914098230264	0.551290700167983	0.438119460705915	0.523927932486401	0.699146213918585	0.670502278321898	0.566641182037715	0.494519597271009	0.7020056263144	0.646288403480732	0.705539201639444	0.640056041199098	0.650209607923161	0.791811093377581	0.673871231003375	0.64803570429235	0.705375712516766	0.407675506680392	0.628938697086422	0.600583595122228	0.566978240911992	0.700996324857137	0.547936557947979	0.487210003961012	0.607416352561557	0.576590907028038	0.658314744462548	0.483541105761063	0.351698893068678	0.634323858246245	0.481751218814717	0.473371168364491
ZB_3	0.566644575001204	0.619268238916233	0	0.450109727663621	0.612314025307247	0.641691037398029	0.505260108052272	0.500110755112535	0.364543565839151	0.546477337446366	0.602726001227592	0.644646828770617	0.685911640221682	0.397760341556958	0.519316344157664	0.51365065713441	0.650158281901205	0.41964329462492	0.64980355793299	0.79229275191984	0.559251682393304	0.404328417106496	0.359013088934878	0.341306743354745	0.64088715122079	0.650935237066149	0.674938077174369	0.619818515282875	0.48919688767204	0.66435675395385	0.426199602400358	0.658251596120966	0.5737073277676	0.650481016408585	0.650249498794457	0.20888242543286	0.3631573166301	0.617452215774759	0.645637393622563	0.399006073445629	0.664872432145742	0.580838989136226	0.357690800290598	0.56543579082745	0.47932335160908	0.362006757917645	0.500307896226545	0.697094214361661	0.249828298863125	0.686554093501594	0.27110936377045	0.428247194156431	0.599098376142521	0.672562833521568	0.657716958442622	0.508987245809814	0.664232470627222	0.532761887575566	0.659096814588714	0.520019773659204	0.547384913117782	0.360840993408403	0.567395455413405	0.687896667260668
ZB_4	0.518820286978057	0.608760302856876	0.450109727663621	0	0.638859362680788	0.547086202059504	0.590602920132367	0.515630446148484	0.55918376000424	0.607249649768874	0.613084727984239	0.573873031655625	0.587869526077361	0.401654234416547	0.506736119913156	0.681656213599967	0.585271820052057	0.512386954519918	0.56012001074332	0.77910568777585	0.599541222179255	0.533722945969793	0.557778222741825	0.575851041208311	0.584640864605701	0.55980109396102	0.532264053345352	0.656307632332582	0.550556060952952	0.577906374066712	0.557097195283516	0.586143408802075	0.519298533453153	0.55933834112541	0.621073026633085	0.466289785777903	0.462264105642257	0.595146544755232	0.651262079998987	0.610417695639255	0.581073960290711	0.590322066326531	0.499850288270438	0.614374561335101	0.548271788191815	0.586364000336722	0.674697814407223	0.599507774918895	0.494605281261154	0.639473382516523	0.574547902125159	0.641419890801107	0.641057328840085	0.586124770303149	0.558314106449406	0.607638026477403	0.556997329996484	0.692336343584835	0.613671850022998	0.527525318099195	0.628978944731322	0.481596197094529	0.711010779168743	0.668305125906341
ZB_5	0.779563359905112	0.373392131734903	0.612314025307247	0.638859362680788	0	0.678828864699117	0.524298352056993	0.633949023857744	0.708454566944948	0.746449007426982	0.346369588885652	0.736940069848448	0.653568228395007	0.739701401372915	0.611868322573273	0.668853061356332	0.475932762520308	0.742491690905014	0.63556556285569	0.480356217492275	0.717563122217111	0.599956511153774	0.703314691284782	0.771404797282955	0.696697419793931	0.648153602277376	0.68341666409246	0.633814335969885	0.606624036667404	0.602989743610297	0.572689090076673	0.670360371006694	0.617056252980388	0.648301023063645	0.275502057360437	0.522351345487965	0.72092054101319	0.668467098986044	0.622944820595738	0.558726167787957	0.642424249345358	0.704439471256415	0.750796926578859	0.718259948816054	0.67436768618057	0.77599688491664	0.662075273845748	0.666441839867312	0.694412158268462	0.40782594929085	0.688599898610169	0.348232992942545	0.653765808921162	0.648819373633521	0.645937752565995	0.649721991675351	0.648772053720367	0.678547883193687	0.610162160218252	0.571285403667321	0.424156021437197	0.547360748972248	0.5983987208811	0.331974785582922
ZB_6	0.438159788867562	0.584891469436022	0.641691037398029	0.547086202059504	0.678828864699117	0	0.491028833686637	0.602542906758259	0.708481415961358	0.59367049233935	0.524091418150824	0.275555535299835	0.22925264290081	0.692579484986041	0.668061806096543	0.780676498033993	0.294530297581543	0.663709406662343	0.0602433842330864	0.812312275801406	0.690207105884122	0.743707014796677	0.719763864449112	0.720709726826	0.283358965810219	0.0381836853050192	0.177961298588308	0.642464872432738	0.706372238773714	0.0884772442305737	0.633266375515999	0.107948116023631	0.232145747685843	0.0386316523106616	0.645399098606678	0.561088861344542	0.737170642640654	0.147384613735401	0.558796222961438	0.673731608913176	0.378641534449187	0.712723618411083	0.641680886842737	0.66855994357769	0.642082717378635	0.707094448661311	0.791996281049646	0.365926877111761	0.632139364868477	0.587504189269338	0.638084206751022	0.675655763310261	0.625116359621588	0.419104999244858	0.0517481006652961	0.545795842842445	0.0975425747719774	0.762306204972957	0.141491395793499	0.612579714174055	0.664819059682002	0.709771604107906	0.726922625551604	0.744885391105956
ZB_7	0.605536576658767	0.518605116259919	0.505260108052272	0.590602920132367	0.524298352056993	0.491028833686637	0	0.659242071073247	0.639332026665885	0.625063186628025	0.441792194345888	0.564240296554234	0.451976462584573	0.699860404987684	0.617889429969549	0.72894077358164	0.390406800242866	0.650572729166047	0.505299742429571	0.566320701133332	0.694509311693619	0.679380995480372	0.639216157167786	0.563026693427651	0.566102898250101	0.455865525118854	0.527162681321993	0.588366270856935	0.668831291221019	0.477430661293903	0.579042629699062	0.508484776642016	0.509058746021424	0.455436415649633	0.571143925311723	0.472890484739677	0.695750156994855	0.483789191559264	0.573496823355872	0.616725968899048	0.514067010605518	0.663300625478507	0.448161032659694	0.695595862321076	0.658622175258422	0.620727223205774	0.768141286919056	0.499334877192151	0.562767308055933	0.466582969819484	0.427383562729506	0.392150921192954	0.641148885614083	0.490921142280744	0.462272325011834	0.519596359640603	0.50357204299128	0.735034683435654	0.436872524452348	0.601399180542237	0.642657661054109	0.656806462172132	0.6734921816828	0.626989364522877
ZB_8	0.451931905189644	0.647212612827548	0.500110755112535	0.515630446148484	0.633949023857744	0.602542906758259	0.659242071073247	0	0.500950630104082	0.521979526023699	0.639028590438543	0.503638871445232	0.603743172375895	0.443556886766958	0.518426115905698	0.625303102047109	0.630093408222715	0.460163178432068	0.547155968110682	0.860551369171769	0.58492102918491	0.363277715608897	0.522010792388526	0.541004004061292	0.442432408642485	0.612833901751859	0.587585455024377	0.579420953967923	0.281668942769789	0.565372106451548	0.564605286216066	0.526480793359992	0.490679980681298	0.617054584339238	0.683102210955138	0.582904138034673	0.502327984020938	0.53621418109545	0.686258085602876	0.592285161993562	0.490163769217983	0.65534830126201	0.542246766402494	0.600197982208722	0.433624221066103	0.49568390598454	0.682979699654371	0.608213178389831	0.544069428121731	0.71672890324255	0.562114011785208	0.504221186176527	0.627697591898069	0.479913300912169	0.6057521882511	0.482666432762644	0.543659668344452	0.560959823084028	0.559389301299838	0.579159486250423	0.688650857335924	0.381980999705075	0.589602783123115	0.73910284653739
ZB_9	0.522334919845259	0.665298084640929	0.364543565839151	0.55918376000424	0.708454566944948	0.708481415961358	0.639332026665885	0.500950630104082	0	0.432674508291554	0.643281761032685	0.607974874830949	0.71415953363632	0.387515489015555	0.486959069306237	0.243159633252982	0.697486389705668	0.278070805052313	0.721522868214977	0.8501478460525	0.52983994031232	0.388761735459141	0.0850267172480354	0.226022561311767	0.647997670327263	0.719369792309971	0.676843140154139	0.516669936991737	0.380394237350567	0.733740212600467	0.395685684720307	0.724980537629851	0.649029546140635	0.719497645554961	0.674429790623794	0.479795804453977	0.309431530918499	0.693828206249308	0.633168562844945	0.434862979504271	0.64413217623498	0.377361800305046	0.394771708639982	0.537977263916159	0.450905821250925	0.396640557949092	0.387071862128767	0.652640349365052	0.378422568773742	0.688816742716559	0.486269758995487	0.562609575692819	0.578203564920742	0.65170674405749	0.713148677358516	0.488991620666549	0.737163513003818	0.374597893837501	0.728912890349847	0.461876800811715	0.629822459033782	0.469609696488626	0.431712115464354	0.657505798346637
ZB_10	0.312976017503651	0.615724820111772	0.546477337446366	0.607249649768874	0.746449007426982	0.59367049233935	0.625063186628025	0.521979526023699	0.432674508291554	0	0.584493631545043	0.467012211060906	0.573978328852457	0.48844770884598	0.582941722199652	0.53672807046167	0.654787533717559	0.478017357032214	0.617704977783019	0.850162931207426	0.226816294515579	0.491655265538586	0.446699535104801	0.510978516991274	0.534671689576757	0.608897633132201	0.530602365260402	0.241486355316121	0.490519043323285	0.628988311668045	0.482219485483685	0.604638784895817	0.565118062493285	0.609076409556538	0.722953685432759	0.57540866040316	0.525921476968201	0.577025082413645	0.402458720440419	0.567780775538274	0.508575358848467	0.558610309851826	0.564253482440651	0.175955497136922	0.601297881965364	0.594303128012215	0.538972446094341	0.508370836564714	0.569917225068979	0.644286115849257	0.501602707441929	0.614784733875756	0.252277265241281	0.544418491338886	0.606208839988869	0.234860957016571	0.603172201067786	0.551041928680611	0.627850043046098	0.453486156569014	0.66272058963205	0.573670075017125	0.604613003301645	0.713833970307217
