ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.783088634590891	0.881812894855876	0.781749792485016	0.777631839181301	0.903009049293318	0.898963587457666	0.798871659715931	0.881812894855876	0.831085147506452	0.851826265031258	0.878122406935821	0.772020725388601	0.443838266589282	0.415448646770453	0.750423179295085	0.788103031165504	0.894922091038065	0.695808272781771	0.72934027930552	0.594005845184666	0.493783453449657	0.759060805326495	0.922874315982731	0.882802606169309	0.924049217716845	0.532196073452523	0.850939930592242	0.883092912247638	0.517144353414225	0.90049050345144	0.846773226647147	0.926934423206933	0.796886935504099	0.794657257110033	0.613308442731543	0.922119227222209	0.805659653895127	0.479765216631944	0.914030552291422	0.525714995061555	0.898643579381724	0.881812894855876	0.550923502579825	0.909201879844567	0.457434153051172	0.82555623950421	0.504700483690934	0.769801026855486	0.741689305640756	1	0.341609121279702	0.768787058520237	0.908974431496776	0.57945864794454	0.918299115196289	0.503168676902551	0.827183848200856	0.571263635040234	0.762449030577192	0.738679899597067	0.877480057271426	0.911195685463088
ZB_2	0.783088634590891	0	0.6690211856792	0.449031502912551	0.241541723492728	0.521489927079471	0.583784269483437	0.429696391845211	0.6690211856792	0.313363105950103	0.48544711267778	0.297977148951422	0.538994329186718	0.84190519445898	0.725563271661882	0.372602428782204	0.380283940017172	0.508150590603316	0.261653222223319	0.606755180138137	0.689203799330575	0.873704598550348	0.457832663579546	0.5866968589438	0.474080581853785	0.564336913973398	0.630996265070501	0.60283612501832	0.281026599314248	0.813532078033586	0.441006005612232	0.465611863349228	0.54888809435528	0.268970436975348	0.428260424020222	0.655752680657335	0.514760668820736	0.546072497233191	0.656843923744176	0.613981153816375	0.569642984534168	0.709594337946959	0.6690211856792	0.843563427247858	0.962860166530221	0.816235198977656	0.4392659799137	0.663143423725927	0.35632684250495	0.39388057828978	0.993038777180967	0.768352768515006	0.455741252912539	0.468229690838145	0.565307332151025	0.624799159560005	0.592437226871195	0.444817270463246	0.57711201610755	0.211907959044638	0.849221760747589	0.664286748935812	0.579678057928735
ZB_3	0.881812894855876	0.6690211856792	0	0.661009751290231	0.659747310945069	0.648266374253269	0.204790232435415	0.419644537421605	0	0.574488430523779	0.660457187388382	0.64932963109877	0.508461111790089	0.865934041149572	0.894908751784523	0.598942659863719	0.465918610645702	0.655274609349245	0.563218466524812	0.53416815901781	0.900604474617082	0.850861512021025	0.585303658817091	0.609454306426493	0.678849041943202	0.616288712755027	0.912204001905318	0.521309419175273	0.665120296175827	0.870451189678375	0.69311295089232	0.652814991151794	0.632939252041196	0.597862642644646	0.670739041585455	0.903639701561493	0.651837054054504	0.442412570799046	0.908619589697077	0.556980473400357	0.917906737468667	0.461123421798506	0	0.861362642488557	0.978593441601163	0.869682221272211	0.681892298051241	0.907701206091402	0.549160068132907	0.626927015137839	1	0.882080758587171	0.625935438636656	0.674673643864256	0.922301448290285	0.582537217500309	0.91932096189148	0.693481772001255	0.921032092647884	0.590407442756934	0.934507675916777	0.474815302171173	0.334210301700549
ZB_4	0.781749792485016	0.449031502912551	0.661009751290231	0	0.429177839449455	0.557650022303272	0.627132484995472	0.561392796872482	0.661009751290231	0.463510336272714	0.475321876734543	0.465305466163013	0.444647305679557	0.77519997472895	0.752337855382242	0.361076244729812	0.397998418368738	0.56455570651472	0.407501227027322	0.451112922766116	0.601809246351557	0.819566031344162	0.378087158897672	0.525015100085922	0.500969952228556	0.495557619113129	0.637831130925258	0.430811479152294	0.486636447841203	0.73359958635691	0.458001435048459	0.450654202991842	0.552847411701013	0.263635509949718	0.402996281965431	0.565900295145019	0.511198140421853	0.319925309266319	0.653175675043433	0.455873519685886	0.626378862602149	0.408016117816963	0.661009751290231	0.776504359298946	0.946939576015833	0.737461443828338	0.41885876603942	0.648375871896207	0.367009711552399	0.338358600037432	0.990054736391677	0.734294143578962	0.450970571277147	0.454411515162942	0.592841380813911	0.477397965362723	0.629922023281368	0.489754843962699	0.634039282318911	0.487182568894631	0.85339245045633	0.523599157663432	0.527619076856954
ZB_5	0.777631839181301	0.241541723492728	0.659747310945069	0.429177839449455	0	0.455000715074473	0.572122095410132	0.441513163036107	0.659747310945069	0.355578845193464	0.400140954428716	0.300508157971618	0.621771740069292	0.829720998531571	0.754537104799139	0.334626419177126	0.445342235434587	0.425253960360872	0.390798675180051	0.546914198455116	0.751793899541626	0.87016585926595	0.520942011001694	0.446508826962898	0.421959916333555	0.44802617411562	0.645633880264334	0.580182133670745	0.244653257642273	0.828034156976744	0.424199460698758	0.390238690202992	0.468961189647415	0.313579384574997	0.371535835522909	0.744682774568674	0.478784564409171	0.417992885935479	0.712075519302313	0.542819878350541	0.660217452564343	0.574028553247393	0.659747310945069	0.86831381750596	0.971379178848354	0.840661045362424	0.389906320618093	0.705630962481883	0.404453984437886	0.542930290196506	0.996677036018373	0.78355799021375	0.451195830173276	0.450495959062112	0.642487729734981	0.572685601839115	0.675900238775482	0.363478030050783	0.627956867570995	0.214829734530988	0.873203933073665	0.58184006756996	0.488948702684949
ZB_6	0.903009049293318	0.521489927079471	0.648266374253269	0.557650022303272	0.455000715074473	0	0.533397691189925	0.58671641197749	0.648266374253269	0.362915930413119	0.145135469228119	0.2879571598572	0.552811109269201	0.924278516971013	0.896741704470884	0.477345469220753	0.633820625719324	0.0518098754301987	0.743387427227699	0.516869534200855	0.929418319948138	0.919694544079005	0.598710556959868	0.120122770989998	0.0951406391773364	0.160292495666996	0.919925666012988	0.505745631856969	0.337731134432784	0.925740966301259	0.195726514275439	0.189119620739158	0.0461043084910811	0.622419387851316	0.428325130080157	0.937984475905311	0.080577421309866	0.513253994083274	0.917737021942283	0.266800550546007	0.912555300780674	0.38344493591672	0.648266374253269	0.922841529345336	0.989001878682645	0.925488942580388	0.201127404255856	0.905221449372525	0.571616910692781	0.601999238691622	1	0.903143328001551	0.40986745078641	0.144502265577079	0.92641216735639	0.21748335151948	0.913614989855591	0.164789038643948	0.925569484699282	0.536171746369496	0.935211831697399	0.398639139115477	0.479355423036095
ZB_7	0.898963587457666	0.583784269483437	0.204790232435415	0.627132484995472	0.572122095410132	0.533397691189925	0	0.495105486195986	0.204790232435415	0.464906510417502	0.549569763288632	0.559021552294063	0.509967270383937	0.887580790816206	0.908690826840143	0.495658433164671	0.328376723804614	0.542694666051296	0.607381834977557	0.4975779863573	0.913021370616682	0.877171594026212	0.449872698863411	0.481910431707071	0.57396800437337	0.490976809041538	0.922035209905204	0.484724938590053	0.578878784588149	0.890774368703689	0.592890201061804	0.539431789130485	0.513065058515456	0.494300279299961	0.637282365238166	0.915354519919829	0.538134478682848	0.413945994260714	0.919221465748026	0.412299766562022	0.926565241024881	0.425231765201384	0.204790232435415	0.884384041234106	0.982687837799994	0.890228250632491	0.578005122869781	0.918504656240253	0.433055339287596	0.619065666968773	1	0.899159414389197	0.50377394937542	0.568429010540463	0.930101773839831	0.446202796951538	0.927698936632802	0.593379471260527	0.929076173686864	0.484925143088361	0.944895750600322	0.303301206876635	0.162749597079896
ZB_9	0.798871659715931	0.429696391845211	0.419644537421605	0.561392796872482	0.441513163036107	0.58671641197749	0.495105486195986	0	0.419644537421605	0.313200712032728	0.487035962445506	0.570850717471147	0.44481664515012	0.783642662909937	0.745824102911798	0.541492439201897	0.371189138960631	0.593689111707859	0.455855594410668	0.520539932665091	0.768177278016331	0.778547076252456	0.584804720110811	0.548871994024466	0.60178663505547	0.555442889517375	0.747681265394089	0.648990860010449	0.588151243025222	0.802942906663192	0.627422386004246	0.460352098410769	0.571616928600859	0.494243944543346	0.419696105377794	0.745341423493881	0.590263566066045	0.391667097797782	0.76831988794065	0.671215778914971	0.780982788249905	0.639336402986876	0.419644537421605	0.761428942118316	0.987135841518229	0.71884859381891	0.464064087307346	0.755452119324798	0.473387645651558	0.503647931075268	1	0.72091912291597	0.621725535012333	0.600451067732567	0.773272853548817	0.698102040580647	0.784245208839442	0.541178466958644	0.794335000071636	0.312533421336487	0.944090525323187	0.645521603829231	0.543921173410326
ZB_10	0.881812894855876	0.6690211856792	0	0.661009751290231	0.659747310945069	0.648266374253269	0.204790232435415	0.419644537421605	0	0.574488430523779	0.660457187388382	0.64932963109877	0.508461111790089	0.865934041149572	0.894908751784523	0.598942659863719	0.465918610645702	0.655274609349245	0.563218466524812	0.53416815901781	0.900604474617082	0.850861512021025	0.585303658817091	0.609454306426493	0.678849041943202	0.616288712755027	0.912204001905318	0.521309419175273	0.665120296175827	0.870451189678375	0.69311295089232	0.652814991151794	0.632939252041196	0.597862642644646	0.670739041585455	0.903639701561493	0.651837054054504	0.442412570799046	0.908619589697077	0.556980473400357	0.917906737468667	0.461123421798506	0	0.861362642488557	0.978593441601163	0.869682221272211	0.681892298051241	0.907701206091402	0.549160068132907	0.626927015137839	1	0.882080758587171	0.625935438636656	0.674673643864256	0.922301448290285	0.582537217500309	0.91932096189148	0.693481772001255	0.921032092647884	0.590407442756934	0.934507675916777	0.474815302171173	0.334210301700549
ZB_11	0.831085147506452	0.313363105950103	0.574488430523779	0.463510336272714	0.355578845193464	0.362915930413119	0.464906510417502	0.313200712032728	0.574488430523779	0	0.253342309145881	0.392591073588252	0.407323858695478	0.853545999837153	0.804700841604983	0.408101757760219	0.371002982035057	0.373585752644223	0.5526900185843	0.512898863776057	0.812377416078712	0.837632645464785	0.534949985507009	0.389848228652865	0.40378715030957	0.374487388964723	0.821924793178754	0.607142262641283	0.416822906645308	0.833574359268529	0.406157938538045	0.219596847114269	0.339819463061769	0.439526645645996	0.428243506451065	0.779172991747297	0.368343550739621	0.32716821784017	0.801565444267285	0.446821992736837	0.806529088860075	0.545787779979967	0.574488430523779	0.823763241167579	0.985773702471586	0.787498072341483	0.212291872859608	0.815535803866586	0.367803889658294	0.478965824184717	0.995241884201074	0.790323738425095	0.401295655975518	0.397186605912896	0.809786015700291	0.469724796928499	0.804619380446561	0.32243244114109	0.839309077172551	0.328695130676318	0.962773386860703	0.502422997691792	0.415552591581625
