ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.461084831463888	0.32458654161601	0.470580982706678	0.409680316194682	0.573549344646706	0.40944189757529	0.563161679246392	0.276624587454026	0.291451109216356	0.449875535039418	0.441320504912212	0.438677177494936	0.560767448376466	0.568179734907511	0.373040109748598	0.477970637081356	0.476315917375456	0.578939578331086	0.564188822571894	0.291451109216356	0.551498764715123	0.229893209936567	0.47445106104324	0.406970917461956	0.565581042130517	0.432331516712655	0.341612552008399	0.540183650445321	0.598188923241105	0.417408250383409	0.549465829961545	0.536355384883924	0.56809617615364	0.403570314035067	0.504390281556958	0.360421836228288	0.504754955514257	0.291451109216356	0.317727608119934	0.565130122722689	0.266323092850728	0.539059032401243	0.291451109216356	0.560767448376466	0.539059032401243	0.154807068337244	0.39236757389523	0.32458654161601	0.461084831463888	0.504390281556958	0.568701376672558	0.291451109216356	0.483016339903489	0.563560925551536	0.229428654782195	0.560710703772862	0.266323092850728	0.499592145511956	0.317727608119934	0.461084831463888	0.474130136298182	0.360893070505848	0.495180484041214
ZB_2	0.461084831463888	0	0.532588528282417	0.130035267867853	0.0763097563046616	0.582716068325578	0.435148789897553	0.309112502699201	0.228664416586307	0.479245658445995	0.1666947542591	0.649361379063951	0.647719964703947	0.334033279051829	0.284990337973735	0.271233335566423	0.588033689568201	0.290085751204041	0.670964497496036	0.308348168870804	0.479245658445995	0.244704117977879	0.270901194353963	0.63526737065699	0.660007650170685	0.573867909746161	0.64378019917276	0.39874313255143	0.256967022758941	0.620099460093733	0.335712846316844	0.636287131579455	0.655588129930327	0.576665486229749	0.278266331658292	0.65763005810361	0.282481366664468	0.581638226165261	0.479245658445995	0.18725251408335	0.608625261287061	0.238390287958665	0.644360062782833	0.479245658445995	0.334033279051829	0.644360062782833	0.371959551790107	0.646192033706726	0.532588528282417	0	0.65763005810361	0.704976419948634	0.479245658445995	0.674061722714803	0.658175907819456	0.529467580916614	0.545558465612294	0.238390287958665	0.696531065803459	0.18725251408335	0	0.0383398161244696	0.25314100539635	0.0979177550563475
ZB_3	0.32458654161601	0.532588528282417	0	0.45192336313215	0.488004405330052	0.594761374158414	0.11684046553623	0.51831762595653	0.372602617401054	0.378411865122341	0.424633137210156	0.548998454099924	0.532799679807885	0.492973619349538	0.568197745598852	0.331734251441158	0.513175069880281	0.312069016837489	0.490971285728382	0.519066074216818	0.378411865122341	0.576072883375416	0.450140598349698	0.262431219887813	0.309090909090909	0.611751596854941	0.542665599359616	0.417354536499757	0.565848391911597	0.514242219746073	0.484718364314195	0.521558724567763	0.345061224489796	0.606456472951553	0.379821292023379	0.199289873749392	0.320125611437983	0.362841768529917	0.378411865122341	0.408252056316787	0.388096542256304	0.363667933364422	0.23771583185836	0.378411865122341	0.492973619349538	0.23771583185836	0.275681919052024	0.509898552152073	0	0.532588528282417	0.199289873749392	0.312854494392335	0.378411865122341	0.379844553037324	0.52620794000592	0.429011031627934	0.334111216875979	0.363667933364422	0.411623852909252	0.408252056316787	0.532588528282417	0.511072856618413	0.34967307291615	0.47400954488178
ZB_4	0.470580982706678	0.130035267867853	0.45192336313215	0	0.188368275759158	0.532536454905482	0.350719415121478	0.27056065039854	0.308400935839076	0.522187173531589	0.258991580610883	0.669368762369984	0.667909711256485	0.234489978328211	0.271256525237154	0.315858300589391	0.578979468113857	0.18397353067857	0.614180047914062	0.32671700528674	0.522187173531589	0.274639307470343	0.342549951046162	0.545323295294254	0.601332284442007	0.553129244195557	0.66441083653305	0.448322903248709	0.259397242705996	0.563315010511758	0.395713785767058	0.573518114613291	0.596150050080055	0.546711354756733	0.35820549848778	0.573200683327535	0.24349532069434	0.509437983721643	0.522187173531589	0.275292126896993	0.550125741587546	0.316230129546869	0.556658270451616	0.522187173531589	0.234489978328211	0.556658270451616	0.433374027989103	0.666552235478151	0.45192336313215	0.130035267867853	0.573200683327535	0.632222788978675	0.522187173531589	0.617811787578658	0.599184422765054	0.564806902636064	0.467131632638296	0.316230129546869	0.644158855928109	0.275292126896993	0.130035267867853	0.0953511991874795	0.328143335350865	0.205098976258851
ZB_5	0.409680316194682	0.0763097563046616	0.488004405330052	0.188368275759158	0	0.548242568845347	0.460332185698552	0.346417048683918	0.274871849565722	0.429573416756022	0.0978520652040692	0.615915654400381	0.614117673451685	0.368762802249134	0.324870135109136	0.312618083244343	0.553999500109824	0.231436887374865	0.639579389968779	0.345733067896817	0.429573416756022	0.289065052870979	0.312322601445107	0.652540497243974	0.627577421892479	0.538663428392353	0.609802112713332	0.349070890861457	0.299940150973995	0.588714352566476	0.370271959987496	0.601594317589608	0.622736344960192	0.541692123891395	0.20942364260326	0.672894321688313	0.322633673107219	0.541732717011461	0.429573416756022	0.238390287958665	0.576292224169008	0.175470654540617	0.660802107125954	0.429573416756022	0.368762802249134	0.660802107125954	0.312053806517841	0.612444000495687	0.488004405330052	0.0763097563046616	0.672894321688313	0.716381123618704	0.429573416756022	0.642972044543307	0.625570958484652	0.484585765867447	0.502211482344316	0.175470654540617	0.667584629754888	0.238390287958665	0.0763097563046616	0.109117413416102	0.296544900770171	0.160482489311457
ZB_6	0.573549344646706	0.582716068325578	0.594761374158414	0.532536454905482	0.548242568845347	0	0.57725325256203	0.440267970711219	0.628653453584669	0.542189238825433	0.569344747263838	0.198351040748051	0.202732401069444	0.430967049638305	0.416393996002961	0.626727632063779	0.255742990576543	0.468383563671347	0.140452459611798	0.483588684954269	0.542189238825433	0.44752256485598	0.565576925768838	0.748803339663209	0.340366279918041	0.0207638870242009	0.213083889752096	0.492469499081729	0.43840456015313	0.0895874222094948	0.514634863309957	0.215119298729105	0.313198654947224	0.0142926737580219	0.622605286926759	0.711740611120702	0.59355215042026	0.353966879230022	0.542189238825433	0.61931507999832	0.251678070186827	0.587865171684934	0.705088806039646	0.542189238825433	0.430967049638305	0.705088806039646	0.647694765516723	0.25076294966239	0.594761374158414	0.582716068325578	0.711740611120702	0.614730300224423	0.542189238825433	0.263712484711638	0.107044512086724	0.47626833980788	0.416408820098762	0.587865171684934	0.207240635166039	0.61931507999832	0.582716068325578	0.566079641570736	0.577993113005501	0.537421411391944
ZB_7	0.40944189757529	0.435148789897553	0.11684046553623	0.350719415121478	0.460332185698552	0.57725325256203	0	0.433778982880972	0.26769719659167	0.456011459000951	0.396960917578656	0.5978248246206	0.583030360863273	0.407415859038721	0.487254424419549	0.224921723688515	0.494788645113654	0.284396797205989	0.542450446491627	0.434557527271426	0.456011459000951	0.493856658344296	0.356333225932106	0.283793817858942	0.377021413161695	0.594243475258557	0.592439206705154	0.39336117790271	0.483221026067814	0.496734098149688	0.398444943820225	0.573629572578724	0.410279337475578	0.588948351355169	0.469217260162521	0.222481268206058	0.212771370860962	0.433794512460382	0.456011459000951	0.3050102031809	0.368758970234422	0.335995713732922	0.259794274795287	0.456011459000951	0.407415859038721	0.259794274795287	0.372602617401054	0.562083740558314	0.11684046553623	0.435148789897553	0.222481268206058	0.330004384905188	0.456011459000951	0.44002591668587	0.576076209607809	0.497732255194764	0.411154724698393	0.335995713732922	0.466730488551296	0.3050102031809	0.435148789897553	0.412629097498793	0.243697653528016	0.373836240244669
ZB_8	0.563161679246392	0.309112502699201	0.51831762595653	0.27056065039854	0.346417048683918	0.440267970711219	0.433778982880972	0	0.426561519849449	0.370250138406563	0.393002817844488	0.563214739517154	0.561297402670257	0.0360706720703292	0.130108897196939	0.42940022837714	0.480972150147033	0.312771191641188	0.50099180711447	0.174333213452904	0.370250138406563	0.085275699569398	0.450238284151956	0.604603044131402	0.636451586721857	0.438760340894906	0.556699898674263	0.29694498968242	0.0701792269488231	0.450126769712166	0.281419537093512	0.448400856993959	0.47767233753226	0.432378963773297	0.474273916803839	0.625493301833606	0.306656366256294	0.365521497999618	0.370250138406563	0.40398428639524	0.433518857640375	0.431954423928482	0.61305175952808	0.370250138406563	0.0360706720703292	0.61305175952808	0.52580401630681	0.586303395475463	0.51831762595653	0.309112502699201	0.625493301833606	0.487203235881053	0.370250138406563	0.505688992517306	0.521275205014327	0.426034742959895	0.310803706222537	0.431954423928482	0.539765516797114	0.40398428639524	0.309112502699201	0.281567950004446	0.440200694712466	0.357309969160237
ZB_9	0.276624587454026	0.228664416586307	0.372602617401054	0.308400935839076	0.274871849565722	0.628653453584669	0.26769719659167	0.426561519849449	0	0.301001514431314	0.331771022095545	0.56765015042227	0.565679184963479	0.443835476366983	0.410041704855443	0.144513473436621	0.50654761026972	0.4135149852008	0.704270311837913	0.426035065873824	0.301001514431314	0.382882525131044	0.144141494232294	0.456878287854231	0.543634841475472	0.621662510564152	0.560950382803298	0.22049898853675	0.391093348558379	0.658553963495974	0.21702301909971	0.676553585037797	0.57513143459615	0.623869357158663	0.421240471027624	0.490178464797728	0.157119826695887	0.634042321794792	0.301001514431314	0.0509529752112996	0.530590558222889	0.107806344529693	0.527491471386958	0.301001514431314	0.443835476366983	0.527491471386958	0.15699344749665	0.525090406576116	0.372602617401054	0.228664416586307	0.490178464797728	0.560681718524882	0.301001514431314	0.597367790368368	0.693980161230601	0.368413430085349	0.606730223394664	0.107806344529693	0.628550353897582	0.0509529752112996	0.228664416586307	0.251676767398826	0.124273750327139	0.288255692227166
ZB_10	0.291451109216356	0.479245658445995	0.378411865122341	0.522187173531589	0.429573416756022	0.542189238825433	0.456011459000951	0.370250138406563	0.301001514431314	0	0.467191533298916	0.390892566727255	0.387960303453261	0.388387052624376	0.352951214719358	0.392508276037688	0.413166742858828	0.523060215351911	0.558885636285893	0.369698160349796	0	0.324608799382499	0.392297816407006	0.523623537174685	0.538424316772303	0.533570526799036	0.380919044007545	0.0805025258945646	0.333164570454061	0.57905177419608	0.218600760866632	0.515367019719653	0.402009144085084	0.536291214870547	0.423870265442264	0.549436480111603	0.399662791282903	0.447851093700466	0	0.340719410145584	0.441759575221735	0.291047168455612	0.582412489216028	0	0.388387052624376	0.582412489216028	0.185782725518601	0.373906617661358	0.378411865122341	0.479245658445995	0.549436480111603	0.40760660070853	0	0.434924455425861	0.542774540855116	0.10400598905597	0.40397580562728	0.291047168455612	0.479538203466763	0.340719410145584	0.479245658445995	0.491436498383379	0.381110753681239	0.51115008249712
ZB_11	0.449875535039418	0.1666947542591	0.424633137210156	0.258991580610883	0.0978520652040692	0.569344747263838	0.396960917578656	0.393002817844488	0.331771022095545	0.467191533298916	0	0.633346122965205	0.631707978560162	0.412323683058988	0.374461625158853	0.231901274509184	0.523339794780448	0.290576357765891	0.594969023489066	0.268904833791432	0.467191533298916	0.343842738919584	0.363704427273738	0.585226015197664	0.581481534941794	0.560648227595932	0.627778899836981	0.391997934950955	0.353117473909553	0.544103986086762	0.413631953428202	0.552282421973016	0.57604126304092	0.563395998383635	0.111571577399191	0.609523053568417	0.37254212065455	0.485011567136013	0.467191533298916	0.300911912703156	0.530334483416142	0.243157441503274	0.59508817416713	0.467191533298916	0.412323683058988	0.59508817416713	0.366035394642276	0.630183716688585	0.424633137210156	0.1666947542591	0.609523053568417	0.66143469788929	0.467191533298916	0.613971632419115	0.579226725392097	0.515494504978616	0.440598667804965	0.243157441503274	0.626440557863884	0.300911912703156	0.1666947542591	0.19348907555549	0.350219514380432	0.235816848375857
