ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_13	ZB_14	ZB_18	ZB_19	ZB_20	ZB_24	ZB_25	ZB_26	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_1	0	0.688515113655435	0.835850773430391	0.943494160670048	0.713904018086527	1	0.933190369091828	1	0.917301508513715	0.688660254976515	1	0.683390511571485	0.716994945093254	1	1	0.74774992449411	0.465078297627053	0.892024898914663	0.933190369091828	0.777825069163652	1	0.465078297627053	0.901407595428655	0.697763624520518	0.917301508513715	0.745136632031858	0.777825069163652	0.683390511571485	0.745136632031858	0.860959819134724	0.94427154533027	0.465078297627053	0.890301156532692	0.688515113655435	1
ZB_3	0.688515113655435	0	0.445329209305386	0.76576177159357	0.0815092659199123	0.787327279169075	0.820868436549809	0.787327279169075	0.567141587970123	0.589399358333772	0.829880470658437	0.177885109444045	0.625207451470341	1	0.834728774684394	0.559652433088562	0.417700039159379	0.512269369269035	0.820868436549809	0.406021457474849	0.787327279169075	0.417700039159379	0.551940522474592	0.134912479018943	0.567141587970123	0.181779344227278	0.406021457474849	0.177885109444045	0.181779344227278	0.228565066968109	0.683800641772928	0.417700039159379	0.754779375473002	0	0.834728774684394
ZB_4	0.835850773430391	0.445329209305386	0	0.700893522975337	0.485604430814299	0.7209376299885	0.651467753657535	0.7209376299885	0.181164207590105	0.685016694490818	0.776774572414299	0.437293453950663	0.508209156084073	1	0.783136362524163	0.510169727323317	0.542189869578405	0.542879611676813	0.651467753657535	0.590546399640511	0.7209376299885	0.542189869578405	0.445866608815913	0.533177705558353	0.181164207590105	0.376436123952945	0.590546399640511	0.437293453950663	0.376436123952945	0.408058993942586	0.471276898284198	0.542189869578405	0.460226577601605	0.445329209305386	0.783136362524163
ZB_6	0.943494160670048	0.76576177159357	0.700893522975337	0	0.711661323693245	1	0.190357454863133	1	0.66751571236944	0.681111016650676	1	0.691956424051786	0.946188088918847	0.591857163657542	1	0.419854197368249	0.953460692988742	0.352039917020325	0.190357454863133	0.41960674771372	1	0.953460692988742	0.255026914159424	0.701065434659627	0.66751571236944	0.630323079371575	0.41960674771372	0.691956424051786	0.630323079371575	0.680473670949861	0.329530211457595	0.953460692988742	0.598500291205591	0.76576177159357	1
ZB_7	0.713904018086527	0.0815092659199123	0.485604430814299	0.711661323693245	0	0.804662076525194	0.83055953436555	0.804662076525194	0.598571886300178	0.613579834428481	0.843746788613709	0.0963758435241325	0.655756516973247	1	0.848199910937553	0.58347543369029	0.465162881512691	0.45337887168826	0.83055953436555	0.347130959894074	0.804662076525194	0.465162881512691	0.497840074574267	0.0534032130990306	0.598571886300178	0.109168306861354	0.347130959894074	0.0963758435241325	0.109168306861354	0.147055801048196	0.700907168678808	0.465162881512691	0.772585099403427	0.0815092659199123	0.848199910937553
ZB_8	1	0.787327279169075	0.7209376299885	1	0.804662076525194	0	1	0	0.659196175108322	0.787426377395064	0.200087680841736	0.783828351560871	0.608542025528908	1	0.222884699693117	0.87110613420203	0.634771191597015	0.828748611069402	1	0.8483054905299	0	0.634771191597015	0.845362222553659	0.793641890424839	0.659196175108322	0.825986786896752	0.8483054905299	0.783828351560871	0.825986786896752	0.770983935742972	0.795938450527823	0.634771191597015	1	0.787327279169075	0.222884699693117
ZB_13	0.933190369091828	0.820868436549809	0.651467753657535	0.190357454863133	0.83055953436555	1	0	1	0.605296117373412	0.634710628825821	1	0.818980070197598	0.936923887279431	0.495897493537147	1	0.328224101479915	0.946688925987757	0.493851097582471	0	0.546630393859532	1	0.946688925987757	0.396838094721571	0.82433292475957	0.605296117373412	0.749221290043881	0.546630393859532	0.818980070197598	0.749221290043881	0.812232300327539	0.204061549472178	0.946688925987757	0.504102506462853	0.820868436549809	1
ZB_14	1	0.787327279169075	0.7209376299885	1	0.804662076525194	0	1	0	0.659196175108322	0.787426377395064	0.200087680841736	0.783828351560871	0.608542025528908	1	0.222884699693117	0.87110613420203	0.634771191597015	0.828748611069402	1	0.8483054905299	0	0.634771191597015	0.845362222553659	0.793641890424839	0.659196175108322	0.825986786896752	0.8483054905299	0.783828351560871	0.825986786896752	0.770983935742972	0.795938450527823	0.634771191597015	1	0.787327279169075	0.222884699693117
ZB_18	0.917301508513715	0.567141587970123	0.181164207590105	0.66751571236944	0.598571886300178	0.659196175108322	0.605296117373412	0.659196175108322	0	0.788021702838063	0.727386822052891	0.560870581166338	0.689373363674178	1	0.735156133273569	0.550289404031296	0.691901728844404	0.643268748389896	0.605296117373412	0.680467336256209	0.659196175108322	0.691901728844404	0.546255745528995	0.57852073754866	0	0.489403579438825	0.680467336256209	0.560870581166338	0.489403579438825	0.538056360284435	0.401234567901235	0.691901728844404	0.340803824891678	0.567141587970123	0.735156133273569
ZB_19	0.688660254976515	0.589399358333772	0.685016694490818	0.681111016650676	0.613579834428481	0.787426377395064	0.634710628825821	0.787426377395064	0.788021702838063	0	0.829959740550212	0.584658969993616	0.625382092000298	0.582028628942071	0.834805785432044	0.332331663884252	0.417971371057929	0.400590551181102	0.634710628825821	0.286390721430092	0.787426377395064	0.417971371057929	0.452677346093589	0.652163690586678	0.788021702838063	0.645010572266558	0.286390721430092	0.584658969993616	0.645010572266558	0.719827746222668	0.476043405676127	0.417971371057929	0.946688925987757	0.589399358333772	0.834805785432044
ZB_20	1	0.829880470658437	0.776774572414299	1	0.843746788613709	0.200087680841736	1	0.200087680841736	0.727386822052891	0.829959740550212	0	0.827081635360792	0.709332626650766	1	0.422972380534853	0.904293068846165	0.707848976846959	0.863013904321451	1	0.878657693126197	0.200087680841736	0.707848976846959	0.876303336813418	0.834931605992618	0.727386822052891	0.860804687142399	0.878657693126197	0.827081635360792	0.860804687142399	0.816807228915663	0.836768652710682	0.707848976846959	1	0.829880470658437	0.422972380534853
