ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.771533777767081	0.769219185302312	0.710125158420327	0.466092622760065	0.899830253216255	0.727419170399686	0.718769982284558	0.651141379213404	0.667270083390213	0.422370491596903	0.870868688859058	0.820497354089931	0.722822198753109	0.700296122856553	0.493856338260021	0.816176298598232	0.779241267835478	0.8208959275711	0.702617399000416	0.746050974703923	0.71072355534451	0.648072102821183	0.757646442532456	0.804281705828175	0.896502500568686	0.813342508292752	0.609019661527405	0.706446608147045	0.832928399620982	0.581383650885178	0.837518646985662	0.770444372799176	0.897884769887814	0.574083567121194	0.780975752376114	0.705899363794101	0.890275656462217	0.58723182869895	0.636835412858619	0.766479190938632	0.655041480776925	0.748463803202675	0.65728782992771	0.7694512362971	0.762839733049618	0.609019661527405	0.836037645937574	0.67013165920037	0.618158215736523	0.784020228755081	0.729454786947316	0.731858882015648	0.750197665422579	0.872394576859983	0.552645636110039	0.84461441858928	0.727100896200312	0.849504825433297	0.719609022187316	0.667703153521747	0.79017528979361	0.577517265608387	0.678901586457378
ZB_2	0.771533777767081	0	0.46221503082458	0.477301069155862	0.649227492043938	0.692275388453843	0.501191307930707	0.577990855925827	0.534384342099562	0.808532300143525	0.633949555074958	0.58279750816257	0.657742750343689	0.507327169380352	0.508688314529487	0.752209933083528	0.533427948189898	0.590125358166189	0.566374449991254	0.386235033980047	0.887357800889429	0.553588342440801	0.726645408974894	0.482333252106906	0.586298701298701	0.730003624813384	0.655601306810493	0.702693256910578	0.576775129408412	0.620221665261019	0.751633273162929	0.586603742046994	0.477542859712892	0.686495090868481	0.541729607250755	0.475680030025219	0.602206403579145	0.6573147175438	0.780590491003191	0.354655023901422	0.557980238405007	0.66552720169569	0.472970926711084	0.822411074738933	0.583131548743012	0.461960744647102	0.702693256910578	0.697757743874249	0.472271872926955	0.729118475309263	0.327913643285855	0.468546815711209	0.465679373169616	0.54008648716402	0.663321776827532	0.818448151028398	0.59186508149596	0.415395288622947	0.641914531525112	0.466351798484363	0.695317415988518	0.598989287280473	0.550175491094528	0.510947320369865
ZB_3	0.769219185302312	0.46221503082458	0	0.28328440836044	0.704055420369501	0.674502453277468	0.139925505919195	0.363525718217788	0.512980359442157	0.863776980769521	0.735524476201073	0.683155187269577	0.741872011488107	0.20875025847111	0.459592111160914	0.671245831216455	0.447326339521791	0.444322948286329	0.464576380443101	0.312753082258965	0.919858751804587	0.498235890124589	0.805517130367859	0.109718495389569	0.50675277244108	0.702279618501571	0.767286448982076	0.732537412252035	0.450054264900821	0.526766704416761	0.73393729344715	0.510553912562185	0.378710191022724	0.690961464248305	0.706798201462989	0.192718990435805	0.412261323040283	0.608505311985176	0.79651306093089	0.452763846900638	0.4097485635361	0.666358257858058	0.0881996388311812	0.873651275911851	0.302837462058539	0.0881006976630726	0.732537412252035	0.707970063341442	0.169438483547926	0.69445017329061	0.270451977152707	0.297418990128991	0.412235474021499	0.440453569667256	0.594205854788026	0.824918636411652	0.547090680506753	0.424655053596849	0.570450410717239	0.536890220611328	0.783228285856569	0.510369856312359	0.65270368236147	0.527216590196043
ZB_4	0.710125158420327	0.477301069155862	0.28328440836044	0	0.758445170910759	0.613072152366647	0.294148489466926	0.229398451912288	0.436141762695623	0.857981183726126	0.750694283445224	0.667599012110572	0.663530206364079	0.1897470379559	0.322332271725055	0.730088978385295	0.41740043648775	0.349990499714991	0.452954211911867	0.435659937294487	0.916449031391922	0.387380497131931	0.843400774599588	0.294703906998071	0.498806558738066	0.642635436041565	0.672002488935278	0.722999494516604	0.334498142897958	0.498550529225376	0.810655221410052	0.442524346998337	0.349701728565166	0.60394727790954	0.725209752290372	0.362742032883494	0.336084921210523	0.550949042824846	0.834373865332634	0.465146553093785	0.391166076500895	0.716172973607727	0.303669482094971	0.868275594432732	0.332120832995455	0.308478565572687	0.722999494516604	0.645192221063876	0.322111402844103	0.759765596097214	0.334741128512824	0.345845207152476	0.466651376375503	0.337758518810321	0.542035359668133	0.817469557282653	0.513962428861618	0.487273448540897	0.549075726742534	0.520375376365355	0.846823560749185	0.309056943803433	0.710592660038343	0.580227267633413
ZB_5	0.466092622760065	0.649227492043938	0.704055420369501	0.758445170910759	0	0.910754666062826	0.743392592805507	0.81307411631638	0.693023163834359	0.608015979851492	0.0941566430732265	0.830066229020201	0.802797054391885	0.735691605710657	0.773592043793528	0.452401233999447	0.76302737188722	0.821867425478627	0.809764253131854	0.576749045220568	0.769392215612199	0.753037589856738	0.440372284221344	0.730087013076597	0.850154976079779	0.90787501921205	0.821765063282474	0.710033370751338	0.767272065269986	0.835843135618729	0.411966880174973	0.870057145240677	0.782645744823305	0.931046869919329	0.515880851697994	0.721764030949976	0.755141490923361	0.926172516122615	0.573920741550799	0.640260822370181	0.796770906810879	0.590960115461272	0.727802141401617	0.63642942955983	0.746835085225552	0.708254909882833	0.710033370751338	0.91114924933551	0.667781665716092	0.503159011252536	0.775826441483903	0.726407190189656	0.702529569798681	0.794940822467402	0.898151716304823	0.647437900328074	0.877027329592365	0.65499798394487	0.87646292385429	0.752723412647772	0.376235760707514	0.823354993940099	0.382289089715757	0.484278146312666
ZB_6	0.899830253216255	0.692275388453843	0.674502453277468	0.613072152366647	0.910754666062826	0	0.62334103798451	0.593837832265576	0.730712962962963	0.990932473365365	0.930932654219697	0.363410354872881	0.348506785518889	0.609701335318852	0.667502083339836	0.922712219686446	0.362190807676164	0.416679508760284	0.295834272914506	0.768608847308779	0.990590036549138	0.600773110885841	0.991262777166221	0.641360380070542	0.30123421222811	0.0594813636968597	0.344302424139685	0.781451015928119	0.572628301044983	0.177098213072326	0.971496123435941	0.31823950089394	0.470389332347355	0.0451004840325303	0.862851697555374	0.640556791275023	0.615395041176211	0.238803864639207	0.991311690748733	0.78803147946021	0.368163420112242	0.767438975987299	0.657971417482027	0.990874000098553	0.48977082846333	0.645889202691419	0.781451015928119	0.348261512823901	0.639781214266581	0.991830132635356	0.624365731306752	0.524916409557294	0.790651706648639	0.420509964523404	0.132640856153604	0.991155485795608	0.319254013220019	0.802138633486323	0.192748509916375	0.654359957870247	0.991382866856297	0.543452255295194	0.869490406111976	0.761846540315706
ZB_7	0.727419170399686	0.501191307930707	0.139925505919195	0.294148489466926	0.743392592805507	0.62334103798451	0	0.332955404383976	0.500344208460086	0.859844426848013	0.774555314429705	0.658375045075147	0.688663195173053	0.278588546618356	0.513550469122341	0.661755192241009	0.464989249627141	0.45383037291854	0.392803220089918	0.357599175426105	0.917545194362932	0.447527232383002	0.845377456667546	0.0985355846457967	0.437584762262834	0.652528921406765	0.715735061528373	0.726051990958094	0.461145895528409	0.466427937294811	0.774521861664783	0.439192781173233	0.286393037941441	0.640635952335436	0.743179913720865	0.183740412979351	0.462602268876374	0.547484493899691	0.836464490043868	0.436965961256799	0.329053567617042	0.658268127282212	0.0618773321740391	0.87000377805725	0.360921430888911	0.0764722577689699	0.726051990958094	0.679593522544848	0.163248587976603	0.794979953026026	0.263373103312373	0.250848629232345	0.395267595137175	0.356161465957233	0.538966418148219	0.819864300464235	0.510512068048199	0.40804570931731	0.546052780737751	0.525660754651365	0.82331412979072	0.521289026700067	0.690986097044471	0.626935317392052
ZB_8	0.718769982284558	0.577990855925827	0.363525718217788	0.229398451912288	0.81307411631638	0.593837832265576	0.332955404383976	0	0.387098782404789	0.916796795965905	0.8071367884452	0.725535541589984	0.626793076454727	0.261020225784684	0.351463632554782	0.787047173933321	0.497544343099874	0.445628967315766	0.471044825043022	0.493452530252765	0.964086920972358	0.427563451999666	0.900133255476201	0.362125540627792	0.48417635921017	0.624390953826189	0.736054962488558	0.763023201662471	0.374706189892493	0.516312102737061	0.865931590548745	0.473808452845452	0.467899378074817	0.584014301886092	0.81503960542712	0.438889655547331	0.414832702114975	0.52722929291566	0.88022922924941	0.526766334665395	0.459922580821655	0.764531499467802	0.386114445778311	0.915940752853863	0.389643172611252	0.374384642409469	0.763023201662471	0.608635464287885	0.36060356265952	0.816116368323909	0.445706684732768	0.423671322674696	0.552115613103465	0.360423523246535	0.558754042374021	0.876720430386445	0.533093371853466	0.54668787057761	0.565475441346407	0.572803777398334	0.902293967714529	0.384175737219874	0.801727772605098	0.54352280847882
ZB_9	0.651141379213404	0.534384342099562	0.512980359442157	0.436141762695623	0.693023163834359	0.730712962962963	0.500344208460086	0.387098782404789	0	0.790368776319049	0.679270232856051	0.725945933846188	0.668161347704069	0.473935276702768	0.457924204484709	0.73799885826976	0.656340421183068	0.577007171267173	0.608138326669648	0.321802650436583	0.876672033688383	0.409569343103709	0.807616896125485	0.503456069309728	0.590507024745504	0.714064538463758	0.714345938198221	0.652613619649949	0.502743015099555	0.639241022234969	0.763660191076315	0.588585353341029	0.574888002406167	0.717779008146801	0.708544961244872	0.496545809039951	0.428250609768189	0.661243645441803	0.759909060338904	0.350541331078365	0.591763123429259	0.647871052617033	0.470920553612767	0.805564156551895	0.55898062312543	0.513604014556457	0.652613619649949	0.577548146155429	0.434765561823359	0.775620322200089	0.516850843916653	0.530686405364933	0.321798859512701	0.454541946603669	0.666883616174948	0.730570349269259	0.594021051388853	0.310181427134284	0.644459606739707	0.483518906405027	0.813487881981033	0.523598954812067	0.689358740206198	0.420872879363469
ZB_10	0.667270083390213	0.808532300143525	0.863776980769521	0.857981183726126	0.608015979851492	0.990932473365365	0.859844426848013	0.916796795965905	0.790368776319049	0	0.567271739477805	0.952975136128059	0.928409136561871	0.875437021755625	0.89713230153487	0.585638655976498	0.907110516567195	0.901172878608441	0.923513246656402	0.801784459538588	0.411690853365828	0.859011203664204	0.299562889584357	0.868226529916324	0.919008043573268	0.990624082405473	0.928052696129094	0.785406000287095	0.86792998469927	0.922357886927761	0.488004083716182	0.932514990383528	0.8827251114027	0.990752237871883	0.737619022002259	0.858657926189594	0.855847080053017	0.990045757980772	0.407817804602037	0.751070870484419	0.899198606401471	0.765392312290459	0.850599950348937	0.0724862449687973	0.896721297994293	0.871220122432657	0.785406000287095	0.980404348428744	0.857609312890403	0.554170850962251	0.872174979516852	0.883216683700532	0.768235384733883	0.892306966733408	0.951449569608168	0.221944492328909	0.940518596720415	0.763232439804858	0.952712759373368	0.814432353908563	0.37158305100478	0.921786837677696	0.702808292088715	0.810568752039025
