ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.533716494829744	0.400572978769376	0.398311475409836	0.565793126168695	0.626983355152422	0.389964817408867	0.397955676376618	0.488422723203386	0.40965772950662	0.616759480405537	0.530507798210901	0.61916048304449	0.552902071843792	0.551798679744341	0.465508870214753	0.611409378223268	0.535793176022222	0.691958626688902	0.573053783044667	0.394118956506991	0.28314453125	0.446069100986722	0.387277657577332	0.578918740142845	0.58396136347878	0.547605480635658	0.388170771383864	0.321695592626687	0.620070282215701	0.480292942743009	0.543233627014459	0.552758962660381	0.627735646464249	0.595700576555962	0.42812316290149	0.360208089762892	0.575230128234554	0.251623396626292	0.36512865427233	0.554075067247859	0.529274389842774	0.448605853013641	0.433206554239923	0.565704280424132	0.431053013356829	0.398448682327187	0.556746393331007	0.419284814420002	0.546269379844961	0.384549021218906	0.454569947281042	0.385979642183386	0.578837024173272	0.617180374812447	0.377213087177762	0.66193152810962	0.472707368632978	0.619519047113065	0.458788506913052	0.59537548084964	0.320833372191705	0.488635145489989	0.573841216236445
ZB_2	0.533716494829744	0	0.529107809527819	0.456633161177022	0.246793684568188	0.568117140465698	0.497920401189271	0.293883444827576	0.435987117571315	0.468819250303713	0.248737355713091	0.456721007657023	0.620304251007081	0.270144100105439	0.302851866475568	0.440940311217319	0.244517121969988	0.419049916213883	0.578905085486663	0.244130071716279	0.562647482193323	0.454064929956734	0.417842875422696	0.489152562724112	0.523746495403273	0.55811816210842	0.510523375940217	0.629770537543778	0.443774631440666	0.522859961509226	0.349086854337172	0.446534015133354	0.488016965224428	0.641482674991398	0.210181925146852	0.543566242569372	0.457276876623833	0.526315789473684	0.63506824335355	0.490607173534003	0.464311799436044	0.373237499239833	0.437355311435311	0.486443296885736	0.23642701548404	0.493881663934836	0.558425488653781	0.475380889131963	0.507272545417217	0.184722959564616	0.545596201325535	0.463345107679997	0.631778878990888	0.475012848543977	0.56461812907156	0.544870340029038	0.574234997184039	0.479056983136339	0.546471548267439	0.487429357956353	0.209588806550739	0.518698811397805	0.408828529923949	0.214423549569541
ZB_3	0.400572978769376	0.529107809527819	0	0.362961115073663	0.616202964681161	0.610907734692564	0.11953684866846	0.360804753395645	0.54514978253433	0.458954909397387	0.629837158178471	0.589584100612459	0.682385059254204	0.385361666335404	0.578468956980407	0.542902809529736	0.638545771316959	0.355736608574299	0.597161675355341	0.629331309050982	0.460763080330245	0.314294969542305	0.356279971431487	0.0889893989480369	0.467974663988877	0.587811373597057	0.571277167652254	0.509752380365926	0.342709241016704	0.55460879053066	0.531804250533836	0.481458626256314	0.372649949683627	0.608068772609564	0.612690155917693	0.0482646377346086	0.316461149688285	0.502985341526051	0.488362297719634	0.36496766342014	0.335862124912234	0.568011227497773	0.154617312512049	0.486688142053293	0.440213270721745	0.101392577843974	0.463727863834749	0.573019375596145	0.115599244505495	0.494844857735424	0.111865923769745	0.169675209291249	0.558018593407249	0.439764864399396	0.516835837243517	0.447671973079661	0.560203826675252	0.534295486777342	0.462247872157395	0.52583297454202	0.612427647720649	0.328476068303849	0.558409929086987	0.589602989281248
ZB_4	0.398311475409836	0.456633161177022	0.362961115073663	0	0.524297435163735	0.57881955005023	0.31256809025569	0.258888332498748	0.426687134208596	0.399365566336295	0.533102685998184	0.511052630036544	0.587150080157849	0.388947788068097	0.460817977833685	0.464574389028398	0.544209948315642	0.331557306025995	0.628911089782741	0.540546099957685	0.384353473553379	0.207261133924625	0.3757900503304	0.300563166130318	0.519202005093584	0.595538068236606	0.452529165719636	0.49232406322485	0.109770087779979	0.586887520558208	0.419524086559568	0.519532780630659	0.405717529680528	0.610846338114282	0.509453246276173	0.320657463397152	0.202212070209185	0.51802466178023	0.488224418564468	0.304479435372482	0.412973415088616	0.431303561863953	0.293322887361561	0.418327621603597	0.336287485094292	0.370929916389097	0.410076850791035	0.455896837495844	0.269074295898095	0.460486600587889	0.310511837953531	0.257581783832157	0.495077994850825	0.477384615770453	0.546403570481254	0.370822650036939	0.604594821371592	0.426607433408289	0.475528730131253	0.423319841742502	0.509089669321032	0.262899242874956	0.468758780917396	0.494664439585807
ZB_5	0.565793126168695	0.246793684568188	0.616202964681161	0.524297435163735	0	0.551316120788861	0.592143002149821	0.406426451400141	0.455875369235962	0.39392591891764	0.233893272773865	0.453548186681269	0.596610204886045	0.368240840593878	0.321935758550546	0.460896082290712	0.182311516380334	0.56916858579687	0.58026087793608	0.146977641949493	0.585470772821168	0.526984785410586	0.468825523584097	0.584423723391423	0.54331365376659	0.52141405310895	0.572771416997143	0.614304140879528	0.514388705316912	0.523186611485463	0.368651256080454	0.535452777429242	0.57773481899907	0.653781773225309	0.162962612548686	0.627582317726354	0.521082373997393	0.526732642931552	0.618870838024771	0.533945215225898	0.550351553393193	0.36339986798601	0.534688631236556	0.508169733667629	0.335613094853748	0.582224094569319	0.58118800952426	0.48227675347296	0.598607530176933	0.180888245317143	0.63548341345058	0.556339562048232	0.616396381120787	0.524156271902102	0.582740451642026	0.56743775328382	0.630884213840207	0.499243245153235	0.604065897424287	0.508204873197414	0.163751044672564	0.586245557919695	0.428346569577645	0.0955013168371409
ZB_6	0.626983355152422	0.568117140465698	0.610907734692564	0.57881955005023	0.551316120788861	0	0.61009260501946	0.582765980199079	0.581678461461763	0.587013298190967	0.594464607549728	0.399098248271762	0.408256502704095	0.54539562196623	0.689280999039221	0.592156380856957	0.437123991501245	0.442912936722528	0.16826095341213	0.633914691982578	0.712043593014989	0.631666974637424	0.527801120773306	0.614160122432109	0.27158634305497	0.133649415297677	0.515076636757679	0.673440408248795	0.613404111679352	0.169187460247847	0.608170156548089	0.301669890154635	0.354496144512508	0.226955971251598	0.629803320160717	0.58417896730166	0.576035087070313	0.269627190716619	0.7150527064019	0.600120342317483	0.349234140510868	0.581713581539795	0.612121949206653	0.669964411272087	0.538747953843549	0.560923106714793	0.708737107628778	0.433631124680809	0.593030096503282	0.571297913197262	0.605722919373397	0.584011076087146	0.645392537922899	0.282726252880152	0.142908522466826	0.711007825193942	0.22855462911144	0.585617866575909	0.294597115914174	0.620776269935239	0.646937158771188	0.609276080374346	0.588100308372607	0.565985536186078
ZB_7	0.389964817408867	0.497920401189271	0.11953684866846	0.31256809025569	0.592143002149821	0.61009260501946	0	0.302748505403135	0.489549781568404	0.399980850531029	0.602051579839006	0.576959269838362	0.665218971155676	0.389054466988168	0.534604193903971	0.486882689546682	0.628789081828748	0.359479673797859	0.59625037691339	0.600184321501382	0.39643543626004	0.222520547253422	0.326472068093195	0.0574778417302246	0.447929914547882	0.586771599545322	0.521836912129408	0.501412982214429	0.288780840849858	0.53250890741092	0.498414126191923	0.435009354284046	0.353444714544663	0.613634898037134	0.583062625586068	0.159960951650975	0.320631252005016	0.470742621446807	0.478821994920025	0.302533738854903	0.361544693341916	0.538369819387084	0.105347660594289	0.418767990788716	0.443980976887629	0.105184634060383	0.421432268761862	0.550701850598586	0.0860882919922891	0.461647163962354	0.0960269520542324	0.122499734619292	0.504117610220441	0.404998631047835	0.538112729575681	0.37190224479989	0.558904673666873	0.476740724135636	0.422770708961076	0.474368283473715	0.582771525120787	0.261265042251475	0.49037738057418	0.564665666253909
ZB_8	0.397955676376618	0.293883444827576	0.360804753395645	0.258888332498748	0.406426451400141	0.582765980199079	0.302748505403135	0	0.357095351253411	0.340213688791683	0.412561964020417	0.490453498189728	0.645680923701612	0.305492490005965	0.425691132824224	0.348425546733023	0.481151741293532	0.334011212320805	0.596657093226249	0.415029256830433	0.432425126386418	0.236242742615523	0.328081243163986	0.300828611898017	0.487845388040951	0.588274355533777	0.529797147512499	0.528677196994084	0.232770661546571	0.523404695325355	0.285747138374344	0.443741873243572	0.465426945165444	0.672919548312185	0.381448312821196	0.385784907215959	0.260756641279457	0.517351271362665	0.527707903958158	0.326713235294118	0.408113353424744	0.324483390906032	0.249212574923891	0.350376624517737	0.282965927153388	0.304685879805126	0.42694602805718	0.492315853065555	0.332673146858819	0.336860830956511	0.371413798499187	0.304180271724312	0.531233927930528	0.448855589339302	0.564572123087122	0.409354813980981	0.584483663226124	0.385178641327573	0.547047597559485	0.422516364163841	0.380968914985104	0.361613970588235	0.34239157487538	0.374492656354416
ZB_9	0.488422723203386	0.435987117571315	0.54514978253433	0.426687134208596	0.455875369235962	0.581678461461763	0.489549781568404	0.357095351253411	0	0.347923188977329	0.381483240756	0.454568452475066	0.620961052671266	0.5165125826744	0.3794773231226	0.129057030839497	0.521119038814137	0.489702212314715	0.657390572279266	0.366095788417892	0.327372442514858	0.400190320171529	0.258706924592924	0.495976870414314	0.580909049934646	0.576951588632675	0.379221164727927	0.449884909547109	0.408442602788973	0.589712001752081	0.151210460826475	0.505723356302154	0.566711299845697	0.701312445537273	0.345312323641376	0.528905498171553	0.402145399866095	0.590764581207316	0.419186099330117	0.310029260294876	0.489969086451338	0.128952991008026	0.497875314783302	0.221475744761724	0.464016708136772	0.46991546990549	0.320879215457514	0.463073463073463	0.518117217550036	0.42945924517279	0.535298464242206	0.517525124640234	0.452869055999171	0.51182669374155	0.643194281868521	0.300032035803597	0.639808292858385	0.0790610275970384	0.611771357114966	0.150135837853482	0.344752039380672	0.362641784258577	0.106350275078182	0.423056867538151
ZB_10	0.40965772950662	0.468819250303713	0.458954909397387	0.399365566336295	0.39392591891764	0.587013298190967	0.399980850531029	0.340213688791683	0.347923188977329	0	0.497588661989209	0.517398688740864	0.532958620548868	0.497639874661305	0.485770087300514	0.339816469059607	0.483338217384174	0.492388939732645	0.65611922290617	0.504034840119659	0.302009291982687	0.296722554994638	0.349647640482603	0.40708533792997	0.535637194291343	0.541758326085844	0.468490109435121	0.431262283366089	0.358621841255705	0.57852969735638	0.342490221798711	0.57438704450066	0.545225471153341	0.652289927081177	0.469980041331478	0.480902964959569	0.381775935362923	0.558013678414769	0.420404289460295	0.347854033011145	0.54065027913122	0.403791020278307	0.445327703701666	0.229745130042591	0.486939915454691	0.379940244182047	0.332927214037813	0.383151257729379	0.435065958348362	0.462711934668159	0.451666624883155	0.466259495513618	0.433971031068777	0.482159726383717	0.627368603121572	0.273164192443275	0.685045638116582	0.345518180848358	0.619703791326179	0.368383702229333	0.46955383363408	0.350672208496187	0.352920865115987	0.421470570221106
