ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.645828628212656	0.750683624801272	0.801320932740262	0.703374442006507	0.750683624801272	0.813915086850211	0.679645366890015	0.753813606502617	0.703374442006507	0.950089005101824	0.946881316908239	0.849530420579829	0.915462276402329	0.563467319897561	0.939374961341003	0.849530420579829	0.655982153340378	0.703374442006507	1	0.7510082245721	0.931771708013191	0.804621078251592	0.934959686784565	0.94946184628122	0.211484312148029	0.849530420579829	0.931771708013191	0.694878978908865	0	0.934959686784565	0.640815391662849	0.700049730308711	0.733190417857629	0.369947770188831	0.71766527437707	0.6976439285852	0.742377447759233	0.766107863023506	0.410699919549477	0.813915086850211	0.750683624801272	0.729180146039375	0.980065591207233	0.67811986863711	0.703374442006507	0.677736221281493	0.750683624801272	0.461025570525158	0.496629646273352	0.496629646273352	0.461025570525158	0	0.211484312148029	0.611466230612953	0.711250230160192	0.703374442006507	0.774389774389774	0.750683624801272	0.640815391662849
ZB_2	0.645828628212656	0	0.401473571172891	0.449837330710449	0.162480139214648	0.401473571172891	0.461224489795918	0.609503639183868	0.343104927955192	0.162480139214648	0.938558995092744	0.935003346556312	0.566721287054968	0.802711157455683	0.188671575048557	0.869083171569359	0.566721287054968	0.727565089465941	0.162480139214648	0.792041194272551	0.402204677491435	0.881254387253702	0.504026965755876	0.898992315052005	0.949800932069998	0.550837887890149	0.566721287054968	0.881254387253702	0.363371993568032	0.645828628212656	0.898992315052005	0.336649769236589	0.34821581306237	0.464859228362878	0.437869822485207	0.292415067227753	0.566042238396373	0.431720558405918	0.339607445412242	0.64031799087583	0.461224489795918	0.401473571172891	0.570050292517705	0.944063535595932	0.240939698872664	0.162480139214648	0.242036770825452	0.401473571172891	0.342879082162699	0.709637688596941	0.709637688596941	0.342879082162699	0.645828628212656	0.550837887890149	0.552122891648705	0.31352423962503	0.162480139214648	0.625592134664085	0.401473571172891	0.336649769236589
ZB_3	0.750683624801272	0.401473571172891	0	0.401017488076312	0.273356401384083	0	0.419947642622016	0.221748807631161	0.53758346581876	0.273356401384083	0.885810733927555	0.939594158922814	0.511728571058293	0.717036883440035	0.428871224165342	0.859916329858895	0.511728571058293	0.521367249602544	0.273356401384083	0.853608903020668	0.368601124906042	0.889641570263607	0.109316375198728	0.846910677033947	0.896863265693154	0.683815580286169	0.511728571058293	0.889641570263607	0.182893481717011	0.750683624801272	0.846910677033947	0.410690848347453	0.282096408543133	0.423109820896296	0.60429252782194	0.233444696336953	0.175421303656598	0.153979238754325	0.0618661257606491	0.746804451510334	0.419947642622016	0	0.374976152623211	0.948014413047601	0.22543720190779	0.273356401384083	0.336087579047846	0	0.537424483306836	0.504705882352941	0.504705882352941	0.537424483306836	0.750683624801272	0.683815580286169	0.358314785373609	0.136565977742448	0.273356401384083	0.56294549130401	0	0.410690848347453
ZB_4	0.801320932740262	0.449837330710449	0.401017488076312	0	0.287357191495801	0.401017488076312	0.361640121992545	0.555863034708099	0.227996602611742	0.287357191495801	0.965943747882074	0.963976733955716	0.274596634448766	0.579614155339058	0.346587590420991	0.893728535164999	0.274596634448766	0.849944008958567	0.287357191495801	0.755600382206179	0.401797338922232	0.927638593818896	0.32750249892903	0.930765218458517	0.965557260470297	0.818472906403941	0.274596634448766	0.927638593818896	0.515120194712099	0.801320932740262	0.930765218458517	0.461526821517742	0.658304498269896	0.358990063971689	0.594464662802714	0.546480805812829	0.576438791732909	0.530187328481088	0.438074215487412	0.802404039501318	0.361640121992545	0.401017488076312	0.69371203637721	0.942514658636223	0.226683087027915	0.287357191495801	0.225761374378365	0.401017488076312	0.629474548440066	0.852565598639683	0.852565598639683	0.629474548440066	0.801320932740262	0.818472906403941	0.69906311472677	0.53758346581876	0.287357191495801	0.548593697051847	0.401017488076312	0.461526821517742
ZB_5	0.703374442006507	0.162480139214648	0.273356401384083	0.287357191495801	0	0.273356401384083	0.333263816475495	0.48138646939506	0.449837330710449	0	0.940529802313684	0.937204772531918	0.438760613734545	0.67475048413526	0.320496330483468	0.837016574585635	0.438760613734545	0.762468679155232	0	0.825830369978058	0.274244004171011	0.885276281651933	0.375909795967068	0.902232279553992	0.951411138245991	0.623817810395702	0.438760613734545	0.885276281651933	0.444934971960387	0.703374442006507	0.902232279553992	0.174169630021941	0.431720558405918	0.336898555042455	0.529204811984565	0.383068846199738	0.437925068607565	0.30360338861711	0.211490275623434	0.698759173791329	0.333263816475495	0.273356401384083	0.625134232191863	0.945958094457018	0.0784595596580162	0	0.0795566316108043	0.273356401384083	0.449648180373761	0.746838086147238	0.746838086147238	0.449648180373761	0.703374442006507	0.623817810395702	0.609503639183868	0.401473571172891	0	0.497631461343662	0.273356401384083	0.174169630021941
ZB_7	0.750683624801272	0.401473571172891	0	0.401017488076312	0.273356401384083	0	0.419947642622016	0.221748807631161	0.53758346581876	0.273356401384083	0.885810733927555	0.939594158922814	0.511728571058293	0.717036883440035	0.428871224165342	0.859916329858895	0.511728571058293	0.521367249602544	0.273356401384083	0.853608903020668	0.368601124906042	0.889641570263607	0.109316375198728	0.846910677033947	0.896863265693154	0.683815580286169	0.511728571058293	0.889641570263607	0.182893481717011	0.750683624801272	0.846910677033947	0.410690848347453	0.282096408543133	0.423109820896296	0.60429252782194	0.233444696336953	0.175421303656598	0.153979238754325	0.0618661257606491	0.746804451510334	0.419947642622016	0	0.374976152623211	0.948014413047601	0.22543720190779	0.273356401384083	0.336087579047846	0	0.537424483306836	0.504705882352941	0.504705882352941	0.537424483306836	0.750683624801272	0.683815580286169	0.358314785373609	0.136565977742448	0.273356401384083	0.56294549130401	0	0.410690848347453
ZB_8	0.813915086850211	0.461224489795918	0.419947642622016	0.361640121992545	0.333263816475495	0.419947642622016	0	0.60071019413701	0.507184005421891	0.333263816475495	0.941865303887571	0.938691919775186	0.119993222636394	0.388410708234497	0.492521672858912	0.814051067642228	0.119993222636394	0.782431693989071	0.333263816475495	0.843985089800068	0.0629068622781112	0.9046987092958	0.428360655737705	0.920046633466709	0.952502281438219	0.747134101806865	0.119993222636394	0.9046987092958	0.569036572406107	0.813915086850211	0.920046633466709	0.470430507969611	0.631140081170828	0.129687847321457	0.667714585119558	0.59102201451236	0.56294549130401	0.525495019062846	0.449538802115361	0.730159268044731	0	0.419947642622016	0.656639344262295	0.947237941255726	0.289352513416532	0.333263816475495	0.395918367346939	0.419947642622016	0.600933600076212	0.831367771701096	0.831367771701096	0.600933600076212	0.813915086850211	0.747134101806865	0.7120344210881	0.531271869573106	0.333263816475495	0.186953575059302	0.419947642622016	0.470430507969611
ZB_9	0.679645366890015	0.609503639183868	0.221748807631161	0.555863034708099	0.48138646939506	0.221748807631161	0.60071019413701	0	0.69906311472677	0.48138646939506	0.892358362098996	0.948490990277734	0.641175519879323	0.65460182870883	0.585069849631581	0.909366801389775	0.641175519879323	0.475725909073381	0.48138646939506	0.81189736885112	0.549363676421036	0.896356525319061	0.249991664721768	0.838359324314583	0.891102193815027	0.672733582693865	0.641175519879323	0.896356525319061	0.327143000033341	0.679645366890015	0.838359324314583	0.61872091635843	0.336936522539098	0.549078763064325	0.491542735741134	0.370661427635887	0.0561832414298384	0.195820738599027	0.269896193771626	0.74912273936683	0.60071019413701	0.221748807631161	0.298191493463926	0.945110571801588	0.447186009538951	0.48138646939506	0.477968004490598	0.221748807631161	0.49519916708441	0.363580650433077	0.363580650433077	0.49519916708441	0.679645366890015	0.672733582693865	0.175478019284197	0.358314785373609	0.48138646939506	0.534085410113719	0.221748807631161	0.61872091635843
ZB_10	0.753813606502617	0.343104927955192	0.53758346581876	0.227996602611742	0.449837330710449	0.53758346581876	0.507184005421891	0.69906311472677	0	0.449837330710449	0.964778691984803	0.962670628656328	0.439986137317571	0.745003658207863	0.190346286605055	0.925795132148723	0.439986137317571	0.824342575673314	0.449837330710449	0.683421577391185	0.538185513321266	0.925058120225839	0.480829644438098	0.928406558105225	0.964365148438255	0.779616247196611	0.439986137317571	0.925058120225839	0.434080473188575	0.753813606502617	0.928406558105225	0.62400696073239	0.608094700468713	0.505138151626514	0.497494711056675	0.476343079360507	0.713004769475358	0.658304498269896	0.56619138527622	0.755474452554744	0.507184005421891	0.53758346581876	0.641455469929292	0.940366174141562	0.40299671592775	0.449837330710449	0.402285150630882	0.53758346581876	0.550161973585846	0.827924352089657	0.827924352089657	0.550161973585846	0.753813606502617	0.779616247196611	0.648766440968169	0.464444853618118	0.449837330710449	0.694137580481193	0.53758346581876	0.62400696073239
ZB_11	0.703374442006507	0.162480139214648	0.273356401384083	0.287357191495801	0	0.273356401384083	0.333263816475495	0.48138646939506	0.449837330710449	0	0.940529802313684	0.937204772531918	0.438760613734545	0.67475048413526	0.320496330483468	0.837016574585635	0.438760613734545	0.762468679155232	0	0.825830369978058	0.274244004171011	0.885276281651933	0.375909795967068	0.902232279553992	0.951411138245991	0.623817810395702	0.438760613734545	0.885276281651933	0.444934971960387	0.703374442006507	0.902232279553992	0.174169630021941	0.431720558405918	0.336898555042455	0.529204811984565	0.383068846199738	0.437925068607565	0.30360338861711	0.211490275623434	0.698759173791329	0.333263816475495	0.273356401384083	0.625134232191863	0.945958094457018	0.0784595596580162	0	0.0795566316108043	0.273356401384083	0.449648180373761	0.746838086147238	0.746838086147238	0.449648180373761	0.703374442006507	0.623817810395702	0.609503639183868	0.401473571172891	0	0.497631461343662	0.273356401384083	0.174169630021941
